League Name,,defense,possession,creativity,progression,crossing,explosive,attacking,setpiece,gkbuildup,excitement,Cluster,x,y,Distance to 1.Div
1. HNL,Croatian HNL,0.040723168,0.56321866,0.04978284,-0.064838273,0.098413538,-0.109632917,-0.332329253,-0.895409153,0.477253829,-0.006356766,8,4.1937056,0.46922496,14.02914029
2. Bundesliga,2. Bundesliga,-0.114987538,0.773777345,0.701686293,-0.17239649,0.603226348,-0.166876346,0.618969384,0.103412385,1.398953215,0.436609927,15,-9.098639,11.2811985,3.805512569
2. HNL,Croatian 2. NL,0.466454525,-0.490591124,-0.552069793,-0.105584767,0.171613386,-0.462628388,-0.460360221,-0.30664353,-0.289444002,-0.368685269,14,-4.855184,-7.9201894,18.69921056
3. Liga,3. Liga,0.31029824,0.142247073,0.533136473,0.157064643,0.955332147,-0.034878081,0.660709062,0.726085554,0.676818812,0.447855496,6,-4.0100517,7.211095,3.797697086
A-League Men,A-League Men,-0.284259728,1.698572309,1.362986671,0.202690751,0.297551226,0.159921925,1.300787089,-0.226777962,1.006819216,0.972080746,15,-8.835009,13.743187,4.596339455
Albanian Kategoria Superiore,Albanian Superliga,0.575607117,-0.099639208,-0.864613795,-0.797772601,-0.422453287,-0.182448225,-1.135975313,-0.419873959,0.192988604,-0.572026086,14,2.1730235,-10.592158,22.64345536
Allsvenskan,Allsvenskan,-0.266000823,1.58887034,0.581150151,0.48938376,1.470928714,0.20155996,0.903516116,0.017135528,0.103062326,0.563924509,19,-6.798034,11.059688,1.49849839
Andorra Primera Divisio,Andorran 1a Divisió,-0.340527673,-0.262476819,-0.400043634,-0.522475799,-1.364670847,0.064216896,-0.877036235,-0.463557187,-0.046636386,-0.545980343,0,5.209863,-9.53822,22.88182666
Andorra Primera Divisió,Andorran 1a Divisió,-0.340527673,-0.262476819,-0.400043634,-0.522475799,-1.364670847,0.064216896,-0.877036235,-0.463557187,-0.046636386,-0.545980343,0,5.20977,-9.538225,22.88178807
Argentina Copa de la Liga,Liga Professional Argentina,0.661816064,-0.468524811,0.054757129,-0.511943143,0.689296137,1.044952439,-0.669025931,-0.311426008,-0.641583208,-0.039049307,11,-6.287716,-2.1636806,12.97235178
Argentina LPF,Liga Professional Argentina,0.927302885,-0.552669867,-0.614416762,-0.202929006,0.428598154,0.152472651,-1.042752361,-0.130071207,-0.959250432,-0.37914412,11,-6.7927527,-8.767211,19.59515578
Argentina Primera Nacional,Argentina Primera Nacional,1.145484128,-2.021416222,-1.019931311,-0.114787046,0.702456884,0.166703,-1.34168327,0.28532715,-1.628179736,-0.653594192,11,-9.840793,-9.690504,20.95543019
Argentina Reserve League,,0.781527869,-0.900886406,-0.87823517,-0.025758322,-0.714828486,0.554230732,-1.014195102,-0.007588174,-0.086347929,-0.321275952,3,-1.7306753,-12.044795,23.09955941
Armenian Premier League,Armenian Premier League,-0.342538427,0.463115153,-0.661472545,-0.496209091,-1.419534874,-0.2010154,-0.79186297,-0.802402752,0.491668392,-0.5629137,0,6.3744144,-7.7626867,21.92035274
Australian NPLs,,0.053633081,0.084737315,0.951202211,1.011766773,-0.230465694,1.463442395,0.905449551,0.603240105,0.295542974,0.834309085,4,0.91796726,14.537824,7.292158814
Austrian 2. Liga,Austrian 2. Liga,0.547915919,-0.461198377,0.08576688,0.303794563,-0.405704529,0.042107818,-0.030112256,0.647445523,0.553057212,0.089582137,13,3.7020562,8.293258,9.36359754
Austrian Bundesliga,Austrian Bundesliga,0.207476393,0.032311922,0.34699226,-0.101341791,-0.506943827,-0.303018289,0.002828986,-0.091528114,0.449520707,0.136793113,5,4.526781,4.4135327,11.72794224
Azeri Birinci Dasta,Birinci Dasta,0.429454698,-0.970095456,-0.490513763,-0.078730556,-0.512385537,0.19724161,-0.475522181,0.286935743,-0.438876215,-0.293111444,3,-2.5433335,-11.226448,22.17494994
Azeri Premyer Liqa,Premyer Liqa,-0.175091066,0.573857674,-0.409289516,-0.671432921,-1.204517344,-0.192002608,-0.694337438,-0.802636507,-0.134331293,-0.362632023,0,5.612572,-7.0412564,20.90523029
BRI Liga 1,BRI Liga 1,-0.224751128,-0.017592995,-0.158523715,-1.150428541,-0.483482045,-0.272432024,-0.291520655,0.514863866,-0.555014225,-0.404018528,10,0.90852904,-6.911986,18.75220789
Bahrain Premier League,Bahrain Premier League,-0.31603322,-0.164742278,-0.340015843,-0.900235527,-0.700893293,-0.209463838,-0.755096263,-0.092093843,-0.323081498,-0.560570156,0,2.4047365,-8.8366995,21.07903381
Belarusian 1. Division,Belarusian 1. Division,0.544522064,0.001539573,1.554235776,1.75759818,1.639276849,1.461370723,1.772533205,1.58069007,0.140060714,1.355024555,9,-3.1505382,15.146143,4.884844084
Belarusian Premier League,Belarusian Premier League,0.761108163,-0.056882349,0.890103709,0.94662297,1.55894279,1.121385721,0.676463927,0.556176059,-0.628229605,0.723450457,9,-7.5450873,7.1138096,4.278918452
Belarusian Reserve League,,0.345024918,0.250185903,1.014883964,1.178405385,-1.073478998,2.312771117,0.835820885,0.781450807,1.389886275,1.075908098,4,1.6528836,17.514557,9.704089716
Belgian First Division B,Challenger Pro League,0.43498197,0.679885057,0.673151159,0.796885969,1.044482561,0.526314771,0.793455528,0.148495157,0.47336823,0.878200908,7,-4.769132,9.35823,1.520919461
Belgian Pro League,Belgian Pro League,0.09026713,0.800692526,0.579705536,0.382992501,0.287895322,0.227806831,0.614015042,-0.368228055,0.030438545,0.67451234,7,-2.8007405,9.892899,2.675388415
Besta-deild karla,Besta-deild karla,-0.17396347,0.348375949,1.271138063,1.00544004,2.519966996,0.229698936,1.550082027,0.944445866,-0.123925917,1.007708127,9,-4.7836,14.152645,3.423022336
