Team within selected timeframe,League Name,Season,defense,possession,creativity,progression,crossing,explosive,attacking,setpiece,gkbuildup,excitement,Cluster,x,y,Distance to KIF 25-26
 Esenler Erokspor - Turkish 1. Lig 24-25,Turkish 1. Lig,24-25,0.073440424,0.411020495,-0.414371707,-0.588367798,0.053017363,-0.927718152,-0.061532042,-1.00543244,-0.063606928,-0.188509518,151,-36.32393,36.76319,58.51145874
 Esenler Erokspor - Turkish 1. Lig 25-26,Turkish 1. Lig,25-26,-0.841177122,1.392502853,0.322978456,0.034382222,0.83666074,-0.654549332,0.511805404,-0.840816236,0.940363985,0.226793689,150,35.78869,47.099655,23.63414624
 Fossombrone - Serie D  Girone F 24-25,Serie D  Girone F,24-25,0.615196841,-0.995401902,-0.967636235,-0.509725829,-0.091851269,-0.745538206,-0.690962468,-0.292194709,0.421875402,-0.533324648,161,-50.3952,1.8456868,89.69074872
 Fossombrone - Serie D  Girone F 25-26,Serie D  Girone F,25-26,0.275474827,-0.187209717,-0.847155866,-0.242529943,-0.306979325,-0.630557265,-0.794507415,-0.513309774,0.591545279,-0.54562522,53,-25.98125,39.144714,48.16838332
 Mahasarakham SBT - Thai League 2 24-25,Thai League 2,24-25,-0.718142236,0.091305875,-0.170931114,-0.725841573,0.308666186,-0.739577049,-0.495671109,0.116276373,-0.865089111,-0.423352633,4,-22.380745,-29.441044,98.7742367
 Mahasarakham SBT - Thai League 2 25-26,Thai League 2,25-26,-0.883557059,0.130566537,-0.050766926,-0.662804386,0.055503834,-1.485157415,-0.077200591,0.002116376,0.23573979,-0.451679148,67,-30.864738,38.34858,52.89598372
 NEOM - Saudi Division 1 24-25,Saudi Division 1,24-25,-0.374905252,0.8160069,0.725637107,-0.221331344,0.130288688,-0.922799254,0.63549428,-0.224563451,0.126745755,0.46856292,88,11.880831,44.55131,17.38455839
 NEOM - Saudi Pro League 25-26,Saudi Pro League,25-26,-0.509585362,0.993690933,-0.201604259,-0.366190951,-0.66268242,-1.085147709,0.172265475,-0.071947511,-0.068248164,-0.063267161,110,3.5258777,52.350945,15.9895075
 Shenzhen Peng City - China League One 2022,China League One,2022,-0.00459037,1.567207809,0.500535521,0.365748464,-0.013680147,0.829609158,-0.381566711,1.055674016,0.134201533,0.235530094,116,29.784729,-2.8522594,65.36384146
 Shenzhen Peng City - Chinese Super League 2024,Chinese Super League,2024,-0.435506319,0.334016259,-0.104385046,-0.742935899,-0.583156901,-0.322820579,-0.642469167,0.063924864,-0.476685874,-0.500283541,60,-17.944805,-4.750702,74.57247355
 Shenzhen Peng City - Chinese Super League 2025,Chinese Super League,2025,-0.270552412,-0.179558538,-0.75942658,-1.220603939,-0.324956518,-1.427928121,-1.016633495,-0.352021633,-0.865716088,-0.915758716,126,-72.38619,2.681353,106.7067977
