Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Fairnie,Laith Fairnie,-419207,Greenock Morton,Greenock Morton,https://cdn5.wyscout.com/photos/team/public/1232_120x120.png,Championship,LCB,LCB,93,,0,,0,21.0,2005-04-21,0,,4,385,0,0.6000000000000001,0,0.0,10.29,63.64,England,['England'],,0,0,False,4.91,2.1,33.33,5.84,68.0,0.0,0.0,0.7000000000000001,4.21,4.86,1.6400000000000001,3,0.7000000000000001,0,0.0,0.23,0.0,0,0.0,0.14,0,0.0,3,0.7000000000000001,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,100.0,0.7000000000000001,0.23,0.0,23.38,0.23,0.7000000000000001,34.6,67.57,18.0,46.75,1.4,100.0,26.88,80.0,7.71,24.24,22.36,44.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,36.0,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,7.48,43.75,90.57,12.39,0,,0,,0,0.0,0.0,0.0,,,1.17,,5.84,0.23,0.0,0.0,0.0,0,0
E. Harrison,Elyh Samuel Harrison,-359489,Greenock Morton,Greenock Morton,https://cdn5.wyscout.com/photos/team/public/1232_120x120.png,Championship,GK,GK,100,,0,,0,20.0,2006-02-19,0,2027-06-30,4,385,0,0.0,0,0.0,0.23,100.0,England,"['England', 'South Africa']",right,0,0,True,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.81,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,13.32,0.47000000000000003,0.23,25.95,72.07,12.86,49.09,0.23,100.0,16.6,95.77,9.35,30.0,33.6,49.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,7.14,0.23,0.0,0.0,0.0,0.0,0.0,6.08,42.31,94.23,12.16,6,1.4,22,5.14,0,72.73,6.76,1.58,0.76,0.178,0.0,4.21,0.0,,,,0.0,0,0
L. McFarlane,Liam McFarlane,-313864,Partick Thistle,Partick Thistle,https://cdn5.wyscout.com/photos/team/public/1230_120x120.png,Championship,GK,GK,100,,0,,0,21.0,2004-09-26,0,2028-05-31,4,381,0,0.0,0,0.0,0.24,100.0,Scotland,['Scotland'],right,0,0,True,0.9400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,1.62,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.0,0.0,0.0,18.43,0.24,0.24,30.47,80.62,14.17,65.0,0.0,0.0,19.37,98.78,11.1,48.94,33.6,49.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7800000000000002,43.75,0.47000000000000003,0.0,0.0,0.0,0.24,0.0,7.5600000000000005,62.5,94.12,16.06,1,0.24,3,0.71,3,66.67,0.78,0.18,-0.22,-0.052000000000000005,0.0,1.42,0.0,,,,0.0,0,0
C. Loughrey,Cale Loughrey,-203487,Partick Thistle,Partick Thistle,https://cdn5.wyscout.com/photos/team/public/1230_120x120.png,Championship,RCB,RCB,100,,0,,0,25.0,2001-08-04,0,,4,381,0,0.86,0,0.0,11.81,58.0,Canada,['Canada'],,192,90,False,5.91,4.72,50.0,5.2,59.09,0.0,0.0,0.0,3.54,6.08,1.18,0,0.0,0,0.0,0.71,0.0,0,0.0,0.2,0,0.0,4,0.9400000000000001,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.71,66.67,1.42,0.71,0.0,37.32,0.71,0.24,55.28,91.88,21.97,84.95,2.83,83.33,51.73,94.06,3.54,60.0,20.29,42.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5600000000000005,87.5,0.71,33.33,0.0,0.0,0.24,0.0,7.5600000000000005,75.0,100.0,24.33,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,5.2,0.0,0.0,0.0,0.0,0,0
D. O'Reilly,Daniel O'Reilly,213966,Partick Thistle,Partick Thistle,https://cdn5.wyscout.com/photos/team/public/1230_120x120.png,Championship,LCB,LCB,100,,0,,0,31.0,1995-04-11,200000,2027-05-31,4,381,0,0.41000000000000003,0,0.0,10.87,67.39,Republic of Ireland,['Republic of Ireland'],,179,70,False,6.61,1.8900000000000001,25.0,7.5600000000000005,75.0,0.0,0.0,0.9400000000000001,6.14,10.54,0.9400000000000001,1,0.24,0,0.0,0.24,0.0,0,0.0,0.1,0,0.0,4,0.9400000000000001,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,100.0,1.18,1.8900000000000001,0.0,44.65,0.47000000000000003,0.9400000000000001,66.38,89.32,28.35,80.83,3.54,100.0,56.69,93.33,9.69,65.85,22.31,43.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.28,78.85,1.42,50.0,0.0,0.0,0.71,0.0,13.94,76.27,96.61,27.87,0,,0,,0,0.0,0.0,0.0,,,2.36,,7.5600000000000005,0.0,0.0,0.0,0.0,0,0
Paddy Reading,Patrick James Reading,423977,Partick Thistle,Partick Thistle,https://cdn5.wyscout.com/photos/team/public/1230_120x120.png,Championship,LB,LB,100,,0,,0,27.0,1999-05-29,250000,2027-05-31,4,381,0,0.13,0,0.33,14.41,47.54,Scotland,['Scotland'],left,179,70,False,8.5,5.43,43.48,4.25,61.11,0.24,0.41000000000000003,0.24,5.91,10.14,0.71,1,0.24,0,0.0,1.65,0.0,0,0.0,0.03,0,0.0,4,0.9400000000000001,0.0,0.0,0.0,2.83,41.67,2.83,41.67,0.0,0.0,0.24,0.9400000000000001,50.0,2.6,36.36,0.71,1.65,0.0,40.63,1.18,0.47000000000000003,52.68,78.48,22.68,76.04,11.1,89.36,45.12,82.2,4.96,66.67,19.05,40.83,0.08,0.71,0.0,0.0,0.0,0.0,0.47000000000000003,10.39,72.73,4.49,57.89,0.0,0.0,1.18,1.18,12.52,83.02,72.34,11.1,0,,0,,0,0.0,0.0,0.0,,,0.71,,4.25,0.24,0.0,0.0,0.0,0,0
J. Rowe,Jai Rowe,-168215,Raith Rovers,Raith Rovers,https://cdn5.wyscout.com/photos/team/public/2653_120x120.png,Championship,"RB, RCB",RB,75,RCB,24,,0,25.0,2001-08-08,0,2027-05-31,4,381,0,0.25,0,0.0,11.34,60.42,England,['England'],right,181,0,False,4.25,3.54,40.0,5.67,79.17,0.0,0.0,0.0,2.83,4.24,1.65,0,0.0,0,0.0,0.0,0.0,0,0.0,0.06,0,0.0,5,1.18,0.0,0.0,0.0,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,1.18,60.0,1.42,0.24,0.24,41.34,1.65,0.9400000000000001,52.2,82.81,17.72,65.33,7.5600000000000005,96.88,44.88,91.05,5.91,40.0,23.31,46.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,55.56,1.65,14.29,0.24,0.0,0.24,0.0,8.27,68.57,92.31,21.5,0,,0,,0,0.0,0.0,0.0,,,1.65,,5.67,0.0,0.0,0.0,0.0,0,0
A. Dowds,Anton Dowds,-109394,Raith Rovers,Raith Rovers,https://cdn5.wyscout.com/photos/team/public/2653_120x120.png,Championship,CF,CF,100,,0,,0,29.0,1996-11-16,300000,2027-05-31,4,381,3,2.06,0,0.23,18.19,35.06,Scotland,['Scotland'],right,186,0,False,2.13,2.13,33.33,10.63,42.22,0.0,0.0,0.0,1.42,2.12,0.9400000000000001,1,0.24,0,0.0,1.42,0.71,2,0.47000000000000003,0.49,0,0.0,8,1.8900000000000001,75.0,37.5,0.0,0.47000000000000003,0.0,0.0,0.0,0.47000000000000003,0.0,0.0,0.0,0.0,2.13,11.11,3.07,0.24,0.0,10.63,3.31,0.24,13.46,66.67,2.83,41.67,4.02,88.24,12.76,68.52,0.24,100.0,12.61,6.14,0.06,0.47000000000000003,0.0,0.0,0.0,0.0,0.47000000000000003,0.71,66.67,0.9400000000000001,50.0,0.0,0.0,0.9400000000000001,0.0,0.9400000000000001,75.0,58.82,4.02,0,,0,,0,0.0,0.0,0.0,,,0.0,,10.63,0.0,0.0,0.0,0.0,1,100
J. Rae,Josh Rae,460400,Raith Rovers,Raith Rovers,https://cdn5.wyscout.com/photos/team/public/2653_120x120.png,Championship,GK,GK,100,,0,,0,25.0,2000-10-17,200000,2027-05-31,4,381,0,0.0,0,0.0,0.24,100.0,Scotland,['Scotland'],right,188,74,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.0,0.0,0.0,26.69,0.47000000000000003,0.24,35.91,82.89,16.3,62.32,0.0,0.0,24.33,99.03,11.57,48.98,34.2,53.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,52.94,0.0,0.0,0.0,0.0,0.0,0.0,8.27,68.57,100.0,18.43,3,0.71,12,2.83,1,75.0,3.81,0.9,0.81,0.191,0.0,2.13,0.0,,,,0.0,0,0
J. Wills,Jack Wills,-257470,Queen's Park,Queen's Park,https://cdn5.wyscout.com/photos/team/public/g1937_120x120.png,Championship,GK,GK,100,,0,,0,23.0,2002-10-16,0,2028-05-31,4,380,0,0.0,0,0.0,0.0,0.0,Scotland,['Scotland'],right,191,74,False,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.75,0.0,1,0.24,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.82,0.0,0.0,27.0,74.56,15.16,57.81,0.0,0.0,13.5,100.0,13.5,49.12,37.83,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,36.36,0.0,0.0,0.0,0.0,0.0,0.0,8.76,75.68,95.83,11.37,6,1.42,25,5.92,1,76.0,8.35,1.98,2.35,0.557,0.0,1.42,0.0,,,,0.0,0,0
