Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Vilivald,Volodymyr Vilivald,-235364,Kryvbas KR,Kryvbas KR,https://cdn5.wyscout.com/photos/team/public/g9055_120x120.png,VBET League,RCB,RCB,97,,0,,0,21,2004-09-23,0,2030-06-30,4,385,0,0.49,0,0.0,10.99,57.45,Ukraine,['Ukraine'],right,190,80,False,13.09,4.91,57.14,4.91,57.14,0.0,0.0,1.6400000000000001,10.29,12.22,1.17,1,0.23,0,0.0,0.47000000000000003,0.0,0,0.0,0.11,0,0.0,4,0.9400000000000001,25.0,0.0,0.0,0.47000000000000003,50.0,0.0,0.0,0.47000000000000003,50.0,0.23,0.23,0.0,0.7000000000000001,66.67,1.17,0.0,0.0,16.13,0.0,0.7000000000000001,32.49,75.54,15.9,64.71,0.9400000000000001,75.0,26.18,81.25,5.84,52.0,22.57,46.06,0.0,0.23,0.0,0.0,0.0,0.0,0.0,5.38,65.22,1.6400000000000001,42.86,0.0,0.0,0.7000000000000001,0.47000000000000003,9.82,59.52,89.47,13.32,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,4.91,0.0,0.0,0.0,0.0,0,0
Jan Jurčec,Jan Jurčec,-125021,Kryvbas KR,Kryvbas KR,https://cdn5.wyscout.com/photos/team/public/g9055_120x120.png,VBET League,RB,RB,97,,0,,0,25,2000-11-27,0,2027-06-30,4,385,1,0.76,0,0.71,11.45,63.27,Croatia,"['Croatia', 'Poland']",right,177,66,False,9.82,6.31,66.67,1.17,40.0,0.23,0.28,0.0,5.38,6.39,0.7000000000000001,0,0.0,0,0.0,2.1,0.23,0,0.0,0.18,0,0.0,2,0.47000000000000003,50.0,50.0,0.0,1.87,37.5,0.0,0.0,1.87,37.5,0.0,1.4,83.33,3.04,69.23,0.23,0.9400000000000001,0.23,12.62,0.23,1.4,22.44,69.79,11.45,61.22,3.27,100.0,17.53,80.0,3.27,28.57,22.47,44.75,0.17,1.6400000000000001,0.23,0.0,0.0,0.0,0.7000000000000001,3.9699999999999998,58.82,2.34,40.0,0.0,0.0,0.7000000000000001,0.9400000000000001,7.48,65.63,78.26,5.38,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.17,1.4,0.0,0.0,2.34,1,100
O. Kemkin,Oleksandr Kemkin,-118971,Kryvbas KR,Kryvbas KR,https://cdn5.wyscout.com/photos/team/public/g9055_120x120.png,VBET League,GK,GK,100,,0,,0,24,2002-08-05,0,2029-06-30,4,385,0,0.0,0,0.0,1.17,100.0,Ukraine,['Ukraine'],right,187,79,False,1.17,0.7000000000000001,100.0,0.23,100.0,0.0,0.0,0.0,0.47000000000000003,0.56,0.0,1,0.23,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,9.35,0.47000000000000003,0.47000000000000003,17.06,73.97,10.29,63.64,0.0,0.0,9.82,88.1,7.25,54.84,35.95,53.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,47.37,0.47000000000000003,50.0,0.0,0.0,0.23,0.0,5.38,69.57,96.3,6.31,7,1.6400000000000001,27,6.31,0,74.07,8.45,1.98,1.45,0.339,0.0,1.17,0.23,,,,0.0,0,0
K. Stamoulis,Konstantinos Stamoulis,-86099,Veres,Veres,https://cdn5.wyscout.com/photos/team/public/g-8812_120x120.png,VBET League,RB,RB,100,,0,,0,25,2000-10-29,250000,2027-06-30,4,384,0,0.4,0,0.27,14.77,55.56,Greece,['Greece'],right,173,64,False,10.31,6.5600000000000005,64.29,3.98,52.94,0.23,0.23,0.23,5.86,5.73,0.47000000000000003,1,0.23,0,0.0,1.17,0.0,0,0.0,0.09,0,0.0,2,0.47000000000000003,0.0,0.0,0.0,1.88,25.0,0.0,0.0,1.88,25.0,0.7000000000000001,0.9400000000000001,75.0,3.05,53.85,0.9400000000000001,1.17,0.47000000000000003,13.36,1.17,0.23,25.08,63.55,11.72,50.0,3.2800000000000002,100.0,19.92,70.59,3.2800000000000002,42.86,19.78,34.09,0.06,0.23,0.0,0.0,0.0,0.0,0.23,4.22,61.11,1.4100000000000001,16.67,0.0,0.0,0.0,0.7000000000000001,7.03,50.0,73.91,5.39,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,3.98,0.0,0.0,0.0,0.0,0,0
V. Gorokh,Valentyn Gorokh,-72270,Veres,Veres,https://cdn5.wyscout.com/photos/team/public/g-8812_120x120.png,VBET League,GK,GK,100,,0,,0,25,2001-02-14,150000,2028-06-30,4,384,0,0.0,0,0.0,0.47000000000000003,100.0,Ukraine,['Ukraine'],both,188,78,False,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0,0.0,0,0.0,0.23,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.47000000000000003,100.0,0.0,0.0,0.0,25.31,0.23,0.23,41.02,82.86,21.8,72.04,0.23,0.0,23.91,97.06,16.64,64.79,34.52,50.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2800000000000002,71.43,0.23,0.0,0.0,0.0,0.23,0.0,12.19,71.15,97.33,17.58,3,0.7000000000000001,24,5.63,2,87.5,6.3,1.48,3.3,0.773,0.0,1.17,0.0,,,,0.0,0,0
S. Vovchenko,Semen Vovchenko,-43467,Veres,Veres,https://cdn5.wyscout.com/photos/team/public/g-8812_120x120.png,VBET League,"LCB, LB",LCB,81,LB,18,,0,27,1999-06-13,300000,2027-06-30,4,384,0,0.14,0,0.0,7.5,56.25,Ukraine,['Ukraine'],left,186,86,False,8.2,3.75,56.25,2.58,63.64,0.0,0.0,0.9400000000000001,6.09,5.95,0.47000000000000003,1,0.23,0,0.0,0.47000000000000003,0.0,0,0.0,0.03,0,0.0,1,0.23,100.0,0.0,0.0,0.47000000000000003,50.0,0.47000000000000003,50.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,50.0,0.7000000000000001,0.47000000000000003,0.0,21.56,0.7000000000000001,0.23,31.41,79.1,13.83,61.02,2.11,88.89,25.78,88.18,5.16,36.36,22.45,41.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,55.0,0.9400000000000001,25.0,0.0,0.0,0.0,0.23,6.8,55.17,94.74,13.36,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,2.58,0.0,0.0,0.0,0.0,0,0
I. Kharatin,Igor Kharatin,215367,Veres,Veres,https://cdn5.wyscout.com/photos/team/public/g-8812_120x120.png,VBET League,"RCB, LDMF",RCB,67,LDMF,25,,0,31,1995-02-02,300000,2027-06-30,4,384,1,0.37,0,0.19,5.86,64.0,Ukraine,"['Ukraine', 'Hungary']",right,188,76,False,10.08,2.11,55.56,2.58,72.73,0.0,0.0,1.17,8.91,8.7,0.47000000000000003,1,0.23,0,0.0,0.47000000000000003,0.23,1,0.23,0.09,1,0.23,5,1.17,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,19.45,0.47000000000000003,0.23,30.94,87.12,11.72,74.0,3.2800000000000002,100.0,28.36,90.91,2.58,45.45,19.37,35.35,0.05,0.47000000000000003,0.0,0.0,0.0,0.0,0.47000000000000003,2.11,44.44,0.23,100.0,0.0,0.0,0.47000000000000003,0.0,2.34,60.0,100.0,11.02,0,,0,,0,0.0,0.0,0.0,,,2.11,,2.58,0.0,0.0,0.0,0.0,0,0
A. Ryabov,Arthur Ryabov,-108167,LNZ Cherkasy,LNZ Cherkasy,https://cdn5.wyscout.com/photos/team/public/g-14332_120x120.png,VBET League,"DMF, RCMF",DMF,69,RCMF,22,,0,26,2000-08-20,300000,2028-06-30,4,383,0,0.12,1,0.25,17.86,59.21,Ukraine,['Ukraine'],right,172,0,False,8.69,7.52,65.63,5.4,43.48,0.47000000000000003,0.74,0.0,3.29,5.19,1.6400000000000001,0,0.0,0,0.0,0.23,0.0,0,0.0,0.03,0,0.0,5,1.17,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.23,0.0,0.23,0.7000000000000001,33.33,3.99,58.82,0.47000000000000003,0.47000000000000003,0.23,15.74,0.0,2.11,29.14,84.68,9.87,76.19,4.46,100.0,25.85,89.09,3.05,53.85,17.62,38.27,0.06,0.7000000000000001,0.0,0.0,0.0,0.0,0.7000000000000001,2.8200000000000003,83.33,1.17,60.0,0.0,0.0,0.9400000000000001,0.23,3.99,76.47,83.78,8.69,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,5.4,0.0,0.0,0.0,0.0,0,0
H. Pasich,Hennadii Pasich,335336,LNZ Cherkasy,LNZ Cherkasy,https://cdn5.wyscout.com/photos/team/public/g-14332_120x120.png,VBET League,"RB, RWB",RB,73,RWB,26,,0,33,1993-07-13,500000,2027-06-30,4,383,0,0.33,0,0.51,10.81,50.0,Ukraine,['Ukraine'],right,176,71,False,6.34,5.4,47.83,2.11,44.44,0.23,0.37,0.0,3.52,5.5600000000000005,0.9400000000000001,2,0.47000000000000003,0,0.0,2.8200000000000003,0.0,0,0.0,0.08,0,0.0,6,1.4100000000000001,33.33,0.0,0.0,3.52,53.33,0.0,0.0,3.52,53.33,0.47000000000000003,0.47000000000000003,100.0,2.35,60.0,1.6400000000000001,1.4100000000000001,0.23,35.72,2.8200000000000003,0.47000000000000003,46.29,73.6,22.09,68.09,4.93,95.24,34.54,81.63,8.22,48.57,18.66,35.66,0.12,1.6400000000000001,0.0,0.23,0.0,0.0,1.17,8.69,64.86,4.93,57.14,0.0,0.0,0.9400000000000001,2.11,14.33,70.49,76.0,11.75,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,2.11,0.0,0.0,0.0,0.0,0,0
N. Muravskyi,Nazariy Muravskyi,506259,LNZ Cherkasy,LNZ Cherkasy,https://cdn5.wyscout.com/photos/team/public/g-14332_120x120.png,VBET League,"RCB, CB, LCB",RCB,48,CB,26,LCB,25,26,2000-02-03,700000,2027-12-31,4,383,0,0.0,0,0.14,9.87,57.14,Ukraine,['Ukraine'],right,190,84,False,4.23,3.29,57.14,3.76,81.25,0.0,0.0,0.0,2.35,3.7,1.4100000000000001,2,0.47000000000000003,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.7000000000000001,0.0,0.23,29.84,0.47000000000000003,0.23,43.94,90.37,10.57,75.56,3.52,93.33,37.83,96.27,6.11,53.85,22.96,39.71,0.03,0.23,0.0,0.0,0.0,0.0,0.23,5.17,50.0,0.9400000000000001,25.0,0.0,0.0,0.47000000000000003,0.0,6.11,76.92,96.4,26.08,0,,0,,0,0.0,0.0,0.0,,,2.58,,3.76,0.0,0.0,0.0,0.0,0,0
Carlos Rojas,Carlos Humberto Rojas Mosquero,-155872,Epitsentr Kamyanets-Podilskyi,Epitsentr Kamyanets-Podilskyi,https://cdn5.wyscout.com/photos/team/public/g-12767_120x120.png,VBET League,"RW, RWF, RCMF3",RW,55,RWF,23,RCMF3,19,24,2002-04-18,100000,2029-06-30,4,382,1,1.22,0,0.9400000000000001,18.61,53.16,Spain,"['Spain', 'Colombia']",right,176,69,False,2.59,1.65,71.43,1.88,37.5,0.0,0.0,0.0,1.4100000000000001,2.05,0.9400000000000001,0,0.0,0,0.0,7.3,0.24,1,0.24,0.29,0,0.0,13,3.06,46.15,7.692,0.0,6.36,48.15,0.71,33.33,5.65,50.0,1.18,3.77,75.0,14.14,55.0,3.5300000000000002,3.5300000000000002,0.0,22.85,2.83,4.01,24.27,73.79,5.18,59.09,2.83,100.0,17.2,83.56,1.88,62.5,22.47,32.58,0.22,1.18,0.47000000000000003,0.0,0.0,0.0,1.4100000000000001,1.4100000000000001,66.67,7.07,56.67,0.0,0.0,1.4100000000000001,2.59,5.42,91.3,73.08,12.25,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.88,0.0,0.0,0.0,0.71,0,0
N. Fedotov,Nikita Fedotov,-77914,Epitsentr Kamyanets-Podilskyi,Epitsentr Kamyanets-Podilskyi,https://cdn5.wyscout.com/photos/team/public/g-12767_120x120.png,VBET League,GK,GK,100,,0,,0,26,2000-06-27,75000,2028-06-30,4,382,0,0.0,0,0.0,0.24,100.0,Ukraine,['Ukraine'],,196,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.0,0.0,0.0,15.79,0.24,0.24,27.33,79.31,13.43,68.42,0.0,0.0,18.14,97.4,9.19,43.59,33.44,52.37,0.0,0.0,0.0,0.24,0.0,0.0,0.0,2.83,33.33,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,6.83,58.62,91.07,13.19,2,0.47000000000000003,16,3.77,3,87.5,2.85,0.67,0.85,0.2,0.0,1.18,0.0,,,,0.0,0,0
O. Klymets,Oleksandr  Klymets,-39775,Epitsentr Kamyanets-Podilskyi,Epitsentr Kamyanets-Podilskyi,https://cdn5.wyscout.com/photos/team/public/g-12767_120x120.png,VBET League,LB,LB,100,,0,,0,26,2000-02-14,125000,2027-06-30,4,382,0,0.22,0,0.61,11.31,50.0,Ukraine,['Ukraine'],left,174,0,False,7.54,6.36,48.15,1.88,50.0,0.0,0.0,0.0,4.48,6.48,0.47000000000000003,0,0.0,0,0.0,0.9400000000000001,0.0,0,0.0,0.05,0,0.0,2,0.47000000000000003,50.0,0.0,0.0,0.9400000000000001,25.0,0.71,33.33,0.24,0.0,0.0,0.47000000000000003,100.0,1.88,50.0,1.4100000000000001,0.9400000000000001,0.0,28.98,1.4100000000000001,0.47000000000000003,40.76,79.77,17.91,69.74,5.89,100.0,35.34,83.33,4.48,63.16,17.21,35.71,0.14,0.9400000000000001,0.0,0.0,0.0,0.0,0.71,6.13,80.77,3.06,61.54,0.0,0.0,1.4100000000000001,0.24,8.25,68.57,79.07,10.13,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,1.88,0.0,0.0,0.0,0.24,0,0
Nil Coch,Nil Coch Montaña,504486,Epitsentr Kamyanets-Podilskyi,Epitsentr Kamyanets-Podilskyi,https://cdn5.wyscout.com/photos/team/public/g-12767_120x120.png,VBET League,LCB,LCB,100,,0,,0,28,1998-04-24,0,,4,382,0,0.01,0,0.0,6.6,50.0,Spain,['Spain'],left,0,0,False,6.13,2.12,44.44,2.36,40.0,0.0,0.0,0.47000000000000003,5.18,7.5,0.9400000000000001,1,0.24,0,0.0,0.9400000000000001,0.0,0,0.0,0.0,0,0.0,1,0.24,100.0,0.0,0.0,0.47000000000000003,50.0,0.0,0.0,0.47000000000000003,50.0,0.0,0.47000000000000003,100.0,1.18,60.0,0.47000000000000003,0.47000000000000003,0.0,37.46,0.71,0.47000000000000003,51.6,88.58,19.55,85.54,2.83,100.0,46.18,91.84,4.95,61.9,20.18,42.54,0.0,0.0,0.0,0.0,0.0,0.0,0.24,5.65,66.67,0.71,0.0,0.0,0.0,0.24,0.24,5.65,62.5,91.0,23.56,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,2.36,0.0,0.0,0.0,0.0,0,0
D. Riznyk,Dmytro Riznyk,-61362,Shakhtar Donetsk,Shakhtar Donetsk,https://cdn5.wyscout.com/photos/team/public/1037_120x120.png,VBET League,GK,GK,100,,0,,0,27,1999-01-30,7000000,2031-07-31,4,382,0,0.0,0,0.0,0.71,33.33,Ukraine,['Ukraine'],right,191,85,False,0.9400000000000001,0.24,100.0,0.0,0.0,0.0,0.0,0.0,0.71,1.29,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.47000000000000003,0.0,0.0,0.0,0.0,23.56,0.9400000000000001,0.0,32.51,84.78,17.2,73.97,0.24,100.0,24.27,98.06,8.25,45.71,28.03,46.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,25.0,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,5.18,50.0,98.36,14.37,3,0.71,10,2.36,2,70.0,3.88,0.91,0.88,0.20700000000000002,0.0,1.4100000000000001,0.0,,,,0.0,0,0
