Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Walker,Ellie Walker,-228431,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,"RCB3, RB",RCB3,73,RB,20,,0,27.0,1999-06-12,0,,23,2317,1,3.6,0,0.17,7.3,64.89,United States,['United States'],,180,0,False,10.57,3.19,68.29,2.87,78.38,0.08,0.11,0.8200000000000001,8.31,12.14,0.39,3,0.12,0,0.0,0.39,0.04,1,0.04,0.14,0,0.0,16,0.62,31.25,6.25,0.0,0.66,11.76,0.0,0.0,0.66,11.76,0.19,0.27,42.86,0.74,26.32,0.93,0.39,0.0,21.32,0.97,0.12,34.49,71.73,19.19,63.56,2.95,90.79,28.51,80.11,5.36,34.06,19.85,33.76,0.01,0.08,0.04,0.0,0.0,0.0,0.16,5.75,59.46,1.44,13.51,0.04,100.0,0.12,0.19,9.75,57.37,83.88,9.4,0,,0,,0,0.0,0.0,0.0,,,1.05,,2.87,0.12,0.0,0.0,0.0,0,0
D. Turner,Danielle Turner,245180,Melbourne City,Melbourne City,https://cdn5.wyscout.com/photos/team/public/g33657_120x120.png,A-League Women,LB,LB,86,,0,,0,34.0,1991-09-10,0,,23,2273,1,0.5,1,0.6900000000000001,6.37,61.49,England,['England'],left,0,0,False,7.64,3.25,68.29,1.7000000000000002,67.44,0.0,0.0,0.2,5.42,8.06,0.28,0,0.0,0,0.0,0.4,0.04,1,0.04,0.02,1,0.04,5,0.2,20.0,20.0,0.04,0.9500000000000001,29.17,0.87,31.82,0.08,0.0,0.16,0.16,50.0,1.19,36.67,0.32,0.4,0.04,29.26,0.8300000000000001,0.28,40.35,75.47,20.31,65.3,7.09,92.74,33.81,82.44,5.62,41.55,18.55,35.85,0.03,0.2,0.0,0.04,0.0,0.0,0.16,6.41,58.02,1.82,28.26,0.04,100.0,0.36,0.2,8.59,64.98,80.49,8.12,0,,0,,0,0.0,0.0,0.0,,,1.11,,1.7000000000000002,0.04,0.0,0.0,0.91,0,0
T. Otto,Taylor Otto,467995,Melbourne City,Melbourne City,https://cdn5.wyscout.com/photos/team/public/g33657_120x120.png,A-League Women,LCB,LCB,86,,0,,0,28.0,1997-10-23,0,2027-01-01,23,2273,0,1.9100000000000001,0,0.41000000000000003,7.21,62.64,United States,['United States'],,178,0,False,7.33,3.44,72.41,2.1,54.72,0.0,0.0,0.32,4.83,7.18,0.51,3,0.12,0,0.0,0.4,0.0,0,0.0,0.08,0,0.0,10,0.4,20.0,0.0,0.0,0.24,66.67,0.0,0.0,0.24,66.67,0.0,0.28,57.14,1.27,56.25,1.03,0.44,0.0,35.48,0.59,0.4,48.27,90.4,14.25,78.89,3.96,94.0,45.42,93.2,2.61,43.94,18.08,33.27,0.02,0.12,0.04,0.0,0.0,0.0,0.04,2.61,68.18,0.4,40.0,0.0,0.0,0.2,0.16,5.07,53.91,98.19,24.11,0,,0,,0,0.0,0.0,0.0,,,2.38,,2.1,0.0,0.0,0.0,0.0,0,0
K. Morrison,Kayla Morrison,-188702,Melbourne Victory,Melbourne Victory,https://cdn5.wyscout.com/photos/team/public/g12645_120x120.png,A-League Women,LCB,LCB,99,,0,,0,29.0,1996-08-05,0,,23,2269,0,3.3,2,1.8,7.3,70.11,United States,['United States'],,0,0,False,9.2,2.5,79.37,3.5300000000000002,69.66,0.0,0.0,0.71,7.22,10.32,0.2,4,0.16,0,0.0,0.52,0.0,0,0.0,0.13,0,0.0,20,0.79,25.0,0.0,0.08,0.48,33.33,0.32,37.5,0.08,50.0,0.24,0.2,80.0,0.9500000000000001,45.83,1.47,0.63,0.04,30.38,0.52,0.2,52.36,82.12,24.04,70.96,3.85,97.94,43.79,90.04,8.13,41.95,21.49,39.78,0.07,0.28,0.04,0.0,0.0,0.0,0.2,6.43,52.47,1.31,30.3,0.0,0.0,0.4,0.24,10.15,59.77,94.31,20.9,0,,0,,0,0.0,0.0,0.0,,,2.86,,3.5300000000000002,0.04,0.0,0.0,0.0,0,0
C. Newbon,Courtney Newbon,468604,Melbourne Victory,Melbourne Victory,https://cdn5.wyscout.com/photos/team/public/g12645_120x120.png,A-League Women,GK,GK,100,,0,,0,25.0,2000-09-14,0,,23,2269,0,0.0,1,0.0,0.08,100.0,Australia,"['Australia', 'Belgium']",,0,0,False,0.24,0.0,0.0,0.04,100.0,0.0,0.0,0.0,0.24,0.34,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,24.2,0.4,0.08,35.22,86.6,11.94,67.11,0.12,66.67,27.37,97.68,7.77,48.47,27.59,44.91,0.0,0.0,0.0,0.04,0.0,0.0,0.04,1.51,23.68,0.36,0.0,0.04,100.0,0.0,0.0,5.75,47.59,96.83,21.3,28,1.11,103,4.09,7,72.82,27.17,1.08,-0.8300000000000001,-0.033,0.08,1.51,0.04,,,,0.0,0,0
M. Barry,Mackenzie Dale Barry,-106872,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,"CB, RCB",CB,77,RCB,21,,0,25.0,2001-04-11,0,2027-01-01,23,2265,0,0.01,0,0.2,9.02,71.37,New Zealand,['New Zealand'],,171,0,False,11.21,5.13,78.29,1.9100000000000001,58.33,0.08,0.12,0.8300000000000001,7.11,10.37,0.64,2,0.08,0,0.0,0.32,0.0,0,0.0,0.0,0,0.0,1,0.04,100.0,0.0,0.0,0.2,80.0,0.0,0.0,0.2,80.0,0.0,0.2,60.0,1.51,60.53,0.08,0.28,0.12,20.03,0.12,1.03,36.6,77.2,14.11,59.72,2.62,95.45,29.21,87.21,7.19,36.46,20.37,30.59,0.01,0.08,0.0,0.0,0.0,0.0,0.08,3.22,48.15,0.64,50.0,0.0,0.0,0.16,0.16,6.72,37.87,88.5,16.93,0,,0,,0,0.0,0.0,0.0,,,1.51,,1.9100000000000001,0.0,0.0,0.0,0.0,0,0
A. Woods,Alicia Woods,-409929,Brisbane Roar,Brisbane Roar,https://cdn5.wyscout.com/photos/team/public/g12647_120x120.png,A-League Women,"LDMF, LCMF, DMF",LDMF,36,LCMF,27,DMF,17,22.0,2004-01-18,0,,23,2255,1,1.11,4,2.61,14.57,55.07,Australia,['Australia'],unknown,0,0,False,10.66,7.06,66.67,2.04,43.14,0.32,0.45,0.32,5.63,8.01,1.08,4,0.16,0,0.0,1.28,0.04,1,0.04,0.04,0,0.0,18,0.72,27.78,5.556,0.16,1.08,29.63,0.72,33.33,0.32,25.0,0.2,1.28,59.38,4.43,44.14,0.92,0.48,0.12,20.63,0.4,0.76,37.6,71.34,13.81,54.05,6.86,91.28,31.17,77.34,5.35,44.78,17.02,30.84,0.1,0.72,0.0,0.0,0.0,0.0,0.4,5.75,54.17,1.6800000000000002,30.95,0.04,0.0,0.44,0.32,6.11,49.02,78.32,11.41,0,,0,,0,0.0,0.0,0.0,,,0.4,,2.04,0.56,0.0,0.0,2.43,0,0
V. Esson,Victoria Lucy Esson,135189,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,GK,GK,100,,0,,0,35.0,1991-03-06,0,,22,2216,0,0.0,0,0.0,0.49,75.0,New Zealand,['New Zealand'],,173,0,False,1.1,0.2,80.0,0.08,50.0,0.04,0.06,0.0,0.89,1.33,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,80.0,0.0,0.0,0.04,9.02,0.24,0.2,18.36,78.1,9.58,68.22,0.24,83.33,10.23,96.03,8.08,55.28,27.37,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,43.95,88.89,7.68,21,0.85,69,2.8,8,69.57,20.71,0.84,-0.29,-0.012,0.2,2.36,0.08,,,,0.0,0,0
M. Van Der Meer,Marisa Isabel Van Der Meer,-106876,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,"LCB3, LCB",LCB3,75,LCB,21,,0,24.0,2002-03-27,0,,23,2209,3,2.45,0,0.79,9.25,60.79,New Zealand,['New Zealand'],,167,0,False,8.31,3.79,60.22,3.5,67.44,0.0,0.0,0.16,6.03,8.77,0.41000000000000003,2,0.08,0,0.0,0.49,0.12,3,0.12,0.1,2,0.08,12,0.49,41.67,25.0,0.0,0.2,60.0,0.16,75.0,0.04,0.0,0.0,0.33,50.0,1.3,40.63,0.81,0.41000000000000003,0.08,23.3,0.45,0.24,41.15,74.36,21.15,63.97,2.32,87.72,35.45,80.57,5.5,34.81,18.56,29.56,0.03,0.12,0.0,0.0,0.0,0.0,0.2,4.07,62.0,0.5700000000000001,21.43,0.0,0.0,0.08,0.12,9.94,42.21,86.72,14.42,0,,0,,0,0.0,0.0,0.0,,,0.77,,3.5,0.0,0.0,0.0,0.0,0,0
G. Jale,Grace Joana Ella Jale,463809,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,LCMF,LCMF,80,,0,,0,27.0,1999-04-10,0,,22,2201,3,4.79,1,1.7000000000000002,13.78,64.69,New Zealand,"['New Zealand', 'Fiji']",right,179,62,False,8.79,5.48,70.9,4.74,76.72,0.16,0.24,0.12,4.74,6.84,0.8200000000000001,1,0.04,0,0.0,1.02,0.12,3,0.12,0.2,2,0.08,39,1.5899999999999999,28.21,7.692,0.04,0.65,37.5,0.25,33.33,0.29,42.86,0.16,0.65,50.0,2.74,35.82,1.55,0.65,0.08,22.69,0.49,0.53,39.05,71.73,15.91,55.01,7.48,94.54,30.3,81.11,8.1,39.39,19.42,35.65,0.07,0.45,0.04,0.0,0.04,0.0,0.49,7.85,50.0,1.92,42.55,0.08,50.0,0.45,0.29,7.61,57.53,81.95,10.88,0,,0,,0,0.0,0.0,0.0,,,0.33,,4.74,0.9,0.29,28.57,0.41000000000000003,0,0
