Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Olowu,Joseph Olowu,453131,Leyton Orient,Leyton Orient,https://cdn5.wyscout.com/photos/team/public/1163_120x120.png,League One,"RCB, CB",RCB,51,CB,48,,0,26.0,1999-11-27,225000,2028-06-30,4,412,1,0.37,0,0.0,11.14,54.9,Nigeria,"['Nigeria', 'England']",right,184,75,False,9.83,3.06,57.14,6.99,56.25,0.0,0.0,0.87,8.08,13.7,0.44,0,0.0,0,0.0,0.22,0.22,1,0.22,0.08,0,0.0,1,0.22,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,50.0,0.44,0.0,0.22,18.79,0.22,0.22,30.58,76.43,13.76,60.32,1.31,83.33,25.56,84.62,5.02,34.78,20.68,41.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,33.33,0.0,0.0,0.0,0.0,0.0,0.0,4.59,38.1,89.83,12.89,0,,0,,0,0.0,0.0,0.0,,,1.09,,6.99,0.0,0.0,0.0,0.0,0,0
J. Keeley,Josh Keeley,-157041,Luton Town,Luton Town,https://cdn5.wyscout.com/photos/team/public/789_120x120.png,League One,GK,GK,100,,0,,0,23.0,2003-05-17,200000,2027-06-30,4,406,0,0.0,0,0.0,0.0,0.0,Republic of Ireland,['Republic of Ireland'],right,191,75,False,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.03,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,22.39,0.0,0.0,34.8,78.34,19.06,65.12,0.22,0.0,24.16,99.08,10.42,31.91,29.18,49.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,12.5,0.44,0.0,0.0,0.0,0.0,0.0,6.43,55.17,96.88,14.19,10,2.22,16,3.55,1,37.5,6.12,1.3599999999999999,-3.88,-0.86,0.0,1.55,0.0,,,,0.0,0,0
L. Walsh,Liam Walsh,431797,Luton Town,Luton Town,https://cdn5.wyscout.com/photos/team/public/789_120x120.png,League One,"DMF, RCMF, LDMF",DMF,42,RCMF,31,LDMF,26,28.0,1997-09-15,300000,,4,406,0,0.0,0,0.51,10.2,52.17,England,['England'],right,168,65,False,4.21,3.77,47.06,2.22,60.0,0.0,0.0,0.44,2.44,3.79,0.67,2,0.44,0,0.0,0.44,0.0,0,0.0,0.0,0,0.0,1,0.22,0.0,0.0,0.0,0.67,33.33,0.44,50.0,0.22,0.0,0.22,0.44,50.0,3.77,47.06,0.22,0.67,0.0,37.02,0.22,1.77,50.76,89.96,12.64,73.68,8.87,92.5,45.67,91.75,4.43,80.0,19.64,48.21,0.11,0.89,0.0,0.0,0.0,0.0,0.44,7.98,83.33,2.0,77.78,0.22,0.0,1.33,0.22,8.42,73.68,95.15,22.83,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.22,1.11,0.0,0.0,2.0,0,0
G. Johnston,George Johnston,454410,Luton Town,Luton Town,https://cdn5.wyscout.com/photos/team/public/789_120x120.png,League One,"LCB, LCB3",LCB,76,LCB3,23,,0,28.0,1998-09-01,300000,,4,406,0,0.0,0,0.14,13.08,54.24,England,"['England', 'Scotland']",left,181,72,False,8.2,4.21,52.63,7.09,59.38,0.22,0.34,1.11,5.76,8.97,0.67,1,0.22,0,0.0,0.22,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.67,33.33,0.67,33.33,0.0,0.0,0.0,0.22,0.0,0.67,0.0,0.67,0.22,0.0,40.12,0.0,0.67,52.76,89.5,17.29,78.21,2.0,100.0,48.1,94.01,4.21,42.11,21.15,46.76,0.03,0.22,0.0,0.0,0.0,0.0,0.22,3.55,56.25,1.55,57.14,0.0,0.0,0.44,0.22,4.66,80.95,93.39,26.82,0,,0,,0,0.0,0.0,0.0,,,1.33,,7.09,0.0,0.0,0.0,0.0,0,0
C. Taylor,Connor Taylor,-141941,Wycombe Wanderers,Wycombe Wanderers,https://cdn5.wyscout.com/photos/team/public/1106_120x120.png,League One,"RCB, LCB",RCB,80,LCB,19,,0,24.0,2001-10-25,500000,,4,403,1,0.75,0,0.17,11.61,69.23,England,['England'],right,183,77,False,8.04,2.68,58.33,6.03,77.78,0.0,0.0,0.22,6.48,8.29,0.22,0,0.0,0,0.0,0.22,0.22,1,0.22,0.17,1,0.22,3,0.67,33.33,33.333,0.0,0.45,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.89,50.0,1.56,0.22,0.0,23.0,0.22,0.67,42.21,87.3,16.3,79.45,1.56,100.0,37.74,91.12,4.02,61.11,20.04,37.22,0.04,0.22,0.0,0.0,0.0,0.0,0.22,3.35,66.67,0.45,50.0,0.0,0.0,0.45,0.22,6.48,68.97,93.1,19.43,0,,0,,0,0.0,0.0,0.0,,,1.12,,6.03,0.0,0.0,0.0,0.0,0,0
C. Hazard,Conor Hazard,375051,Wycombe Wanderers,Wycombe Wanderers,https://cdn5.wyscout.com/photos/team/public/1106_120x120.png,League One,GK,GK,100,,0,,0,28.0,1998-03-05,1000000,,4,403,0,0.0,0,0.0,0.0,0.0,Northern Ireland,['Northern Ireland'],left,198,86,False,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.5700000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96,0.0,0.0,28.59,78.91,16.3,65.75,0.0,0.0,16.53,98.65,12.06,51.85,34.88,54.08,0.0,0.0,0.0,0.22,0.0,0.0,0.0,4.69,52.38,0.45,50.0,0.22,0.0,0.45,0.0,8.26,64.86,96.0,11.17,9,2.01,26,5.8100000000000005,0,65.38,9.54,2.13,0.54,0.121,0.0,2.01,0.0,,,,0.0,0,0
E. Henderson,Ewan Henderson,460413,Wycombe Wanderers,Wycombe Wanderers,https://cdn5.wyscout.com/photos/team/public/1106_120x120.png,League One,"AMF, RCMF3, RDMF",AMF,37,RCMF3,36,RDMF,25,26.0,2000-03-27,450000,,4,403,0,0.38,1,1.3900000000000001,12.06,48.15,Scotland,['Scotland'],right,186,76,False,4.91,4.02,38.89,3.5700000000000003,43.75,0.0,0.0,0.0,3.35,4.29,1.34,3,0.67,0,0.0,2.23,0.0,0,0.0,0.08,0,0.0,5,1.12,40.0,0.0,0.22,1.34,66.67,0.67,66.67,0.67,66.67,0.45,0.89,75.0,4.02,61.11,0.89,1.56,0.45,28.14,0.22,1.56,40.2,75.56,13.18,52.54,6.7,90.0,34.17,79.74,4.69,47.62,17.27,37.87,0.31,1.56,0.0,0.0,0.22,100.0,0.67,6.25,53.57,2.46,54.55,0.22,100.0,0.89,0.89,6.03,70.37,85.96,12.73,0,,0,,0,0.0,0.0,0.0,,,1.12,,3.5700000000000003,0.67,0.22,0.0,1.79,0,0
L. Ness,Lucas Ness,-204670,Notts County,Notts County,https://cdn5.wyscout.com/photos/team/public/1176_120x120.png,League One,CB,CB,100,,0,,0,24.0,2002-02-07,0,2027-06-30,4,403,0,0.36,0,0.01,9.6,55.81,England,['England'],right,190,79,False,10.05,3.13,42.86,4.47,65.0,0.0,0.0,2.23,8.71,11.36,1.34,0,0.0,0,0.0,0.22,0.0,0,0.0,0.08,0,0.0,4,0.89,0.0,0.0,0.0,0.45,50.0,0.0,0.0,0.45,50.0,0.0,0.0,0.0,0.45,50.0,2.01,0.22,0.22,26.58,0.0,0.67,43.77,86.22,16.97,72.37,2.68,100.0,36.4,89.57,6.92,70.97,22.14,39.94,0.0,0.22,0.0,0.0,0.0,0.0,0.22,6.03,70.37,1.12,80.0,0.0,0.0,1.56,0.22,9.16,70.73,94.62,20.77,0,,0,,0,0.0,0.0,0.0,,,1.56,,4.47,0.0,0.0,0.0,0.0,0,0
J. Belshaw,James Belshaw,91477,Notts County,Notts County,https://cdn5.wyscout.com/photos/team/public/1176_120x120.png,League One,GK,GK,100,,0,,0,35.0,1990-10-12,100000,2027-06-30,4,403,0,0.0,0,0.0,0.45,100.0,England,['England'],right,191,84,False,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.29,0.0,0,0.0,0,0.0,0.22,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.45,100.0,0.0,0.0,0.0,18.54,0.45,0.22,27.47,71.54,17.42,56.41,0.0,0.0,13.4,98.33,14.07,46.03,38.79,54.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,41.67,0.67,0.0,0.22,0.0,0.22,0.0,9.83,65.91,97.73,9.83,5,1.12,9,2.01,0,44.44,4.01,0.89,-0.99,-0.221,0.0,2.46,0.0,,,,0.0,0,0
J. Gibbons,James Gibbons,450669,Notts County,Notts County,https://cdn5.wyscout.com/photos/team/public/1176_120x120.png,League One,RCB3,RCB3,98,,0,,0,28.0,1998-03-16,150000,2028-06-30,4,403,0,0.55,0,0.0,7.15,46.88,England,['England'],right,175,62,False,8.04,3.13,50.0,2.23,60.0,0.45,0.58,0.67,6.03,7.86,0.45,1,0.22,0,0.0,0.45,0.0,0,0.0,0.12,0,0.0,3,0.67,0.0,0.0,0.0,1.56,28.57,0.0,0.0,1.56,28.57,0.22,0.22,0.0,0.89,25.0,2.01,0.67,0.0,26.13,0.0,0.45,39.31,80.68,20.55,77.17,4.91,90.91,35.06,86.62,2.9,38.46,20.04,39.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5700000000000003,56.25,1.12,40.0,0.0,0.0,0.22,0.45,6.25,60.71,89.58,10.72,0,,0,,0,0.0,0.0,0.0,,,2.68,,2.23,0.0,0.0,0.0,0.0,0,0
