Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Kamberi,Lindrit Kamberi,463037,Zürich,Zürich,https://cdn5.wyscout.com/photos/team/public/581_120x120.png,Super League,RCB,RCB,91,,0,,0,26,1999-10-07,1200000,2028-06-30,6,588,2,1.55,0,0.0,8.88,67.24,Switzerland,"['Switzerland', 'Kosovo']",right,182,83,False,9.64,4.44,62.07,3.52,69.57,0.0,0.0,0.77,6.89,8.54,0.61,1,0.15,0,0.0,0.92,0.31,2,0.31,0.24,1,0.15,8,1.22,62.5,25.0,0.0,0.15,100.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,0.15,100.0,1.22,0.0,0.15,23.88,0.0,0.77,38.42,85.66,11.63,67.11,1.22,100.0,33.98,90.54,4.29,46.43,22.62,36.8,0.0,0.0,0.0,0.15,0.0,0.0,0.0,4.13,59.26,0.31,50.0,0.0,0.0,0.0,0.15,6.43,64.29,93.71,21.89,0,,0,,0,0.0,0.0,0.0,,,0.92,,3.52,0.15,0.15,100.0,0.0,0,0
L. Bertone,Leonardo Bertone,245612,Luzern,Luzern,https://cdn5.wyscout.com/photos/team/public/584_120x120.png,Super League,"LCMF, LDMF",LCMF,69,LDMF,21,,0,32,1994-03-14,300000,2028-06-30,6,587,0,0.36,0,0.0,7.36,54.17,Switzerland,"['Switzerland', 'Italy']",right,179,73,False,3.5300000000000002,3.37,45.45,1.53,70.0,0.0,0.0,0.31,1.99,2.5300000000000002,1.07,2,0.31,0,0.0,0.92,0.0,0,0.0,0.05,0,0.0,8,1.23,37.5,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.46,100.0,1.69,63.64,0.46,0.46,0.0,19.78,0.46,0.46,35.11,76.86,17.17,64.29,2.91,94.74,28.06,83.06,6.9,53.33,20.2,38.84,0.0,0.15,0.0,0.0,0.15,0.0,0.0,8.74,61.4,2.45,50.0,0.31,0.0,1.07,0.0,8.89,68.97,93.65,9.66,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.53,0.15,0.15,0.0,0.0,0,0
M. Mastil,Melvin Mastil,-274272,Lausanne Sport,Lausanne Sport,https://cdn5.wyscout.com/photos/team/public/1146_120x120.png,Super League,GK,GK,100,,0,,0,26,2000-02-19,100000,2029-06-30,6,586,0,0.0,0,0.0,0.0,0.0,France,"['France', 'Algeria']",right,194,0,False,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.88,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.67,0.31,0.0,25.34,75.76,16.59,65.74,0.0,0.0,12.13,96.2,13.21,56.98,38.58,51.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68,54.05,0.31,0.0,0.0,0.0,0.15,0.0,9.22,70.0,96.15,7.99,7,1.08,29,4.45,2,75.86,8.07,1.24,1.07,0.164,0.0,1.08,0.0,,,,0.0,0,0
L. Berisha,Liridon Berisha,-115000,Vaduz,Vaduz,https://cdn5.wyscout.com/photos/team/public/1142_120x120.png,Super League,LCB,LCB,98,,0,,0,28,1997-09-13,250000,2028-06-30,6,586,0,0.0,0,0.02,13.21,59.3,Switzerland,"['Switzerland', 'Kosovo']",left,184,83,False,12.13,4.45,68.97,5.53,55.56,0.15,0.23,1.08,8.91,13.08,0.77,1,0.15,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.31,50.0,0.31,50.0,0.0,0.0,0.0,0.31,50.0,0.92,66.67,0.15,0.46,0.15,30.41,0.46,1.54,48.07,81.79,24.42,69.81,2.76,94.44,38.86,88.54,8.91,53.45,22.03,42.62,0.0,0.15,0.0,0.0,0.0,0.0,0.0,7.99,53.85,1.08,42.86,0.15,100.0,0.15,0.0,11.06,65.28,95.24,16.13,0,,0,,0,0.0,0.0,0.0,,,2.0,,5.53,0.0,0.0,0.0,0.0,0,0
B. Soppy,Brandon Soppy,-105191,Lausanne Sport,Lausanne Sport,https://cdn5.wyscout.com/photos/team/public/1146_120x120.png,Super League,"RB, RAMF",RB,88,RAMF,11,,0,24,2002-02-21,2000000,2028-06-30,6,586,0,0.09,0,0.96,16.28,55.66,France,"['France', ""Côte d'Ivoire""]",right,181,80,False,10.44,8.45,60.0,1.23,50.0,0.0,0.0,0.46,5.38,7.72,1.23,1,0.15,0,0.0,0.92,0.0,0,0.0,0.01,0,0.0,1,0.15,0.0,0.0,0.0,1.38,22.22,0.0,0.0,1.38,22.22,0.0,0.92,66.67,5.22,58.82,0.92,1.23,0.15,29.03,1.38,1.8399999999999999,37.01,75.52,17.97,64.96,4.3,92.86,31.64,82.04,3.99,42.31,16.52,32.0,0.15,0.46,0.15,0.0,0.0,0.0,0.46,5.53,69.44,1.69,45.45,0.31,0.0,0.46,0.46,6.91,64.44,80.95,6.45,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.23,0.0,0.0,0.0,0.0,0,0
K. Sow,Abdou Karim Sow,-207255,Lausanne Sport,Lausanne Sport,https://cdn5.wyscout.com/photos/team/public/1146_120x120.png,Super League,"LCB, RCB",LCB,67,RCB,32,,0,23,2003-05-22,250000,2028-06-30,6,586,0,0.4,0,0.0,14.13,58.7,Switzerland,"['Switzerland', 'Senegal']",right,198,80,False,8.75,4.61,46.67,5.84,68.42,0.0,0.0,0.92,6.6,9.49,1.8399999999999999,3,0.46,0,0.0,0.31,0.0,0,0.0,0.06,0,0.0,2,0.31,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,2.15,71.43,0.61,0.15,0.0,35.94,0.15,1.69,51.14,84.38,17.35,71.68,2.15,85.71,44.08,90.59,7.06,45.65,23.32,43.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,5.38,48.57,0.46,33.33,0.0,0.0,0.15,0.0,8.45,58.18,93.26,27.34,0,,0,,0,0.0,0.0,0.0,,,1.23,,5.84,0.0,0.0,0.0,0.0,0,0
M. Poaty,Morgan Poaty,371707,Lausanne Sport,Lausanne Sport,https://cdn5.wyscout.com/photos/team/public/1146_120x120.png,Super League,"LB, LCB",LB,87,LCB,12,,0,29,1997-07-15,500000,2028-06-30,6,575,0,0.11,0,0.12,10.96,67.14,France,"['France', 'Congo']",left,175,75,False,9.23,5.95,68.42,1.88,66.67,0.0,0.0,0.16,5.17,7.39,0.78,1,0.16,0,0.0,0.78,0.0,0,0.0,0.02,0,0.0,2,0.31,0.0,0.0,0.0,0.78,80.0,0.78,80.0,0.0,0.0,0.16,0.16,100.0,1.72,63.64,0.47000000000000003,1.72,0.16,26.77,1.25,1.25,37.72,73.44,17.22,54.55,7.67,100.0,30.99,81.31,6.26,35.0,19.39,43.05,0.02,0.31,0.16,0.0,0.0,0.0,0.16,5.48,54.29,1.57,70.0,0.0,0.0,0.47000000000000003,0.31,6.73,51.16,89.8,7.67,0,,0,,0,0.0,0.0,0.0,,,0.63,,1.88,0.0,0.0,0.0,0.31,0,0
L. Dalipi,Lutfi Dalipi,-415446,Vaduz,Vaduz,https://cdn5.wyscout.com/photos/team/public/1142_120x120.png,Super League,"AMF, CF",AMF,50,CF,43,,0,20,2006-05-23,0,2030-06-30,6,569,2,0.46,5,2.45,15.82,47.0,Switzerland,"['Switzerland', 'Portugal']",left,183,0,True,3.95,3.32,52.38,0.63,25.0,0.0,0.0,0.0,2.21,3.23,0.63,1,0.16,0,0.0,4.59,0.32,2,0.32,0.07,0,0.0,7,1.11,71.43,28.571,0.79,1.9,66.67,1.27,62.5,0.63,75.0,0.16,3.8,62.5,10.12,46.88,1.74,3.01,0.16,24.04,2.37,1.9,28.63,81.22,8.38,69.81,5.85,89.19,25.47,81.37,1.27,100.0,14.72,37.64,0.39,1.58,0.0,0.16,0.63,25.0,1.9,3.32,76.19,3.01,73.68,0.63,25.0,1.42,1.27,4.75,93.33,83.33,7.59,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.63,0.0,0.0,0.0,0.32,0,0
S. Essende,Samuel Essende,376913,Young Boys,Young Boys,https://cdn5.wyscout.com/photos/team/public/580_120x120.png,Super League,CF,CF,100,,0,,0,28,1998-01-23,3500000,2029-06-30,6,567,5,4.96,3,0.9500000000000001,18.73,47.46,France,"['France', 'Congo DR']",right,192,88,False,2.38,2.7,29.41,5.71,50.0,0.0,0.0,0.0,1.5899999999999999,2.07,2.22,1,0.16,0,0.0,2.54,0.79,3,0.48,0.79,3,0.48,23,3.65,47.83,21.739,0.48,0.63,50.0,0.16,0.0,0.48,66.67,0.32,1.27,37.5,8.1,45.1,6.51,1.5899999999999999,0.16,14.13,3.33,2.54,16.83,82.08,4.6,79.31,4.6,86.21,15.87,83.0,0.48,100.0,13.5,25.55,0.15,1.11,0.16,0.16,0.0,0.0,0.9500000000000001,2.06,92.31,1.11,57.14,0.0,0.0,1.27,0.16,2.06,92.31,76.47,2.7,0,,0,,0,0.0,0.0,0.0,,,0.48,,5.71,0.16,0.16,0.0,0.0,2,100
Omar Janneh,Omar Janneh Susso,-385969,Lausanne Sport,Lausanne Sport,https://cdn5.wyscout.com/photos/team/public/1146_120x120.png,Super League,CF,CF,100,,0,,0,20,2006-08-23,0,2030-06-30,6,566,1,2.68,1,0.02,18.92,42.86,Spain,"['Spain', 'Gambia']",both,187,0,False,3.02,2.7,47.06,6.04,39.47,0.0,0.0,0.0,1.75,2.5,1.9100000000000001,1,0.16,0,0.0,1.27,0.16,1,0.16,0.43,1,0.16,15,2.39,33.33,6.667,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,50.0,6.2,48.72,3.34,1.27,0.16,10.81,2.23,1.11,13.52,60.0,3.5,45.45,3.66,86.96,12.88,61.73,0.48,33.33,13.64,16.98,0.0,0.16,0.0,0.0,0.0,0.0,0.16,1.5899999999999999,20.0,0.64,0.0,0.0,0.0,0.0,0.0,1.27,50.0,38.46,2.07,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.04,0.0,0.0,0.0,0.0,0,0
