Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Samiec-Talar,Piotr Samiec-Talar,-100972,Śląsk Wrocław,Śląsk Wrocław,https://cdn5.wyscout.com/photos/team/public/1137_120x120.png,Ekstraklasa,RCMF3,RCMF3,88,,0,,0,24,2001-11-02,1000000,2027-06-30,6,609,3,2.66,3,1.94,10.79,47.95,Poland,['Poland'],left,185,78,False,2.36,2.51,47.06,1.33,44.44,0.0,0.0,0.0,1.18,1.52,0.59,0,0.0,0,0.0,3.25,0.44,2,0.30000000000000004,0.39,0,0.0,11,1.63,54.55,27.273,0.44,3.25,27.27,0.89,0.0,2.36,37.5,0.89,2.07,71.43,6.35,51.16,2.81,3.25,0.30000000000000004,33.25,0.59,0.44,39.16,76.23,14.48,71.43,4.14,92.86,33.69,81.14,2.36,68.75,17.12,38.89,0.29,1.77,0.15,0.15,0.15,0.0,1.18,5.76,74.36,5.76,61.54,0.44,66.67,2.51,1.03,9.01,70.49,74.42,12.71,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.33,1.33,0.44,33.33,2.66,1,100
Marc Llinares,Marc Llinares Barragán,-73796,Śląsk Wrocław,Śląsk Wrocław,https://cdn5.wyscout.com/photos/team/public/1137_120x120.png,Ekstraklasa,LWB,LWB,91,,0,,0,27,1999-08-26,450000,2028-06-30,6,609,0,0.19,0,0.09,12.27,59.04,Spain,['Spain'],left,180,75,False,7.68,6.06,53.66,1.48,40.0,0.0,0.0,0.15,4.43,5.7,0.74,1,0.15,0,0.0,1.18,0.0,0,0.0,0.03,0,0.0,2,0.30000000000000004,0.0,0.0,0.0,2.07,14.29,2.07,14.29,0.0,0.0,0.44,1.33,66.67,3.84,73.08,1.48,1.18,0.15,25.27,1.03,1.63,31.18,74.88,8.87,60.0,6.06,95.12,26.75,81.77,2.36,50.0,17.04,30.59,0.01,0.15,0.15,0.30000000000000004,0.0,0.0,0.15,3.25,72.73,1.77,33.33,0.0,0.0,0.30000000000000004,0.44,4.43,60.0,72.13,9.01,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.48,0.0,0.0,0.0,0.0,0,0
B. Drągowski,Bartłomiej Drągowski,297844,Widzew Łódź,Widzew Łódź,https://cdn5.wyscout.com/photos/team/public/458_120x120.png,Ekstraklasa,GK,GK,100,,0,,0,29,1997-08-19,2500000,2029-06-30,6,604,0,0.0,0,0.0,0.15,100.0,Poland,['Poland'],right,191,74,False,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.61,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07,0.0,0.15,21.01,72.34,14.16,62.11,0.15,100.0,10.43,97.14,10.58,47.89,42.77,57.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96,35.0,1.19,12.5,0.0,0.0,0.15,0.0,6.71,80.0,93.18,6.5600000000000005,10,1.49,33,4.92,2,69.7,9.4,1.4,-0.6000000000000001,-0.089,0.0,2.68,0.0,,,,0.0,0,0
B. Traoré,Brahim Traoré,-140909,Cracovia Kraków,Cracovia Kraków,https://cdn5.wyscout.com/photos/team/public/453_120x120.png,Ekstraklasa,LCB,LCB,88,,0,,0,22,2004-02-04,3500000,2029-06-30,6,599,0,0.8200000000000001,0,0.0,8.26,74.55,France,"['France', 'Burkina Faso']",right,191,80,False,9.32,4.8100000000000005,78.13,2.25,73.33,0.15,0.21,0.9,5.41,7.45,0.15,0,0.0,0,0.0,0.0,0.0,0,0.0,0.12,0,0.0,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,66.67,0.6000000000000001,0.45,0.0,24.79,0.45,0.15,36.66,89.75,13.52,78.89,1.9500000000000002,100.0,34.41,92.14,2.25,53.33,18.9,41.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,84.0,0.15,0.0,0.15,100.0,0.0,0.0,3.91,57.69,99.12,16.98,0,,0,,0,0.0,0.0,0.0,,,0.9,,2.25,0.0,0.0,0.0,0.0,0,0
Amir Al Ammari,Amir Al Ammari,301675,Cracovia Kraków,Cracovia Kraków,https://cdn5.wyscout.com/photos/team/public/453_120x120.png,Ekstraklasa,"LDMF, LCMF, DMF",LDMF,33,LCMF,23,DMF,17,29,1997-07-27,700000,2028-06-30,6,599,0,0.0,0,0.27,11.12,48.65,Sweden,"['Sweden', 'Iraq']",left,184,70,False,5.5600000000000005,5.26,45.71,2.25,53.33,0.15,0.21,0.15,3.01,4.14,1.5,2,0.30000000000000004,0,0.0,1.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,90.0,1.05,85.71,0.45,100.0,0.15,0.30000000000000004,50.0,2.4,50.0,0.30000000000000004,0.45,0.0,25.99,0.15,1.2,36.06,85.83,12.02,73.75,4.21,100.0,32.15,89.25,2.55,35.29,17.31,44.64,0.04,0.6000000000000001,0.0,0.0,0.0,0.0,0.45,5.71,76.32,2.1,92.86,0.0,0.0,0.6000000000000001,1.2,4.96,84.85,93.62,14.12,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.25,0.15,0.0,0.0,0.45,0,0
S. Madejski,Sebastian Madejski,338899,Cracovia Kraków,Cracovia Kraków,https://cdn5.wyscout.com/photos/team/public/453_120x120.png,Ekstraklasa,GK,GK,100,,0,,0,29,1997-01-02,300000,2028-06-30,6,599,0,0.0,0,0.0,0.6000000000000001,75.0,Poland,['Poland'],right,189,78,False,0.30000000000000004,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.41000000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.15,9.32,0.75,0.45,18.63,80.65,9.92,66.67,0.0,0.0,11.72,98.72,6.91,50.0,33.42,47.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,27.78,0.45,0.0,0.0,0.0,0.0,0.0,4.96,69.7,96.3,8.11,7,1.05,24,3.61,2,70.83,5.78,0.87,-1.22,-0.183,0.0,2.25,0.0,,,,0.0,0,0
Y. Matsenko,Yehor Matsenko,-325622,Śląsk Wrocław,Śląsk Wrocław,https://cdn5.wyscout.com/photos/team/public/1137_120x120.png,Ekstraklasa,RCB3,RCB3,91,,0,,0,24,2002-01-23,0,2027-06-30,6,592,0,0.54,0,0.71,11.71,57.14,Ukraine,['Ukraine'],right,188,81,False,9.12,3.65,50.0,4.71,70.97,0.15,0.19,0.46,7.15,9.16,1.37,0,0.0,0,0.0,1.22,0.0,0,0.0,0.08,0,0.0,6,0.91,16.67,0.0,0.0,1.37,66.67,0.0,0.0,1.37,66.67,0.0,0.15,100.0,0.91,33.33,1.37,0.30000000000000004,0.0,25.08,0.30000000000000004,0.30000000000000004,39.22,81.01,16.72,70.0,2.58,94.12,34.66,85.09,3.19,42.86,18.74,43.17,0.11,0.61,0.0,0.0,0.0,0.0,0.30000000000000004,7.3,72.92,1.22,75.0,0.0,0.0,0.46,0.76,7.3,54.17,92.31,11.86,0,,0,,0,0.0,0.0,0.0,,,0.61,,4.71,0.0,0.0,0.0,0.0,0,0
A. Hasić,Ajdin Hasić,513290,Cracovia Kraków,Cracovia Kraków,https://cdn5.wyscout.com/photos/team/public/453_120x120.png,Ekstraklasa,"RWF, RAMF, AMF",RWF,36,RAMF,31,AMF,17,24,2001-10-07,0,2028-06-30,6,591,3,3.46,1,1.44,15.69,50.49,Bosnia and Herzegovina,['Bosnia and Herzegovina'],left,177,80,False,4.72,4.11,44.44,2.2800000000000002,33.33,0.0,0.0,0.15,2.89,4.01,0.76,1,0.15,0,0.0,5.18,0.46,3,0.46,0.53,0,0.0,24,3.65,37.5,12.5,0.15,2.59,29.41,0.30000000000000004,50.0,2.2800000000000002,26.67,0.46,3.81,76.0,8.53,60.71,3.35,1.07,0.0,30.91,0.91,1.37,35.79,74.04,13.86,64.84,5.03,100.0,28.93,80.53,4.26,57.14,18.82,38.74,0.22,1.83,0.0,0.0,0.15,100.0,1.37,7.31,64.58,4.87,50.0,0.30000000000000004,50.0,1.83,0.91,6.85,80.0,77.33,11.42,0,,0,,0,0.0,0.0,0.0,,,0.15,,2.2800000000000002,0.30000000000000004,0.15,100.0,3.05,1,0
F. Luberecki,Filip Luberecki,-317663,Motor Lublin,Motor Lublin,https://cdn5.wyscout.com/photos/team/public/g8645_120x120.png,Ekstraklasa,"LB, LWB",LB,66,LWB,33,,0,21,2005-04-25,0,2027-12-31,6,591,0,0.04,0,0.34,12.18,63.75,Poland,['Poland'],left,172,0,False,8.83,6.55,72.09,1.07,28.57,0.15,0.19,0.30000000000000004,3.96,4.97,0.61,1,0.15,0,0.0,2.13,0.0,0,0.0,0.01,0,0.0,2,0.30000000000000004,0.0,0.0,0.0,1.52,70.0,1.52,70.0,0.0,0.0,0.15,1.52,70.0,3.65,58.33,1.07,1.22,0.15,25.74,1.6800000000000002,0.91,34.26,85.78,14.31,77.66,7.92,96.15,30.61,86.57,2.13,85.71,16.53,33.9,0.05,0.30000000000000004,0.0,0.0,0.15,0.0,0.30000000000000004,3.5,86.96,1.83,50.0,0.30000000000000004,0.0,0.15,1.22,6.7,68.18,90.2,7.77,0,,0,,0,0.0,0.0,0.0,,,0.91,,1.07,0.0,0.0,0.0,0.0,0,0
K. Piątkowski,Kamil Dawid Piątkowski,-676239,Legia Warszawa,Legia Warszawa,https://cdn5.wyscout.com/photos/team/public/448_120x120.png,Ekstraklasa,RCB3,RCB3,98,,0,,0,26,2000-06-21,0,2029-06-30,6,588,0,0.6900000000000001,1,0.9400000000000001,13.93,62.64,Poland,['Poland'],right,191,0,False,9.18,5.05,54.55,3.98,84.62,0.0,0.0,1.22,6.43,8.75,0.61,0,0.0,0,0.0,1.99,0.0,0,0.0,0.11,0,0.0,5,0.77,20.0,0.0,0.15,2.14,71.43,0.0,0.0,2.14,71.43,0.31,1.07,28.57,3.21,52.38,1.53,2.91,0.0,36.12,0.46,1.53,47.91,85.3,19.13,76.8,4.44,100.0,41.94,88.69,4.29,53.57,19.78,45.48,0.14,1.07,0.15,0.0,0.0,0.0,1.38,6.43,78.57,3.06,70.0,0.31,100.0,0.92,1.6800000000000002,9.03,74.58,90.16,18.67,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,3.98,0.0,0.0,0.0,0.0,0,0
