Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Caprile,Elia Caprile,-73038,Cagliari,Cagliari,https://cdn5.wyscout.com/photos/team/public/75_120x120.png,Serie A,GK,GK,100,,0,,0,24.0,2001-08-25,6000000,2029-06-30,38,3735,0,0.0,0,0.0,0.65,81.48,Italy,['Italy'],right,191,74,False,1.35,0.05,50.0,0.55,86.96,0.0,0.0,0.0,1.33,1.5899999999999999,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.86,0.14,0.17,19.28,85.38,11.18,75.65,0.0,0.0,11.52,97.7,7.73,67.29,33.48,52.54,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.24,58.06,0.07,33.33,0.14,66.67,0.02,0.0,6.27,77.31,99.06,7.69,53,1.28,182,4.39,8,70.88,53.36,1.29,0.36,0.009000000000000001,0.0,1.71,0.55,,,,0.0,0,0.0
W. Falcone,Wladimiro Falcone,261393,Lecce,Lecce,https://cdn5.wyscout.com/photos/team/public/187_120x120.png,Serie A,GK,GK,100,,0,,0,31.0,1995-04-12,5000000,2028-06-30,38,3711,0,0.0,0,0.14,0.87,88.89,Italy,['Italy'],right,195,85,False,1.58,0.12,80.0,0.61,92.0,0.0,0.0,0.0,1.48,1.83,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.02,0.0,0.0,10.79,0.12,0.19,19.67,78.05,15.59,74.18,0.02,100.0,6.5,96.27,13.1,69.44,41.4,50.33,0.0,0.02,0.0,0.02,0.0,0.0,0.0,3.83,60.76,0.36,13.33,0.41000000000000003,23.53,0.02,0.0,10.67,82.27,93.04,3.83,50,1.21,166,4.03,10,69.88,56.26,1.3599999999999999,6.26,0.152,0.02,1.24,0.61,,,,0.0,0,0.0
M. Svilar,Mile Svilar,372247,Roma,Roma,https://cdn5.wyscout.com/photos/team/public/87_120x120.png,Serie A,GK,GK,100,,0,,0,26.0,1999-08-27,0,2030-06-30,38,3710,0,0.0,0,0.0,0.77,74.19,Belgium,"['Belgium', 'Serbia']",right,189,77,False,1.25,0.07,100.0,0.4,68.75,0.0,0.0,0.0,1.17,1.67,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.0,0.02,0.0,17.62,0.12,0.17,24.54,88.53,9.42,73.54,0.02,100.0,17.64,98.87,6.85,62.55,29.91,49.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,45.1,0.1,0.0,0.02,0.0,0.0,0.0,5.28,70.28,98.26,14.33,31,0.77,135,3.36,17,77.04,35.65,0.89,4.65,0.116,0.02,1.3,0.4,,,,0.0,0,0.0
David de Gea,David de Gea Quintana,61954,Fiorentina,Fiorentina,https://cdn5.wyscout.com/photos/team/public/78_120x120.png,Serie A,GK,GK,100,,0,,0,35.0,1990-11-07,5000000,2028-06-30,37,3648,0,0.0,0,0.13,0.47000000000000003,84.21,Spain,['Spain'],right,192,76,False,0.62,0.1,50.0,0.27,90.91,0.0,0.0,0.0,0.5700000000000001,0.77,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,15.69,0.17,0.12,20.82,83.65,12.43,74.6,0.0,0.0,12.61,97.26,8.22,62.76,33.68,50.96,0.0,0.02,0.0,0.0,0.0,0.0,0.02,2.44,47.47,0.27,9.09,0.2,25.0,0.0,0.0,6.54,75.85,97.48,7.82,49,1.21,174,4.29,10,71.84,51.35,1.27,2.35,0.058,0.0,0.74,0.27,,,,0.0,0,0.0
J. Butez,Jean Butez,263155,Como,Como,https://cdn5.wyscout.com/photos/team/public/1236_120x120.png,Serie A,GK,GK,100,,0,,0,30.0,1995-06-08,8000000,2028-06-30,37,3622,0,0.0,0,0.32,0.67,81.48,France,['France'],right,189,75,False,2.11,0.07,66.67,0.5,85.0,0.0,0.0,0.0,2.06,3.41,0.0,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,66.67,0.0,0.0,0.0,20.18,0.1,0.2,31.46,90.52,16.47,84.46,0.0,0.0,22.29,98.22,9.09,72.4,29.11,47.95,0.01,0.02,0.0,0.0,0.0,0.0,0.02,2.96,59.66,0.22,33.33,0.42,64.71,0.07,0.0,6.36,77.34,98.24,14.11,28,0.7000000000000001,118,2.93,19,76.27,30.97,0.77,2.9699999999999998,0.074,0.0,1.5899999999999999,0.5,,,,0.0,0,0.0
M. Carnesecchi,Marco Carnesecchi,467654,Atalanta,Atalanta,https://cdn5.wyscout.com/photos/team/public/74_120x120.png,Serie A,GK,GK,100,,0,,0,25.0,2000-07-01,16000000,2028-06-30,37,3601,0,0.0,1,0.0,0.6000000000000001,91.67,Italy,['Italy'],right,191,83,False,1.42,0.07,66.67,0.37,100.0,0.0,0.0,0.0,1.37,1.85,0.02,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,0.0,0.0,18.09,0.22,0.15,23.44,87.1,11.75,75.96,0.0,0.0,14.95,99.0,8.42,66.77,32.17,49.59,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.12,57.65,0.1,0.0,0.15,33.33,0.02,0.0,6.6,73.86,98.86,11.0,35,0.87,148,3.7,13,76.35,44.29,1.11,9.29,0.232,0.0,1.07,0.37,,,,0.0,0,0.0
V. Nelsson,Victor Nelsson,452435,Hellas Verona,Hellas Verona,https://cdn5.wyscout.com/photos/team/public/212_120x120.png,Serie A,"CB, RCB3",CB,55,RCB3,38,,0,27.0,1998-10-14,17000000,2027-06-30,38,3598,0,0.8,0,0.0,14.13,70.97,Denmark,['Denmark'],right,185,78,True,9.23,6.6,69.32,4.9,76.53,0.38,0.42,0.5,4.28,4.79,1.1,4,0.1,0,0.0,0.15,0.0,0,0.0,0.02,0,0.0,7,0.18,14.29,0.0,0.0,0.13,40.0,0.0,0.0,0.13,40.0,0.03,0.13,60.0,0.68,48.15,0.5,0.23,0.05,18.49,0.15,0.5,31.34,85.71,12.96,75.1,2.35,91.49,27.74,90.71,3.48,47.48,19.97,33.5,0.0,0.03,0.0,0.0,0.03,0.0,0.0,3.2800000000000002,61.07,0.2,50.0,0.33,30.77,0.1,0.05,5.13,62.93,94.49,12.71,0,,0,,0,0.0,0.0,0.0,,,1.5,,4.9,0.0,0.0,0.0,0.0,0,0.0
P. Kalulu,Pierre Kalulu Kyatengwa,-97453,Juventus,Juventus,https://cdn5.wyscout.com/photos/team/public/80_120x120.png,Serie A,"RCB3, RB, RWB",RCB3,55,RB,27,RWB,10,25.0,2000-06-05,0,2029-06-30,37,3568,2,1.28,4,3.3,10.54,52.87,France,"['France', 'Congo DR']",right,182,80,False,6.53,4.74,69.15,2.09,44.58,0.15,0.22,0.23,3.1,4.6,0.86,3,0.08,1,0.03,1.44,0.05,2,0.05,0.03,1,0.03,12,0.30000000000000004,41.67,16.667,0.1,2.6,38.83,0.03,100.0,2.45,38.14,0.38,0.53,52.38,2.12,35.71,1.24,1.82,0.28,44.65,1.51,0.4,57.21,88.58,19.62,83.55,8.07,97.19,51.15,93.29,3.56,54.61,17.39,32.14,0.08,0.8300000000000001,0.03,0.0,0.03,100.0,0.5,6.23,80.16,3.15,52.8,0.55,27.27,0.91,1.03,8.68,77.03,89.49,19.93,0,,0,,0,0.0,0.0,0.0,,,0.98,,2.09,0.0,0.0,0.0,0.0,0,0.0
J. Vásquez,Johan Felipe Vásquez Ibarra,490114,Genoa,Genoa,https://cdn5.wyscout.com/photos/team/public/92_120x120.png,Serie A,"LCB3, LCB",LCB3,71,LCB,24,,0,27.0,1998-10-22,10000000,2028-06-30,36,3505,1,2.3,0,0.13,12.33,59.17,Mexico,['Mexico'],left,184,72,False,7.78,4.34,71.01,4.72,46.74,0.36,0.5,0.64,4.34,5.99,0.59,2,0.05,0,0.0,0.54,0.03,1,0.03,0.06,0,0.0,19,0.49,26.32,5.263,0.0,0.62,25.0,0.56,27.27,0.05,0.0,0.03,0.41000000000000003,56.25,1.8,62.86,0.87,1.6400000000000001,0.08,33.46,0.59,1.16,47.22,85.97,16.97,71.86,4.67,95.05,40.49,92.71,6.16,47.08,20.36,35.01,0.0,0.15,0.0,0.0,0.03,100.0,0.08,5.78,68.44,0.77,33.33,0.36,28.57,0.15,0.15,7.75,64.24,96.12,19.85,0,,0,,0,0.0,0.0,0.0,,,1.98,,4.72,0.0,0.0,0.0,0.0,0,0.0
M. Maignan,Mike Maignan,215632,Milan,Milan,https://cdn5.wyscout.com/photos/team/public/1_120x120.png,Serie A,GK,GK,100,,0,,0,30.0,1995-07-03,38000000,2031-06-30,36,3499,0,0.0,0,0.0,0.46,77.78,French Guiana,"['French Guiana', 'France']",right,191,89,False,0.9500000000000001,0.0,0.0,0.26,80.0,0.03,0.03,0.0,0.93,1.17,0.0,3,0.08,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.1,75.0,0.0,0.0,0.0,16.72,0.18,0.13,23.59,90.29,9.54,77.9,0.03,100.0,18.26,98.59,5.25,62.75,28.44,49.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,38.6,0.08,0.0,0.23,11.11,0.0,0.0,3.91,71.05,99.22,13.27,33,0.85,132,3.4,13,75.0,37.31,0.96,4.31,0.111,0.03,1.21,0.26,,,,0.0,0,0.0
