Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Asman,Katherine Asman,-179415,Lexington,Lexington,https://cdn5.wyscout.com/photos/team/public/g-18530_120x120.png,USL Super League,GK,GK,100,,0,,0,26.0,2000-05-19,0,,30,2949,0,0.0,0,0.0,0.58,78.95,United States,['United States'],left,178,0,False,1.5899999999999999,0.03,100.0,0.49,87.5,0.0,0.0,0.0,1.56,2.22,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,8.97,0.03,0.12,15.66,87.33,5.95,72.82,0.0,0.0,11.57,97.89,4.03,58.33,26.23,40.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,35.0,0.0,0.0,0.03,0.0,0.0,0.0,2.56,54.76,97.07,8.33,25,0.76,106,3.23,12,76.42,27.68,0.84,2.68,0.082,0.0,1.25,0.49,,,,0.0,0,0.0
T. Aylmer,Taylor Aylmer,-179321,Lexington,Lexington,https://cdn5.wyscout.com/photos/team/public/g-18530_120x120.png,USL Super League,LCMF,LCMF,89,,0,,0,27.0,1998-09-23,0,,30,2931,1,1.32,4,1.46,8.94,52.58,United States,['United States'],,173,0,False,5.71,3.35,58.72,2.58,55.95,0.18,0.26,0.34,3.56,5.08,1.04,4,0.12,0,0.0,0.71,0.03,1,0.03,0.04,0,0.0,19,0.58,21.05,5.263,0.12,0.52,58.82,0.37,58.33,0.12,50.0,0.06,0.31,80.0,1.57,41.18,0.58,0.43,0.06,34.02,0.09,0.4,45.38,88.02,13.6,76.75,7.15,97.42,41.91,90.18,2.95,62.5,17.63,33.95,0.04,0.34,0.0,0.06,0.06,50.0,0.25,5.96,74.74,1.26,39.02,0.15,40.0,0.4,0.31,5.9,72.4,93.17,17.99,0,,0,,0,0.0,0.0,0.0,,,0.34,,2.58,0.0,0.0,0.0,0.0,0,0.0
Jenna Butler,Jenna Butler,-240066,Carolina Ascent FC,Carolina Ascent FC,https://cdn5.wyscout.com/photos/team/public/g-21798_120x120.png,USL Super League,"LCB, RCB",LCB,52,RCB,45,,0,26.0,2000-01-28,0,,29,2881,1,2.07,0,0.14,10.03,64.49,United States,['United States'],,177,0,False,7.06,2.94,75.53,4.47,67.13,0.03,0.04,0.47000000000000003,4.8100000000000005,6.21,0.34,1,0.03,1,0.03,0.19,0.03,1,0.03,0.06,1,0.03,18,0.56,22.22,5.556,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.16,40.0,1.34,39.53,1.53,0.19,0.0,26.08,0.19,0.34,42.49,84.78,18.46,76.14,2.7199999999999998,91.95,37.61,89.29,4.84,50.32,20.02,36.74,0.0,0.06,0.0,0.0,0.0,0.0,0.09,4.09,59.54,0.53,29.41,0.25,25.0,0.37,0.0,7.09,62.56,93.25,17.12,0,,0,,0,0.0,0.0,0.0,,,1.97,,4.47,0.0,0.0,0.0,0.0,0,0.0
J. Aguilera,Jillienne Aguilera,-330263,Carolina Ascent FC,Carolina Ascent FC,https://cdn5.wyscout.com/photos/team/public/g-21798_120x120.png,USL Super League,LB,LB,97,,0,,0,28.0,1998-01-05,0,,29,2866,4,3.19,2,4.22,11.81,56.38,Puerto Rico,"['Puerto Rico', 'United States']",unknown,0,0,False,7.44,4.99,59.75,1.7000000000000002,68.52,0.13,0.16,0.25,4.33,5.66,0.47000000000000003,4,0.13,0,0.0,2.2,0.13,2,0.06,0.1,0,0.0,40,1.26,35.0,10.0,0.06,2.07,30.3,1.79,31.58,0.28,22.22,0.22,1.9500000000000002,58.06,4.4,50.0,0.91,0.85,0.03,28.55,1.19,1.54,41.26,68.42,22.67,59.14,5.15,95.73,29.61,80.7,9.86,39.81,21.9,36.61,0.13,1.35,0.0,0.0,0.06,0.0,0.25,9.01,49.48,2.98,43.16,1.13,30.56,0.75,0.53,11.46,66.03,76.14,8.95,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,1.7000000000000002,1.85,0.25,25.0,2.48,2,100.0
A. Pantuso,Allison Danielle Pantuso,-197895,Lexington,Lexington,https://cdn5.wyscout.com/photos/team/public/g-18530_120x120.png,USL Super League,RCB,RCB,99,,0,,0,29.0,1997-06-30,0,,29,2854,2,2.85,0,0.32,11.04,59.14,France,"['France', 'United States']",,180,0,False,7.41,5.2,67.27,3.34,57.55,0.22,0.32,0.32,3.69,5.29,0.76,5,0.16,0,0.0,0.63,0.06,2,0.06,0.09,0,0.0,17,0.54,35.29,11.765,0.0,0.5,50.0,0.06,50.0,0.44,50.0,0.13,0.25,75.0,1.48,38.3,0.91,0.41000000000000003,0.03,39.73,0.73,0.19,54.37,87.06,24.79,80.15,2.59,90.24,48.41,90.94,5.55,56.25,19.51,38.11,0.01,0.16,0.03,0.0,0.0,0.0,0.03,5.2,66.06,0.85,48.15,0.44,57.14,0.35000000000000003,0.22,9.62,61.97,94.64,21.19,0,,0,,0,0.0,0.0,0.0,,,1.42,,3.34,0.25,0.0,0.0,0.0,0,0.0
A. Bourgeois,Alyssa Bourgeois,-236143,Lexington,Lexington,https://cdn5.wyscout.com/photos/team/public/g-18530_120x120.png,USL Super League,RB,RB,99,,0,,0,24.0,2002-05-15,0,,30,2848,2,0.66,4,3.16,16.18,55.47,United States,['United States'],,160,0,False,7.96,6.6,64.11,1.23,41.03,0.47000000000000003,0.67,0.19,3.25,4.61,1.26,6,0.19,0,0.0,2.91,0.06,2,0.06,0.02,0,0.0,12,0.38,41.67,16.667,0.13,2.46,44.87,0.13,50.0,2.34,44.59,0.38,2.56,62.96,6.92,53.42,0.76,2.21,0.7000000000000001,30.05,1.9,1.8599999999999999,41.21,75.92,15.01,61.26,7.27,92.61,33.34,83.79,5.47,42.2,19.5,35.27,0.1,0.8200000000000001,0.03,0.0,0.06,50.0,0.41000000000000003,6.0,53.16,3.44,49.54,0.9500000000000001,46.67,0.98,1.1400000000000001,9.64,69.84,82.18,12.77,0,,0,,0,0.0,0.0,0.0,,,0.16,,1.23,0.47000000000000003,0.0,0.0,1.07,0,0.0
S. Boman,Sophia Boman,-241882,Sporting Jax,Sporting Jax,https://cdn5.wyscout.com/photos/team/public/g-24426_120x120.png,USL Super League,"RCMF, RCMF3",RCMF,39,RCMF3,38,,0,,,0,,29,2769,6,3.81,6,5.09,14.76,51.54,United States,['United States'],,0,0,False,8.16,5.5600000000000005,69.01,2.7,50.6,0.2,0.29,0.13,4.13,6.08,0.98,2,0.07,0,0.0,1.2,0.2,6,0.2,0.12,1,0.03,22,0.72,54.55,27.273,0.2,1.17,38.89,0.33,30.0,0.85,42.31,0.33,0.59,61.11,4.06,40.0,1.17,0.78,0.03,24.77,0.72,1.24,41.6,79.61,14.01,66.82,8.03,94.33,37.15,83.55,3.32,49.02,16.43,28.88,0.17,1.56,0.03,0.0,0.03,0.0,0.46,5.3,68.71,2.15,53.03,0.36,36.36,0.88,0.46,6.21,67.54,84.74,12.35,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.7,0.72,0.0,0.0,3.51,0,0.0
Mackenzie George,Mackenzie George,-202559,Carolina Ascent FC,Carolina Ascent FC,https://cdn5.wyscout.com/photos/team/public/g-21798_120x120.png,USL Super League,CF,CF,81,,0,,0,26.0,1999-07-27,0,,30,2769,4,4.91,1,4.02,29.93,38.76,United States,['United States'],,163,0,False,4.58,5.4,64.46,2.31,18.31,0.0,0.0,0.03,1.11,1.42,0.9400000000000001,0,0.0,0,0.0,4.13,0.13,4,0.13,0.16,0,0.0,43,1.4,30.23,9.302,0.03,2.99,20.65,1.46,28.89,1.46,11.11,0.23,5.23,59.01,19.21,35.03,4.16,2.5700000000000003,0.39,9.72,1.63,1.6600000000000001,16.74,62.52,3.02,50.54,3.54,86.24,13.55,72.18,0.29,33.33,17.56,12.58,0.13,0.81,0.03,0.0,0.07,0.0,0.42,1.11,47.06,1.5,36.96,0.07,0.0,0.72,0.49,1.56,54.17,56.16,4.75,0,,0,,0,0.0,0.0,0.0,,,0.03,,2.31,0.0,0.0,0.0,0.0,0,0.0
A. Brooks,Amber Brooks,110412,Dallas Trinity,Dallas Trinity,https://cdn5.wyscout.com/photos/team/public/g-21563_120x120.png,USL Super League,"RCB, LCB, RDMF",RCB,38,LCB,22,RDMF,16,35.0,1991-01-23,0,,28,2766,3,3.08,1,0.44,9.63,59.8,United States,['United States'],,167,0,False,6.9,3.9,70.83,3.32,62.75,0.29,0.4,0.75,3.84,5.29,0.91,5,0.16,0,0.0,0.49,0.1,1,0.03,0.1,1,0.03,31,1.01,32.26,9.677,0.03,0.29,33.33,0.03,0.0,0.23,42.86,0.0,0.16,40.0,1.07,30.3,0.72,0.23,0.1,29.12,0.23,0.42,42.95,83.79,17.15,70.21,3.84,96.61,35.63,90.5,7.06,51.61,20.66,37.85,0.01,0.2,0.03,0.0,0.0,0.0,0.23,5.82,55.87,0.91,25.0,0.36,27.27,0.2,0.13,7.52,59.31,94.43,17.54,0,,0,,0,0.0,0.0,0.0,,,1.98,,3.32,0.23,0.1,33.33,0.0,2,100.0
S. Cummings,Sydney Cummings,-275472,DC Power,DC Power,https://cdn5.wyscout.com/photos/team/public/g-21857_120x120.png,USL Super League,"CB, LCB",CB,49,LCB,48,,0,27.0,1999-03-05,0,,28,2743,1,1.8,2,1.46,11.45,58.74,Guyana,"['Guyana', 'United States']",unknown,178,0,False,7.91,4.59,64.29,4.43,62.96,0.03,0.04,0.85,4.92,6.75,1.05,2,0.07,0,0.0,0.13,0.03,1,0.03,0.06,0,0.0,12,0.39,25.0,8.333,0.07,0.1,0.0,0.03,0.0,0.07,0.0,0.03,0.1,33.33,1.35,34.15,0.72,0.43,0.0,29.1,0.23,0.6900000000000001,43.54,81.46,20.44,69.34,2.69,93.9,34.48,90.96,8.96,45.79,21.77,37.71,0.05,0.36,0.03,0.0,0.0,0.0,0.13,6.3,48.44,0.92,21.43,0.98,23.33,0.43,0.0,8.04,62.45,94.17,16.9,0,,0,,0,0.0,0.0,0.0,,,1.97,,4.43,0.16,0.0,0.0,0.0,0,0.0
