Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Phan Tuấn Tài,Tuấn Tài Phan,-324920,Viettel,Viettel,https://cdn5.wyscout.com/photos/team/public/g26761_120x120.png,V.League 1,"LB, LB5",LB,64,LB5,20,,0,25.0,2001-01-07,0,,25,2435,0,0.12,2,2.61,9.91,56.34,Vietnam,['Vietnam'],left,176,73,False,6.62,3.59,69.07,1.77,60.42,0.07,0.12,0.04,4.07,6.69,0.41000000000000003,1,0.04,0,0.0,1.96,0.0,0,0.0,0.0,0,0.0,9,0.33,0.0,0.0,0.07,2.85,46.75,2.7,47.95,0.11,0.0,0.30000000000000004,0.85,69.57,3.14,49.41,0.18,0.92,0.0,21.7,1.11,0.85,32.97,77.58,14.08,67.72,4.95,94.78,25.28,87.13,5.03,46.32,20.84,38.54,0.1,0.67,0.0,0.04,0.04,100.0,0.30000000000000004,6.28,65.29,3.1,47.62,0.41000000000000003,18.18,0.44,1.29,8.43,78.07,78.91,9.46,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.77,0.48,0.04,0.0,0.04,0,0.0
Lucão,Lucas Vinicius Gonçalves Silva,180140,Viettel,Viettel,https://cdn5.wyscout.com/photos/team/public/g26761_120x120.png,V.League 1,CF,CF,93,,0,,0,34.0,1991-09-14,275000,,24,2414,11,10.93,2,1.94,25.95,44.68,Brazil,['Brazil'],right,184,79,False,4.06,3.36,57.78,9.47,48.82,0.19,0.30000000000000004,0.15,1.94,3.08,1.83,3,0.11,0,0.0,2.87,0.41000000000000003,11,0.41000000000000003,0.41000000000000003,4,0.15,77,2.87,48.05,14.286,0.07,1.42,15.79,0.89,12.5,0.52,21.43,0.19,2.87,42.86,9.54,35.94,4.06,0.97,0.07,10.14,2.01,1.75,16.78,67.56,3.2800000000000002,54.55,4.44,88.24,14.2,75.07,1.27,38.24,18.49,29.0,0.07,0.67,0.07,0.04,0.07,50.0,0.34,2.01,53.7,1.71,47.83,0.22,16.67,0.97,0.30000000000000004,2.05,74.55,62.59,5.18,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.47,0.11,0.11,66.67,0.04,2,0.0
Tiến Anh Trương,Tiến Anh Trương,465911,Ninh Binh,Ninh Binh,https://cdn5.wyscout.com/photos/team/public/g35351_120x120.png,V.League 1,"RB, RW, RCMF3",RB,39,RW,29,RCMF3,10,27.0,1999-04-25,0,2028-06-30,24,2413,0,1.25,6,5.44,8.95,48.33,Vietnam,['Vietnam'],right,169,68,False,3.51,3.24,54.02,0.86,43.48,0.0,0.0,0.07,1.75,2.75,0.37,0,0.0,0,0.0,3.88,0.0,0,0.0,0.05,0,0.0,16,0.6000000000000001,25.0,0.0,0.22,4.96,48.87,0.37,60.0,4.59,47.97,0.34,2.01,62.96,4.1,48.18,1.12,1.94,0.48,30.25,1.8599999999999999,0.6000000000000001,40.06,81.94,12.08,74.38,7.98,95.33,31.11,90.77,4.33,56.03,18.6,34.98,0.2,1.8599999999999999,0.0,0.04,0.04,100.0,0.56,4.66,76.0,4.74,53.54,0.22,33.33,0.63,2.16,8.47,76.65,80.45,13.17,0,,0,,0,0.0,0.0,0.0,,,0.37,,0.86,1.31,0.04,0.0,2.5,0,0.0
N. Thanh Tùng,Nguyễn  Thanh Tùng,-403869,Hồng Lĩnh Hà Tĩnh,Hồng Lĩnh Hà Tĩnh,https://cdn5.wyscout.com/photos/team/public/g35352_120x120.png,V.League 1,GK,GK,100,,0,,0,27.0,1998-06-23,0,,24,2405,0,0.0,0,0.0,0.56,66.67,Vietnam,['Vietnam'],,0,0,False,1.2,0.04,0.0,0.37,80.0,0.0,0.0,0.0,1.2,1.73,0.0,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.15,50.0,0.0,0.0,0.0,8.57,0.19,0.15,15.04,89.55,8.2,83.11,0.0,0.0,10.25,98.18,4.79,71.09,31.78,51.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,68.57,0.07,0.0,0.07,50.0,0.0,0.0,4.15,81.08,97.67,6.44,26,0.97,84,3.14,9,69.05,19.53,0.73,-6.47,-0.242,0.0,1.6800000000000002,0.37,,,,0.0,0,0.0
Ngô Tùng Quốc,Tùng Quốc Ngô,435763,Binh Duong,Binh Duong,https://cdn5.wyscout.com/photos/team/public/g3653_120x120.png,V.League 1,"RB, RB5",RB,84,RB5,10,,0,28.0,1998-01-27,200000,,23,2330,3,0.59,0,0.74,11.7,49.83,Vietnam,['Vietnam'],,170,62,False,6.49,4.83,61.6,2.2,36.84,0.42,0.63,0.42,3.09,4.55,0.5,3,0.12,0,0.0,1.43,0.12,3,0.12,0.02,0,0.0,10,0.39,40.0,30.0,0.0,1.3900000000000001,41.67,0.0,0.0,1.35,40.0,0.08,1.24,50.0,3.4,42.05,0.77,0.85,0.08,20.28,1.43,0.77,29.16,78.54,13.09,73.16,4.71,91.8,23.33,85.43,4.48,53.45,18.5,32.64,0.03,0.5,0.0,0.04,0.08,100.0,0.04,5.02,66.15,1.74,53.33,0.31,25.0,0.62,0.54,7.22,75.4,80.0,6.76,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.2,0.15,0.0,0.0,0.12,0,0.0
Nguyen Van Viet II,Van Viet Nguyen,-324115,Viettel,Viettel,https://cdn5.wyscout.com/photos/team/public/g26761_120x120.png,V.League 1,GK,GK,100,,0,,0,23.0,2002-07-12,0,2026-06-30,23,2328,0,0.0,0,0.0,0.97,76.0,Vietnam,['Vietnam'],right,181,76,True,1.35,0.12,66.67,0.5,76.92,0.0,0.0,0.0,1.28,2.09,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,8.0,0.27,0.23,12.6,84.05,7.54,74.36,0.0,0.0,8.66,97.77,3.94,53.92,30.88,51.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,42.22,0.08,0.0,0.04,0.0,0.0,0.0,3.02,76.92,99.17,4.64,19,0.73,65,2.51,11,70.77,18.17,0.7000000000000001,-0.8300000000000001,-0.032,0.0,1.35,0.5,,,,0.0,0,0.0
Đặng Văn Lâm,Văn Lâm Đặng,200638,Ninh Binh,Ninh Binh,https://cdn5.wyscout.com/photos/team/public/g35351_120x120.png,V.League 1,GK,GK,100,,0,,0,32.0,1993-08-13,300000,2028-06-30,23,2326,0,0.0,0,0.0,0.77,75.0,Russia,"['Russia', 'Vietnam']",left,189,78,False,1.01,0.12,33.33,0.35000000000000003,100.0,0.04,0.06,0.04,0.93,1.46,0.08,4,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,80.0,0.0,0.0,0.0,5.26,0.19,0.12,10.95,84.81,6.11,74.68,0.0,0.0,8.01,96.62,2.9,53.33,29.2,40.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,43.48,0.04,0.0,0.0,0.0,0.0,0.0,2.17,66.07,98.15,4.18,30,1.16,104,4.02,4,71.15,30.9,1.2,0.9,0.035,0.0,1.2,0.35000000000000003,,,,0.0,0,0.0
K. Colonna,Kyle Colonna,500699,Viettel,Viettel,https://cdn5.wyscout.com/photos/team/public/g26761_120x120.png,V.League 1,"LCB, RCB, LCB3",LCB,42,RCB,22,LCB3,13,26.0,1999-08-02,0,,23,2326,1,1.87,1,1.11,12.92,57.19,United States,['United States'],right,191,79,False,5.96,4.1,68.87,3.95,54.9,0.08,0.13,0.27,3.06,4.96,1.5899999999999999,6,0.23,0,0.0,0.39,0.04,1,0.04,0.07,1,0.04,12,0.46,41.67,8.333,0.04,0.5,23.08,0.19,20.0,0.27,28.57,0.04,0.19,40.0,1.7000000000000002,36.36,1.2,0.93,0.0,26.08,0.58,0.85,38.27,88.27,13.39,78.61,2.48,96.88,34.59,92.51,3.17,52.44,20.32,34.57,0.04,0.23,0.12,0.0,0.04,0.0,0.12,4.45,71.3,0.66,41.18,0.12,33.33,0.35000000000000003,0.12,5.38,69.06,94.75,17.68,0,,0,,0,0.0,0.0,0.0,,,1.55,,3.95,0.0,0.0,0.0,0.0,0,0.0
Michael Olaha,Michael Olaha,471472,Song Lam Nghe An,Song Lam Nghe An,https://cdn5.wyscout.com/photos/team/public/3638_120x120.png,V.League 1,"CF, AMF, RCMF",CF,56,AMF,14,RCMF,10,29.0,1996-07-04,275000,,23,2323,9,7.65,1,1.5,25.49,45.29,Nigeria,['Nigeria'],,0,0,False,4.57,3.8,69.39,7.98,47.09,0.0,0.0,0.08,1.94,2.52,1.2,1,0.04,0,0.0,2.63,0.35000000000000003,5,0.19,0.30000000000000004,1,0.04,56,2.17,42.86,16.071,0.04,1.01,23.08,0.58,26.67,0.43,18.18,0.04,2.32,60.0,10.85,35.36,3.06,1.9,0.39,16.66,2.17,1.67,25.92,77.58,7.28,65.43,5.62,93.1,22.43,82.9,2.56,51.52,17.07,40.41,0.06,0.77,0.0,0.04,0.15,50.0,0.27,3.95,71.57,2.13,43.64,0.5,38.46,1.32,0.19,3.87,74.0,78.16,7.98,0,,0,,0,0.0,0.0,0.0,,,0.04,,7.98,0.04,0.04,0.0,0.0,4,100.0
Luiz Antônio,Luiz Antônio de Souza Soares,193049,Hai Phong,Hai Phong,https://cdn5.wyscout.com/photos/team/public/g3658_120x120.png,V.League 1,"LCMF, DMF, LDMF",LCMF,49,DMF,18,LDMF,13,35.0,1991-03-11,275000,,25,2302,7,2.55,1,2.71,11.61,47.14,Brazil,['Brazil'],right,179,77,False,4.65,3.68,58.51,1.6,48.78,0.08,0.12,0.08,2.42,3.81,1.13,2,0.08,0,0.0,1.99,0.27,7,0.27,0.1,1,0.04,53,2.07,28.3,13.208,0.04,0.98,20.0,0.63,12.5,0.31,37.5,0.04,1.8,63.04,4.8100000000000005,39.84,0.8200000000000001,0.66,0.16,22.48,0.7000000000000001,0.9400000000000001,31.16,85.19,8.99,74.35,4.26,94.5,26.43,89.64,3.79,71.13,20.82,40.99,0.11,1.21,0.04,0.0,0.16,50.0,0.08,6.02,78.57,1.8,50.0,0.43,63.64,0.9,0.2,6.26,80.0,90.14,14.27,0,,0,,0,0.0,0.0,0.0,,,0.27,,1.6,2.15,0.55,14.29,2.23,0,0.0
