Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Hellstern,Florian Hellstern,-362601,Greuther Fürth,Greuther Fürth,https://cdn5.wyscout.com/photos/team/public/333_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,18,2007-10-18,0,2030-06-30,3,303,0,0.0,0,0.0,0.30000000000000004,100.0,Germany,['Germany'],right,186,74,True,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.31,0.30000000000000004,0.30000000000000004,35.64,79.17,19.6,65.15,0.30000000000000004,100.0,23.47,98.73,12.18,41.46,34.57,53.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,47.06,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.0,9.21,61.29,96.0,14.85,8,2.38,22,6.53,0,63.64,6.45,1.92,-1.55,-0.46,0.0,0.59,0.30000000000000004,,,,0.0,0,0.0
K. Keresztes,Krisztián Keresztes,-101493,Greuther Fürth,Greuther Fürth,https://cdn5.wyscout.com/photos/team/public/333_120x120.png,2. Bundesliga,"LCB, RCB3",LCB,72,RCB3,27,,0,26,2000-01-04,200000,2027-06-30,3,303,0,0.0,0,0.38,9.5,50.0,Hungary,['Hungary'],left,0,0,True,8.61,2.67,66.67,3.56,66.67,0.0,0.0,1.78,6.83,8.52,0.59,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.0,0,0.0,1,0.30000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,16.67,0.89,0.59,0.0,23.47,0.0,0.0,33.86,76.32,16.04,66.67,3.86,76.92,26.44,84.27,7.43,48.0,23.28,47.71,0.11,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,4.46,33.33,0.59,50.0,0.30000000000000004,0.0,0.89,0.0,6.53,50.0,88.57,10.4,0,,0,,0,0.0,0.0,0.0,,,1.78,,3.56,0.0,0.0,0.0,0.0,0,0.0
J. Heuer,Jannis Heuer,430383,Greuther Fürth,Greuther Fürth,https://cdn5.wyscout.com/photos/team/public/333_120x120.png,2. Bundesliga,"RCB, CB",RCB,72,CB,27,,0,27,1999-07-29,800000,2029-06-30,3,303,0,0.1,0,0.0,9.21,58.06,Germany,['Germany'],right,188,78,False,12.18,4.75,75.0,3.56,41.67,0.30000000000000004,0.37,1.19,8.32,10.37,0.89,1,0.30000000000000004,0,0.0,0.59,0.0,0,0.0,0.03,0,0.0,2,0.59,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,23.47,0.59,0.0,34.16,86.09,13.37,77.78,2.67,88.89,31.19,90.48,2.9699999999999998,40.0,21.64,46.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,58.33,0.59,0.0,0.0,0.0,0.0,0.0,4.46,46.67,93.88,14.55,0,,0,,0,0.0,0.0,0.0,,,2.08,,3.56,0.0,0.0,0.0,0.0,0,0.0
L. Itter,Gian-Luca Itter,440860,Greuther Fürth,Greuther Fürth,https://cdn5.wyscout.com/photos/team/public/333_120x120.png,2. Bundesliga,"LB, LCB3",LB,72,LCB3,27,,0,27,1999-01-05,1500000,2027-06-30,3,303,0,0.01,0,0.33,11.58,61.54,Germany,['Germany'],left,183,74,False,8.32,7.13,62.5,1.78,50.0,0.0,0.0,0.0,3.86,4.8100000000000005,0.59,0,0.0,0,0.0,1.49,0.0,0,0.0,0.0,0,0.0,1,0.30000000000000004,0.0,0.0,0.0,2.67,22.22,2.67,22.22,0.0,0.0,0.89,1.19,75.0,2.38,75.0,0.89,1.78,0.59,26.44,4.46,0.59,38.91,72.52,16.34,70.91,6.83,73.91,33.86,78.95,2.38,37.5,17.6,43.75,0.1,1.19,0.0,0.0,0.0,0.0,0.59,5.35,61.11,2.08,28.57,0.0,0.0,0.30000000000000004,1.19,8.61,65.52,85.29,10.1,0,,0,,0,0.0,0.0,0.0,,,0.89,,1.78,0.30000000000000004,0.0,0.0,0.89,0,0.0
P. Will,Paul Will,454072,Greuther Fürth,Greuther Fürth,https://cdn5.wyscout.com/photos/team/public/333_120x120.png,2. Bundesliga,"LCMF, DMF",LCMF,72,DMF,27,,0,27,1999-03-01,500000,2029-06-30,3,303,0,0.38,0,0.06,8.61,58.62,Germany,['Germany'],left,185,77,False,5.94,3.86,53.85,1.49,60.0,0.0,0.0,0.59,3.86,4.8100000000000005,0.59,0,0.0,0,0.0,0.59,0.0,0,0.0,0.11,0,0.0,1,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.30000000000000004,100.0,2.67,66.67,0.89,0.30000000000000004,0.59,22.28,0.0,1.19,31.49,90.57,10.4,80.0,4.16,100.0,28.22,94.74,2.9699999999999998,50.0,17.49,34.86,0.02,1.49,0.0,0.30000000000000004,0.0,0.0,0.0,5.05,76.47,0.89,66.67,0.0,0.0,0.30000000000000004,0.30000000000000004,3.27,72.73,100.0,11.58,0,,0,,0,0.0,0.0,0.0,,,2.08,,1.49,0.30000000000000004,0.0,0.0,1.19,0,0.0
M. Aydın,Mehmet Can Aydın,-59139,Eintracht Braunschweig,Eintracht Braunschweig,https://cdn5.wyscout.com/photos/team/public/1121_120x120.png,2. Bundesliga,"RB, RCB3",RB,65,RCB3,34,,0,24,2002-02-09,1500000,2027-06-30,3,300,1,0.86,0,0.16,15.9,66.04,Germany,"['Germany', 'Türkiye']",right,180,78,False,11.4,7.5,60.0,2.4,87.5,0.0,0.0,1.5,6.9,9.32,0.30000000000000004,0,0.0,0,0.0,1.8,0.30000000000000004,0,0.0,0.26,0,0.0,5,1.5,40.0,20.0,0.0,2.7,22.22,0.30000000000000004,0.0,2.4,25.0,0.6000000000000001,1.5,40.0,5.1,58.82,0.6000000000000001,0.30000000000000004,0.6000000000000001,28.8,1.5,2.4,39.0,76.15,16.5,70.91,6.6,90.91,30.9,86.41,6.3,47.62,21.31,42.72,0.05,0.6000000000000001,0.0,0.0,0.0,0.0,0.30000000000000004,8.1,66.67,3.6,25.0,0.30000000000000004,0.0,1.2,0.30000000000000004,10.5,82.86,75.0,12.0,0,,0,,0,0.0,0.0,0.0,,,1.2,,2.4,0.9,0.30000000000000004,100.0,0.9,1,100.0
K. Ehlers,Kevin Ehlers,-44494,Eintracht Braunschweig,Eintracht Braunschweig,https://cdn5.wyscout.com/photos/team/public/1121_120x120.png,2. Bundesliga,"RCB, CB",RCB,65,CB,34,,0,25,2001-01-23,300000,2027-06-30,3,300,1,0.32,0,0.0,8.7,65.52,Germany,['Germany'],right,190,86,False,9.6,2.7,66.67,5.1,64.71,0.0,0.0,0.6000000000000001,7.8,10.54,0.6000000000000001,1,0.30000000000000004,0,0.0,0.6000000000000001,0.30000000000000004,1,0.30000000000000004,0.1,1,0.30000000000000004,2,0.6000000000000001,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.30000000000000004,100.0,0.6000000000000001,0.6000000000000001,0.0,34.2,0.30000000000000004,0.30000000000000004,48.3,88.2,17.4,75.86,1.8,83.33,44.4,90.54,3.9,61.54,19.55,45.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,86.67,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,6.0,60.0,97.37,22.8,0,,0,,0,0.0,0.0,0.0,,,1.2,,5.1,0.0,0.0,0.0,0.0,0,0.0
R. Hoffmann,Ron-Torben Hoffmann,420674,Eintracht Braunschweig,Eintracht Braunschweig,https://cdn5.wyscout.com/photos/team/public/1121_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,27,1999-04-04,1000000,2027-06-30,3,300,0,0.0,0,0.0,0.6000000000000001,100.0,Germany,['Germany'],right,192,87,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,100.0,0.0,0.0,0.0,22.2,0.6000000000000001,0.6000000000000001,34.8,84.48,15.3,68.63,0.0,0.0,23.4,96.15,11.4,60.53,31.31,45.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,50.0,0.30000000000000004,100.0,0.0,0.0,0.30000000000000004,0.0,9.6,68.75,96.88,19.2,7,2.1,13,3.9,0,46.15,5.83,1.75,-1.17,-0.35100000000000003,0.0,2.1,0.0,,,,0.0,0,0.0
А. Markhiev,Adam Markhiev,-344739,Nürnberg,Nürnberg,https://cdn5.wyscout.com/photos/team/public/98_120x120.png,2. Bundesliga,RDMF,RDMF,94,,0,,0,24,2002-03-17,0,2030-06-30,3,300,2,0.12,0,0.23,13.2,65.91,Finland,['Finland'],right,183,0,False,11.4,8.1,62.96,1.2,100.0,0.30000000000000004,0.43,1.5,6.0,8.7,1.8,0,0.0,0,0.0,1.2,0.6000000000000001,2,0.6000000000000001,0.04,0,0.0,3,0.9,66.67,66.667,0.0,0.6000000000000001,100.0,0.6000000000000001,100.0,0.0,0.0,0.30000000000000004,0.30000000000000004,0.0,3.6,58.33,0.6000000000000001,2.1,0.0,42.6,0.30000000000000004,1.8,54.6,92.31,16.2,85.19,3.3,100.0,49.8,92.77,4.2,85.71,18.87,44.01,0.07,0.9,0.0,0.0,0.0,0.0,0.30000000000000004,8.7,89.66,1.2,75.0,0.0,0.0,0.6000000000000001,0.6000000000000001,8.7,93.1,96.7,27.3,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.2,0.0,0.0,0.0,1.8,0,0.0
A. Kalogeropoulos,Alexios Kalogeropoulos,-201660,Nürnberg,Nürnberg,https://cdn5.wyscout.com/photos/team/public/98_120x120.png,2. Bundesliga,RCB,RCB,94,,0,,0,22,2004-07-26,1000000,2030-06-30,3,300,0,0.0,0,0.28,6.0,50.0,Greece,['Greece'],right,187,78,False,9.9,3.0,50.0,2.4,62.5,0.0,0.0,0.9,8.4,12.17,1.2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.30000000000000004,0.0,39.0,1.2,0.0,51.3,91.81,16.2,81.48,3.6,100.0,48.0,96.25,3.3,27.27,19.02,26.99,0.09,0.6000000000000001,0.0,0.0,0.0,0.0,0.6000000000000001,3.0,80.0,0.6000000000000001,50.0,0.0,0.0,0.6000000000000001,0.0,4.2,35.71,98.84,25.8,0,,0,,0,0.0,0.0,0.0,,,3.0,,2.4,0.0,0.0,0.0,0.0,0,0.0
