Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Ruoppi,Otto Ruoppi,-291595,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/727_120x120.png,Veikkausliiga,"AMF, CF",AMF,60,CF,27,,0,20.0,2006-01-31,0,2030-06-30,11,1067,3,1.85,2,2.67,15.94,39.68,Finland,['Finland'],right,180,0,True,4.47,5.48,53.85,2.45,48.28,0.08,0.13,0.08,1.43,2.13,1.43,0,0.0,0,0.0,2.11,0.25,2,0.17,0.16,1,0.08,13,1.1,38.46,23.077,0.17,2.11,44.0,1.35,43.75,0.76,44.44,0.25,1.18,57.14,6.24,28.38,4.05,1.1,0.08,24.8,1.94,0.34,32.9,76.92,7.51,67.42,7.34,82.76,29.35,79.31,1.43,76.47,15.86,18.05,0.23,1.77,0.17,0.0,0.17,50.0,0.59,4.05,87.5,3.54,42.86,0.17,50.0,1.77,0.93,4.98,77.97,80.8,10.54,0,,0,,0,0.0,0.0,0.0,,,0.17,,2.45,0.0,0.0,0.0,0.34,1,100
C. Antwi,Clinton Antwi,-53293,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/727_120x120.png,Veikkausliiga,LB,LB,100,,0,,0,26.0,1999-11-06,0,2026-12-31,11,996,0,0.71,1,1.4,9.49,46.67,Ghana,['Ghana'],left,170,70,False,7.68,4.07,62.22,1.3599999999999999,46.67,0.36,0.54,0.0,4.79,7.1,0.54,1,0.09,0,0.0,2.17,0.0,0,0.0,0.06,0,0.0,15,1.3599999999999999,6.67,0.0,0.09,3.25,50.0,2.98,48.48,0.18,50.0,0.45,0.63,57.14,2.89,34.38,1.17,0.99,0.18,44.19,1.99,0.45,56.39,84.94,22.59,77.2,11.93,95.45,47.98,91.15,5.15,49.12,18.28,31.99,0.13,1.08,0.0,0.0,0.09,100.0,0.18,8.49,75.53,5.24,68.97,0.27,66.67,1.54,1.54,12.74,75.89,86.88,14.46,0,,0,,0,0.0,0.0,0.0,,,0.72,,1.3599999999999999,0.99,0.18,0.0,2.62,0,0
P. Ahiabu,Prosper Dayegbe Ahiabu,-67418,Inter Turku,Inter Turku,https://cdn5.wyscout.com/photos/team/public/655_120x120.png,Veikkausliiga,"DMF, RDMF",DMF,61,RDMF,24,,0,27.0,1999-05-10,0,2027-12-31,11,991,0,1.22,0,0.19,15.26,55.36,Ghana,['Ghana'],right,188,79,False,7.99,6.8100000000000005,70.67,2.45,37.04,0.18,0.27,0.36,3.0,4.5,1.73,3,0.27,0,0.0,0.73,0.0,0,0.0,0.11,0,0.0,10,0.91,30.0,0.0,0.0,0.18,50.0,0.09,0.0,0.09,100.0,0.0,0.36,100.0,4.09,48.89,1.0,0.45,0.0,27.7,0.36,0.64,39.6,88.3,10.99,74.38,8.17,95.56,35.42,91.79,4.0,59.09,19.17,37.26,0.02,0.27,0.0,0.0,0.18,0.0,0.09,4.99,70.91,1.18,46.15,0.36,25.0,0.45,0.09,5.72,74.6,94.51,14.89,0,,0,,0,0.0,0.0,0.0,,,2.0,,2.45,0.0,0.0,0.0,0.0,0,0
E. Huuhtanen,Eetu Huuhtanen,-129392,Inter Turku,Inter Turku,https://cdn5.wyscout.com/photos/team/public/655_120x120.png,Veikkausliiga,GK,GK,100,,0,,0,23.0,2003-01-31,0,2026-12-31,10,973,0,0.0,0,0.0,0.37,75.0,Finland,['Finland'],right,187,79,False,1.48,0.0,0.0,0.37,75.0,0.0,0.0,0.0,1.48,2.19,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.58,0.09,0.0,43.94,88.0,22.01,78.57,0.0,0.0,32.47,98.86,11.47,57.26,27.59,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,60.98,0.09,0.0,0.55,50.0,0.0,0.0,8.23,68.54,97.73,20.35,7,0.65,24,2.22,4,70.83,5.32,0.49,-1.6800000000000002,-0.155,0.0,1.29,0.37,,,,0.0,0,0
J. Kreidl,Johannes Kreidl,337111,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/727_120x120.png,Veikkausliiga,GK,GK,100,,0,,0,30.0,1996-03-07,500000,2028-12-31,10,970,0,0.0,0,0.0,0.93,100.0,Austria,['Austria'],right,194,83,False,1.58,0.0,0.0,0.56,100.0,0.0,0.0,0.0,1.58,2.41,0.0,0,0.0,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.28,100.0,0.0,0.0,0.0,35.35,0.09,0.19,47.78,85.05,28.39,76.47,0.09,0.0,34.14,94.84,13.55,60.96,28.92,48.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59,59.15,0.46,40.0,0.46,40.0,0.09,0.0,11.6,74.4,97.92,17.81,9,0.84,37,3.43,3,75.68,10.32,0.96,1.32,0.122,0.0,1.8599999999999999,0.56,,,,0.0,0,0
J. Skau,Jesper Svenungsen Skau,-192153,Jaro,Jaro,https://cdn5.wyscout.com/photos/team/public/726_120x120.png,Veikkausliiga,"RCMF, LCMF, RCB3",RCMF,22,LCMF,17,RCB3,17,23.0,2003-05-19,100000,2027-12-31,10,967,0,0.44,0,0.28,9.4,47.52,Norway,['Norway'],right,183,75,False,7.07,4.19,48.89,1.77,52.63,0.09,0.11,0.47000000000000003,4.93,5.6,1.21,2,0.19,0,0.0,0.37,0.0,0,0.0,0.04,0,0.0,7,0.65,28.57,0.0,0.0,0.47000000000000003,0.0,0.09,0.0,0.28,0.0,0.09,0.47000000000000003,20.0,1.8599999999999999,35.0,0.47000000000000003,1.21,0.74,36.3,0.37,0.28,51.19,80.91,20.94,69.33,4.84,96.15,43.84,85.99,6.89,54.05,19.51,38.99,0.03,0.19,0.09,0.0,0.09,100.0,0.09,10.14,67.89,1.8599999999999999,35.0,0.84,55.56,0.74,0.0,10.05,71.3,90.05,18.71,0,,0,,0,0.0,0.0,0.0,,,0.84,,1.77,0.0,0.0,0.0,0.0,0,0
M. Ogungbaro,Michael Olusoji Ogungbaro,442671,Jaro,Jaro,https://cdn5.wyscout.com/photos/team/public/726_120x120.png,Veikkausliiga,"RCB, CB, RCB3",RCB,45,CB,39,RCB3,12,29.0,1996-07-10,50000,2027-12-31,10,967,0,0.42,2,0.2,11.91,59.38,Nigeria,['Nigeria'],right,188,82,False,8.47,4.1,65.91,5.21,58.93,0.09,0.11,0.56,5.68,6.44,0.74,2,0.19,0,0.0,0.28,0.0,0,0.0,0.04,0,0.0,6,0.56,16.67,0.0,0.19,0.19,100.0,0.09,100.0,0.09,100.0,0.09,0.09,0.0,1.02,45.45,0.93,0.19,0.0,37.6,0.37,0.19,52.31,90.57,15.54,76.05,2.61,96.43,47.0,95.05,5.21,50.0,20.77,40.9,0.02,0.09,0.0,0.0,0.0,0.0,0.09,5.21,60.71,0.37,25.0,0.47000000000000003,40.0,0.09,0.19,6.24,76.12,97.26,27.18,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,5.21,0.0,0.0,0.0,0.0,0,0
J. Pirinen,Juha Pirinen,31396,Oulu,Oulu,https://cdn5.wyscout.com/photos/team/public/2628_120x120.png,Veikkausliiga,LCB,LCB,99,,0,,0,34.0,1991-10-22,250000,2027-12-31,10,959,1,0.68,0,0.0,13.7,76.03,Finland,['Finland'],left,185,81,False,9.01,4.5,81.25,4.79,72.55,0.09,0.11,0.28,5.26,6.11,0.47000000000000003,3,0.28,0,0.0,0.47000000000000003,0.09,1,0.09,0.06,1,0.09,4,0.38,100.0,25.0,0.0,0.09,100.0,0.09,100.0,0.0,0.0,0.0,0.0,0.0,1.6,88.24,0.38,0.84,0.28,32.75,0.56,1.78,50.02,78.61,27.69,69.49,1.97,95.24,39.6,87.2,10.32,45.45,22.59,41.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,60.82,1.13,25.0,0.19,0.0,0.09,0.09,14.55,63.87,91.44,17.55,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,4.79,0.0,0.0,0.0,0.0,0,0
T. Hytönen,Teemu Hytönen,-343026,Ilves,Ilves,https://cdn5.wyscout.com/photos/team/public/g2385_120x120.png,Veikkausliiga,CF,CF,87,,0,,0,23.0,2002-08-15,0,2026-12-31,10,950,4,3.39,1,0.81,14.59,35.71,Finland,['Finland'],right,194,77,False,4.36,2.65,71.43,3.69,33.33,0.0,0.0,0.09,2.46,2.8,0.19,1,0.09,0,0.0,1.23,0.38,4,0.38,0.32,0,0.0,21,1.99,38.1,19.048,0.09,0.5700000000000001,16.67,0.19,0.0,0.38,25.0,0.19,1.42,26.67,5.59,23.73,3.41,1.04,0.19,9.95,2.46,1.1400000000000001,11.94,66.67,3.51,45.95,3.13,87.88,10.61,72.32,0.76,25.0,14.63,17.25,0.08,0.38,0.09,0.0,0.0,0.0,0.38,1.71,50.0,1.04,63.64,0.0,0.0,0.76,0.09,1.71,61.11,68.97,2.75,0,,0,,0,0.0,0.0,0.0,,,0.09,,3.69,0.0,0.0,0.0,0.0,0,0
P. Pennanen,Petteri Pennanen,31509,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/727_120x120.png,Veikkausliiga,"LDMF, LCMF, LAMF",LDMF,42,LCMF,30,LAMF,16,35.0,1990-09-19,200000,2027-12-31,10,943,1,0.97,2,1.82,10.02,52.38,Finland,['Finland'],right,181,77,False,5.92,4.87,64.71,0.29,66.67,0.29,0.42,0.19,2.48,3.63,0.86,0,0.0,0,0.0,0.86,0.1,1,0.1,0.09,0,0.0,14,1.34,28.57,7.143,0.19,1.34,21.43,0.9500000000000001,30.0,0.38,0.0,0.1,0.76,25.0,3.05,31.25,1.72,1.05,0.1,57.45,0.29,0.9500000000000001,67.19,91.62,17.08,82.68,11.55,98.35,61.37,94.71,4.49,70.21,17.87,36.01,0.17,1.81,0.1,0.0,0.0,0.0,0.29,8.59,86.67,2.96,64.52,0.48,60.0,1.72,0.29,7.54,86.08,95.86,27.68,0,,0,,0,0.0,0.0,0.0,,,2.86,,0.29,1.05,0.38,75.0,4.29,0,0
R. Karjalainen,Rasmus  Karjalainen,343631,Oulu,Oulu,https://cdn5.wyscout.com/photos/team/public/2628_120x120.png,Veikkausliiga,"CF, AMF",CF,74,AMF,25,,0,30.0,1996-04-04,0,2028-12-31,10,939,7,4.17,1,1.44,12.08,30.16,Finland,['Finland'],right,186,82,False,3.35,2.7800000000000002,62.07,2.59,25.93,0.1,0.11,0.29,1.53,1.8,0.48,0,0.0,0,0.0,1.82,0.67,5,0.48,0.4,0,0.0,24,2.3,45.83,29.167,0.1,0.58,66.67,0.1,0.0,0.48,80.0,0.0,0.96,40.0,4.89,13.73,2.88,0.48,0.0,12.46,1.82,0.0,17.64,66.3,7.09,55.41,3.07,84.38,13.8,72.92,3.26,38.24,19.32,37.23,0.14,1.53,0.0,0.1,0.0,0.0,0.38,3.83,50.0,1.34,50.0,0.48,0.0,0.77,0.19,3.35,71.43,60.0,4.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.59,1.63,0.29,33.33,2.11,2,100
