Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Fernandes,Alyssa Fernandes,-336080,Standard Liège,Standard Liège,https://cdn5.wyscout.com/photos/team/public/g5356_120x120.png,Super League,GK,GK,100,,0,,0,20.0,2006-01-01,0,,18,1729,0,0.0,0,0.0,0.78,80.0,France,['France'],unknown,0,0,False,1.87,0.05,0.0,0.42,100.0,0.0,0.0,0.0,1.87,2.33,0.05,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,75.0,0.0,0.0,0.0,11.92,0.16,0.36,22.02,83.69,11.45,73.64,0.0,0.0,15.51,95.64,6.45,55.65,26.8,38.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,48.0,95.63,9.53,26,1.35,72,3.75,3,63.89,23.7,1.23,-2.3,-0.12,0.0,1.51,0.42,,,,0.0,0,0
C. O'Riordan,Claire O'Riordan,413030,Standard Liège,Standard Liège,https://cdn5.wyscout.com/photos/team/public/g5356_120x120.png,Super League,LCB,LCB,98,,0,,0,31.0,1994-10-12,0,,18,1723,0,1.0,2,0.31,11.8,64.6,Republic of Ireland,['Republic of Ireland'],both,169,0,False,10.6,5.12,70.41,4.13,64.56,0.1,0.13,0.5700000000000001,6.89,8.67,1.1,5,0.26,0,0.0,0.42,0.0,0,0.0,0.05,0,0.0,8,0.42,12.5,0.0,0.1,0.21,50.0,0.16,66.67,0.05,0.0,0.05,0.31,83.33,1.31,40.0,0.68,0.47000000000000003,0.0,17.5,0.0,0.47000000000000003,34.84,78.86,14.42,64.86,2.19,83.33,29.77,84.91,4.86,43.01,19.89,30.73,0.02,0.05,0.0,0.0,0.05,0.0,0.05,3.87,44.59,0.68,46.15,0.73,28.57,0.37,0.05,6.63,48.03,91.13,15.3,0,,0,,0,0.0,0.0,0.0,,,1.46,,4.13,0.47000000000000003,0.0,0.0,0.0,0,0
H. Damman,Hillary Damman,420984,Zulte-Waregem,Zulte-Waregem,https://cdn5.wyscout.com/photos/team/public/g5364_120x120.png,Super League,GK,GK,100,,0,,0,27.0,1998-06-15,0,,18,1717,0,0.0,0,0.0,0.73,92.86,France,['France'],,0,0,False,1.62,0.05,0.0,0.47000000000000003,100.0,0.0,0.0,0.0,1.62,1.87,0.0,0,0.0,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.1,100.0,0.0,0.0,0.0,15.52,0.21,0.16,24.58,85.5,11.48,73.52,0.0,0.0,15.83,98.34,8.7,62.65,26.39,38.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.82,57.66,95.87,11.43,26,1.3599999999999999,93,4.87,7,72.04,29.1,1.53,3.1,0.162,0.0,1.31,0.47000000000000003,,,,0.0,0,0
A. Bert,Amber Bert,-442590,Zulte-Waregem,Zulte-Waregem,https://cdn5.wyscout.com/photos/team/public/g5364_120x120.png,Super League,"RCB, CB",RCB,74,CB,18,,0,25.0,2000-10-09,0,,18,1709,1,0.87,0,0.06,8.22,59.62,Belgium,['Belgium'],unknown,0,0,False,7.37,4.69,69.66,1.58,53.33,0.11,0.12,0.26,4.0,4.6,0.26,2,0.11,0,0.0,0.26,0.05,1,0.05,0.05,0,0.0,3,0.16,66.67,33.333,0.0,0.32,33.33,0.26,20.0,0.05,100.0,0.0,0.05,100.0,0.9500000000000001,27.78,0.16,0.26,0.0,18.85,0.11,0.05,35.92,71.55,18.54,58.52,3.16,98.33,25.28,83.13,10.32,44.39,23.78,37.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.85,47.75,0.63,33.33,0.42,25.0,0.11,0.16,10.27,50.77,87.21,11.53,0,,0,,0,0.0,0.0,0.0,,,2.9,,1.58,0.58,0.11,50.0,0.26,0,0
L. Deloose,Laura Deloose,268952,Anderlecht,Anderlecht,https://cdn5.wyscout.com/photos/team/public/g5353_120x120.png,Super League,RB,RB,93,,0,,0,32.0,1993-06-19,0,,18,1708,0,0.78,5,2.7199999999999998,13.96,51.32,Belgium,['Belgium'],,0,0,False,8.27,5.06,70.83,0.9,35.29,0.26,0.42,0.11,4.43,7.04,0.58,2,0.11,0,0.0,2.37,0.0,0,0.0,0.04,0,0.0,11,0.58,18.18,0.0,0.26,4.43,27.38,0.05,0.0,4.32,28.05,1.11,1.9500000000000002,54.05,6.69,41.73,1.9500000000000002,2.11,0.05,37.73,3.43,1.37,50.8,77.49,21.45,72.24,7.85,95.97,41.84,84.89,4.64,56.82,19.44,32.43,0.14,1.05,0.05,0.11,0.05,0.0,0.6900000000000001,7.22,67.88,4.53,46.51,0.42,50.0,1.21,1.42,12.01,75.44,78.37,14.86,0,,0,,0,0.0,0.0,0.0,,,2.0,,0.9,0.05,0.0,0.0,0.0,0,0
C. Tison,Charlotte Tison,381567,Ladies Genk,Ladies Genk,https://cdn5.wyscout.com/photos/team/public/g34238_120x120.png,Super League,"RCB, CB, DMF",RCB,44,CB,21,DMF,18,28.0,1998-04-21,0,,18,1704,1,0.78,0,0.91,15.53,58.84,Belgium,['Belgium'],,0,0,False,12.62,7.08,67.91,4.07,64.94,0.9,1.06,0.63,6.92,8.2,1.06,3,0.16,0,0.0,0.74,0.05,1,0.05,0.04,1,0.05,7,0.37,28.57,14.286,0.0,0.21,100.0,0.0,0.0,0.21,100.0,0.16,0.42,75.0,2.64,32.0,0.63,0.32,0.05,18.49,0.21,0.53,36.34,79.07,14.47,66.06,4.17,96.2,32.01,82.01,4.12,55.13,18.02,33.54,0.05,0.32,0.21,0.0,0.11,100.0,0.16,3.49,62.12,0.32,50.0,0.16,100.0,0.21,0.21,7.13,47.41,89.41,12.46,0,,0,,0,0.0,0.0,0.0,,,2.17,,4.07,0.16,0.0,0.0,0.11,0,0
G. Vanaenrode,Gwyneth Vanaenrode,455828,Ladies Genk,Ladies Genk,https://cdn5.wyscout.com/photos/team/public/g34238_120x120.png,Super League,"LB, RB, RB5",LB,42,RB,17,RB5,17,25.0,2000-05-25,0,,18,1701,1,1.6099999999999999,2,0.91,20.42,52.33,Belgium,['Belgium'],,0,0,False,11.48,9.68,71.58,1.06,15.0,0.11,0.13,0.05,4.44,5.27,1.32,2,0.11,0,0.0,2.12,0.05,1,0.05,0.09,0,0.0,10,0.53,20.0,10.0,0.11,2.06,35.9,1.01,42.11,1.06,30.0,0.21,2.49,48.94,6.88,33.85,1.01,1.38,0.26,19.26,1.32,0.53,31.27,70.56,15.03,63.73,3.86,93.15,24.87,76.17,4.55,55.81,19.18,30.98,0.05,0.42,0.0,0.0,0.11,50.0,0.32,3.86,52.05,2.01,28.95,0.32,33.33,0.0,0.74,8.04,61.84,76.82,7.99,0,,0,,0,0.0,0.0,0.0,,,1.43,,1.06,0.05,0.0,0.0,0.0,0,0
S. Vandersanden,Sien Vandersanden,-263413,Ladies Genk,Ladies Genk,https://cdn5.wyscout.com/photos/team/public/g34238_120x120.png,Super League,"LCMF3, AMF, LCMF",LCMF3,29,AMF,14,LCMF,10,24.0,2002-05-03,0,,20,1687,4,2.04,3,2.79,13.71,47.86,Belgium,['Belgium'],,0,0,False,7.26,5.01,65.96,3.04,49.12,0.11,0.12,0.16,3.84,4.45,0.64,1,0.05,0,0.0,1.44,0.21,3,0.16,0.11,0,0.0,20,1.07,45.0,20.0,0.16,1.12,57.14,0.59,54.55,0.53,60.0,0.11,0.59,54.55,3.95,29.73,0.8,0.27,0.0,19.21,1.97,0.59,33.93,66.51,13.92,50.57,6.5600000000000005,91.06,27.15,73.67,5.76,34.26,18.81,31.57,0.15,1.12,0.05,0.05,0.05,0.0,0.59,6.67,48.0,2.13,47.5,1.33,40.0,0.53,0.64,7.15,60.45,70.51,8.32,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,3.04,1.49,0.21,25.0,2.67,1,100
K. Nelemans,Kayra Nelemans,-146481,Club Brugge,Club Brugge,https://cdn5.wyscout.com/photos/team/public/g7013_120x120.png,Super League,LB,LB,98,,0,,0,23.0,2002-10-11,0,,18,1687,0,1.16,4,4.24,21.61,54.07,Netherlands,['Netherlands'],,0,0,False,13.44,10.24,65.1,2.77,46.15,0.53,0.78,0.05,6.24,9.09,1.23,2,0.11,0,0.0,2.83,0.0,0,0.0,0.06,0,0.0,15,0.8,46.67,0.0,0.21,3.52,27.27,3.31,29.03,0.21,0.0,0.6900000000000001,2.08,71.79,5.44,50.0,1.23,1.12,0.0,26.41,1.3900000000000001,1.12,39.85,67.6,19.1,63.41,4.53,89.41,30.04,74.6,6.4,55.83,20.56,32.64,0.23,1.76,0.11,0.0,0.0,0.0,0.37,6.4,61.67,3.2,43.33,0.48,33.33,0.43,0.91,10.88,63.24,71.73,10.19,0,,0,,0,0.0,0.0,0.0,,,0.91,,2.77,1.01,0.05,100.0,3.15,0,0
S. Arons,Sanne Arons,-752353,Ladies Genk,Ladies Genk,https://cdn5.wyscout.com/photos/team/public/g34238_120x120.png,Super League,"CF, RW, RAMF",CF,39,RW,17,RAMF,17,20.0,2005-08-25,0,,19,1639,4,2.95,4,2.85,21.8,43.83,Netherlands,"['Netherlands', 'Belgium']",unknown,0,0,False,7.52,6.04,70.0,4.12,37.33,0.33,0.39,0.05,2.9699999999999998,3.52,1.04,4,0.22,0,0.0,3.02,0.22,4,0.22,0.16,0,0.0,26,1.43,30.77,15.385,0.22,3.18,31.03,0.16,33.33,3.02,30.91,0.11,3.08,48.21,8.95,30.06,2.9699999999999998,2.2,0.88,14.11,3.13,0.55,22.18,58.17,5.77,46.67,4.94,86.67,17.35,67.09,1.92,17.14,17.33,33.72,0.16,0.93,0.22,0.0,0.11,100.0,0.66,3.18,27.59,2.64,43.75,0.49,22.22,0.71,0.99,3.5700000000000003,60.0,50.0,6.26,0,,0,,0,0.0,0.0,0.0,,,0.16,,4.12,0.0,0.0,0.0,0.16,0,0
