Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Lundhall,Christopher Lundhall,-540088,Levanger,Levanger,https://cdn5.wyscout.com/photos/team/public/g6817_120x120.png,2. Division,GK,GK,100,,0,,0,19.0,2006-11-23,0,2028-12-31,16,1585,0,0.0,0,0.0,1.1400000000000001,70.0,Sweden,['Sweden'],,0,0,False,1.76,0.34,50.0,0.62,90.91,0.11,0.13,0.0,1.48,1.6400000000000001,0.06,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.63,0.28,0.11,25.27,76.85,16.35,66.32,0.0,0.0,11.64,97.07,13.51,60.08,40.83,54.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,52.11,0.74,7.69,0.79,28.57,0.11,0.0,9.43,81.33,95.89,8.29,19,1.08,58,3.29,6,67.24,16.73,0.9500000000000001,-2.27,-0.129,0.0,2.21,0.62,,,,0.0,0,0.0
P. Klausen,Peder Nygaard Klausen,-192164,Mjøndalen,Mjøndalen,https://cdn5.wyscout.com/photos/team/public/2610_120x120.png,2. Division,GK,GK,100,,0,,0,23.0,2003-05-09,0,,16,1580,0,0.0,0,0.0,0.97,94.12,Norway,['Norway'],right,191,78,False,0.97,0.0,0.0,0.68,100.0,0.06,0.08,0.0,0.91,1.27,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,66.67,0.0,0.0,0.0,11.16,0.17,0.28,20.22,81.41,11.05,68.04,0.0,0.0,11.45,99.0,8.77,58.44,33.94,48.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,36.67,0.0,0.0,0.06,0.0,0.0,0.0,7.41,66.92,97.35,8.6,20,1.1400000000000001,61,3.47,4,67.21,21.16,1.21,1.16,0.066,0.0,1.48,0.68,,,,0.0,0,0.0
J. Berentzen Finseth,Jonas Berentzen Finseth,-831500,Junkeren/Mo,Junkeren/Mo,https://cdn5.wyscout.com/photos/team/public/g21281_120x120.png,2. Division,GK,GK,100,,0,,0,27.0,1998-12-12,0,,16,1580,0,0.0,0,0.0,2.05,77.78,Norway,['Norway'],,0,0,False,2.79,0.23,50.0,1.37,83.33,0.0,0.0,0.0,2.68,3.2,0.06,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,71.43,0.0,0.0,0.0,18.74,0.17,0.46,36.57,84.58,17.94,72.38,0.06,100.0,24.66,97.69,11.91,57.42,32.24,47.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,27.27,0.11,0.0,0.17,0.0,0.0,0.0,10.14,67.42,96.46,17.72,28,1.5899999999999999,105,5.98,2,73.33,31.98,1.82,3.98,0.227,0.0,3.13,1.37,,,,0.0,0,0.0
H. Meinseth,Havard  Meinseth,-143475,Kjelsås,Kjelsås,https://cdn5.wyscout.com/photos/team/public/g2488_120x120.png,2. Division,LB,LB,100,,0,,0,27.0,1998-12-11,100000,,16,1573,0,0.71,1,3.7800000000000002,12.76,54.71,Norway,['Norway'],right,184,0,False,7.67,5.49,65.63,0.97,58.82,0.11,0.11,0.23,3.95,3.92,0.4,2,0.11,0,0.0,2.46,0.0,0,0.0,0.04,0,0.0,7,0.4,28.57,0.0,0.06,2.8,44.9,2.63,45.65,0.17,33.33,0.5700000000000001,1.8900000000000001,54.55,4.52,46.84,1.49,1.72,0.34,19.0,1.03,0.51,30.61,74.77,11.1,61.34,5.66,95.96,23.0,85.07,4.92,43.02,21.01,36.42,0.22,1.03,0.0,0.0,0.06,100.0,0.5700000000000001,4.12,59.72,3.2,51.79,0.51,66.67,0.92,1.37,7.44,66.15,77.65,9.73,0,,0,,0,0.0,0.0,0.0,,,0.23,,0.97,0.0,0.0,0.0,0.0,0,0.0
E. Hansen Meidal,Erik Hansen Meidal,-450700,Stjørdals-Blink,Stjørdals-Blink,https://cdn5.wyscout.com/photos/team/public/g18703_120x120.png,2. Division,GK,GK,100,,0,,0,27.0,1999-06-04,0,,16,1570,0,0.0,0,0.0,1.9500000000000002,79.41,Norway,['Norway'],unknown,0,0,False,2.81,0.23,50.0,0.86,86.67,0.11,0.15,0.0,2.58,3.48,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,84.62,0.0,0.0,0.0,26.6,0.34,0.6900000000000001,43.62,77.79,29.29,69.08,0.0,0.0,27.69,95.86,15.82,46.74,33.2,52.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54,35.09,1.09,0.0,1.03,11.11,0.0,0.0,10.15,60.45,96.94,13.13,28,1.6099999999999999,79,4.53,1,64.56,25.3,1.45,-2.7,-0.155,0.0,2.06,0.86,,,,0.0,0,0.0
L. Gunnerød,Leander Larona Gunnerød,-279550,Eik-Tønsberg,Eik-Tønsberg,https://cdn5.wyscout.com/photos/team/public/g2487_120x120.png,2. Division,GK,GK,100,,0,,0,19.0,2006-08-20,0,2028-12-31,16,1566,0,0.0,0,0.07,1.03,66.67,Norway,['Norway'],right,0,0,False,1.78,0.23,25.0,0.63,72.73,0.0,0.0,0.0,1.72,2.11,0.11,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,15.23,0.23,0.23,23.1,76.62,15.52,67.04,0.0,0.0,10.0,98.85,12.99,60.18,41.08,54.05,0.0,0.11,0.0,0.0,0.0,0.0,0.0,7.76,55.56,0.98,29.41,0.63,27.27,0.34,0.0,8.68,84.11,96.61,6.78,39,2.24,97,5.57,1,59.79,30.36,1.74,-8.64,-0.497,0.0,1.67,0.63,,,,0.0,0,0.0
A. Smedplass,Andreas Smedplass,-73789,Arendal,Arendal,https://cdn5.wyscout.com/photos/team/public/g20956_120x120.png,2. Division,GK,GK,100,,0,,0,25.0,2001-02-04,0,,16,1566,0,0.0,0,0.0,0.98,94.12,Norway,['Norway'],right,0,0,False,1.26,0.0,0.0,0.6900000000000001,91.67,0.0,0.0,0.0,1.26,1.67,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,15.23,0.06,0.29,23.33,81.77,11.44,71.36,0.0,0.0,13.28,94.81,10.0,64.94,33.3,48.09,0.0,0.0,0.0,0.06,0.0,0.0,0.0,2.01,54.29,0.17,0.0,0.06,0.0,0.0,0.0,7.99,66.91,91.85,10.57,25,1.44,80,4.6,3,68.75,22.68,1.3,-2.32,-0.133,0.0,1.78,0.6900000000000001,,,,0.0,0,0.0
P. Jensen,Petter Eichler Jensen,-270275,Træff,Træff,https://cdn5.wyscout.com/photos/team/public/g18709_120x120.png,2. Division,GK,GK,100,,0,,0,22.0,2003-08-18,0,,16,1565,0,0.0,1,0.02,1.32,86.96,Norway,['Norway'],,0,0,False,2.76,0.17,33.33,0.86,100.0,0.0,0.0,0.0,2.7,3.18,0.06,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23,0.23,0.23,23.06,80.55,15.24,72.08,0.0,0.0,11.44,97.49,11.62,63.86,36.58,50.16,0.0,0.06,0.0,0.0,0.0,0.0,0.06,4.37,55.26,0.63,9.09,0.23,0.0,0.0,0.0,8.11,73.76,98.43,7.3,25,1.44,61,3.51,4,59.02,18.59,1.07,-6.41,-0.369,0.0,1.32,0.86,,,,0.0,0,0.0
P. Bønøgård,Petter Bønøgård,-295002,Kvik Halden,Kvik Halden,https://cdn5.wyscout.com/photos/team/public/g3358_120x120.png,2. Division,GK,GK,100,,0,,0,23.0,2003-04-07,0,,16,1563,0,0.0,1,0.0,0.75,61.54,Norway,['Norway'],unknown,0,0,False,1.6099999999999999,0.23,25.0,0.29,100.0,0.0,0.0,0.0,1.55,1.9100000000000001,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44,0.0,0.12,21.77,80.95,13.3,70.13,0.0,0.0,13.07,96.48,8.64,58.0,34.06,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.8399999999999999,40.63,0.12,0.0,0.12,50.0,0.0,0.0,6.97,74.38,97.81,7.89,19,1.09,78,4.49,5,75.64,20.63,1.19,1.63,0.094,0.0,1.09,0.29,,,,0.0,0,0.0
S. Solås,Sondre Olaus Solås,-289582,Notodden,Notodden,https://cdn5.wyscout.com/photos/team/public/1613_120x120.png,2. Division,GK,GK,100,,0,,0,24.0,2002-06-12,0,2027-12-31,16,1561,0,0.0,0,0.09,0.58,100.0,Norway,['Norway'],right,186,0,False,1.67,0.0,0.0,0.4,100.0,0.0,0.0,0.0,1.67,2.35,0.0,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.06,0.0,25.25,0.23,0.17,38.05,82.73,21.1,72.68,0.0,0.0,21.33,97.57,16.66,64.01,33.65,49.15,0.01,0.06,0.0,0.0,0.0,0.0,0.0,6.11,54.72,0.75,23.08,1.04,38.89,0.17,0.0,11.24,75.9,95.32,16.03,14,0.81,61,3.52,8,77.05,15.46,0.89,1.46,0.084,0.0,1.8399999999999999,0.4,,,,0.0,0,0.0
