Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Sánchez,Liborio Vicente Sánchez Ledezma,41586,Aurora,Aurora,https://cdn5.wyscout.com/photos/team/public/g13445_120x120.png,Liga Nacional,GK,GK,100,,0,,0,36.0,1989-10-09,100000,2027-06-30,6,592,0,0.0,0,0.0,0.15,0.0,Mexico,['Mexico'],right,183,78,False,0.30000000000000004,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.30000000000000004,0.52,0.0,1,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.61,0.0,17.79,87.18,7.6,74.0,0.0,0.0,14.29,100.0,3.5,34.78,27.32,48.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,22.22,0.15,0.0,0.0,0.0,0.0,0.0,2.13,64.29,96.67,9.12,9,1.37,23,3.5,1,60.87,7.27,1.11,-1.73,-0.263,0.0,1.82,0.15,,,,0.0,0,0
A. Bajan,Daniel Alexander Bajan Morales,-722672,Aurora,Aurora,https://cdn5.wyscout.com/photos/team/public/g13445_120x120.png,Liga Nacional,"DMF, RDMF, RCMF",DMF,23,RDMF,16,RCMF,16,27.0,1999-08-08,0,2027-06-30,6,581,1,0.5700000000000001,1,0.66,13.01,44.05,Guatemala,['Guatemala'],,0,0,False,4.96,4.49,55.17,1.24,25.0,0.0,0.0,0.15,2.48,4.25,0.77,1,0.15,0,0.0,2.63,0.15,1,0.15,0.09,0,0.0,8,1.24,37.5,12.5,0.15,3.41,31.82,1.3900000000000001,22.22,2.01,38.46,0.62,2.01,46.15,6.35,43.9,1.7000000000000002,1.24,0.31,42.44,1.8599999999999999,0.93,54.53,81.53,20.29,77.86,7.9,94.12,47.25,86.89,4.03,61.54,18.73,39.09,0.1,1.24,0.15,0.0,0.31,50.0,0.62,8.67,82.14,4.8,48.39,0.31,50.0,1.08,1.08,9.76,77.78,78.57,19.52,0,,0,,0,0.0,0.0,0.0,,,0.77,,1.24,1.24,0.0,0.0,2.79,0,0
V. Cruz Veliz,Vander Estuardo Cruz Veliz,-471277,San Pedro,San Pedro,https://cdn5.wyscout.com/photos/team/public/g13485_120x120.png,Liga Nacional,GK,GK,100,,0,,0,23.0,2002-10-01,0,,6,579,0,0.0,0,0.0,0.62,100.0,Guatemala,['Guatemala'],unknown,177,0,False,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.41000000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,100.0,0.0,0.0,0.0,4.97,0.16,0.62,16.94,88.99,7.46,79.17,0.0,0.0,13.06,97.62,3.89,60.0,30.3,49.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,66.67,0.0,0.0,0.0,0.0,0.0,0.0,4.35,67.86,96.3,8.39,7,1.09,28,4.35,2,75.0,6.78,1.05,-0.22,-0.034,0.0,2.64,0.0,,,,0.0,0,0
D. Álvarez,David Antonio Álvarez Agudelo,176131,San Pedro,San Pedro,https://cdn5.wyscout.com/photos/team/public/g13485_120x120.png,Liga Nacional,"LCB, LB",LCB,76,LB,17,,0,33.0,1992-10-13,200000,2027-06-30,6,579,0,0.0,0,0.0,7.46,66.67,Colombia,['Colombia'],left,188,75,False,9.02,3.11,70.0,3.42,63.64,0.0,0.0,0.62,6.84,8.98,0.47000000000000003,0,0.0,0,0.0,0.16,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.31,50.0,0.31,50.0,0.0,0.0,0.0,0.0,0.0,0.78,60.0,0.47000000000000003,0.0,0.0,20.67,0.47000000000000003,0.47000000000000003,33.42,85.58,15.39,75.76,0.78,80.0,26.42,92.35,6.84,61.36,23.78,43.16,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.8,55.56,0.31,0.0,0.0,0.0,0.0,0.0,6.06,69.23,97.94,15.08,0,,0,,0,0.0,0.0,0.0,,,0.62,,3.42,0.0,0.0,0.0,0.0,0,0
R. Gómez Palacios,Romario Gómez Palacios,-857236,San Pedro,San Pedro,https://cdn5.wyscout.com/photos/team/public/g13485_120x120.png,Liga Nacional,"LCMF, RCMF",LCMF,84,RCMF,14,,0,24.0,2001-12-18,0,,6,556,0,0.68,0,0.0,10.85,40.3,Guatemala,['Guatemala'],unknown,172,0,False,4.86,4.69,44.83,1.78,54.55,0.32,0.43,0.0,2.43,3.24,0.81,1,0.16,0,0.0,0.49,0.0,0,0.0,0.11,0,0.0,5,0.81,40.0,0.0,0.0,0.65,25.0,0.65,25.0,0.0,0.0,0.0,0.49,0.0,4.05,32.0,0.65,0.81,0.16,26.06,0.49,1.29,36.91,84.65,9.23,75.44,6.8,92.86,33.18,88.78,3.08,52.63,19.02,37.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,65.0,0.97,16.67,0.0,0.0,0.16,0.16,4.05,56.0,86.73,15.86,0,,0,,0,0.0,0.0,0.0,,,0.16,,1.78,0.0,0.0,0.0,0.16,0,0
A. Barrientos Mejía,Alexis Jesús Eduardo Barrientos Mejía,-857242,San Pedro,San Pedro,https://cdn5.wyscout.com/photos/team/public/g13485_120x120.png,Liga Nacional,"RCB, LCB",RCB,71,LCB,18,,0,26.0,2000-07-03,0,,6,546,0,0.6000000000000001,0,0.35000000000000003,9.23,71.43,Guatemala,['Guatemala'],right,0,0,False,8.9,2.64,87.5,4.29,73.08,0.0,0.0,0.99,6.59,8.63,0.33,1,0.16,0,0.0,0.8200000000000001,0.0,0,0.0,0.1,0,0.0,11,1.81,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,100.0,1.65,50.0,0.66,0.16,0.16,20.11,0.16,0.66,34.62,78.57,16.48,62.0,0.66,100.0,26.37,86.88,8.24,52.0,28.4,51.71,0.06,0.49,0.0,0.0,0.0,0.0,0.16,3.46,42.86,0.49,33.33,0.0,0.0,0.49,0.0,8.24,60.0,93.81,15.99,0,,0,,0,0.0,0.0,0.0,,,0.49,,4.29,1.48,0.99,16.67,0.0,0,0
C. Monterroso,Carlos Antonio Monterroso Cruz,-102178,Aurora,Aurora,https://cdn5.wyscout.com/photos/team/public/g13445_120x120.png,Liga Nacional,"RB, RCB, LCB",RB,49,RCB,33,LCB,17,27.0,1999-05-29,0,2027-06-30,6,541,1,0.27,0,0.0,11.15,64.18,Guatemala,['Guatemala'],,0,0,False,8.15,4.99,63.33,2.0,50.0,0.17,0.28,0.17,4.82,8.13,0.67,1,0.17,0,0.0,0.33,0.17,1,0.17,0.05,0,0.0,2,0.33,50.0,50.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.5,33.33,2.83,76.47,0.33,1.83,0.17,33.77,0.67,1.33,45.91,82.97,20.96,75.4,3.33,100.0,36.43,89.95,9.15,58.18,22.59,40.62,0.0,0.0,0.0,0.17,0.0,0.0,0.0,7.65,60.87,0.8300000000000001,40.0,0.0,0.0,0.33,0.0,10.48,71.43,89.0,16.64,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,2.0,0.0,0.0,0.0,0.0,0,0
Javier Chacón,Steveth Óscar Javier Chacón Maldonado,-147229,San Pedro,San Pedro,https://cdn5.wyscout.com/photos/team/public/g13485_120x120.png,Liga Nacional,RB,RB,94,,0,,0,31.0,1995-03-31,0,,6,531,0,0.0,0,0.1,9.15,68.52,Guatemala,"['Guatemala', 'Guadeloupe']",right,0,0,False,6.61,4.75,75.0,1.02,50.0,0.17,0.23,0.0,2.88,3.83,0.68,0,0.0,0,0.0,0.85,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.19,14.29,0.0,0.0,1.19,14.29,0.34,0.68,100.0,2.71,62.5,0.34,1.3599999999999999,0.17,23.22,2.2,0.68,32.54,83.33,14.75,74.71,3.39,95.0,27.29,90.06,4.24,56.0,18.94,40.86,0.02,0.68,0.0,0.0,0.0,0.0,0.34,5.59,72.73,1.53,44.44,0.0,0.0,0.68,0.17,7.63,77.78,90.0,10.17,0,,0,,0,0.0,0.0,0.0,,,0.68,,1.02,0.0,0.0,0.0,0.0,0,0
F. Cuero,Marlín Fabián Angulo Cuero,-352997,Mixco,Mixco,https://cdn5.wyscout.com/photos/team/public/g13497_120x120.png,Liga Nacional,"RDMF, LDMF, RCMF",RDMF,26,LDMF,22,RCMF,19,25.0,2001-01-05,0,2026-12-31,6,518,0,0.0,0,0.0,11.29,44.62,Colombia,['Colombia'],right,179,72,False,6.25,6.08,45.71,1.3900000000000001,12.5,0.17,0.27,0.52,3.3,5.04,2.43,3,0.52,1,0.17,0.35000000000000003,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,100.0,3.65,57.14,0.17,0.35000000000000003,0.0,27.45,0.35000000000000003,1.3900000000000001,41.53,82.85,12.51,70.83,4.34,92.0,37.36,86.05,4.17,54.17,21.18,48.35,0.0,0.0,0.17,0.0,0.0,0.0,0.0,6.08,71.43,0.6900000000000001,50.0,0.0,0.0,0.52,0.0,6.6,60.53,90.91,17.2,0,,0,,0,0.0,0.0,0.0,,,0.17,,1.3900000000000001,0.0,0.0,0.0,0.0,0,0
Janderson,Janderson Kione Pereira Rodrigues,145973,Cobán Imperial,Cobán Imperial,https://cdn5.wyscout.com/photos/team/public/g5079_120x120.png,Liga Nacional,"AMF, CF",AMF,70,CF,23,,0,37.0,1989-02-18,100000,2027-06-30,5,504,1,0.52,0,0.55,13.93,48.72,Brazil,['Brazil'],right,175,75,False,3.93,2.32,61.54,4.46,60.0,0.0,0.0,0.0,2.5,3.65,0.89,2,0.36,0,0.0,2.32,0.18,1,0.18,0.09,0,0.0,7,1.25,42.86,14.286,0.0,1.96,27.27,0.71,25.0,1.25,28.57,0.18,1.43,75.0,5.18,34.48,1.79,1.07,0.18,24.29,2.14,1.07,31.07,77.59,10.71,68.33,6.07,88.24,26.79,82.0,2.68,66.67,16.75,30.01,0.1,1.25,0.0,0.0,0.18,100.0,0.36,3.93,63.64,3.39,52.63,0.18,100.0,1.79,0.54,3.93,86.36,82.35,9.11,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.46,1.79,0.18,0.0,2.68,0,0
