Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Al Meqebaali,Hamad Al Meqebaali,-573533,Shabab Al Ahli Dubai,Shabab Al Ahli Dubai,https://cdn5.wyscout.com/photos/team/public/2177_120x120.png,UAE Pro League,GK,GK,100,,0,,0,23.0,2003-07-13,0,,3,314,0,0.0,0,0.0,0.0,0.0,United Arab Emirates,['United Arab Emirates'],,187,0,False,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.47,1.43,0.0,23.79,90.36,10.32,77.78,0.0,0.0,18.63,100.0,5.16,55.56,29.12,49.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,55.56,0.0,0.0,0.0,0.0,0.0,0.0,3.44,75.0,100.0,13.47,1,0.29,9,2.58,2,88.89,2.49,0.71,1.49,0.427,0.0,2.01,0.0,,,,0.0,0,0
Igor Gomes,Igor Gomes Silva,-113208,Shabab Al Ahli Dubai,Shabab Al Ahli Dubai,https://cdn5.wyscout.com/photos/team/public/2177_120x120.png,UAE Pro League,RCB,RCB,95,,0,,0,25.0,2001-03-06,1500000,2028-12-31,3,314,1,0.62,0,0.0,6.59,60.87,Brazil,['Brazil'],right,185,76,False,4.59,2.58,77.78,2.87,40.0,0.0,0.0,0.0,2.58,4.82,0.86,0,0.0,0,0.0,0.5700000000000001,0.29,1,0.29,0.18,0,0.0,2,0.5700000000000001,50.0,50.0,0.0,0.5700000000000001,50.0,0.0,0.0,0.5700000000000001,50.0,0.0,0.0,0.0,0.5700000000000001,50.0,0.5700000000000001,0.29,0.0,39.84,0.29,0.0,53.31,94.09,21.21,89.19,2.29,100.0,49.59,97.11,3.44,58.33,21.91,42.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45,88.46,1.15,50.0,0.0,0.0,0.29,0.29,6.88,95.83,97.78,25.8,0,,0,,0,0.0,0.0,0.0,,,1.72,,2.87,0.0,0.0,0.0,0.0,0,0
Renan,Renan Victor da Silva,-64337,Shabab Al Ahli Dubai,Shabab Al Ahli Dubai,https://cdn5.wyscout.com/photos/team/public/2177_120x120.png,UAE Pro League,LCB,LCB,95,,0,,0,24.0,2002-05-19,0,2029-06-30,3,314,0,0.53,0,0.0,5.16,61.11,Brazil,['Brazil'],left,184,69,False,4.01,1.72,50.0,2.29,62.5,0.0,0.0,0.0,3.15,5.89,0.5700000000000001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.15,0,0.0,4,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,50.0,1.15,0.86,0.0,35.83,0.29,0.29,45.86,91.25,23.79,87.95,1.43,80.0,40.99,96.5,4.87,47.06,24.64,46.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.89,86.84,0.5700000000000001,0.0,0.0,0.0,0.0,0.0,12.61,84.09,96.92,18.63,0,,0,,0,0.0,0.0,0.0,,,0.86,,2.29,0.0,0.0,0.0,0.0,0,0
N. Maksimović,Nemanja Maksimović,299107,Shabab Al Ahli Dubai,Shabab Al Ahli Dubai,https://cdn5.wyscout.com/photos/team/public/2177_120x120.png,UAE Pro League,"RDMF, LDMF, RCMF",RDMF,48,LDMF,29,RCMF,17,31.0,1995-01-26,0,2028-06-30,3,314,0,0.22,0,0.42,6.02,33.33,Serbia,['Serbia'],right,189,78,False,2.01,2.58,33.33,1.72,16.67,0.0,0.0,0.29,1.15,2.14,0.0,0,0.0,0,0.0,1.15,0.0,0,0.0,0.06,0,0.0,2,0.5700000000000001,0.0,0.0,0.0,1.15,75.0,0.5700000000000001,50.0,0.5700000000000001,100.0,0.5700000000000001,0.5700000000000001,50.0,1.15,50.0,1.15,0.0,0.0,24.65,0.0,0.29,33.54,88.03,5.73,65.0,6.02,95.24,31.24,88.99,1.43,80.0,16.58,44.84,0.12,0.86,0.0,0.0,0.0,0.0,0.86,2.29,62.5,2.01,71.43,0.0,0.0,0.86,0.5700000000000001,2.58,66.67,89.13,13.18,0,,0,,0,0.0,0.0,0.0,,,1.15,,1.72,0.0,0.0,0.0,0.0,0,0
Rostand Djooh,Rostand Delord Menpweh Djooh,-545821,Al Dhafra,Al Dhafra,https://cdn5.wyscout.com/photos/team/public/2892_120x120.png,UAE Pro League,LCMF,LCMF,96,,0,,0,24.0,2001-10-23,0,,3,308,0,0.02,0,0.0,10.23,54.29,United Arab Emirates,['United Arab Emirates'],unknown,0,0,False,1.75,2.63,44.44,0.88,0.0,0.0,0.0,0.29,0.58,0.9,1.17,0,0.0,0,0.0,3.21,0.0,0,0.0,0.01,0,0.0,1,0.29,100.0,0.0,0.0,1.75,66.67,1.46,60.0,0.29,100.0,0.29,1.75,100.0,6.43,68.18,0.29,1.46,0.29,37.99,0.0,1.46,46.46,91.19,7.89,81.48,10.52,100.0,40.32,93.48,4.97,82.35,20.71,46.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,78.57,1.46,60.0,0.0,0.0,0.29,0.58,6.14,85.71,90.91,22.5,0,,0,,0,0.0,0.0,0.0,,,1.17,,0.88,0.0,0.0,0.0,0.0,0,0
D. Mendy,Dominique Mendy,-266216,Al Dhafra,Al Dhafra,https://cdn5.wyscout.com/photos/team/public/2892_120x120.png,UAE Pro League,RCMF,RCMF,96,,0,,0,26.0,1999-12-17,0,,3,308,1,0.1,0,0.31,7.31,40.0,Senegal,['Senegal'],left,179,0,False,3.51,2.05,42.86,0.88,0.0,0.0,0.0,0.29,2.63,4.03,1.17,1,0.29,0,0.0,0.88,0.29,1,0.29,0.03,0,0.0,6,1.75,33.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,50.0,3.8,38.46,0.58,0.88,0.29,37.11,0.0,1.17,44.71,94.77,9.35,78.13,7.89,100.0,41.79,97.2,2.92,60.0,19.62,44.52,0.09,0.88,0.0,0.0,0.0,0.0,0.29,7.31,80.0,1.46,40.0,0.29,0.0,0.88,0.0,3.8,92.31,100.0,21.33,0,,0,,0,0.0,0.0,0.0,,,1.46,,0.88,0.29,0.0,0.0,0.29,0,0
M. El Khaloui,Mohamed El Khaloui,-82666,Al Dhafra,Al Dhafra,https://cdn5.wyscout.com/photos/team/public/2892_120x120.png,UAE Pro League,"LB5, LWB, LWF",LB5,48,LWB,16,LWF,15,28.0,1998-04-25,400000,2028-06-30,3,308,0,0.87,0,0.01,10.23,62.86,Morocco,['Morocco'],right,180,67,False,2.63,2.34,62.5,0.88,66.67,0.0,0.0,0.0,1.17,1.79,0.0,0,0.0,0,0.0,3.51,0.0,0,0.0,0.25,0,0.0,4,1.17,50.0,0.0,0.0,2.34,0.0,1.75,0.0,0.58,0.0,0.58,3.21,90.91,6.72,65.22,1.17,2.34,0.0,20.45,3.51,1.46,24.25,83.13,5.26,83.33,6.43,100.0,21.33,91.78,0.88,66.67,14.99,33.63,0.0,0.58,0.0,0.0,0.0,0.0,0.0,3.21,81.82,2.92,20.0,0.0,0.0,0.29,0.29,4.09,78.57,70.37,7.89,0,,0,,0,0.0,0.0,0.0,,,0.29,,0.88,0.0,0.0,0.0,0.88,0,0
M. Camara,Mahamadou Camara,-542794,Bani Yas,Bani Yas,https://cdn5.wyscout.com/photos/team/public/2890_120x120.png,UAE Pro League,LCB,LCB,96,,0,,0,24.0,2002-01-24,0,2027-06-30,3,307,0,0.01,0,0.05,4.1,71.43,Mali,['Mali'],unknown,190,0,False,7.62,1.17,50.0,2.05,100.0,0.0,0.0,2.05,7.04,8.78,0.88,2,0.59,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.29,0.0,0.0,0.0,0.59,0.0,0.59,0.0,0.0,0.0,0.59,0.0,0.0,0.29,0.0,0.29,0.59,0.0,26.09,0.59,0.0,34.3,77.78,14.07,60.42,1.76,100.0,28.14,90.63,5.57,21.05,26.67,51.38,0.02,0.29,0.29,0.0,0.0,0.0,0.0,6.45,40.91,3.22,18.18,0.0,0.0,0.88,0.29,6.45,50.0,89.29,16.42,0,,0,,0,0.0,0.0,0.0,,,0.88,,2.05,0.0,0.0,0.0,0.0,0,0
Fahad Al Dhanhani,Fahad Mohamed Ahmed Hassan Al Dhanhani,213764,Bani Yas,Bani Yas,https://cdn5.wyscout.com/photos/team/public/2890_120x120.png,UAE Pro League,GK,GK,100,,0,,0,34.0,1991-09-03,300000,2027-06-30,3,307,0,0.0,0,0.0,0.29,100.0,United Arab Emirates,['United Arab Emirates'],,175,65,False,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.37,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.0,0.0,0.0,8.21,0.29,0.29,16.12,74.55,7.62,57.69,0.0,0.0,11.43,92.31,4.69,31.25,27.5,42.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.29,0.0,0.0,0.0,0.0,0.0,3.52,16.67,87.5,7.04,9,2.64,23,6.74,0,60.87,8.68,2.54,-0.32,-0.094,0.0,2.35,0.0,,,,0.0,0,0
I. Moumen,Ismail Moumen,-348453,Ajman,Ajman,https://cdn5.wyscout.com/photos/team/public/3721_120x120.png,UAE Pro League,LCMF,LCMF,94,,0,,0,23.0,2003-02-01,0,,3,305,1,0.15,1,0.30000000000000004,9.44,46.88,Morocco,['Morocco'],,0,0,False,3.84,4.43,46.67,1.48,40.0,0.0,0.0,0.0,1.77,2.69,1.48,0,0.0,0,0.0,0.30000000000000004,0.30000000000000004,1,0.30000000000000004,0.04,0,0.0,3,0.89,33.33,33.333,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,54.55,0.30000000000000004,0.0,0.30000000000000004,24.49,1.18,1.48,33.34,89.38,10.03,73.53,4.43,100.0,29.21,91.92,4.13,71.43,17.71,38.27,0.09,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,4.72,75.0,0.30000000000000004,100.0,0.0,0.0,0.30000000000000004,0.0,4.43,80.0,93.33,13.28,0,,0,,0,0.0,0.0,0.0,,,0.59,,1.48,0.0,0.0,0.0,0.0,0,0
