Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Vantruba,Martin Vantruba,429407,Spartak Trnava,Spartak Trnava,https://cdn5.wyscout.com/photos/team/public/1291_120x120.png,Niké Liga,GK,GK,100,,0,,0,28,1998-02-07,225000,2028-06-30,6,596,0,0.0,0,0.0,0.15,100.0,Slovakia,['Slovakia'],right,196,82,False,0.30000000000000004,0.0,0.0,0.15,100.0,0.0,0.0,0.0,0.30000000000000004,0.47000000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.76,0.0,0.15,27.18,84.44,12.08,71.25,0.15,0.0,20.08,96.99,6.95,50.0,30.62,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,30.43,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,4.08,66.67,95.6,13.74,5,0.76,31,4.68,3,83.87,7.84,1.18,2.84,0.429,0.0,1.06,0.15,,,,0.0,0,0
P. Karhan,Patrick Karhan,-256508,Skalica,Skalica,https://cdn5.wyscout.com/photos/team/public/g24757_120x120.png,Niké Liga,"RCB, CB",RCB,82,CB,16,,0,23,2003-06-19,125000,2028-06-30,6,588,0,0.41000000000000003,0,0.0,11.63,68.42,Slovakia,['Slovakia'],right,185,76,True,13.47,3.98,88.46,5.82,57.89,0.15,0.2,1.38,9.8,12.8,0.46,1,0.15,0,0.0,0.15,0.0,0,0.0,0.06,0,0.0,3,0.46,33.33,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.61,50.0,0.61,0.0,0.0,17.6,0.31,0.31,30.92,78.71,14.69,58.33,2.45,93.75,25.87,85.21,4.9,46.88,22.28,32.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,53.85,0.46,0.0,0.0,0.0,0.0,0.0,6.12,62.5,97.4,11.79,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,5.82,0.0,0.0,0.0,0.0,0,0
A. Selecký,Alexander Selecký,-105304,Ružomberok,Ružomberok,https://cdn5.wyscout.com/photos/team/public/1295_120x120.png,Niké Liga,"LB, LWB",LB,85,LWB,11,,0,23,2002-10-08,550000,2027-06-30,6,584,0,0.28,0,0.42,12.79,54.22,Slovakia,['Slovakia'],left,180,72,False,7.71,5.24,64.71,2.47,37.5,0.15,0.19,0.15,4.16,5.19,0.92,2,0.31,0,0.0,2.16,0.0,0,0.0,0.04,0,0.0,6,0.92,33.33,0.0,0.0,2.93,26.32,2.77,27.78,0.15,0.0,0.31,1.54,70.0,4.01,57.69,0.77,0.31,0.15,14.49,1.3900000000000001,0.92,21.58,64.29,11.4,59.46,3.7,83.33,14.64,75.79,4.47,48.28,21.64,43.7,0.06,1.54,0.0,0.0,0.0,0.0,0.31,4.47,68.97,3.7,45.83,0.0,0.0,0.77,0.62,6.16,72.5,62.5,4.93,0,,0,,0,0.0,0.0,0.0,,,0.46,,2.47,0.62,0.15,0.0,2.93,0,0
L. Pauschek,Lukáš Pauschek,178208,Zemplín Michalovce,Zemplín Michalovce,https://cdn5.wyscout.com/photos/team/public/g3237_120x120.png,Niké Liga,"LWB, RB, CB",LWB,48,RB,33,CB,15,33,1992-12-09,300000,2027-06-30,6,584,0,0.02,0,0.11,8.17,41.51,Slovakia,['Slovakia'],right,180,80,False,4.16,1.54,50.0,1.54,60.0,0.0,0.0,0.31,3.39,4.52,0.31,1,0.15,0,0.0,0.62,0.0,0,0.0,0.0,0,0.0,1,0.15,100.0,0.0,0.0,0.62,0.0,0.15,0.0,0.46,0.0,0.31,0.92,50.0,3.7,37.5,0.15,0.77,0.0,22.81,1.85,0.46,32.21,82.78,12.33,75.0,5.24,100.0,29.59,85.42,2.0,69.23,15.79,41.1,0.02,0.31,0.0,0.0,0.0,0.0,0.46,4.16,77.78,1.54,20.0,0.0,0.0,0.62,0.31,5.55,66.67,86.89,9.4,0,,0,,0,0.0,0.0,0.0,,,0.62,,1.54,0.0,0.0,0.0,0.0,0,0
A. Jakubech,Adam Jakubech,302943,Zemplín Michalovce,Zemplín Michalovce,https://cdn5.wyscout.com/photos/team/public/g3237_120x120.png,Niké Liga,GK,GK,100,,0,,0,29,1997-01-02,200000,2027-06-30,6,584,0,0.0,0,0.0,0.15,100.0,Slovakia,['Slovakia'],right,188,85,False,0.46,0.15,100.0,0.0,0.0,0.0,0.0,0.0,0.31,0.41000000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.57,0.31,0.0,25.89,80.95,14.79,70.83,0.0,0.0,16.03,96.15,9.86,56.25,33.65,49.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,38.89,0.31,0.0,0.0,0.0,0.0,0.0,6.47,66.67,93.94,10.17,7,1.08,28,4.32,1,75.0,9.01,1.3900000000000001,2.01,0.31,0.0,1.08,0.0,,,,0.0,0,0
E. Daniel,Erik Daniel,214381,Skalica,Skalica,https://cdn5.wyscout.com/photos/team/public/g24757_120x120.png,Niké Liga,"RW, RB5",RW,63,RB5,16,,0,34,1992-02-04,325000,,6,582,0,1.56,2,1.21,13.92,46.67,Czech Republic,"['Czech Republic', 'Slovakia']",right,178,75,False,4.64,3.25,61.9,1.55,50.0,0.0,0.0,0.0,2.63,3.42,0.62,0,0.0,0,0.0,3.56,0.0,0,0.0,0.24,0,0.0,17,2.63,29.41,0.0,0.31,3.71,29.17,0.31,0.0,3.4,31.82,1.08,3.25,52.38,7.58,42.86,3.09,2.16,0.46,21.65,1.7000000000000002,1.24,28.3,65.57,9.74,60.32,6.49,95.24,21.96,74.65,3.25,38.1,18.42,26.82,0.19,1.3900000000000001,0.0,0.0,0.0,0.0,1.08,3.4,59.09,4.48,27.59,0.15,100.0,0.62,1.08,5.72,72.97,48.94,7.27,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.55,0.31,0.15,0.0,0.93,0,0
K. Domonkos,Kristóf Domonkos,488625,Komárno,Komárno,https://cdn5.wyscout.com/photos/team/public/g29815_120x120.png,Niké Liga,"LCMF, RCMF",LCMF,57,RCMF,27,,0,28,1998-08-17,225000,2027-06-30,6,581,0,0.08,0,0.53,8.83,50.88,Slovakia,['Slovakia'],right,179,73,False,4.49,4.49,51.72,1.24,25.0,0.0,0.0,0.46,2.17,2.96,1.08,3,0.46,0,0.0,0.62,0.0,0,0.0,0.01,0,0.0,3,0.46,33.33,0.0,0.0,1.08,42.86,0.62,50.0,0.46,33.33,0.15,0.15,0.0,2.32,46.67,0.93,0.31,0.0,36.09,0.15,1.55,49.26,86.16,13.01,70.24,9.6,98.39,45.08,91.41,3.25,23.81,18.23,38.97,0.08,0.46,0.0,0.0,0.0,0.0,0.15,6.35,68.29,1.7000000000000002,54.55,0.0,0.0,0.46,0.31,5.11,69.7,91.2,19.36,0,,0,,0,0.0,0.0,0.0,,,2.63,,1.24,0.0,0.0,0.0,0.0,0,0
P. Onyedika,Philip Onyedika,-773843,Skalica,Skalica,https://cdn5.wyscout.com/photos/team/public/g24757_120x120.png,Niké Liga,CF,CF,100,,0,,0,20,2006-01-18,0,,6,579,3,3.17,1,0.30000000000000004,28.13,41.99,Nigeria,['Nigeria'],unknown,0,0,False,5.13,5.28,41.18,6.99,35.56,0.0,0.0,0.16,2.95,3.85,3.73,2,0.31,0,0.0,2.95,0.47000000000000003,2,0.31,0.49,0,0.0,16,2.49,43.75,18.75,0.16,0.62,25.0,0.31,50.0,0.31,0.0,0.16,2.64,58.82,8.86,47.37,4.04,0.93,0.0,14.15,2.49,2.33,18.5,68.07,4.66,60.0,4.51,72.41,17.1,71.82,0.78,20.0,14.67,30.04,0.05,0.47000000000000003,0.0,0.0,0.16,100.0,0.47000000000000003,2.18,57.14,1.24,37.5,0.16,100.0,0.47000000000000003,0.0,1.71,45.45,64.52,4.82,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.99,0.0,0.0,0.0,0.0,1,100
M. Bakaľa,Mikuláš Bakaľa,-106614,Dukla Banská Bystrica,Dukla Banská Bystrica,https://cdn5.wyscout.com/photos/team/public/g39880_120x120.png,Niké Liga,"RCB, CB",RCB,72,CB,20,,0,25,2001-01-04,350000,2027-06-30,6,577,0,0.0,0,0.0,9.2,55.93,Slovakia,['Slovakia'],right,187,80,False,9.67,3.43,68.18,3.74,54.17,0.0,0.0,0.47000000000000003,7.33,7.83,0.9400000000000001,1,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.78,20.0,0.47000000000000003,0.16,0.0,21.99,0.78,0.47000000000000003,32.13,84.47,14.51,75.27,2.34,100.0,27.92,91.62,4.21,37.04,21.3,45.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,52.17,0.62,25.0,0.16,0.0,0.16,0.0,4.52,65.52,93.83,12.63,0,,0,,0,0.0,0.0,0.0,,,1.72,,3.74,0.0,0.0,0.0,0.0,0,0
R. Lampreht,Rene Rantuša  Lampreht,-393823,Podbrezová,Podbrezová,https://cdn5.wyscout.com/photos/team/public/g1984_120x120.png,Niké Liga,RCB3,RCB3,92,,0,,0,24,2002-02-22,0,2029-06-30,6,575,0,0.73,2,0.46,10.17,53.85,Slovenia,['Slovenia'],right,190,80,False,7.2,5.17,54.55,2.35,60.0,0.16,0.21,0.63,4.23,5.63,1.1,2,0.31,0,0.0,0.31,0.0,0,0.0,0.11,0,0.0,5,0.78,0.0,0.0,0.31,0.63,50.0,0.0,0.0,0.63,50.0,0.0,0.31,0.0,1.72,45.45,1.1,0.31,0.0,31.77,0.9400000000000001,0.63,43.83,80.0,22.07,68.09,2.9699999999999998,94.74,37.72,85.89,5.63,44.44,19.78,42.56,0.07,0.47000000000000003,0.0,0.16,0.0,0.0,0.63,7.51,68.75,0.47000000000000003,0.0,0.0,0.0,0.16,0.16,6.26,65.0,91.01,13.93,0,,0,,0,0.0,0.0,0.0,,,0.78,,2.35,0.0,0.0,0.0,0.0,0,0
