Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Novak,Marcel Novak,-84522,Opava,Opava,https://cdn5.wyscout.com/photos/team/public/g542_120x120.png,Chance National Liga,"RCMF, LDMF, RDMF",RCMF,33,LDMF,28,RDMF,24,24,2002-06-12,0,2027-06-30,6,579,0,0.65,2,0.55,11.04,54.93,Slovakia,['Slovakia'],,181,0,False,6.84,5.75,75.68,1.4,44.44,0.0,0.0,0.16,2.49,3.56,1.24,0,0.0,0,0.0,1.24,0.0,0,0.0,0.1,0,0.0,9,1.4,44.44,0.0,0.31,0.47000000000000003,100.0,0.31,100.0,0.16,100.0,0.0,0.31,50.0,2.95,36.84,0.93,1.4,0.0,25.49,0.31,0.47000000000000003,34.04,88.13,13.06,82.14,5.28,100.0,30.93,91.96,2.8,44.44,18.94,44.75,0.09,0.93,0.0,0.0,0.0,0.0,0.78,5.44,77.14,1.09,57.14,0.0,0.0,0.47000000000000003,0.47000000000000003,6.06,89.74,88.16,11.81,0,,0,,0,0.0,0.0,0.0,,,1.09,,1.4,0.0,0.0,0.0,0.0,0,0
R. Zálešák,Roman Zálešák,-77786,Opava,Opava,https://cdn5.wyscout.com/photos/team/public/g542_120x120.png,Chance National Liga,"RB, RWB, RAMF",RB,57,RWB,16,RAMF,16,25,2001-01-15,200000,2027-06-30,6,579,0,0.28,0,0.44,8.7,62.5,Czech Republic,['Czech Republic'],right,179,67,False,4.51,2.18,57.14,1.55,30.0,0.31,0.44,0.31,2.95,4.22,0.47000000000000003,1,0.16,0,0.0,1.09,0.0,0,0.0,0.04,0,0.0,4,0.62,0.0,0.0,0.0,3.58,13.04,0.0,0.0,3.58,13.04,0.16,0.62,100.0,3.58,73.91,1.09,1.24,0.31,28.76,2.33,2.49,36.22,70.82,12.12,61.54,8.24,90.57,29.07,79.14,3.73,58.33,19.1,35.19,0.07,0.47000000000000003,0.0,0.0,0.0,0.0,0.31,3.89,64.0,3.58,34.78,0.0,0.0,1.24,0.47000000000000003,5.44,65.71,67.19,9.95,0,,0,,0,0.0,0.0,0.0,,,0.78,,1.55,0.0,0.0,0.0,0.0,0,0
M. Helešic,Matěj Helešic,403085,Opava,Opava,https://cdn5.wyscout.com/photos/team/public/g542_120x120.png,Chance National Liga,"LB, LWB",LB,73,LWB,17,,0,29,1996-11-12,150000,2027-06-30,6,579,0,0.0,1,0.5700000000000001,8.7,66.07,Czech Republic,['Czech Republic'],left,175,65,False,6.68,4.66,63.33,1.4,55.56,0.47000000000000003,0.67,0.16,3.26,4.67,0.47000000000000003,1,0.16,0,0.0,2.49,0.0,0,0.0,0.0,0,0.0,1,0.16,100.0,0.0,0.16,5.13,36.36,4.66,36.67,0.47000000000000003,33.33,0.93,0.62,75.0,2.02,84.62,0.93,1.24,0.0,35.13,2.64,1.24,45.39,77.05,19.74,74.8,5.91,97.37,34.82,85.71,5.91,63.16,21.43,42.58,0.09,0.78,0.16,0.0,0.0,0.0,0.47000000000000003,9.17,77.97,5.91,31.58,0.0,0.0,0.78,1.55,13.83,83.15,71.58,14.77,0,,0,,0,0.0,0.0,0.0,,,1.09,,1.4,1.24,0.0,0.0,3.89,0,0
J. Ciupa,Jiří Ciupa,492587,Opava,Opava,https://cdn5.wyscout.com/photos/team/public/g542_120x120.png,Chance National Liga,GK,GK,100,,0,,0,28,1998-05-07,200000,2027-06-30,6,579,0,0.0,0,0.0,0.47000000000000003,100.0,Czech Republic,['Czech Republic'],left,190,86,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,100.0,0.16,0.0,0.0,18.5,0.16,0.31,29.38,85.19,15.39,73.74,0.31,100.0,21.92,96.45,7.31,53.19,30.75,49.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,38.89,0.16,0.0,0.0,0.0,0.0,0.0,6.37,65.85,100.0,12.28,10,1.55,31,4.82,1,67.74,10.19,1.58,0.19,0.03,0.0,2.49,0.0,,,,0.0,0,0
M. Šindelář,Martin Šindelář,134093,Prostějov,Prostějov,https://cdn5.wyscout.com/photos/team/public/g575_120x120.png,Chance National Liga,LCB,LCB,97,,0,,0,35,1991-01-22,50000,,6,579,0,0.0,1,0.0,8.39,37.04,Czech Republic,['Czech Republic'],right,193,81,False,6.84,1.4,33.33,5.28,44.12,0.0,0.0,0.47000000000000003,6.37,8.66,1.24,0,0.0,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.16,0.31,100.0,0.31,100.0,0.0,0.0,0.16,0.0,0.0,0.31,100.0,0.93,0.16,0.47000000000000003,27.05,0.31,0.31,40.26,89.96,19.74,83.46,2.02,84.62,34.97,95.11,4.97,53.13,25.76,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16,5.13,63.64,0.62,50.0,0.0,0.0,0.16,0.31,7.62,81.63,98.21,17.41,0,,0,,0,0.0,0.0,0.0,,,0.93,,5.28,0.0,0.0,0.0,0.0,0,0
N. Milić,Nino Milić,-206329,Karviná,Karviná,https://cdn5.wyscout.com/photos/team/public/g2784_120x120.png,Chance National Liga,LCB,LCB,94,,0,,0,22,2004-05-01,0,2027-05-31,6,577,0,0.15,1,0.7000000000000001,12.17,62.82,Slovenia,['Slovenia'],left,185,77,False,9.67,4.84,58.06,3.59,69.57,0.31,0.52,0.31,6.55,10.96,0.9400000000000001,0,0.0,0,0.0,1.09,0.0,0,0.0,0.02,0,0.0,2,0.31,50.0,0.0,0.16,1.4,66.67,1.09,71.43,0.31,50.0,0.31,0.0,0.0,1.4,88.89,0.62,0.62,0.31,35.41,1.25,2.18,47.89,86.64,18.72,76.67,2.96,89.47,39.77,94.51,6.86,45.45,23.44,50.42,0.11,0.62,0.0,0.0,0.0,0.0,0.47000000000000003,6.55,54.76,2.5,62.5,0.0,0.0,1.25,0.62,8.27,75.47,94.37,22.15,0,,0,,0,0.0,0.0,0.0,,,0.78,,3.59,0.16,0.0,0.0,1.72,0,0
M. Pastornický,Martin Pastornický,354283,Táborsko,Táborsko,https://cdn5.wyscout.com/photos/team/public/g8790_120x120.png,Chance National Liga,GK,GK,100,,0,,0,30,1996-03-18,250000,,6,577,0,0.0,0,0.0,0.47000000000000003,66.67,Czech Republic,['Czech Republic'],right,188,83,False,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.16,0.0,0.0,20.43,0.9400000000000001,0.31,31.51,89.6,20.75,85.71,0.16,100.0,22.62,98.62,8.89,66.67,30.9,46.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,35.71,0.31,0.0,0.0,0.0,0.0,0.0,7.49,81.25,97.06,10.61,4,0.62,14,2.18,3,71.43,4.43,0.6900000000000001,0.43,0.067,0.0,2.03,0.0,,,,0.0,0,0
L. Havel,Lukáš Havel,357123,Táborsko,Táborsko,https://cdn5.wyscout.com/photos/team/public/g8790_120x120.png,Chance National Liga,RCB,RCB,100,,0,,0,30,1996-06-06,250000,,6,577,1,1.03,0,0.0,11.7,69.33,Czech Republic,['Czech Republic'],right,187,75,False,11.07,3.9,64.0,4.06,69.23,0.47000000000000003,0.66,0.62,8.11,11.39,1.09,1,0.16,0,0.0,0.16,0.16,1,0.16,0.16,0,0.0,4,0.62,25.0,25.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,1.87,91.67,1.4,0.31,0.0,26.36,0.31,2.18,40.87,87.02,17.78,78.95,1.87,100.0,36.03,90.48,4.68,63.33,23.11,46.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,56.0,0.31,100.0,0.0,0.0,0.31,0.0,6.4,80.49,94.78,17.94,0,,0,,0,0.0,0.0,0.0,,,1.09,,4.06,0.0,0.0,0.0,0.0,0,0
J. Kateřiňák,Jiří Kateřiňák,452308,Táborsko,Táborsko,https://cdn5.wyscout.com/photos/team/public/g8790_120x120.png,Chance National Liga,"RCMF, LCMF",RCMF,57,LCMF,38,,0,31,1995-08-25,200000,,6,575,2,0.6900000000000001,1,0.75,11.58,47.3,Czech Republic,['Czech Republic'],right,174,71,False,4.54,3.76,54.17,1.1,57.14,0.16,0.22,0.0,2.35,3.2800000000000002,0.78,2,0.31,0,0.0,2.19,0.31,2,0.31,0.11,0,0.0,9,1.4100000000000001,33.33,22.222,0.16,2.66,41.18,0.63,0.0,2.03,53.85,0.16,0.47000000000000003,66.67,6.42,43.9,0.9400000000000001,0.78,0.31,43.67,1.4100000000000001,1.57,59.48,85.26,17.22,74.55,10.49,97.01,50.87,88.92,5.95,73.68,18.26,40.21,0.12,1.72,0.0,0.0,0.31,100.0,0.31,7.2,63.04,3.91,48.0,0.31,100.0,0.78,1.1,10.64,82.35,88.89,22.54,0,,0,,0,0.0,0.0,0.0,,,1.25,,1.1,2.19,0.31,50.0,1.4100000000000001,0,0
J. Svozil,Jaroslav Svozil,321188,Dukla Praha,Dukla Praha,https://cdn5.wyscout.com/photos/team/public/2291_120x120.png,Chance National Liga,"RCB, LCB, CB",RCB,64,LCB,20,CB,15,32,1993-09-09,275000,2027-06-30,6,574,0,0.52,0,1.08,14.58,68.82,Czech Republic,['Czech Republic'],right,184,82,False,8.94,6.11,74.36,5.96,68.42,0.0,0.0,0.31,4.39,6.51,0.9400000000000001,2,0.31,0,0.0,0.47000000000000003,0.0,0,0.0,0.08,0,0.0,5,0.78,40.0,0.0,0.0,0.47000000000000003,33.33,0.0,0.0,0.47000000000000003,33.33,0.16,0.0,0.0,1.57,70.0,1.72,0.31,0.0,31.36,0.47000000000000003,1.88,44.53,84.86,16.62,67.92,2.04,92.31,37.47,89.12,6.59,64.29,21.7,41.52,0.17,0.63,0.0,0.16,0.0,0.0,0.31,5.17,60.61,0.78,40.0,0.0,0.0,0.63,0.16,7.68,57.14,94.7,20.7,0,,0,,0,0.0,0.0,0.0,,,1.72,,5.96,0.16,0.0,0.0,0.0,0,0
