Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Martes,Lushendry Martes,-591386,Sparta Rotterdam,Sparta Rotterdam,https://cdn5.wyscout.com/photos/team/public/145_120x120.png,Eredivisie,"RB, RWB",RB,75,RWB,20,,0,18,2008-05-06,0,2030-06-30,4,395,0,0.01,0,1.13,16.86,56.76,Netherlands,['Netherlands'],unknown,0,0,False,10.25,9.57,52.38,3.65,87.5,0.23,0.29,0.68,5.01,6.41,1.1400000000000001,1,0.23,0,0.0,2.05,0.0,0,0.0,0.0,0,0.0,1,0.23,0.0,0.0,0.0,2.96,61.54,0.0,0.0,2.96,61.54,0.46,0.68,33.33,2.51,27.27,0.91,1.82,0.0,24.61,2.96,0.91,31.67,77.7,10.71,57.45,5.24,95.65,25.75,83.19,3.42,53.33,21.11,45.21,0.26,1.82,0.0,0.0,0.0,0.0,1.1400000000000001,2.96,53.85,3.19,57.14,0.0,0.0,0.68,1.37,5.92,61.54,84.91,12.08,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,3.65,0.0,0.0,0.0,0.0,0,0
F. Bednarek,Filip Bednarek,162021,Sparta Rotterdam,Sparta Rotterdam,https://cdn5.wyscout.com/photos/team/public/145_120x120.png,Eredivisie,GK,GK,100,,0,,0,33,1992-09-26,400000,2027-06-30,4,395,0,0.0,0,0.0,0.23,0.0,Poland,['Poland'],right,188,81,False,0.68,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.87,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.01,0.68,0.0,35.32,81.94,16.63,65.75,0.0,0.0,23.7,98.08,11.62,49.02,32.55,48.97,0.0,0.0,0.0,0.23,0.0,0.0,0.0,2.73,41.67,0.91,0.0,0.0,0.0,0.0,0.0,10.94,56.25,96.1,17.54,7,1.5899999999999999,16,3.65,0,56.25,4.91,1.12,-2.09,-0.47600000000000003,0.0,1.5899999999999999,0.0,,,,0.0,0,0
B. Kuipers,Bas Kuipers,274649,Sparta Rotterdam,Sparta Rotterdam,https://cdn5.wyscout.com/photos/team/public/145_120x120.png,Eredivisie,"LB, LWB",LB,75,LWB,20,,0,32,1994-08-17,1300000,2028-06-30,4,395,0,0.07,2,0.58,9.34,58.54,Netherlands,['Netherlands'],left,180,74,False,5.24,2.51,72.73,3.42,53.33,0.0,0.0,0.23,3.42,4.37,0.23,1,0.23,0,0.0,1.37,0.0,0,0.0,0.02,0,0.0,1,0.23,0.0,0.0,0.46,1.37,66.67,1.37,66.67,0.0,0.0,0.68,0.68,66.67,2.51,54.55,2.05,0.0,0.0,26.43,0.68,1.37,35.32,85.16,17.32,76.32,5.47,95.83,29.39,93.02,4.78,42.86,20.01,41.96,0.13,0.68,0.23,0.0,0.0,0.0,0.91,5.92,69.23,2.2800000000000002,50.0,0.23,0.0,0.68,1.1400000000000001,6.38,75.0,89.47,8.66,0,,0,,0,0.0,0.0,0.0,,,1.37,,3.42,0.0,0.0,0.0,0.0,0,0
T. van Bergen,Thom van Bergen,-382117,Groningen,Groningen,https://cdn5.wyscout.com/photos/team/public/143_120x120.png,Eredivisie,AMF,AMF,93,,0,,0,22,2004-01-06,0,2028-06-30,4,393,2,2.83,2,0.87,15.8,43.48,Netherlands,['Netherlands'],right,180,80,False,1.6,2.06,33.33,3.21,28.57,0.0,0.0,0.23,0.92,1.19,0.92,0,0.0,0,0.0,3.89,0.46,2,0.46,0.65,0,0.0,18,4.12,44.44,11.111,0.46,1.6,28.57,1.37,16.67,0.23,100.0,0.23,1.37,83.33,9.39,51.22,5.27,4.35,0.46,20.84,1.37,2.52,23.36,82.35,6.64,82.76,5.5,100.0,21.76,86.32,0.23,0.0,16.9,11.56,0.2,0.6900000000000001,0.23,0.0,0.46,100.0,0.92,2.75,83.33,2.52,63.64,0.46,100.0,1.83,0.92,2.98,84.62,69.23,5.95,0,,0,,0,0.0,0.0,0.0,,,1.37,,3.21,0.0,0.0,0.0,0.0,0,0
T. Blokzijl,Thijmen Blokzijl,-169664,Groningen,Groningen,https://cdn5.wyscout.com/photos/team/public/143_120x120.png,Eredivisie,"RCB, CB",RCB,86,CB,10,,0,21,2005-02-25,0,2028-06-30,4,393,0,0.14,0,0.0,9.16,70.0,Netherlands,['Netherlands'],right,190,75,False,8.24,3.44,73.33,3.66,68.75,0.23,0.30000000000000004,0.46,5.5,7.13,0.6900000000000001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,1,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,50.0,0.23,1.37,0.0,37.1,0.23,0.0,55.42,92.15,21.76,88.42,3.66,100.0,51.98,94.71,3.44,53.33,19.56,45.41,0.0,0.23,0.0,0.0,0.0,0.0,0.23,6.87,83.33,0.92,25.0,0.0,0.0,0.46,0.0,7.33,84.38,94.69,25.88,0,,0,,0,0.0,0.0,0.0,,,2.75,,3.66,0.0,0.0,0.0,0.0,0,0
E. Vaessen,Etienne Vaessen,408572,Groningen,Groningen,https://cdn5.wyscout.com/photos/team/public/143_120x120.png,Eredivisie,GK,GK,100,,0,,0,31,1995-07-26,1500000,2029-06-30,4,393,0,0.0,1,0.26,0.92,50.0,Netherlands,"['Netherlands', 'Suriname']",right,187,93,False,1.15,0.6900000000000001,33.33,0.0,0.0,0.0,0.0,0.0,0.92,1.19,0.0,1,0.23,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,25.88,0.92,0.23,42.82,68.45,35.04,63.4,0.23,100.0,21.98,87.5,20.84,48.35,39.76,54.81,0.06,0.23,0.0,0.0,0.0,0.0,0.46,8.47,37.84,1.6,28.57,0.46,100.0,0.46,0.0,14.43,65.08,93.55,7.1,10,2.29,28,6.41,0,64.29,7.15,1.6400000000000001,-2.85,-0.653,0.0,2.06,0.0,,,,0.0,0,0
O. Aertssen,Olivier Aertssen,-167647,PEC Zwolle,PEC Zwolle,https://cdn5.wyscout.com/photos/team/public/848_120x120.png,Eredivisie,RB,RB,97,,0,,0,22,2004-08-07,0,2027-06-30,4,391,0,0.2,0,0.14,13.12,56.14,Netherlands,['Netherlands'],right,183,77,False,10.13,8.52,64.86,2.07,66.67,0.23,0.24,0.6900000000000001,4.37,4.6,0.6900000000000001,1,0.23,0,0.0,0.0,0.0,0,0.0,0.05,0,0.0,2,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.6900000000000001,0.0,0.0,11.28,1.15,0.0,20.72,70.0,11.74,64.71,2.99,92.31,17.03,77.03,3.68,37.5,21.62,48.38,0.03,0.46,0.0,0.0,0.0,0.0,0.23,3.22,35.71,0.6900000000000001,33.33,0.0,0.0,0.0,0.0,4.14,66.67,66.67,2.76,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,2.07,0.23,0.23,0.0,0.0,0,0
S. Graves,Simon Graves Jensen,-44615,PEC Zwolle,PEC Zwolle,https://cdn5.wyscout.com/photos/team/public/848_120x120.png,Eredivisie,RCB,RCB,97,,0,,0,27,1999-05-22,750000,2028-06-30,4,391,0,0.44,0,0.0,10.59,60.87,Denmark,['Denmark'],right,191,80,False,8.98,3.68,68.75,4.6,60.0,0.0,0.0,1.6099999999999999,6.45,6.77,1.38,0,0.0,0,0.0,0.46,0.0,0,0.0,0.1,0,0.0,2,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,100.0,0.92,75.0,0.6900000000000001,0.0,0.0,18.41,0.46,0.46,35.45,85.71,14.04,68.85,2.76,100.0,29.69,89.92,5.75,64.0,22.48,41.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,66.67,0.46,50.0,0.0,0.0,0.46,0.0,6.91,56.67,95.38,14.96,0,,0,,0,0.0,0.0,0.0,,,2.76,,4.6,0.0,0.0,0.0,0.0,0,0
N. Viergever,Nick  Viergever,78529,PEC Zwolle,PEC Zwolle,https://cdn5.wyscout.com/photos/team/public/848_120x120.png,Eredivisie,LCB,LCB,97,,0,,0,37,1989-08-03,450000,2027-06-30,4,391,1,0.54,0,0.0,4.14,55.56,Netherlands,['Netherlands'],left,183,72,False,6.91,2.5300000000000002,54.55,1.6099999999999999,57.14,0.0,0.0,0.92,5.52,5.8100000000000005,0.23,0,0.0,0,0.0,0.23,0.23,1,0.23,0.12,0,0.0,2,0.46,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,20.03,0.46,0.0,30.61,78.2,14.96,60.0,2.5300000000000002,90.91,24.86,86.11,5.75,44.0,21.58,45.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,40.0,0.46,0.0,0.0,0.0,0.0,0.0,5.52,50.0,97.5,9.21,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,1.6099999999999999,0.0,0.0,0.0,0.0,0,0
J. Schendelaar,Jasper Schendelaar,454473,PEC Zwolle,PEC Zwolle,https://cdn5.wyscout.com/photos/team/public/848_120x120.png,Eredivisie,GK,GK,100,,0,,0,25,2000-09-02,1300000,2027-06-30,4,391,0,0.0,0,0.0,0.23,0.0,Netherlands,['Netherlands'],right,187,87,False,0.46,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.48,0.23,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.72,0.92,0.0,34.99,76.32,20.03,64.37,0.0,0.0,18.64,98.77,15.88,52.17,34.88,51.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,60.0,0.23,100.0,0.0,0.0,0.23,0.0,12.66,63.64,93.1,13.35,8,1.8399999999999999,26,5.98,1,69.23,6.28,1.44,-1.72,-0.396,0.0,2.3,0.0,,,,0.0,0,0
