Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Gashi,Jon Gashi,-440018,Solothurn,Solothurn,https://cdn5.wyscout.com/photos/team/public/g2955_120x120.png,1. Liga Classic,GK,GK,100,,0,,0,21.0,2004-09-09,0,,4,393,0,0.0,0,0.0,0.46,50.0,Switzerland,['Switzerland'],,0,0,False,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.66,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,13.28,0.92,0.23,19.24,89.29,9.62,80.95,0.0,0.0,12.37,98.15,6.87,73.33,29.92,46.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,20.0,0.23,0.0,0.0,0.0,0.0,0.0,4.12,72.22,100.0,8.7,7,1.6,18,4.12,1,61.11,3.84,0.88,-3.16,-0.724,0.0,0.23,0.0,,,,0.0,0,0
E. Urso,Elia Urso,-387199,Solothurn,Solothurn,https://cdn5.wyscout.com/photos/team/public/g2955_120x120.png,1. Liga Classic,"RB, LB",RB,75,LB,24,,0,19.0,2007-05-25,0,,4,393,1,0.8,2,0.48,21.76,56.84,Switzerland,['Switzerland'],unknown,0,0,False,13.28,11.68,74.51,0.6900000000000001,33.33,0.0,0.0,0.0,4.58,6.59,0.92,0,0.0,0,0.0,2.29,0.23,1,0.23,0.18,0,0.0,3,0.6900000000000001,66.67,33.333,0.46,3.21,35.71,0.23,0.0,2.98,38.46,0.23,2.75,25.0,7.33,28.13,0.6900000000000001,2.29,0.23,21.53,0.46,0.46,38.02,75.3,15.11,62.12,9.16,87.5,31.15,83.09,3.66,43.75,20.43,37.94,0.11,0.92,0.0,0.0,0.0,0.0,0.92,5.27,60.87,3.89,47.06,0.46,0.0,0.92,1.15,7.5600000000000005,69.7,80.49,9.39,0,,0,,0,0.0,0.0,0.0,,,0.23,,0.6900000000000001,0.23,0.0,0.0,0.46,0,0
L. Bitterli,Léo Bitterli,-376797,Solothurn,Solothurn,https://cdn5.wyscout.com/photos/team/public/g2955_120x120.png,1. Liga Classic,"LCB, RCB",LCB,60,RCB,39,,0,23.0,2003-04-14,0,,4,393,0,0.24,0,0.0,12.6,56.36,Switzerland,['Switzerland'],,0,0,False,7.33,5.5,54.17,3.89,64.71,0.0,0.0,0.6900000000000001,4.35,6.26,0.92,2,0.46,0,0.0,0.23,0.0,0,0.0,0.06,0,0.0,2,0.46,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.23,100.0,1.6,42.86,0.92,1.83,0.0,27.94,0.0,0.92,43.05,84.04,18.55,69.14,1.6,100.0,35.5,93.55,7.33,40.63,24.4,47.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,50.0,0.92,25.0,0.92,25.0,0.23,0.0,7.33,87.5,94.12,19.47,0,,0,,0,0.0,0.0,0.0,,,1.15,,3.89,0.0,0.0,0.0,0.0,0,0
G. Anliker,Gregori Anliker,-421619,Langenthal,Langenthal,https://cdn5.wyscout.com/photos/team/public/g9779_120x120.png,1. Liga Classic,"RCB, RCB3",RCB,66,RCB3,27,,0,24.0,2002-04-18,0,,4,390,1,0.06,0,0.01,11.31,65.31,Switzerland,['Switzerland'],unknown,0,0,False,9.69,5.08,72.73,3.0,76.92,0.23,0.29,1.15,5.77,7.28,0.6900000000000001,1,0.23,0,0.0,0.23,0.23,1,0.23,0.01,1,0.23,1,0.23,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,33.33,0.23,0.46,0.0,23.77,0.0,0.0,37.62,85.89,13.38,67.24,1.62,100.0,32.77,92.96,4.85,38.1,21.45,36.96,0.0,0.23,0.0,0.23,0.0,0.0,0.0,3.46,60.0,0.0,0.0,0.46,0.0,0.0,0.0,5.08,54.55,97.37,17.54,0,,0,,0,0.0,0.0,0.0,,,1.38,,3.0,0.0,0.0,0.0,0.0,0,0
M. Yigit,Mehmet Yigit,-416023,Langenthal,Langenthal,https://cdn5.wyscout.com/photos/team/public/g9779_120x120.png,1. Liga Classic,"LCMF3, LCMF, DMF",LCMF3,30,LCMF,20,DMF,19,24.0,2002-05-25,0,2027-06-30,4,390,1,0.47000000000000003,2,0.9400000000000001,22.15,36.46,Switzerland,"['Switzerland', 'Türkiye']",,0,0,False,6.92,6.69,58.62,1.38,33.33,0.6900000000000001,0.87,0.23,2.31,2.91,1.15,2,0.46,0,0.0,1.38,0.23,1,0.23,0.11,0,0.0,9,2.08,33.33,11.111,0.46,1.38,16.67,0.46,50.0,0.92,0.0,0.23,0.92,50.0,10.62,26.09,0.6900000000000001,2.08,0.23,49.85,1.38,1.38,63.69,82.97,25.62,76.58,8.77,94.74,52.62,89.47,9.69,57.14,21.83,44.36,0.22,1.85,0.23,0.23,0.46,0.0,1.15,15.23,68.18,4.62,45.0,2.54,36.36,1.85,0.23,14.08,83.61,85.39,20.54,0,,0,,0,0.0,0.0,0.0,,,2.31,,1.38,1.85,0.46,0.0,2.77,0,0
A. Edwige,Alexandre Edwige,-312291,Black Stars,Black Stars,https://cdn5.wyscout.com/photos/team/public/g13673_120x120.png,1. Liga Classic,RCB,RCB,92,,0,,0,27.0,1999-07-24,0,2027-06-30,4,389,0,0.0,0,0.0,12.72,74.55,France,['France'],unknown,0,0,False,13.19,4.86,90.48,4.16,88.89,0.0,0.0,0.6900000000000001,8.79,10.56,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,28.57,0.0,0.6900000000000001,0.46,32.16,0.0,0.46,52.06,84.44,21.98,69.47,3.24,100.0,46.04,89.95,6.02,42.31,22.68,45.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,58.33,0.6900000000000001,33.33,1.16,40.0,0.23,0.0,9.72,64.29,95.96,22.9,0,,0,,0,0.0,0.0,0.0,,,2.08,,4.16,0.0,0.0,0.0,0.0,0,0
M. Büeler,Matteo  Büeler,-598718,Zug,Zug,https://cdn5.wyscout.com/photos/team/public/g8775_120x120.png,1. Liga Classic,"LB, RW, RB",LB,49,RW,25,RB,19,21.0,2005-07-13,0,,4,389,0,0.32,0,0.17,20.36,53.41,Switzerland,['Switzerland'],unknown,0,0,False,12.49,10.18,65.91,3.01,38.46,0.46,0.64,0.0,5.32,7.34,1.3900000000000001,2,0.46,0,0.0,1.3900000000000001,0.0,0,0.0,0.07,0,0.0,7,1.62,0.0,0.0,0.0,1.62,14.29,0.23,0.0,1.3900000000000001,16.67,0.0,1.62,71.43,5.78,44.0,1.62,1.62,0.93,27.76,1.16,0.6900000000000001,39.1,79.29,16.43,73.24,6.48,89.29,34.01,83.67,3.93,58.82,18.82,26.14,0.04,0.6900000000000001,0.0,0.0,0.0,0.0,0.23,3.93,88.24,1.3900000000000001,33.33,0.23,0.0,0.46,0.46,7.63,60.61,89.13,10.64,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,3.01,0.0,0.0,0.0,0.0,0,0
G. Campello,Gustavo Campello Pes,-392493,Zug,Zug,https://cdn5.wyscout.com/photos/team/public/g8775_120x120.png,1. Liga Classic,"LCMF, LDMF, DMF",LCMF,41,LDMF,33,DMF,25,36.0,1990-01-07,0,,4,389,1,1.01,0,0.06,24.99,51.85,Brazil,['Brazil'],unknown,0,0,False,9.25,10.18,54.55,1.85,25.0,0.6900000000000001,0.96,0.93,3.01,4.15,2.08,2,0.46,0,0.0,3.93,0.23,1,0.23,0.23,0,0.0,9,2.08,22.22,11.111,0.0,0.93,75.0,0.93,75.0,0.0,0.0,0.0,3.47,80.0,10.18,56.82,1.16,1.85,0.0,32.62,0.23,1.3900000000000001,46.04,89.45,12.26,77.36,4.86,95.24,40.49,92.0,4.86,71.43,18.9,40.35,0.01,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,7.4,78.13,0.93,100.0,0.46,50.0,0.46,0.46,6.25,74.07,95.96,22.9,0,,0,,0,0.0,0.0,0.0,,,0.23,,1.85,0.23,0.0,0.0,0.46,0,0
M. Kastrati,Meriton Kastrati,429169,Zug,Zug,https://cdn5.wyscout.com/photos/team/public/g8775_120x120.png,1. Liga Classic,"RB, RCB",RB,75,RCB,24,,0,28.0,1998-03-05,0,2027-06-30,4,389,0,0.0,0,0.18,12.49,70.37,Switzerland,"['Switzerland', 'Albania']",right,182,74,False,10.64,8.79,76.32,1.16,80.0,0.46,0.64,0.46,3.47,4.79,0.6900000000000001,2,0.46,0,0.0,0.6900000000000001,0.0,0,0.0,0.0,0,0.0,2,0.46,0.0,0.0,0.0,1.62,14.29,0.0,0.0,1.62,14.29,0.0,0.6900000000000001,66.67,1.3900000000000001,66.67,0.0,1.16,0.0,34.7,2.08,0.6900000000000001,45.58,79.7,19.67,72.94,2.7800000000000002,83.33,33.78,89.04,10.41,57.78,24.04,41.78,0.04,0.46,0.0,0.0,0.0,0.0,0.0,9.02,64.1,3.93,41.18,0.93,25.0,1.16,0.23,12.72,81.82,86.02,21.52,0,,0,,0,0.0,0.0,0.0,,,1.16,,1.16,0.23,0.23,0.0,0.0,0,0
N. Kabamba,Noel Kabamba,-312299,Collina D'Oro,Collina D'Oro,https://cdn5.wyscout.com/photos/team/public/g-16350_120x120.png,1. Liga Classic,CB,CB,100,,0,,0,36.0,1989-11-15,0,,4,388,0,0.1,0,0.88,11.83,64.71,Switzerland,['Switzerland'],unknown,0,0,False,8.81,3.25,92.86,4.64,55.0,0.7000000000000001,0.98,0.7000000000000001,5.1,7.17,0.46,1,0.23,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3900000000000001,33.33,0.46,0.0,0.0,27.6,0.0,1.16,43.14,91.94,18.79,83.95,2.32,100.0,37.81,96.32,5.34,60.87,22.35,43.01,0.2,0.46,0.0,0.0,0.0,0.0,0.0,3.94,58.82,0.46,100.0,0.0,0.0,0.46,0.0,6.49,75.0,98.78,19.02,0,,0,,0,0.0,0.0,0.0,,,2.32,,4.64,0.0,0.0,0.0,0.0,0,0
