Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Lukyanets,Ksenia Lukyanets,-838886,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"RCB, RCB3",RCB,85,RCB3,11,,0,19.0,2006-07-09,0,,9,872,0,0.0,0,0.0,7.53,60.27,Kazakhstan,['Kazakhstan'],unknown,0,0,False,5.68,4.44,65.12,0.8300000000000001,62.5,0.1,0.15,0.31,2.68,3.96,0.41000000000000003,0,0.0,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,1.1400000000000001,45.45,0.0,0.21,0.0,7.53,0.1,0.31,27.97,54.98,18.06,45.71,1.75,64.71,16.41,71.07,11.56,32.14,23.17,34.06,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.5,36.51,1.1400000000000001,9.09,0.93,33.33,0.21,0.0,9.19,41.57,73.33,6.19,0,,0,,0,0.0,0.0,0.0,,,0.52,,0.8300000000000001,0.1,0.0,0.0,0.0,0,0
K. Shustova,Kristina Shustova,-510428,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"LCB, LCB3",LCB,85,LCB3,11,,0,22.0,2004-05-04,0,,9,872,1,1.1400000000000001,0,0.09,18.68,62.43,Kazakhstan,['Kazakhstan'],unknown,0,0,False,12.28,6.8100000000000005,62.12,4.23,70.73,0.21,0.30000000000000004,0.62,7.84,11.57,1.03,2,0.21,0,0.0,0.62,0.1,1,0.1,0.12,1,0.1,12,1.24,41.67,8.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,33.33,2.99,51.72,1.44,0.0,0.21,10.53,0.1,0.8300000000000001,31.48,58.69,20.44,55.05,2.17,90.48,22.6,67.12,8.88,37.21,20.25,32.61,0.01,0.31,0.0,0.0,0.0,0.0,0.1,5.99,41.38,0.52,0.0,0.52,20.0,0.1,0.0,9.08,46.59,61.54,5.37,0,,0,,0,0.0,0.0,0.0,,,1.34,,4.23,1.1400000000000001,0.52,60.0,0.0,0,0
F. Satygaliyeva,Fatima Satygaliyeva,-279863,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"AMF, LCMF3, LWF",AMF,30,LCMF3,18,LWF,11,26.0,1999-11-14,0,,9,872,4,4.98,3,3.27,25.18,50.41,Kazakhstan,['Kazakhstan'],unknown,0,0,False,8.26,7.43,59.72,1.96,63.16,0.0,0.0,0.31,3.8200000000000003,5.63,1.24,1,0.1,0,0.0,4.64,0.41000000000000003,4,0.41000000000000003,0.51,0,0.0,27,2.79,40.74,14.815,0.31,1.1400000000000001,45.45,0.41000000000000003,50.0,0.72,42.86,0.21,4.13,65.0,13.21,44.53,2.68,1.44,0.21,13.93,1.96,1.65,26.22,58.66,11.15,50.0,3.41,75.76,21.26,64.56,3.8200000000000003,29.73,16.79,32.97,0.34,2.27,0.0,0.1,0.72,42.86,0.8300000000000001,4.95,47.92,2.89,46.43,1.65,43.75,1.34,0.62,5.47,64.15,62.71,6.09,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.96,2.27,0.41000000000000003,25.0,3.1,0,0
L. Kadyševa,Liana Kadyševa,-838834,Zhetysu,Zhetysu,https://cdn5.wyscout.com/photos/team/public/g-26132_120x120.png,Women's Premier League,"RCB, CB",RCB,83,CB,13,,0,18.0,2007-09-06,0,,9,866,0,0.0,0,0.09,8.11,61.54,Kazakhstan,['Kazakhstan'],unknown,0,0,False,8.83,4.57,75.0,1.1400000000000001,54.55,0.1,0.15,0.73,5.3,7.89,0.42,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,25.0,0.31,0.0,0.1,12.47,0.0,0.1,29.52,64.08,19.12,58.7,1.25,66.67,21.1,70.94,8.42,46.91,21.97,34.62,0.01,0.1,0.0,0.0,0.0,0.0,0.0,1.87,38.89,0.21,50.0,0.52,20.0,0.0,0.0,10.91,35.24,82.81,6.65,0,,0,,0,0.0,0.0,0.0,,,0.62,,1.1400000000000001,0.52,0.1,0.0,0.0,0,0
A. Rsalieva,Amina Rsalieva,-838967,Irtysh,Irtysh,https://cdn5.wyscout.com/photos/team/public/g-26141_120x120.png,Women's Premier League,"RB, LCB",RB,65,LCB,25,,0,19.0,2006-10-12,0,,9,864,0,0.03,0,0.05,15.0,57.64,Kazakhstan,['Kazakhstan'],unknown,0,0,False,11.98,8.54,68.29,1.15,45.45,0.31,0.45,0.42,5.83,8.32,1.15,2,0.21,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,1,0.1,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.0,0.63,50.0,2.29,50.0,0.1,0.42,0.0,9.69,0.1,0.52,28.75,64.86,16.04,55.19,2.6,80.0,25.31,67.08,3.23,51.61,15.18,25.52,0.0,0.31,0.0,0.0,0.0,0.0,0.1,5.0,54.17,0.8300000000000001,12.5,0.1,0.0,0.1,0.0,7.19,40.58,78.85,5.42,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.15,0.0,0.0,0.0,0.0,0,0
S. Zainutdinova,Saydakhon Zainutdinova,-664437,Irtysh,Irtysh,https://cdn5.wyscout.com/photos/team/public/g-26141_120x120.png,Women's Premier League,RCB,RCB,91,,0,,0,19.0,2007-02-27,0,,9,864,0,0.25,1,0.5700000000000001,12.71,59.84,Kazakhstan,['Kazakhstan'],unknown,0,0,False,10.52,7.29,71.43,1.15,36.36,0.21,0.30000000000000004,0.42,5.1,7.28,0.31,1,0.1,0,0.0,0.63,0.0,0,0.0,0.03,0,0.0,8,0.8300000000000001,50.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.63,33.33,2.6,40.0,0.0,0.42,0.0,10.73,0.1,0.42,33.85,60.31,22.81,56.62,2.5,75.0,24.48,70.21,9.27,34.83,20.04,33.7,0.06,0.73,0.0,0.0,0.1,0.0,0.1,6.77,40.0,0.8300000000000001,12.5,1.04,30.0,0.21,0.0,10.1,48.45,61.82,5.73,0,,0,,0,0.0,0.0,0.0,,,1.25,,1.15,1.77,0.8300000000000001,50.0,2.29,0,0
A. Mamyrova,Anelya Mamyrova,-364003,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"CF, CB",CF,86,CB,11,,0,19.0,2006-07-25,0,,9,861,9,7.18,3,2.12,19.02,43.96,Kazakhstan,['Kazakhstan'],unknown,0,0,False,4.7,3.55,79.41,1.15,27.27,0.1,0.15,0.31,1.78,2.63,0.63,1,0.1,0,0.0,4.6,0.9400000000000001,9,0.9400000000000001,0.75,1,0.1,54,5.64,46.3,16.667,0.31,1.78,17.65,0.42,50.0,1.3599999999999999,7.69,0.21,2.61,64.0,11.08,39.62,4.6,1.46,0.31,9.41,2.8200000000000003,1.05,16.93,50.0,5.85,44.64,3.34,81.25,12.75,57.38,2.51,37.5,16.98,35.58,0.22,0.9400000000000001,0.0,0.0,0.1,0.0,0.73,2.09,40.0,1.57,26.67,0.1,0.0,0.63,0.31,2.8200000000000003,62.96,33.33,3.76,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.15,0.31,0.31,33.33,0.0,0,0
A. Karabalaeva,Anel Karabalaeva,-838977,Irtysh,Irtysh,https://cdn5.wyscout.com/photos/team/public/g-26141_120x120.png,Women's Premier League,"DMF, RDMF, LDMF",DMF,66,RDMF,22,LDMF,11,20.0,2005-09-21,0,,9,859,0,0.05,0,0.12,25.15,49.17,Kazakhstan,['Kazakhstan'],unknown,0,0,False,12.57,13.52,62.02,0.42,25.0,0.0,0.0,0.42,4.19,6.0,1.8900000000000001,0,0.0,0,0.0,0.52,0.0,0,0.0,0.01,0,0.0,5,0.52,20.0,0.0,0.0,0.52,20.0,0.21,50.0,0.31,0.0,0.21,1.05,30.0,6.29,30.0,0.0,0.42,0.0,16.34,0.31,1.05,35.1,58.51,14.04,47.76,2.93,78.57,29.44,64.06,5.13,30.61,16.38,27.89,0.01,0.52,0.1,0.0,0.0,0.0,0.0,5.97,40.35,0.9400000000000001,33.33,0.63,33.33,0.1,0.21,7.23,36.23,66.0,10.48,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.42,0.0,0.0,0.0,0.1,0,0
K. Zhanayeva,Kamshat Zhanayeva,-448863,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"LB, LB5",LB,77,LB5,11,,0,21.0,2005-02-07,0,,9,859,0,0.03,0,0.08,14.56,58.27,Kazakhstan,['Kazakhstan'],,0,0,False,12.36,8.17,74.36,0.84,62.5,0.31,0.46,0.1,5.97,8.77,0.42,1,0.1,0,0.0,0.84,0.0,0,0.0,0.0,0,0.0,1,0.1,0.0,0.0,0.0,1.3599999999999999,38.46,1.15,36.36,0.21,50.0,0.1,0.52,60.0,3.98,31.58,0.52,1.15,0.0,8.8,0.21,0.63,26.82,53.91,16.45,52.23,1.3599999999999999,84.62,18.96,62.98,6.5,30.65,20.65,33.66,0.01,0.21,0.1,0.0,0.0,0.0,0.1,5.34,31.37,1.6800000000000002,31.25,0.52,0.0,0.1,0.31,7.75,39.19,53.06,5.13,0,,0,,0,0.0,0.0,0.0,,,0.52,,0.84,0.0,0.0,0.0,0.73,0,0
D. Nurkabayeva,Diana Nurkabayeva,-711704,Tobol Kostanay,Tobol Kostanay,https://cdn5.wyscout.com/photos/team/public/g-26143_120x120.png,Women's Premier League,"CF, AMF, LAMF",CF,42,AMF,25,LAMF,22,18.0,2008-04-20,0,,9,853,3,1.1400000000000001,0,0.03,23.0,44.04,Kazakhstan,['Kazakhstan'],unknown,166,55,False,8.65,8.02,65.79,2.0,26.32,0.42,0.51,0.11,2.95,3.59,0.53,0,0.0,0,0.0,3.48,0.32,3,0.32,0.12,0,0.0,23,2.43,43.48,13.043,0.0,0.84,12.5,0.11,0.0,0.74,14.29,0.21,4.85,45.65,9.5,31.11,0.74,1.69,0.21,17.09,2.11,0.63,24.37,56.71,10.13,43.75,3.06,89.66,21.21,62.19,2.43,21.74,16.57,31.23,0.0,0.32,0.11,0.0,0.32,33.33,0.11,4.43,50.0,1.37,7.69,0.32,0.0,0.21,0.11,5.8,47.27,55.36,5.91,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.0,0.11,0.11,100.0,0.0,0,0
