Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Brzykcy,Lauren Brzykcy,-239668,Piteå,Piteå,https://cdn5.wyscout.com/photos/team/public/g6109_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,26.0,1999-11-08,0,,26,2539,0,0.01,0,0.0,1.45,82.93,Hungary,"['Hungary', 'United States']",unknown,177,0,False,2.62,0.14,25.0,0.96,92.59,0.04,0.04,0.0,2.55,2.91,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,6.49,0.11,0.21,17.23,74.07,10.49,58.45,0.0,0.0,8.29,98.72,8.9,51.0,35.13,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,26.32,0.11,33.33,0.11,0.0,0.0,0.0,4.96,70.71,98.86,6.24,43,1.52,126,4.47,4,65.87,45.27,1.6,2.27,0.08,0.0,2.62,0.96,,,,0.0,0,0.0
M. Antoine,Maya Aliyah Antoine,-106797,Norrköping,Norrköping,https://cdn5.wyscout.com/photos/team/public/g13261_120x120.png,Damallsvenskan,"RCB, LCB, CB",RCB,48,LCB,24,CB,22,24.0,2001-08-08,0,,26,2539,0,0.02,0,0.03,11.8,65.47,Canada,['Canada'],,174,0,False,9.61,6.2,81.71,1.8399999999999999,55.77,0.07,0.09,0.5700000000000001,4.47,5.7,0.21,2,0.07,0,0.0,0.21,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.11,66.67,0.07,50.0,0.04,100.0,0.0,0.35000000000000003,40.0,2.59,36.99,0.04,0.67,0.04,22.54,0.11,0.46,39.67,83.74,18.01,72.83,2.69,96.05,33.78,89.4,5.78,50.92,19.02,32.84,0.0,0.07,0.0,0.0,0.04,0.0,0.04,5.18,69.18,0.43,50.0,0.28,37.5,0.11,0.07,7.9,62.33,94.43,14.64,0,,0,,0,0.0,0.0,0.0,,,1.81,,1.8399999999999999,0.0,0.0,0.0,0.0,0,0.0
M. Öhman,Moa Öhman,319803,Malmö FF,Malmö FF,https://cdn5.wyscout.com/photos/team/public/g-20851_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,27.0,1998-06-25,0,,26,2526,0,0.0,0,0.0,0.89,84.0,Sweden,['Sweden'],,0,0,False,1.96,0.0,0.0,0.64,94.44,0.0,0.0,0.0,1.96,2.83,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,40.0,0.0,0.0,0.04,12.11,0.0,0.07,22.09,89.52,9.83,80.8,0.04,100.0,17.92,97.22,4.13,56.9,22.65,36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3.03,40.0,97.61,10.44,27,0.96,100,3.56,9,73.0,30.54,1.09,3.54,0.126,0.0,1.67,0.64,,,,0.0,0,0.0
M. Bay Østergaard,Maja Bay Østergaard,441645,Växjö,Växjö,https://cdn5.wyscout.com/photos/team/public/g34780_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,27.0,1998-03-28,0,,26,2516,0,0.0,0,0.0,0.61,82.35,Denmark,['Denmark'],,171,0,False,1.65,0.04,100.0,0.29,87.5,0.0,0.0,0.0,1.6099999999999999,1.94,0.0,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.18,80.0,0.04,0.0,0.04,23.39,0.04,0.11,33.48,83.44,14.81,66.91,0.04,100.0,22.18,98.55,11.27,53.97,27.88,42.45,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.04,22.81,0.14,0.0,0.14,0.0,0.0,0.0,7.58,60.85,96.67,16.1,56,2.0,167,5.97,4,66.47,54.2,1.94,-1.8,-0.064,0.0,2.07,0.29,,,,0.0,0,0.0
C. Andersson,Cajsa Andersson,293088,Linköping,Linköping,https://cdn5.wyscout.com/photos/team/public/g4433_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,32.0,1993-01-19,0,,26,2498,1,0.31,0,0.0,0.97,88.89,Sweden,['Sweden'],,176,0,False,2.41,0.14,100.0,0.43,100.0,0.04,0.05,0.0,2.23,2.86,0.0,0,0.0,0,0.0,0.04,0.04,1,0.04,0.01,1,0.04,1,0.04,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.04,0.0,0.0,26.3,0.0,0.22,38.26,88.32,16.43,75.88,0.04,100.0,28.43,97.97,9.84,60.44,23.5,36.88,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.97,44.44,0.04,0.0,0.04,0.0,0.0,0.0,6.74,55.08,97.83,18.27,62,2.23,162,5.84,2,61.73,47.51,1.71,-14.49,-0.522,0.0,1.26,0.43,,,,0.0,0,0.0
J. Andersson,Jonna Ann-Charlotte Andersson,85713,Linköping,Linköping,https://cdn5.wyscout.com/photos/team/public/g4433_120x120.png,Damallsvenskan,"LB, LCB3",LB,64,LCB3,21,,0,32.0,1993-01-02,0,,26,2491,1,0.46,1,2.88,13.44,56.18,Sweden,['Sweden'],,167,59,False,9.94,6.83,66.67,3.07,50.59,0.0,0.0,0.33,5.38,6.88,0.11,2,0.07,0,0.0,1.77,0.04,1,0.04,0.02,0,0.0,9,0.33,33.33,11.111,0.04,2.89,37.5,2.49,34.78,0.36,50.0,0.51,0.76,66.67,2.38,42.42,0.47000000000000003,0.87,0.07,34.36,1.34,0.4,51.49,70.39,25.0,59.25,6.72,93.55,41.19,79.3,7.62,33.65,18.93,31.69,0.1,0.9400000000000001,0.0,0.0,0.07,100.0,0.14,7.88,51.83,2.89,41.25,0.33,55.56,0.29,0.98,13.3,56.52,80.65,13.44,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,3.07,1.19,0.11,66.67,2.5700000000000003,0,0.0
J. Blakstad,Julie Blakstad,508479,Hammarby,Hammarby,https://cdn5.wyscout.com/photos/team/public/g4430_120x120.png,Damallsvenskan,LB,LB,78,,0,,0,24.0,2001-08-27,0,,26,2483,15,12.67,5,8.37,24.1,50.83,Norway,['Norway'],left,170,0,False,10.87,7.79,70.23,3.08,45.88,0.07,0.12,0.29,5.33,8.48,1.12,0,0.0,0,0.0,4.89,0.54,14,0.51,0.46,3,0.11,84,3.04,40.48,17.857,0.18,3.66,35.64,3.59,35.35,0.07,50.0,0.8,4.06,54.46,11.67,40.68,4.97,3.19,0.43,40.45,1.49,1.38,55.53,77.61,19.68,64.64,12.07,97.0,47.74,84.05,4.31,40.34,17.76,34.93,0.30000000000000004,1.67,0.14,0.07,0.36,40.0,0.65,7.9,57.8,6.16,44.71,1.01,17.86,2.07,1.3,10.11,76.7,79.01,14.68,0,,0,,0,0.0,0.0,0.0,,,0.8,,3.08,0.22,0.07,0.0,0.54,1,100.0
T. Åsland,Therese Sessy  Åsland,181521,Djurgården,Djurgården,https://cdn5.wyscout.com/photos/team/public/g4429_120x120.png,Damallsvenskan,"RCMF, RDMF",RCMF,48,RDMF,13,,0,30.0,1995-08-26,0,,26,2470,8,7.99,5,4.26,21.35,48.81,Norway,['Norway'],,0,0,False,8.42,6.52,63.13,1.49,41.46,0.29,0.4,0.18,4.01,5.45,0.98,1,0.04,0,0.0,2.77,0.29,3,0.11,0.29,0,0.0,53,1.9300000000000002,41.51,15.094,0.18,2.37,27.69,1.31,22.22,1.02,35.71,0.36,1.8900000000000001,63.46,10.13,41.37,0.98,1.71,0.22,34.32,0.33,1.6400000000000001,50.94,75.18,20.48,62.1,8.53,94.44,39.9,83.93,8.71,47.7,21.73,38.69,0.16,1.2,0.07,0.04,0.4,27.27,0.36,13.04,61.17,5.03,39.13,1.79,30.61,1.49,0.77,10.89,76.92,81.73,15.56,0,,0,,0,0.0,0.0,0.0,,,0.26,,1.49,1.09,0.15,50.0,3.06,7,71.429
L. Russell,Larkin Katherine Russell,-439783,Växjö,Växjö,https://cdn5.wyscout.com/photos/team/public/g34780_120x120.png,Damallsvenskan,"RW, RWF, RAMF",RW,34,RWF,25,RAMF,14,27.0,1998-05-28,0,,26,2463,13,10.85,5,2.5300000000000002,22.18,48.43,United States,['United States'],,0,0,False,8.81,8.0,64.38,2.92,41.25,0.04,0.04,0.04,3.62,4.32,1.3900000000000001,1,0.04,0,0.0,3.95,0.48,11,0.4,0.4,2,0.07,73,2.67,42.47,17.808,0.18,2.81,29.87,0.37,50.0,2.34,28.13,0.44,3.8,50.96,8.92,37.3,4.93,2.48,0.33,17.65,3.25,0.91,26.75,66.26,8.08,54.3,5.19,84.51,22.33,73.16,1.8599999999999999,35.29,17.01,30.13,0.09,0.9500000000000001,0.0,0.0,0.07,50.0,0.37,2.63,59.72,2.45,43.28,0.11,33.33,0.91,0.77,5.41,57.43,68.02,7.2,0,,0,,0,0.0,0.0,0.0,,,0.15,,2.92,0.0,0.0,0.0,0.0,2,100.0
I. Bengtsson,Ida Bengtsson,512952,Brommapojkarna,Brommapojkarna,https://cdn5.wyscout.com/photos/team/public/g8575_120x120.png,Women's Play-offs 1/2,"RCMF, LCMF",RCMF,74,LCMF,16,,0,25.0,2000-03-19,0,,26,2457,6,2.71,0,2.79,20.4,45.96,Sweden,['Sweden'],,0,0,False,9.19,8.02,69.41,1.28,42.86,0.26,0.31,0.22,3.37,4.06,0.84,2,0.07,0,0.0,2.6,0.22,6,0.22,0.1,0,0.0,34,1.25,41.18,17.647,0.0,2.27,25.81,0.37,40.0,1.87,21.57,0.55,2.86,50.0,8.79,27.5,1.54,2.01,0.29,16.52,0.73,0.51,30.7,68.62,11.47,59.74,4.8,91.6,24.54,76.87,3.88,41.51,17.8,27.49,0.1,0.77,0.04,0.0,0.15,50.0,0.37,4.43,61.16,3.0,30.49,0.48,30.77,0.59,0.66,5.46,59.06,71.27,10.07,0,,0,,0,0.0,0.0,0.0,,,0.37,,1.28,0.0,0.0,0.0,0.04,0,0.0
