Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Haataja,Niklas Haataja,-453764,JIPPO,JIPPO,https://cdn5.wyscout.com/photos/team/public/g859_120x120.png,Ykkösliiga,RCB,RCB,91,,0,,0,26.0,2000-04-17,0,,14,1355,0,0.33,2,0.56,12.35,70.43,Finland,['Finland'],unknown,0,0,False,8.37,4.65,77.14,4.85,72.6,0.07,0.09,0.4,4.72,6.28,0.33,0,0.0,0,0.0,0.27,0.0,0,0.0,0.02,0,0.0,4,0.27,0.0,0.0,0.13,0.33,40.0,0.13,50.0,0.2,33.33,0.07,0.2,66.67,1.26,52.63,0.66,2.66,0.0,44.1,0.2,0.53,60.77,84.92,26.24,72.15,4.65,97.14,50.28,91.81,10.16,52.29,23.11,43.19,0.04,0.33,0.0,0.07,0.0,0.0,0.27,12.09,67.03,1.9300000000000002,24.14,1.26,31.58,0.46,0.13,13.08,75.13,96.33,23.51,0,,0,,0,0.0,0.0,0.0,,,2.46,,4.85,0.0,0.0,0.0,0.0,0,0
P. Piirainen,Pyry Piirainen,472875,JIPPO,JIPPO,https://cdn5.wyscout.com/photos/team/public/g859_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,26.0,2000-03-14,50000,2026-12-31,14,1355,0,0.0,0,0.0,0.86,92.31,Finland,['Finland'],,190,0,False,1.06,0.0,0.0,0.53,100.0,0.0,0.0,0.0,1.06,1.42,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,25.57,0.07,0.53,37.26,90.37,16.27,79.18,0.0,0.0,26.7,98.26,10.56,70.44,28.64,47.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,58.14,0.2,66.67,0.13,0.0,0.13,0.0,7.57,78.95,99.0,19.86,10,0.66,42,2.79,7,76.19,9.85,0.65,-0.15,-0.01,0.0,1.53,0.53,,,,0.0,0,0
V. Purosalo,Valentin Purosalo,-159341,Haka,Haka,https://cdn5.wyscout.com/photos/team/public/724_120x120.png,Ykkösliiga,"RB, RCB3, RWB",RB,61,RCB3,17,RWB,11,20.0,2005-09-10,0,2026-12-31,14,1354,0,0.4,1,2.9,10.7,53.42,Finland,['Finland'],right,183,76,False,7.91,5.32,75.0,1.6,29.17,0.0,0.0,0.33,3.92,5.51,0.4,1,0.07,0,0.0,1.99,0.0,0,0.0,0.03,0,0.0,7,0.47000000000000003,42.86,0.0,0.07,4.52,20.59,0.4,16.67,4.05,21.31,0.66,1.13,64.71,2.06,45.16,0.86,2.06,0.07,42.94,1.46,0.2,56.03,75.92,23.66,70.51,7.78,93.16,44.4,87.28,7.51,39.82,21.83,45.06,0.19,1.53,0.07,0.0,0.2,66.67,0.6000000000000001,8.11,68.85,5.52,42.17,0.93,50.0,1.6600000000000001,1.0,12.76,76.04,78.93,17.35,0,,0,,0,0.0,0.0,0.0,,,1.13,,1.6,0.93,0.13,50.0,2.06,0,0
A. Lepola,Anton Lepola,339337,Haka,Haka,https://cdn5.wyscout.com/photos/team/public/724_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,29.0,1996-07-24,150000,2026-12-31,14,1354,0,0.0,0,0.0,0.66,90.0,Finland,['Finland'],right,185,80,False,1.6600000000000001,0.07,0.0,0.33,100.0,0.07,0.09,0.0,1.6,2.24,0.07,2,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,14.16,0.07,0.27,23.2,87.97,10.9,77.44,0.0,0.0,18.21,98.18,4.99,50.67,26.59,48.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,45.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,64.52,97.77,11.9,15,1.0,54,3.59,5,72.22,16.08,1.07,1.08,0.07200000000000001,0.0,1.06,0.33,,,,0.0,0,0
M. Zhuk,Maksym Zhuk,-128465,KTP,KTP,https://cdn5.wyscout.com/photos/team/public/g2389_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,22.0,2003-08-18,0,2026-12-31,14,1350,0,0.0,0,0.0,0.4,100.0,Ukraine,['Ukraine'],right,191,75,False,1.2,0.0,0.0,0.13,100.0,0.0,0.0,0.07,1.2,1.48,0.0,0,0.0,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.07,100.0,0.0,0.0,0.0,15.27,0.2,0.2,26.6,84.96,14.8,74.32,0.0,0.0,17.33,97.69,9.27,61.15,30.04,45.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,30.77,0.07,0.0,0.13,0.0,0.0,0.0,7.87,66.1,97.99,9.93,14,0.93,42,2.8,7,66.67,11.67,0.78,-2.33,-0.155,0.0,1.33,0.13,,,,0.0,0,0
M. Paavola,Matias Paavola,476849,KTP,KTP,https://cdn5.wyscout.com/photos/team/public/g2389_120x120.png,Ykkösliiga,"CB, RCB3, LCB3",CB,26,RCB3,18,LCB3,17,26.0,2000-06-30,50000,2026-12-31,14,1350,0,0.79,0,0.42,14.2,58.69,Finland,['Finland'],right,185,78,False,6.53,4.6,68.12,5.07,57.89,0.07,0.08,0.27,3.33,4.11,0.93,2,0.13,0,0.0,0.73,0.0,0,0.0,0.05,0,0.0,9,0.6000000000000001,22.22,0.0,0.0,0.53,37.5,0.07,100.0,0.4,16.67,0.07,0.6000000000000001,66.67,2.13,59.38,1.4,0.73,0.0,37.33,1.27,0.67,50.8,85.17,23.67,75.49,5.53,95.18,44.33,90.08,5.93,52.81,19.42,41.72,0.03,0.4,0.0,0.13,0.07,0.0,0.07,7.33,65.45,1.8,51.85,0.87,38.46,1.0,0.2,10.53,79.11,93.36,15.07,0,,0,,0,0.0,0.0,0.0,,,2.67,,5.07,0.0,0.0,0.0,0.07,0,0
Y. Kikuchi,Yoshiaki Kikuchi,-134096,JIPPO,JIPPO,https://cdn5.wyscout.com/photos/team/public/g859_120x120.png,Ykkösliiga,"AMF, LCMF, LDMF",AMF,55,LCMF,13,LDMF,12,30.0,1995-07-22,25000,2026-12-31,14,1350,3,2.14,1,2.88,12.0,45.0,Japan,['Japan'],right,163,61,False,4.07,3.07,60.87,1.8,29.63,0.0,0.0,0.13,2.2,2.94,0.47000000000000003,0,0.0,0,0.0,2.4,0.2,3,0.2,0.14,0,0.0,31,2.07,25.81,9.677,0.07,1.87,42.86,1.0,46.67,0.8,41.67,0.2,1.8,59.26,6.0,42.22,2.47,1.0,0.07,22.6,1.33,1.4,32.13,78.84,12.0,63.89,7.8,96.58,26.27,86.8,4.07,44.26,19.11,34.1,0.19,1.33,0.07,0.0,0.0,0.0,0.4,5.73,66.28,2.87,51.16,0.4,16.67,0.87,0.73,6.13,82.61,83.16,6.33,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.8,1.13,0.27,25.0,2.33,0,0
A. Traore,Aaron Traore,-587874,MP,MP,https://cdn5.wyscout.com/photos/team/public/g830_120x120.png,Ykkösliiga,"LCB, CB",LCB,73,CB,16,,0,19.0,2007-07-02,0,,14,1349,1,0.17,0,0.1,12.61,61.38,Finland,['Finland'],unknown,0,0,False,7.74,4.67,70.0,2.94,63.64,0.2,0.24,0.47000000000000003,4.27,5.04,0.8,3,0.2,0,0.0,0.73,0.07,1,0.07,0.01,0,0.0,3,0.2,66.67,33.333,0.0,0.2,100.0,0.07,100.0,0.07,100.0,0.07,0.53,62.5,3.6,50.0,0.87,1.67,0.13,50.5,0.53,0.93,64.58,92.05,20.48,80.13,4.47,97.01,59.44,95.29,4.94,52.7,20.21,31.74,0.01,0.13,0.0,0.0,0.13,50.0,0.07,4.87,71.23,0.47000000000000003,14.29,0.47000000000000003,57.14,0.2,0.13,8.14,68.03,98.66,34.89,0,,0,,0,0.0,0.0,0.0,,,3.07,,2.94,0.0,0.0,0.0,0.0,0,0
J. Salo,Julius Salo,-577940,JäPS,JäPS,https://cdn5.wyscout.com/photos/team/public/g2638_120x120.png,Ykkösliiga,"RCB, CB",RCB,80,CB,19,,0,23.0,2003-05-30,0,,14,1347,0,0.7000000000000001,0,0.0,13.83,65.22,Finland,['Finland'],unknown,0,0,False,10.89,5.48,80.49,4.34,61.54,0.47000000000000003,0.52,0.8,6.01,6.73,0.47000000000000003,3,0.2,0,0.0,0.53,0.0,0,0.0,0.05,0,0.0,12,0.8,16.67,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.53,75.0,2.27,47.06,0.9400000000000001,0.8,0.0,23.12,0.27,0.6000000000000001,33.74,79.41,15.17,60.79,1.27,94.74,27.06,88.64,6.61,42.42,25.22,44.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55,47.96,0.8,25.0,0.33,0.0,0.2,0.0,7.48,68.75,96.79,14.57,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,4.34,0.07,0.0,0.0,0.0,0,0
A. Ramula,Alex Ramula,-286909,PK-35 ry,PK-35 ry,https://cdn5.wyscout.com/photos/team/public/g36303_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,21.0,2005-01-17,0,2026-12-31,14,1346,0,0.0,0,0.0,0.74,72.73,Finland,['Finland'],right,184,77,False,1.4,0.0,0.0,0.67,80.0,0.0,0.0,0.0,1.4,1.6800000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43,0.07,0.07,18.32,78.83,12.84,71.88,0.0,0.0,8.49,95.28,9.83,64.63,37.59,52.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,62.5,0.07,100.0,0.47000000000000003,42.86,0.13,0.0,7.82,80.34,94.52,4.88,8,0.53,43,2.88,7,81.4,11.61,0.78,3.61,0.241,0.0,2.21,0.67,,,,0.0,0,0
