Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Stanic,Filip  Stanic,-598784,Borac Čačak,Borac Čačak,https://cdn5.wyscout.com/photos/team/public/701_120x120.png,Prva Liga,GK,GK,100,,0,,0,21.0,2005-06-15,0,,6,583,0,0.0,0,0.0,0.62,50.0,Serbia,['Serbia'],unknown,0,0,False,1.08,0.15,0.0,0.15,100.0,0.0,0.0,0.0,1.08,1.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,15.44,0.46,0.15,26.09,77.51,15.44,63.0,0.0,0.0,13.89,95.56,12.2,56.96,36.08,52.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,50.0,0.15,0.0,0.31,0.0,0.0,0.0,9.42,72.13,98.36,9.42,7,1.08,31,4.79,2,77.42,7.34,1.13,0.34,0.052000000000000005,0.0,1.23,0.15,,,,0.0,0,0
N. Nikić,Nenad Nikić,-116984,Borac Čačak,Borac Čačak,https://cdn5.wyscout.com/photos/team/public/701_120x120.png,Prva Liga,LB,LB,100,,0,,0,25.0,2001-07-08,100000,,6,583,0,0.17,2,0.36,16.67,60.19,Bosnia and Herzegovina,['Bosnia and Herzegovina'],left,183,75,False,13.74,7.1,78.26,4.32,60.71,0.93,1.29,0.46,7.26,10.14,0.77,0,0.0,0,0.0,1.3900000000000001,0.0,0,0.0,0.03,0,0.0,6,0.93,0.0,0.0,0.31,3.09,25.0,3.09,25.0,0.0,0.0,0.46,1.3900000000000001,44.44,2.93,26.32,0.15,1.08,0.15,19.45,0.46,0.31,32.57,68.25,15.75,69.61,3.09,85.0,24.24,78.34,5.4,45.71,20.72,36.26,0.06,0.93,0.0,0.0,0.0,0.0,0.46,6.48,80.95,2.7800000000000002,22.22,0.46,100.0,0.15,0.93,11.89,68.83,61.67,9.26,0,,0,,0,0.0,0.0,0.0,,,1.23,,4.32,0.15,0.0,0.0,0.0,0,0
V. Krstić,Vukašin Krstić,-145615,Bačka Topola,Bačka Topola,https://cdn5.wyscout.com/photos/team/public/g19686_120x120.png,Prva Liga,"RCB, LCB3",RCB,61,LCB3,32,,0,23.0,2003-04-13,750000,2027-06-30,6,583,0,0.16,0,0.0,14.67,65.26,Serbia,['Serbia'],right,184,72,False,8.49,8.03,73.08,3.55,52.17,0.31,0.51,0.31,2.32,3.81,1.54,2,0.31,0,0.0,0.15,0.0,0,0.0,0.02,0,0.0,1,0.15,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,1.08,28.57,0.15,1.08,0.0,37.67,0.0,0.46,55.73,90.58,24.24,83.44,3.24,90.48,50.48,92.97,5.09,66.67,20.27,38.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95,71.11,0.46,0.0,0.31,0.0,0.0,0.0,7.87,78.43,96.84,24.39,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,3.55,0.0,0.0,0.0,0.0,0,0
M. Radin,Milan Radin,258589,Bačka Topola,Bačka Topola,https://cdn5.wyscout.com/photos/team/public/g19686_120x120.png,Prva Liga,"RCMF, RDMF, LDMF",RCMF,43,RDMF,24,LDMF,24,35.0,1991-06-25,200000,2027-06-30,6,583,0,0.33,0,0.29,20.22,46.56,Serbia,['Serbia'],right,173,66,False,6.48,6.64,53.49,5.25,35.29,0.62,1.02,0.15,2.32,3.81,2.62,2,0.31,0,0.0,1.08,0.0,0,0.0,0.05,0,0.0,3,0.46,0.0,0.0,0.0,0.46,33.33,0.15,0.0,0.15,0.0,0.0,1.3900000000000001,66.67,6.02,51.28,2.01,1.54,0.46,36.12,0.15,2.93,52.95,88.34,17.6,75.44,8.49,98.18,48.63,92.7,3.86,40.0,19.12,41.06,0.05,0.77,0.0,0.0,0.15,0.0,0.31,9.73,77.78,2.01,38.46,0.46,33.33,1.3900000000000001,0.15,8.03,82.69,94.62,20.07,0,,0,,0,0.0,0.0,0.0,,,0.46,,5.25,0.0,0.0,0.0,0.0,0,0
M. Oreščanin,Mihailo Oreščanin,-92232,Smederevo 1924,Smederevo 1924,https://cdn5.wyscout.com/photos/team/public/g22531_120x120.png,Prva Liga,"RCB3, LCB, CB",RCB3,69,LCB,14,CB,12,28.0,1997-09-07,400000,,6,580,0,0.19,1,0.37,15.05,53.61,Serbia,['Serbia'],right,187,80,False,9.93,6.52,61.9,3.88,48.0,0.16,0.2,0.47000000000000003,5.74,7.25,2.17,1,0.16,0,0.0,1.24,0.0,0,0.0,0.03,0,0.0,3,0.47000000000000003,100.0,0.0,0.16,0.16,100.0,0.0,0.0,0.16,100.0,0.0,0.62,75.0,2.64,64.71,0.16,0.93,0.0,18.78,0.0,1.24,28.86,78.49,13.66,61.36,3.1,100.0,23.43,86.09,5.28,44.12,22.54,40.31,0.06,0.31,0.0,0.0,0.16,100.0,0.31,5.12,45.45,0.93,50.0,0.93,50.0,0.31,0.16,5.28,58.82,95.08,9.47,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,3.88,0.0,0.0,0.0,0.0,0,0
I. Milicević,Ilija Milicević,-186604,Metalac GM,Metalac GM,https://cdn5.wyscout.com/photos/team/public/1959_120x120.png,Prva Liga,LCB,LCB,100,,0,,0,25.0,2001-06-20,200000,,6,579,1,0.36,0,0.15,12.28,60.76,Serbia,['Serbia'],right,190,75,False,8.55,4.82,64.52,3.42,54.55,0.31,0.5,0.78,5.13,8.18,1.4,3,0.47000000000000003,0,0.0,0.47000000000000003,0.16,1,0.16,0.06,1,0.16,2,0.31,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,1.4,77.78,0.47000000000000003,1.71,0.0,40.57,0.31,0.93,56.27,90.33,17.56,82.3,2.95,89.47,49.12,94.94,7.15,58.7,24.03,44.94,0.02,0.16,0.0,0.0,0.0,0.0,0.0,8.7,71.43,0.78,20.0,0.62,0.0,0.0,0.0,8.7,80.36,95.65,32.18,0,,0,,0,0.0,0.0,0.0,,,2.33,,3.42,0.0,0.0,0.0,0.0,0,0
S. Tešić,Stefan Tešić,-118363,Metalac GM,Metalac GM,https://cdn5.wyscout.com/photos/team/public/1959_120x120.png,Prva Liga,RCB,RCB,100,,0,,0,25.0,2001-08-27,50000,,6,579,0,0.65,0,0.42,9.33,63.33,Serbia,['Serbia'],right,187,0,False,7.77,3.58,69.57,2.18,57.14,0.0,0.0,0.62,5.28,8.43,0.62,1,0.16,0,0.0,0.78,0.0,0,0.0,0.1,0,0.0,4,0.62,50.0,0.0,0.0,1.09,28.57,0.16,0.0,0.78,20.0,0.0,0.16,100.0,2.18,71.43,1.09,4.66,0.0,42.28,0.47000000000000003,0.78,60.78,82.1,21.92,67.38,4.97,100.0,47.25,90.46,12.44,55.0,23.44,42.05,0.07,0.78,0.0,0.0,0.0,0.0,0.62,13.21,64.71,2.8,27.78,1.71,45.45,0.62,0.31,13.52,75.86,91.85,28.6,0,,0,,0,0.0,0.0,0.0,,,3.42,,2.18,0.0,0.0,0.0,0.0,0,0
B. Mijailović,Bojan Mijailović,297656,Metalac GM,Metalac GM,https://cdn5.wyscout.com/photos/team/public/1959_120x120.png,Prva Liga,RB,RB,100,,0,,0,31.0,1995-08-28,150000,,6,579,0,0.67,2,1.35,15.85,55.88,Serbia,['Serbia'],right,185,75,False,7.31,5.28,50.0,3.89,72.0,0.31,0.5,0.16,4.35,6.94,1.55,1,0.16,0,0.0,4.66,0.0,0,0.0,0.1,0,0.0,10,1.55,30.0,0.0,0.31,6.06,43.59,0.0,0.0,6.06,43.59,0.93,2.49,62.5,4.2,55.56,1.71,2.18,1.09,23.47,3.89,0.47000000000000003,35.13,68.14,13.52,63.22,3.73,87.5,25.03,77.64,4.97,50.0,21.52,36.33,0.21,1.09,0.16,0.0,0.0,0.0,0.78,5.6,55.56,5.28,38.24,0.31,50.0,0.31,2.18,7.77,82.0,71.62,11.5,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,3.89,0.16,0.16,0.0,0.0,0,0
L. Lazin,Luka  Lazin,-483915,OFK Vršac,OFK Vršac,https://cdn5.wyscout.com/photos/team/public/g-16413_120x120.png,Prva Liga,GK,GK,100,,0,,0,18.0,2007-10-03,0,,6,579,0,0.0,0,0.0,0.62,50.0,Serbia,['Serbia'],unknown,0,0,False,1.24,0.0,0.0,0.31,50.0,0.0,0.0,0.0,1.24,1.6,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.16,0.31,13.21,82.35,8.55,74.55,0.0,0.0,7.31,97.87,5.75,64.86,37.05,54.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,46.15,0.0,0.0,0.0,0.0,0.0,0.0,4.66,73.33,100.0,4.2,6,0.93,31,4.82,1,80.65,10.18,1.58,4.18,0.65,0.0,1.09,0.31,,,,0.0,0,0
K Janjic,Kosta  Janjic,-348806,OFK Vršac,OFK Vršac,https://cdn5.wyscout.com/photos/team/public/g-16413_120x120.png,Prva Liga,LB,LB,100,,0,,0,26.0,2000-05-22,0,,6,579,0,0.18,2,1.5899999999999999,13.99,46.67,Serbia,['Serbia'],left,176,0,False,6.99,6.06,48.72,2.95,47.37,0.31,0.4,0.16,3.73,4.8,1.87,0,0.0,0,0.0,1.55,0.0,0,0.0,0.03,0,0.0,5,0.78,60.0,0.0,0.31,3.11,30.0,2.8,27.78,0.31,50.0,0.62,0.62,25.0,3.26,42.86,1.87,0.93,0.0,17.1,1.55,1.24,26.27,71.6,13.21,69.41,3.42,90.91,19.43,83.2,4.04,42.31,21.07,40.85,0.25,1.55,0.0,0.16,0.0,0.0,0.31,4.51,72.41,2.8,44.44,0.31,50.0,0.93,0.93,9.17,77.97,70.45,6.84,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,2.95,0.62,0.16,100.0,2.33,0,0
