Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Musa,Philip Dandada  Musa,-483491,Kelantan Red Warrior,Kelantan Red Warrior,https://cdn5.wyscout.com/photos/team/public/g-25542_120x120.png,Super League,RAMF,RAMF,98,,0,,0,22,2004-03-30,0,,3,296,1,0.48,0,0.06,17.33,38.6,Nigeria,['Nigeria'],unknown,0,0,False,8.21,7.3,54.17,1.22,0.0,0.61,0.68,0.0,3.65,4.09,1.22,1,0.30000000000000004,0,0.0,1.22,0.30000000000000004,1,0.30000000000000004,0.15,0,0.0,6,1.82,50.0,16.667,0.0,0.91,0.0,0.0,0.0,0.91,0.0,0.61,0.91,33.33,7.3,25.0,0.91,1.22,0.61,13.38,1.52,1.82,17.94,61.02,6.99,39.13,3.04,90.0,15.81,67.31,1.22,25.0,17.78,45.33,0.02,0.61,0.0,0.0,0.0,0.0,0.30000000000000004,1.82,33.33,0.61,0.0,0.0,0.0,0.0,0.0,5.17,47.06,75.0,4.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.22,0.0,0.0,0.0,0.0,0,0
Wan Mohd Rizal,Wan Mohd Aikal Daniel Wan Mohd Rizal,-436366,Kelantan Red Warrior,Kelantan Red Warrior,https://cdn5.wyscout.com/photos/team/public/g-25542_120x120.png,Super League,LB,LB,100,,0,,0,24,2001-12-08,0,,3,296,0,0.0,0,0.0,10.95,33.33,Malaysia,['Malaysia'],unknown,0,0,False,7.6,6.99,17.39,1.52,60.0,0.30000000000000004,0.34,0.91,6.08,6.82,1.52,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,2.13,71.43,0.0,0.0,0.0,6.99,0.30000000000000004,1.52,13.38,72.73,6.39,66.67,1.82,100.0,10.34,79.41,2.74,55.56,18.78,39.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,50.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,3.04,30.0,63.64,3.34,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.52,0.0,0.0,0.0,0.0,0,0
A. Latiff Suhaimi,Abdul Latiff bin Suhaimi,179316,Kelantan Red Warrior,Kelantan Red Warrior,https://cdn5.wyscout.com/photos/team/public/g-25542_120x120.png,Super League,"LCB, RCB",LCB,52,RCB,47,,0,37,1989-05-29,0,2027-06-30,3,296,0,0.0,0,0.0,9.43,35.48,Malaysia,['Malaysia'],both,180,75,False,8.82,6.08,45.0,2.13,0.0,0.0,0.0,1.52,6.08,6.82,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.30000000000000004,0.0,8.82,0.0,0.30000000000000004,13.99,54.35,8.82,44.83,0.91,0.0,9.12,70.0,4.86,25.0,23.58,25.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,25.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,3.34,27.27,91.67,3.65,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.13,0.0,0.0,0.0,0.0,0,0
Faiz Nasir,Mohd Faiz bin Mohd Nasir,433368,Kelantan Red Warrior,Kelantan Red Warrior,https://cdn5.wyscout.com/photos/team/public/g-25542_120x120.png,Super League,AMF,AMF,98,,0,,0,34,1992-07-21,100000,,3,296,0,0.55,0,0.0,10.03,63.64,Malaysia,['Malaysia'],,155,45,False,3.95,3.34,54.55,0.30000000000000004,0.0,0.30000000000000004,0.34,0.0,1.82,2.05,0.0,0,0.0,0,0.0,1.82,0.0,0,0.0,0.17,0,0.0,2,0.61,50.0,0.0,0.0,0.61,50.0,0.0,0.0,0.61,50.0,0.0,1.22,100.0,5.17,70.59,0.61,0.91,0.30000000000000004,9.73,0.30000000000000004,1.52,18.55,86.89,4.5600000000000005,86.67,3.34,90.91,16.72,90.91,1.22,50.0,13.78,28.27,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.91,66.67,0.91,66.67,0.0,0.0,0.91,0.30000000000000004,2.74,66.67,89.47,5.78,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.30000000000000004,0.0,0.0,0.0,0.61,0,0
Emmanuel Mbarga,Emmanuel Junior Mbarga Mkene,-152048,Kelantan Red Warrior,Kelantan Red Warrior,https://cdn5.wyscout.com/photos/team/public/g-25542_120x120.png,Super League,CF,CF,98,,0,,0,27,1998-11-24,0,2027-06-30,3,296,0,0.5,0,0.0,17.33,40.35,Cameroon,['Cameroon'],right,168,0,False,1.52,3.34,36.36,3.65,33.33,0.0,0.0,0.0,0.30000000000000004,0.34,2.13,0,0.0,0,0.0,1.82,0.0,0,0.0,0.15,0,0.0,10,3.04,10.0,0.0,0.0,0.91,33.33,0.91,33.33,0.0,0.0,0.0,1.52,80.0,7.91,46.15,0.0,0.30000000000000004,0.30000000000000004,14.29,1.22,0.91,21.28,70.0,5.78,52.63,6.69,86.36,17.03,78.57,3.34,36.36,21.24,43.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,40.0,1.82,16.67,0.0,0.0,0.30000000000000004,0.30000000000000004,4.26,57.14,65.0,6.08,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.65,1.22,1.22,0.0,0.91,0,0
Arif Aiman,Arif Aiman bin Mohd Hanapi,-195762,Johor Darul Ta'zim,Johor Darul Ta'zim,https://cdn5.wyscout.com/photos/team/public/g3268_120x120.png,Super League,"RWB, AMF",RWB,71,AMF,23,,0,24,2002-05-04,0,2028-06-30,3,293,1,0.75,5,3.92,19.35,68.25,Malaysia,['Malaysia'],right,171,66,False,3.07,1.8399999999999999,66.67,0.61,50.0,0.0,0.0,0.0,1.8399999999999999,4.19,0.31,0,0.0,0,0.0,12.29,0.31,1,0.31,0.23,0,0.0,9,2.76,11.11,11.111,1.54,7.06,65.22,0.31,100.0,6.76,63.64,2.15,8.6,85.71,16.89,69.09,8.91,7.37,0.0,41.47,2.76,1.54,48.84,77.36,12.29,72.5,10.75,91.43,39.93,82.31,2.15,28.57,15.21,31.64,1.2,6.14,0.61,0.0,0.31,0.0,4.3,2.76,77.78,10.14,66.67,0.61,0.0,5.22,3.99,11.37,89.19,77.55,15.05,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.61,0.31,0.0,0.0,3.99,0,0
Arham Khussyairi,Arham Khussyairi ab Wahab,-205111,Kelantan Red Warrior,Kelantan Red Warrior,https://cdn5.wyscout.com/photos/team/public/g-25542_120x120.png,Super League,"RDMF, LCB",RDMF,64,LCB,35,,0,26,2000-01-26,0,,3,275,0,0.07,0,0.0,8.84,40.74,Malaysia,['Malaysia'],,0,0,False,7.53,4.58,57.14,1.96,33.33,0.0,0.0,0.65,4.91,5.49,1.31,1,0.33,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.98,33.33,0.0,0.0,0.0,11.45,0.0,0.33,23.24,81.69,11.45,80.0,2.62,87.5,18.98,82.76,3.93,83.33,18.73,36.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,66.67,0.65,0.0,0.0,0.0,0.0,0.0,3.93,58.33,84.21,6.22,0,,0,,0,0.0,0.0,0.0,,,0.33,,1.96,0.98,0.0,0.0,0.0,0,0
Gabriel Peres,Gabriel Schmegel Wotter Peres,-71793,Kuching City,Kuching City,https://cdn5.wyscout.com/photos/team/public/g38280_120x120.png,Super League,"LCB, LCB3",LCB,80,LCB3,19,,0,29,1997-03-05,0,2027-06-30,3,245,0,0.0,0,0.0,7.35,55.0,Brazil,['Brazil'],left,197,0,False,8.45,3.67,60.0,1.1,33.33,0.0,0.0,1.1,6.24,10.41,1.47,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8399999999999999,80.0,0.73,0.0,0.0,34.16,0.73,1.1,46.65,85.83,21.67,79.66,1.1,66.67,41.14,90.18,5.51,53.33,23.7,55.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,72.73,0.73,0.0,0.0,0.0,0.0,0.0,9.18,72.0,93.33,22.04,0,,0,,0,0.0,0.0,0.0,,,0.73,,1.1,0.0,0.0,0.0,0.0,0,0
P. Shitembi,Petrus Shitembi,217134,Kuching City,Kuching City,https://cdn5.wyscout.com/photos/team/public/g38280_120x120.png,Super League,"RCMF, RDMF, RCMF3",RCMF,48,RDMF,20,RCMF3,20,34,1992-05-11,200000,2027-06-30,3,238,0,0.15,3,1.08,12.86,52.94,Namibia,['Namibia'],left,179,70,False,5.29,4.54,58.33,0.76,100.0,0.0,0.0,0.38,2.65,4.77,0.76,0,0.0,0,0.0,3.7800000000000002,0.0,0,0.0,0.06,0,0.0,3,1.13,33.33,0.0,1.13,6.43,41.18,2.65,42.86,3.7800000000000002,40.0,0.38,0.38,100.0,6.8100000000000005,38.89,2.27,1.13,1.13,46.89,1.13,1.13,58.24,79.87,23.07,81.97,6.05,81.25,48.4,85.16,3.7800000000000002,80.0,17.86,35.47,0.41000000000000003,2.65,0.0,0.38,0.76,50.0,2.27,7.5600000000000005,80.0,10.21,48.15,0.76,50.0,3.7800000000000002,2.65,13.24,85.71,78.95,21.55,0,,0,,0,0.0,0.0,0.0,,,1.13,,0.76,0.38,0.0,0.0,3.03,0,0
Joao Pedro,Joao Pedro Da Silva Freitas,-257866,Kuching City,Kuching City,https://cdn5.wyscout.com/photos/team/public/g38280_120x120.png,Super League,"LB, LWB",LB,76,LWB,20,,0,28,1998-06-24,0,2027-06-30,3,235,0,0.03,1,0.86,10.72,50.0,Timor-Leste,['Timor-Leste'],right,171,0,False,7.66,6.89,44.44,0.77,50.0,0.0,0.0,0.38,4.6,8.0,1.53,1,0.38,0,0.0,2.3,0.0,0,0.0,0.01,0,0.0,2,0.77,0.0,0.0,0.38,2.68,57.14,2.68,57.14,0.0,0.0,0.38,1.15,66.67,2.3,83.33,3.06,1.9100000000000001,0.0,40.98,3.83,0.77,49.4,86.82,14.55,78.95,11.49,100.0,44.81,89.74,1.9100000000000001,60.0,15.11,44.02,0.33,1.9100000000000001,0.0,0.0,0.38,0.0,1.53,3.83,80.0,5.74,60.0,0.38,0.0,1.15,1.53,10.72,82.14,84.38,12.26,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.77,0.38,0.0,0.0,0.0,0,0
