Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Wolff,Marco Wolff,-75601,Maccabi Petah Tikva,Maccabi Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1606_120x120.png,Liga Leumit,GK,GK,100,,0,,0,29.0,1996-12-14,250000,2027-06-30,35,3461,0,0.0,0,0.0,0.55,76.19,Argentina,['Argentina'],left,190,79,False,1.6099999999999999,0.08,33.33,0.31,100.0,0.0,0.0,0.0,1.5899999999999999,2.76,0.03,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,75.0,0.0,0.0,0.0,12.4,0.34,0.16,19.22,86.87,11.62,79.87,0.0,0.0,13.65,97.52,5.5600000000000005,60.75,26.68,45.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,28.57,0.1,0.0,0.1,0.0,0.0,0.0,4.32,71.69,97.96,6.37,39,1.01,106,2.76,9,63.21,26.92,0.7000000000000001,-12.08,-0.314,0.0,1.07,0.31,,,,0.0,0,0.0
O. Amer,Omri Amer,-207755,Kfar Kasem,Kfar Kasem,https://cdn5.wyscout.com/photos/team/public/g20832_120x120.png,Liga Leumit,"LCB, LCB3",LCB,53,LCB3,39,,0,24.0,2001-10-14,0,,35,3388,1,1.18,0,0.2,11.4,55.48,Israel,['Israel'],,0,0,False,8.79,5.9,66.67,1.5899999999999999,46.67,0.4,0.53,0.58,4.46,5.94,0.93,10,0.27,0,0.0,0.4,0.03,1,0.03,0.03,1,0.03,11,0.29,9.09,9.091,0.0,0.11,25.0,0.03,0.0,0.08,33.33,0.0,0.5,68.42,2.34,39.77,0.48,0.8,0.16,32.83,0.4,0.32,47.92,90.08,17.32,81.13,2.71,94.12,44.04,93.67,3.77,50.0,20.19,40.27,0.01,0.11,0.05,0.0,0.0,0.0,0.03,3.8,71.33,0.19,42.86,0.24,22.22,0.13,0.03,6.24,65.53,97.13,23.14,0,,0,,0,0.0,0.0,0.0,,,1.78,,1.5899999999999999,0.03,0.0,0.0,0.0,0,0.0
T. Bomshtein,Tal Bomshtein,302158,Maccabi Herzliya,Maccabi Herzliya,https://cdn5.wyscout.com/photos/team/public/883_120x120.png,Liga Leumit,GK,GK,100,,0,,0,30.0,1995-09-01,150000,,34,3360,0,0.0,0,0.0,1.13,92.86,Israel,['Israel'],right,0,0,False,2.12,0.08,66.67,0.78,93.1,0.03,0.03,0.0,2.04,2.44,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.19,100.0,0.0,0.0,0.0,8.79,0.16,0.29,16.74,77.44,11.36,68.87,0.08,66.67,8.17,97.7,8.57,58.13,36.41,52.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,45.0,0.16,16.67,0.24,55.56,0.05,0.0,6.43,74.58,95.4,4.66,40,1.07,132,3.54,9,69.7,38.23,1.02,-1.77,-0.047,0.0,2.22,0.78,,,,0.0,0,0.0
N. Bardea,Nir Bardea,343227,Hapoel Ramat Gan,Hapoel Ramat Gan,https://cdn5.wyscout.com/photos/team/public/2233_120x120.png,Liga Leumit,"LCB, CB",LCB,60,CB,30,,0,30.0,1996-01-25,450000,,34,3357,4,2.11,0,0.03,9.49,63.56,Israel,['Israel'],right,189,82,False,9.6,3.99,69.13,3.14,58.97,0.27,0.34,1.58,6.57,8.25,0.86,6,0.16,0,0.0,0.21,0.11,4,0.11,0.06,3,0.08,13,0.35000000000000003,46.15,30.769,0.0,0.05,0.0,0.03,0.0,0.03,0.0,0.03,0.08,66.67,0.75,60.71,0.43,0.27,0.0,28.98,0.24,0.29,41.29,85.91,18.66,76.44,1.6400000000000001,90.16,35.28,92.55,5.95,47.3,22.85,41.78,0.0,0.05,0.0,0.05,0.0,0.0,0.0,5.04,61.17,0.54,20.0,0.27,20.0,0.08,0.0,8.42,67.52,94.92,18.47,0,,0,,0,0.0,0.0,0.0,,,1.21,,3.14,0.0,0.0,0.0,0.03,0,0.0
N. Yehoshua,Niv Yehoshua,-280654,Maccabi Petah Tikva,Maccabi Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1606_120x120.png,Liga Leumit,"RCMF, RDMF, LCMF",RCMF,45,RDMF,19,LCMF,15,21.0,2005-01-28,0,2029-06-30,35,3355,4,6.58,4,5.44,15.4,47.56,Israel,['Israel'],right,0,0,False,5.74,4.86,69.06,1.48,56.36,0.27,0.46,0.08,2.12,3.66,1.15,4,0.11,0,0.0,2.12,0.11,4,0.11,0.18,0,0.0,61,1.6400000000000001,36.07,6.557,0.11,1.74,36.92,0.35000000000000003,30.77,1.34,38.0,0.32,1.42,50.94,6.97,33.85,2.63,1.15,0.11,33.96,0.46,0.75,44.75,85.07,12.9,77.96,8.45,94.29,40.94,88.53,2.15,57.5,16.64,28.76,0.15,1.58,0.03,0.08,0.35000000000000003,46.15,0.67,6.65,81.45,2.98,57.66,0.59,27.27,1.45,0.67,6.73,80.88,89.91,14.89,0,,0,,0,0.0,0.0,0.0,,,0.21,,1.48,0.08,0.03,0.0,0.08,0,0.0
R. Abu Hamdan,Razi Abu Hamdan,-133060,Hapoel Kfar Saba,Hapoel Kfar Saba,https://cdn5.wyscout.com/photos/team/public/3150_120x120.png,Liga Leumit,GK,GK,100,,0,,0,24.0,2001-11-30,175000,2026-06-30,34,3348,0,0.0,0,0.0,0.78,79.31,Israel,['Israel'],,0,0,False,1.21,0.03,100.0,0.62,78.26,0.0,0.0,0.0,1.18,1.79,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,80.0,0.0,0.0,0.0,12.66,0.19,0.11,19.09,87.46,9.46,77.27,0.0,0.0,12.96,97.3,6.13,66.67,29.94,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,49.09,0.19,14.29,0.19,14.29,0.03,0.0,4.27,74.84,97.31,8.98,45,1.21,149,4.01,10,69.8,43.68,1.17,-1.32,-0.035,0.0,1.24,0.62,,,,0.0,0,0.0
D. Hevron,Dor Hevron,-107300,Hapoel Raanana,Hapoel Raanana,https://cdn5.wyscout.com/photos/team/public/2234_120x120.png,Liga Leumit,GK,GK,100,,0,,0,24.0,2001-06-28,150000,,34,3342,0,0.0,1,0.0,0.73,85.19,Israel,['Israel'],,0,0,False,1.54,0.05,50.0,0.4,86.67,0.0,0.0,0.0,1.51,1.8,0.03,4,0.11,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.22,100.0,0.0,0.0,0.0,10.18,0.16,0.35000000000000003,19.74,83.49,11.28,73.51,0.03,0.0,11.42,98.35,8.27,63.52,32.0,49.05,0.0,0.0,0.03,0.03,0.0,0.0,0.0,2.24,48.19,0.08,0.0,0.13,0.0,0.0,0.0,5.66,73.33,97.39,7.22,40,1.08,154,4.15,10,74.03,45.35,1.22,5.35,0.14400000000000002,0.0,1.8900000000000001,0.4,,,,0.0,0,0.0
G. Sanker,Guy Sanker,-231625,Kiryat Yam,Kiryat Yam,https://cdn5.wyscout.com/photos/team/public/g37974_120x120.png,Liga Leumit,"LWB, LB, LB5",LWB,42,LB,34,LB5,15,23.0,2002-06-04,0,,35,3317,4,2.96,11,9.44,12.7,51.07,Israel,['Israel'],,0,0,False,7.35,5.5600000000000005,60.98,0.76,57.14,0.19,0.27,0.08,3.77,5.29,0.54,9,0.24,0,0.0,3.01,0.11,4,0.11,0.08,0,0.0,25,0.68,52.0,16.0,0.30000000000000004,3.91,38.89,3.39,40.0,0.52,31.58,0.43,2.12,50.0,5.32,43.37,1.11,1.6800000000000002,0.16,28.68,2.69,1.17,39.91,71.24,14.87,61.86,6.0,85.97,30.14,78.58,6.0,54.75,22.34,40.12,0.26,2.06,0.05,0.03,0.14,60.0,0.76,6.19,61.84,5.16,43.68,0.84,38.71,0.84,1.6,11.45,72.04,75.37,14.65,0,,0,,0,0.0,0.0,0.0,,,0.65,,0.76,1.25,0.11,50.0,3.2800000000000002,0,0.0
Y. Brik,Yaniv Brik,318529,Hapoel Afula,Hapoel Afula,https://cdn5.wyscout.com/photos/team/public/g12546_120x120.png,Liga Leumit,"LCMF, RCMF, DMF",LCMF,35,RCMF,28,DMF,23,31.0,1995-05-28,125000,,34,3303,3,1.33,5,2.35,11.55,53.3,Israel,['Israel'],right,182,72,False,7.85,4.17,64.71,1.01,51.35,0.16,0.18,0.19,4.99,5.49,0.54,8,0.22,0,0.0,1.23,0.08,2,0.05,0.04,0,0.0,21,0.5700000000000001,23.81,14.286,0.14,0.71,34.62,0.33,41.67,0.33,33.33,0.0,1.31,62.5,5.07,43.55,0.08,1.99,0.16,28.17,0.25,0.98,43.46,85.45,16.78,75.97,5.42,95.98,38.88,89.28,3.87,56.34,18.64,34.87,0.06,0.8200000000000001,0.05,0.03,0.11,25.0,0.16,7.77,78.25,1.44,47.17,0.71,42.31,0.44,0.25,8.28,78.29,92.34,14.93,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.01,1.77,0.16,16.67,2.13,1,100.0
T. Litvinov,Tomer Litvinov,386565,Bnei Yehuda,Bnei Yehuda,https://cdn5.wyscout.com/photos/team/public/1641_120x120.png,Liga Leumit,GK,GK,100,,0,,0,28.0,1998-03-12,150000,2026-06-30,33,3283,0,0.0,0,0.0,0.58,85.71,Israel,['Israel'],right,0,0,True,1.45,0.03,0.0,0.47000000000000003,94.12,0.0,0.0,0.0,1.45,1.99,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.03,11.13,0.22,0.08,21.08,84.66,12.42,75.06,0.0,0.0,12.64,98.26,8.44,64.29,32.7,46.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,37.97,0.16,16.67,0.14,20.0,0.03,0.0,6.0,75.34,98.61,7.87,40,1.1,161,4.41,9,75.16,45.69,1.25,5.69,0.156,0.0,2.03,0.47000000000000003,,,,0.0,0,0.0
