Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Palmula,Leevi Palmula,-436633,Klubi-04,Klubi-04,https://cdn5.wyscout.com/photos/team/public/g835_120x120.png,Ykkösliiga,"LDMF, LCMF",LDMF,72,LCMF,24,,0,18.0,2008-02-23,0,,12,1172,0,0.37,0,0.14,11.9,49.68,Finland,['Finland'],unknown,0,0,False,7.68,4.22,58.18,1.54,45.0,0.46,0.62,0.6900000000000001,4.76,6.39,0.54,2,0.15,0,0.0,0.84,0.0,0,0.0,0.03,0,0.0,13,1.0,23.08,0.0,0.0,0.77,40.0,0.46,33.33,0.0,0.0,0.15,0.77,40.0,4.3,41.07,0.84,1.08,0.0,33.33,0.31,1.08,47.76,86.66,14.82,70.47,8.06,98.1,40.16,93.5,6.83,51.69,19.66,39.42,0.01,0.23,0.0,0.0,0.08,0.0,0.08,9.68,75.4,2.5300000000000002,45.45,1.08,28.57,0.84,0.38,6.6,76.74,93.64,18.12,0,,0,,0,0.0,0.0,0.0,,,1.23,,1.54,0.54,0.23,0.0,0.08,0,0
J. Kari,Jere Kari,-344010,Klubi-04,Klubi-04,https://cdn5.wyscout.com/photos/team/public/g835_120x120.png,Ykkösliiga,LCB,LCB,98,,0,,0,19.0,2007-02-24,0,,12,1172,0,1.62,0,0.0,11.98,58.33,Finland,['Finland'],unknown,0,0,False,8.45,5.22,60.29,3.3,62.79,0.38,0.52,1.08,4.91,6.6,0.84,3,0.23,0,0.0,0.15,0.0,0,0.0,0.12,0,0.0,3,0.23,33.33,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.08,100.0,0.92,58.33,0.61,1.15,0.0,44.77,0.0,0.46,60.9,83.86,25.26,70.52,2.5300000000000002,87.88,52.53,89.62,8.22,48.6,21.04,38.03,0.0,0.08,0.0,0.0,0.0,0.0,0.0,8.68,62.83,1.15,20.0,0.54,0.0,0.23,0.0,11.75,65.36,95.26,27.57,0,,0,,0,0.0,0.0,0.0,,,1.92,,3.3,0.0,0.0,0.0,0.0,0,0
V. Purosalo,Valentin Purosalo,-159341,Haka,Haka,https://cdn5.wyscout.com/photos/team/public/724_120x120.png,Ykkösliiga,"RB, RCB3",RB,72,RCB3,19,,0,20.0,2005-09-10,0,2026-12-31,12,1161,0,0.32,1,2.31,10.23,50.76,Finland,['Finland'],right,183,76,False,8.22,5.35,73.91,1.55,30.0,0.0,0.0,0.39,4.26,6.0,0.47000000000000003,1,0.08,0,0.0,1.32,0.0,0,0.0,0.02,0,0.0,5,0.39,40.0,0.0,0.08,3.88,20.0,0.47000000000000003,16.67,3.33,20.93,0.54,0.7000000000000001,44.44,1.55,30.0,0.7000000000000001,2.09,0.08,40.85,1.32,0.23,55.19,75.84,25.12,69.75,6.51,94.05,43.49,87.34,8.29,39.25,22.23,44.26,0.18,1.47,0.08,0.0,0.16,50.0,0.54,8.68,68.75,5.04,36.92,0.93,50.0,1.4,0.85,13.02,74.4,80.09,17.52,0,,0,,0,0.0,0.0,0.0,,,1.01,,1.55,1.01,0.16,50.0,2.4,0,0
A. Lepola,Anton Lepola,339337,Haka,Haka,https://cdn5.wyscout.com/photos/team/public/724_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,29.0,1996-07-24,150000,2026-12-31,12,1161,0,0.0,0,0.0,0.78,90.0,Finland,['Finland'],right,185,80,False,1.78,0.08,0.0,0.39,100.0,0.08,0.11,0.0,1.71,2.4,0.08,2,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,14.5,0.08,0.31,23.8,86.64,11.09,74.13,0.0,0.0,18.14,98.29,5.66,49.32,27.26,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,45.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,63.79,97.48,12.33,12,0.93,44,3.41,5,72.73,12.52,0.97,0.52,0.04,0.0,1.16,0.39,,,,0.0,0,0
N. Haataja,Niklas Haataja,-453764,JIPPO,JIPPO,https://cdn5.wyscout.com/photos/team/public/g859_120x120.png,Ykkösliiga,RCB,RCB,89,,0,,0,26.0,2000-04-17,0,,12,1160,0,0.33,2,0.56,13.34,70.35,Finland,['Finland'],unknown,0,0,False,8.92,4.97,75.0,5.28,75.0,0.08,0.11,0.47000000000000003,5.12,7.05,0.39,0,0.0,0,0.0,0.23,0.0,0,0.0,0.03,0,0.0,4,0.31,0.0,0.0,0.16,0.39,40.0,0.16,50.0,0.23,33.33,0.08,0.16,50.0,1.24,50.0,0.78,2.64,0.0,43.99,0.16,0.62,61.45,83.96,26.69,70.35,4.73,96.72,50.66,91.42,10.4,49.25,23.48,43.72,0.04,0.39,0.0,0.0,0.0,0.0,0.31,12.72,66.46,2.02,26.92,1.4,33.33,0.54,0.16,13.42,73.99,96.04,23.51,0,,0,,0,0.0,0.0,0.0,,,2.33,,5.28,0.0,0.0,0.0,0.0,0,0
J. Watanabe,Junnosuke Watanabe,-342934,JIPPO,JIPPO,https://cdn5.wyscout.com/photos/team/public/g859_120x120.png,Ykkösliiga,"RDMF, RCMF",RDMF,72,RCMF,17,,0,27.0,1999-06-05,0,2027-12-31,12,1160,0,0.4,1,0.64,15.36,48.99,Japan,['Japan'],right,182,0,False,6.59,5.9,60.53,3.1,40.0,0.16,0.21,0.31,2.87,3.95,1.71,3,0.23,0,0.0,1.16,0.0,0,0.0,0.03,0,0.0,9,0.7000000000000001,11.11,0.0,0.08,0.54,42.86,0.0,0.0,0.47000000000000003,50.0,0.0,1.63,52.38,4.34,50.0,1.01,1.55,0.08,34.06,0.16,0.93,45.54,87.56,13.89,79.89,8.07,91.35,41.97,91.87,3.03,35.9,18.02,35.37,0.05,0.47000000000000003,0.0,0.08,0.0,0.0,0.31,6.91,78.65,1.16,73.33,0.31,50.0,0.85,0.23,6.67,75.58,91.94,16.37,0,,0,,0,0.0,0.0,0.0,,,1.09,,3.1,0.0,0.0,0.0,0.0,0,0
P. Piirainen,Pyry Piirainen,472875,JIPPO,JIPPO,https://cdn5.wyscout.com/photos/team/public/g859_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,26.0,2000-03-14,50000,2026-12-31,12,1160,0,0.0,0,0.0,0.93,91.67,Finland,['Finland'],,190,0,False,1.01,0.0,0.0,0.54,100.0,0.0,0.0,0.0,1.01,1.3900000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,22.97,0.08,0.62,33.98,89.04,15.83,77.45,0.0,0.0,23.51,98.35,10.47,68.15,29.59,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,58.54,0.23,66.67,0.08,0.0,0.16,0.0,7.91,78.43,99.11,17.38,7,0.54,33,2.56,6,78.79,7.95,0.62,0.9500000000000001,0.074,0.0,1.32,0.54,,,,0.0,0,0
J. Salo,Julius Salo,-577940,JäPS,JäPS,https://cdn5.wyscout.com/photos/team/public/g2638_120x120.png,Ykkösliiga,"RCB, CB",RCB,77,CB,22,,0,23.0,2003-05-30,0,,12,1157,0,0.6000000000000001,0,0.0,13.07,65.48,Finland,['Finland'],unknown,0,0,False,11.28,5.37,79.71,3.9699999999999998,60.78,0.54,0.62,0.86,6.46,7.37,0.31,2,0.16,0,0.0,0.54,0.0,0,0.0,0.05,0,0.0,10,0.78,10.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.62,75.0,2.1,55.56,0.93,0.78,0.0,24.11,0.31,0.62,34.38,80.54,15.09,62.37,1.32,94.12,28.24,88.71,6.07,43.59,24.48,43.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,48.72,0.7000000000000001,22.22,0.31,0.0,0.16,0.0,7.0,70.0,97.44,15.17,0,,0,,0,0.0,0.0,0.0,,,1.01,,3.9699999999999998,0.0,0.0,0.0,0.0,0,0
A. Ramula,Alex Ramula,-286909,PK-35 ry,PK-35 ry,https://cdn5.wyscout.com/photos/team/public/g36303_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,21.0,2005-01-17,0,2026-12-31,12,1156,0,0.0,0,0.0,0.7000000000000001,66.67,Finland,['Finland'],right,184,77,False,1.4,0.0,0.0,0.62,75.0,0.0,0.0,0.0,1.4,1.73,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.08,0.08,18.61,78.66,12.61,70.99,0.0,0.0,9.19,95.76,9.42,61.98,36.5,52.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,59.09,0.0,0.0,0.54,42.86,0.16,0.0,7.47,78.13,94.2,5.37,7,0.54,37,2.88,6,81.08,10.4,0.81,3.4,0.265,0.0,2.34,0.62,,,,0.0,0,0
M. Zhuk,Maksym Zhuk,-128465,KTP,KTP,https://cdn5.wyscout.com/photos/team/public/g2389_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,22.0,2003-08-18,0,2026-12-31,12,1156,0,0.0,0,0.0,0.47000000000000003,100.0,Ukraine,['Ukraine'],right,191,75,False,1.4,0.0,0.0,0.16,100.0,0.0,0.0,0.08,1.4,1.69,0.0,0,0.0,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.08,100.0,0.0,0.0,0.0,15.03,0.23,0.23,26.94,84.97,15.49,75.38,0.0,0.0,17.67,97.36,9.26,61.34,30.0,45.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,25.0,0.08,0.0,0.16,0.0,0.0,0.0,7.94,66.67,97.58,9.65,10,0.78,37,2.88,7,72.97,10.22,0.8,0.22,0.017,0.0,1.48,0.16,,,,0.0,0,0
