Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Ichinose,Chisato Ichinose,-286374,Sanfrecce Hiroshima Regina,Sanfrecce Hiroshima Regina,https://cdn5.wyscout.com/photos/team/public/g-14596_120x120.png,WE League,"LCB, RCB",LCB,84,RCB,12,,0,26.0,1999-06-07,0,,22,2162,0,0.61,0,0.37,14.36,63.48,Japan,['Japan'],right,167,54,False,6.45,3.33,68.75,7.62,69.4,0.04,0.06,0.29,4.12,5.94,1.04,3,0.12,0,0.0,0.17,0.0,0,0.0,0.03,0,0.0,6,0.25,50.0,0.0,0.0,0.08,0.0,0.04,0.0,0.04,0.0,0.04,0.08,50.0,1.46,37.14,0.71,0.5,0.0,41.3,0.21,0.54,60.07,81.5,28.06,67.95,1.67,92.5,48.75,90.95,11.24,41.11,22.33,40.44,0.02,0.08,0.04,0.0,0.0,0.0,0.04,11.41,51.46,1.12,29.63,0.75,33.33,0.42,0.0,10.86,67.82,96.71,24.02,0,,0,,0,0.0,0.0,0.0,,,1.21,,7.62,0.12,0.0,0.0,0.0,0,0
R. Oga,Risako Oga,-116800,Nojima Stella,Nojima Stella,https://cdn5.wyscout.com/photos/team/public/g24147_120x120.png,WE League,"RCB, RCB3",RCB,67,RCB3,28,,0,29.0,1997-01-04,0,,22,2143,0,0.5,1,0.30000000000000004,10.0,59.66,Japan,['Japan'],right,169,55,False,10.29,4.96,75.42,2.14,47.06,0.21,0.25,1.05,6.34,7.68,0.17,0,0.0,0,0.0,0.46,0.0,0,0.0,0.02,0,0.0,8,0.34,37.5,0.0,0.04,0.38,33.33,0.04,100.0,0.34,25.0,0.04,0.34,62.5,1.72,31.71,0.42,0.92,0.17,23.14,0.29,0.21,36.87,77.11,19.57,68.03,3.19,97.37,27.8,88.52,8.69,42.51,22.24,38.92,0.01,0.17,0.0,0.0,0.0,0.0,0.17,7.94,56.61,1.01,33.33,0.88,28.57,0.29,0.13,8.69,67.63,87.1,10.42,0,,0,,0,0.0,0.0,0.0,,,1.55,,2.14,0.17,0.0,0.0,0.0,0,0
Paola Soldevila,Paola Soldevila de la Pisa,290158,Nojima Stella,Nojima Stella,https://cdn5.wyscout.com/photos/team/public/g24147_120x120.png,WE League,"LCB, CB",LCB,67,CB,28,,0,29.0,1996-12-07,0,,22,2143,0,0.15,0,0.22,10.58,59.52,Spain,['Spain'],,166,50,False,9.41,5.5,74.81,3.32,43.04,0.34,0.41000000000000003,0.67,4.96,6.0,0.38,2,0.08,0,0.0,0.08,0.0,0,0.0,0.01,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,66.67,0.5,50.0,0.13,0.08,0.0,19.07,0.08,0.08,31.92,84.87,12.22,73.2,3.61,94.19,28.52,88.22,3.4,56.79,18.19,27.65,0.01,0.04,0.0,0.0,0.0,0.0,0.04,1.6800000000000002,52.5,0.08,0.0,0.04,0.0,0.04,0.0,4.45,42.45,93.9,12.39,0,,0,,0,0.0,0.0,0.0,,,2.73,,3.32,0.0,0.0,0.0,0.0,0,0
S. Fukuda,Shiori Fukuda,-106758,RB Omiya Ardija,RB Omiya Ardija,https://cdn5.wyscout.com/photos/team/public/g-14595_120x120.png,WE League,GK,GK,100,,0,,0,23.0,2002-06-13,0,,22,2134,0,0.0,0,0.0,0.55,69.23,Japan,['Japan'],,168,53,False,2.07,0.04,0.0,0.30000000000000004,71.43,0.0,0.0,0.0,2.07,2.47,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.13,66.67,0.0,0.0,0.0,10.0,0.13,0.13,18.94,64.14,15.86,58.24,0.04,100.0,4.13,95.92,14.76,55.43,38.46,43.08,0.0,0.0,0.04,0.04,0.0,0.0,0.0,1.48,31.43,0.21,0.0,0.13,0.0,0.0,0.0,9.57,68.72,96.97,2.7800000000000002,28,1.18,108,4.55,7,74.07,32.92,1.3900000000000001,4.92,0.20700000000000002,0.0,1.98,0.30000000000000004,,,,0.0,0,0
S. Ikeda,Sakiko Ikeda,260432,Urawa Reds,Urawa Reds,https://cdn5.wyscout.com/photos/team/public/g5460_120x120.png,WE League,GK,GK,100,,0,,0,33.0,1992-09-08,0,,22,2130,0,0.0,0,0.0,0.85,80.0,Japan,['Japan'],,0,0,False,2.2,0.08,0.0,0.51,100.0,0.04,0.06,0.0,2.15,3.0,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,0.0,0.0,0.0,13.9,0.25,0.13,22.14,87.4,13.23,81.15,0.0,0.0,15.38,98.08,6.76,63.13,27.01,42.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,42.86,0.13,0.0,0.13,0.0,0.0,0.0,5.15,71.31,96.32,8.03,15,0.63,62,2.62,12,75.81,20.02,0.85,5.02,0.212,0.0,1.44,0.51,,,,0.0,0,0
T. Muramatsu,Tomoko Muramatsu,151181,NTV Beleza,NTV Beleza,https://cdn5.wyscout.com/photos/team/public/g5454_120x120.png,WE League,"LCB, CB",LCB,73,CB,18,,0,31.0,1994-10-23,0,,22,2129,2,1.12,0,0.28,12.26,57.24,Japan,['Japan'],,159,0,False,9.22,5.03,70.59,4.69,51.35,0.13,0.17,1.01,5.54,7.35,0.34,1,0.04,0,0.0,0.25,0.08,2,0.08,0.05,2,0.08,11,0.47000000000000003,54.55,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,37.93,1.18,0.08,0.0,43.88,0.34,0.68,64.04,87.85,29.04,78.31,2.62,96.77,58.63,91.28,5.41,50.78,18.71,31.65,0.01,0.17,0.04,0.04,0.0,0.0,0.13,7.61,69.44,0.47000000000000003,27.27,0.38,11.11,0.21,0.0,10.36,68.98,97.24,26.04,0,,0,,0,0.0,0.0,0.0,,,1.69,,4.69,0.0,0.0,0.0,0.0,0,0
Y. Narumiya,Yui Narumiya,268285,INAC Kobe Leonessa,INAC Kobe Leonessa,https://cdn5.wyscout.com/photos/team/public/g5463_120x120.png,WE League,"AMF, LCMF, RCMF",AMF,45,LCMF,19,RCMF,19,31.0,1995-02-22,0,,22,2125,8,7.73,8,6.72,18.55,39.95,Japan,['Japan'],right,154,44,False,6.06,4.57,66.67,1.69,30.0,0.08,0.12,0.08,2.92,4.28,0.97,2,0.08,0,0.0,3.43,0.34,8,0.34,0.33,0,0.0,64,2.71,40.63,12.5,0.34,1.65,30.77,0.64,40.0,1.02,25.0,0.30000000000000004,3.43,48.15,9.7,30.57,5.0,2.29,0.25,35.7,2.96,0.59,50.87,80.18,14.53,63.27,12.49,92.54,45.57,84.29,3.77,49.44,16.4,30.44,0.28,1.48,0.04,0.04,0.25,66.67,0.93,7.92,67.38,3.6,54.12,0.93,50.0,2.33,0.42,6.95,74.39,85.89,13.51,0,,0,,0,0.0,0.0,0.0,,,0.85,,1.69,0.21,0.0,0.0,0.59,0,0
S. Miura,Satsuki  Miura,-286428,Mynavi Sendai,Mynavi Sendai,https://cdn5.wyscout.com/photos/team/public/g21450_120x120.png,WE League,RCB,RCB,99,,0,,0,29.0,1996-06-16,0,,22,2120,1,1.26,2,0.29,9.47,65.02,Japan,['Japan'],right,163,53,False,8.53,3.61,71.76,3.4,62.5,0.13,0.15,0.64,5.82,6.75,0.59,1,0.04,0,0.0,0.17,0.04,1,0.04,0.05,1,0.04,10,0.42,30.0,10.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,33.33,1.15,48.15,0.76,0.08,0.0,31.29,0.17,0.59,45.38,85.41,18.08,70.89,3.4,95.0,38.76,91.13,6.62,51.92,19.88,33.91,0.01,0.08,0.0,0.0,0.0,0.0,0.08,4.88,57.39,0.59,28.57,0.51,33.33,0.21,0.0,7.34,56.07,96.55,19.7,0,,0,,0,0.0,0.0,0.0,,,2.17,,3.4,0.08,0.0,0.0,0.0,0,0
K. Setoguchi,Kozue Setoguchi,-286396,Elfen Saitama,Elfen Saitama,https://cdn5.wyscout.com/photos/team/public/g5462_120x120.png,WE League,"RCMF, LCMF, RDMF",RCMF,38,LCMF,35,RDMF,18,34.0,1991-11-30,0,,22,2120,3,2.07,2,2.98,15.79,54.84,Japan,['Japan'],unknown,154,50,False,12.01,5.82,75.18,3.35,49.37,0.17,0.18,0.51,7.47,7.96,0.38,0,0.0,0,0.0,1.23,0.13,3,0.13,0.09,1,0.04,25,1.06,36.0,12.0,0.08,0.98,47.83,0.42,40.0,0.55,53.85,0.04,0.85,45.0,4.97,32.48,1.02,0.42,0.17,40.54,1.15,1.23,59.35,77.68,25.39,66.56,7.77,90.16,48.23,85.39,10.19,43.75,17.59,32.99,0.13,1.1,0.04,0.04,0.08,0.0,0.21,11.29,57.14,2.7199999999999998,45.31,1.02,16.67,0.76,0.47000000000000003,10.61,67.2,86.38,15.58,0,,0,,0,0.0,0.0,0.0,,,0.42,,3.35,0.81,0.0,0.0,2.76,0,0
N. Asano,Natsumi Asano,333592,Elfen Saitama,Elfen Saitama,https://cdn5.wyscout.com/photos/team/public/g5462_120x120.png,WE League,GK,GK,100,,0,,0,29.0,1997-04-14,0,,22,2120,0,0.0,0,0.0,0.98,95.65,Japan,['Japan'],,175,65,False,1.7000000000000002,0.04,100.0,0.76,100.0,0.0,0.0,0.0,1.6600000000000001,1.76,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,0.0,0.0,0.0,12.78,0.08,0.30000000000000004,24.2,76.32,15.96,66.49,0.0,0.0,11.59,95.24,12.61,58.92,30.71,40.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,25.0,0.13,0.0,0.21,0.0,0.0,0.0,7.34,61.27,95.18,7.05,37,1.57,142,6.03,5,73.94,42.54,1.81,5.54,0.23500000000000001,0.0,2.38,0.76,,,,0.0,0,0
