Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Fábio,Fábio Deivson Lopes Maciel,8961,Fluminense,Fluminense,https://cdn5.wyscout.com/photos/team/public/245_120x120.png,Carioca 1,GK,GK,100,,0,,0,45,1980-09-30,200000,2027-12-31,21,2180,0,0.0,0,0.0,0.29,85.71,Brazil,"['Brazil', 'Italy']",right,190,93,False,0.66,0.08,50.0,0.08,100.0,0.0,0.0,0.0,0.62,1.0,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,8.5,0.0,0.17,12.18,88.47,6.11,79.05,0.0,0.0,8.59,98.56,3.59,64.37,26.68,39.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,66.67,0.0,0.0,0.0,0.0,0.0,0.0,2.77,61.19,97.76,5.53,25,1.03,95,3.92,4,73.68,27.01,1.12,2.01,0.083,0.0,0.99,0.08,,,,0.0,0,0.0
Santos,Aderbar Melo dos Santos Neto,115496,Athletico Paranaense,Athletico Paranaense,https://cdn5.wyscout.com/photos/team/public/254_120x120.png,Serie A,GK,GK,100,,0,,0,36,1990-03-17,1000000,2026-12-31,21,2159,0,0.0,0,0.0,0.21,100.0,Brazil,['Brazil'],right,188,78,False,0.88,0.04,100.0,0.08,100.0,0.0,0.0,0.0,0.8300000000000001,1.1400000000000001,0.0,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,5.96,0.08,0.08,11.67,80.0,6.17,64.86,0.0,0.0,7.67,96.74,4.0,47.92,34.51,52.07,0.0,0.0,0.0,0.04,0.0,0.0,0.04,1.46,48.57,0.08,0.0,0.17,0.0,0.0,0.0,2.79,61.19,96.75,5.13,19,0.79,69,2.88,7,72.46,18.35,0.76,-0.65,-0.027,0.0,1.17,0.08,,,,0.0,0,0.0
Rafael,Rafael Pires Monteiro,97650,São Paulo,São Paulo,https://cdn5.wyscout.com/photos/team/public/243_120x120.png,Serie A,GK,GK,100,,0,,0,37,1989-06-23,800000,2027-12-31,20,2066,0,0.0,0,0.0,0.48,81.82,Brazil,['Brazil'],left,192,81,False,1.22,0.09,50.0,0.26,100.0,0.0,0.0,0.0,1.18,1.76,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,10.54,0.26,0.09,15.86,85.99,7.23,71.69,0.0,0.0,10.59,98.35,5.27,61.16,31.51,49.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,61.29,0.13,33.33,0.09,0.0,0.04,0.0,4.14,67.37,99.44,7.75,23,1.0,77,3.35,4,70.13,22.03,0.96,-0.97,-0.042,0.0,1.13,0.26,,,,0.0,0,0.0
João Victor,João Victor Carroll Santana,470539,Mirassol,Mirassol,https://cdn5.wyscout.com/photos/team/public/1643_120x120.png,Serie A,"RCB, RCB3",RCB,84,RCB3,11,,0,28,1997-09-02,250000,2027-12-31,20,2063,1,1.08,1,0.06,8.64,62.63,Brazil,['Brazil'],right,188,80,False,6.46,2.7,61.29,4.28,70.41,0.09,0.12,1.27,4.71,6.61,0.52,1,0.04,0,0.0,0.31,0.04,1,0.04,0.05,1,0.04,8,0.35000000000000003,37.5,12.5,0.04,0.09,50.0,0.0,0.0,0.09,50.0,0.0,0.13,100.0,0.5700000000000001,53.85,0.5700000000000001,0.35000000000000003,0.04,30.15,0.39,0.26,41.44,93.05,14.4,87.58,2.31,100.0,37.95,95.17,3.45,70.89,20.6,41.54,0.0,0.09,0.0,0.0,0.0,0.0,0.04,3.62,77.11,0.17,25.0,0.0,0.0,0.04,0.0,5.1,77.78,95.53,20.5,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,4.28,0.0,0.0,0.0,0.0,0,0.0
Carlos Miguel,Carlos Miguel dos Santos Pereira,-67602,Palmeiras,Palmeiras,https://cdn5.wyscout.com/photos/team/public/250_120x120.png,Serie A,GK,GK,100,,0,,0,27,1998-10-09,0,2027-06-30,20,2041,0,0.0,0,0.0,0.84,94.74,Brazil,['Brazil'],left,204,90,False,0.79,0.0,0.0,0.53,91.67,0.0,0.0,0.0,0.79,1.1,0.0,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,8.29,0.22,0.35000000000000003,15.26,82.66,7.58,66.28,0.04,100.0,10.67,99.17,4.54,43.69,31.12,45.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,31.82,0.18,0.0,0.18,50.0,0.0,0.0,2.95,64.18,99.38,7.1,16,0.71,79,3.48,7,79.75,15.62,0.6900000000000001,-0.38,-0.017,0.0,2.16,0.53,,,,0.0,0,0.0
Marllon,Marllon Gonçalves Jerônimo Borges,158622,Remo,Remo,https://cdn5.wyscout.com/photos/team/public/1642_120x120.png,Paraense,RCB,RCB,94,,0,,0,34,1992-04-16,500000,2026-12-31,20,2040,1,0.19,0,0.01,8.34,57.67,Brazil,['Brazil'],right,186,75,False,6.93,4.19,67.37,2.21,54.0,0.0,0.0,0.44,4.1,4.98,0.44,3,0.13,0,0.0,0.09,0.04,1,0.04,0.01,1,0.04,3,0.13,66.67,33.333,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.71,37.5,0.26,0.13,0.0,16.46,0.18,0.49,28.01,86.46,10.46,75.11,1.6800000000000002,89.47,24.79,92.17,3.18,43.06,20.84,35.14,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.51,61.4,0.22,20.0,0.09,0.0,0.0,0.0,3.88,68.18,94.82,13.63,0,,0,,0,0.0,0.0,0.0,,,1.24,,2.21,0.0,0.0,0.0,0.0,0,0.0
Marcelo Rangel,Marcelo Rangel Rosa,125297,Remo,Remo,https://cdn5.wyscout.com/photos/team/public/1642_120x120.png,Paraense,GK,GK,100,,0,,0,38,1988-05-17,0,2026-12-31,20,2037,0,0.0,0,0.0,0.53,91.67,Brazil,['Brazil'],right,186,81,False,1.1,0.0,0.0,0.22,80.0,0.0,0.0,0.0,1.1,1.33,0.0,1,0.04,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.27,100.0,0.0,0.0,0.0,6.05,0.09,0.18,12.68,80.49,7.33,68.07,0.04,100.0,7.07,97.5,5.57,59.52,34.41,48.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,38.46,0.04,0.0,0.04,0.0,0.0,0.0,3.84,72.41,98.18,4.86,34,1.5,115,5.08,2,70.43,35.84,1.58,1.8399999999999999,0.081,0.04,1.6800000000000002,0.22,,,,0.0,0,0.0
Agustín Rossi,Agustín Daniel Rossi,331574,Flamengo,Flamengo,https://cdn5.wyscout.com/photos/team/public/246_120x120.png,Carioca 1,GK,GK,100,,0,,0,30,1995-08-21,7000000,2027-12-31,20,2034,0,0.0,0,0.01,0.13,100.0,Argentina,"['Argentina', 'Italy']",right,193,95,False,0.58,0.0,0.0,0.04,100.0,0.0,0.0,0.0,0.58,0.81,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,10.8,0.4,0.09,17.26,85.38,7.83,73.45,0.0,0.0,12.52,96.82,4.73,55.14,28.91,44.69,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.93,33.33,0.04,0.0,0.04,0.0,0.0,0.0,3.54,58.75,95.45,8.76,18,0.8,77,3.41,8,76.62,18.97,0.84,0.97,0.043000000000000003,0.0,1.11,0.04,,,,0.0,0,0.0
Robert Renan,Robert Renan Alves Barbosa,-176274,Vasco da Gama,Vasco da Gama,https://cdn5.wyscout.com/photos/team/public/253_120x120.png,Carioca 1,LCB,LCB,97,,0,,0,22,2003-10-11,0,2028-06-30,20,2027,1,0.5,0,0.21,9.06,60.78,Brazil,['Brazil'],left,186,78,True,7.41,4.57,64.08,2.31,67.31,0.09,0.13,0.31,4.4,6.39,0.89,1,0.04,0,0.0,0.22,0.04,1,0.04,0.02,1,0.04,6,0.27,33.33,16.667,0.0,0.31,28.57,0.31,28.57,0.0,0.0,0.0,0.13,33.33,1.02,30.43,0.27,1.51,0.04,35.17,0.27,0.22,50.39,86.87,24.51,79.71,2.09,91.49,44.4,92.7,5.73,44.96,19.86,38.34,0.01,0.22,0.04,0.0,0.04,0.0,0.04,9.9,72.65,0.89,35.0,0.31,14.29,0.13,0.04,9.06,78.92,94.23,16.92,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.31,0.0,0.0,0.0,0.0,0,0.0
Léo Jardim,Léonardo César Jardim,328222,Vasco da Gama,Vasco da Gama,https://cdn5.wyscout.com/photos/team/public/253_120x120.png,Carioca 1,GK,GK,100,,0,,0,31,1995-03-20,5500000,2030-12-31,20,2027,0,0.0,0,0.0,0.31,71.43,Brazil,"['Brazil', 'Italy']",right,188,82,False,0.98,0.04,0.0,0.22,100.0,0.0,0.0,0.0,0.98,1.42,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,8.7,0.04,0.04,14.7,83.69,7.15,68.94,0.0,0.0,9.68,97.25,5.02,57.52,30.95,47.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,66.67,0.0,0.0,0.0,0.0,0.0,0.0,3.91,65.91,98.06,6.88,31,1.38,90,4.0,1,65.56,26.75,1.19,-4.25,-0.189,0.0,1.15,0.22,,,,0.0,0,0.0
