Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Ahumada,Tomás Alejandro Ahumada Oteíza,-125391,Audax Italiano,Audax Italiano,https://cdn5.wyscout.com/photos/team/public/919_120x120.png,Primera División,GK,GK,100,,0,,0,25.0,2001-06-24,0,2027-12-31,18,1844,0,0.0,0,0.0,0.39,87.5,Chile,['Chile'],right,181,74,False,1.27,0.0,0.0,0.15,100.0,0.0,0.0,0.0,1.27,1.92,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,13.03,0.54,0.2,24.75,86.19,10.79,74.21,0.0,0.0,16.94,97.41,7.8100000000000005,61.88,30.27,47.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,44.44,0.05,0.0,0.1,100.0,0.0,0.0,5.8100000000000005,63.03,96.56,12.79,25,1.22,80,3.9,6,68.75,21.54,1.05,-3.46,-0.169,0.0,1.22,0.15,,,,0.0,0,0
G. Castellón,Gabriel Jesús Castellón Velazquez,192894,Universidad de Chile,Universidad de Chile,https://cdn5.wyscout.com/photos/team/public/865_120x120.png,Primera División,GK,GK,100,,0,,0,32.0,1993-09-08,800000,2027-12-31,18,1834,0,0.0,0,0.0,0.6900000000000001,100.0,Chile,['Chile'],right,187,78,False,1.52,0.15,100.0,0.25,100.0,0.0,0.0,0.0,1.37,2.27,0.0,4,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,10.21,0.25,0.29,17.42,88.73,8.74,79.78,0.0,0.0,13.25,98.89,4.17,56.47,29.24,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,62.86,98.15,7.95,12,0.59,73,3.58,9,83.56,19.13,0.9400000000000001,7.13,0.35000000000000003,0.0,1.23,0.25,,,,0.0,0,0
J. Vargas,Jeisson Andrés Vargas Salazar,392229,La Serena,La Serena,https://cdn5.wyscout.com/photos/team/public/944_120x120.png,Primera División,"LAMF, LW, LWF",LAMF,27,LW,19,LWF,18,28.0,1997-09-15,0,2026-12-31,19,1832,6,4.51,6,4.28,12.53,36.86,Chile,['Chile'],right,169,72,False,2.6,2.01,53.66,1.38,32.14,0.1,0.14,0.0,1.42,1.99,0.44,0,0.0,0,0.0,2.41,0.29,4,0.2,0.22,0,0.0,42,2.06,35.71,14.286,0.29,1.38,32.14,1.28,30.77,0.1,50.0,0.25,2.21,53.33,7.71,32.48,1.08,1.92,0.44,24.51,1.08,0.93,30.51,77.62,9.28,66.67,6.93,95.04,26.68,82.32,2.46,52.0,16.97,35.51,0.21,1.92,0.05,0.05,0.15,33.33,0.44,5.11,63.46,3.05,40.32,0.54,45.45,0.84,0.44,5.16,79.05,78.34,7.71,0,,0,,0,0.0,0.0,0.0,,,0.1,,1.38,1.77,0.25,20.0,2.95,2,100
Rafael Caroca,Rafael Antonio Caroca Cordero,72895,Huachipato,Huachipato,https://cdn5.wyscout.com/photos/team/public/948_120x120.png,Primera División,"RCB, CB, LCB",RCB,34,CB,26,LCB,19,37.0,1989-07-19,250000,2026-12-31,18,1831,1,2.79,0,0.0,12.24,57.43,Chile,['Chile'],right,170,67,False,9.34,4.57,60.22,5.46,55.86,0.29,0.38,0.84,6.29,8.17,0.59,3,0.15,0,0.0,0.25,0.05,1,0.05,0.14,1,0.05,10,0.49,40.0,10.0,0.0,0.05,100.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,0.39,75.0,0.84,0.25,0.05,20.55,0.39,0.49,32.69,89.32,12.93,82.51,1.92,97.44,30.67,91.67,1.97,52.5,18.13,34.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,70.59,0.0,0.0,0.0,0.0,0.0,0.05,4.47,56.04,94.93,13.57,0,,0,,0,0.0,0.0,0.0,,,1.18,,5.46,0.0,0.0,0.0,0.0,0,0
N. Avellaneda,Nicolás Gastón Avellaneda,258194,Unión La Calera,Unión La Calera,https://cdn5.wyscout.com/photos/team/public/3387_120x120.png,Primera División,GK,GK,100,,0,,0,33.0,1993-02-24,300000,2026-12-31,18,1819,0,0.0,0,0.0,0.6900000000000001,92.86,Argentina,['Argentina'],right,191,84,False,1.34,0.1,50.0,0.45,100.0,0.0,0.0,0.0,1.29,1.78,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.05,0.0,0.05,13.61,0.4,0.1,23.3,86.2,11.92,77.18,0.05,100.0,14.35,96.9,8.96,69.06,32.0,48.35,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.63,51.52,0.05,0.0,0.05,100.0,0.0,0.0,5.89,76.47,95.31,10.54,30,1.48,89,4.4,4,66.29,25.05,1.24,-4.95,-0.245,0.0,2.47,0.45,,,,0.0,0,0
Jonathan Villagra,Jonathan Gabriel Villagra Bustamante,-168820,Colo Colo,Colo Colo,https://cdn5.wyscout.com/photos/team/public/539_120x120.png,Primera División,"RCB3, RCB",RCB3,56,RCB,41,,0,25.0,2001-03-28,0,2028-12-31,18,1809,0,1.13,1,1.16,13.08,60.08,Chile,['Chile'],right,183,71,False,9.15,5.82,76.92,2.59,53.85,0.15,0.27,0.30000000000000004,4.53,8.27,0.75,1,0.05,0,0.0,0.55,0.0,0,0.0,0.06,0,0.0,8,0.4,37.5,0.0,0.05,0.30000000000000004,16.67,0.0,0.0,0.30000000000000004,16.67,0.0,0.45,77.78,2.74,40.0,0.8,2.14,0.30000000000000004,33.38,0.7000000000000001,0.7000000000000001,45.87,90.02,16.77,83.38,3.7800000000000002,97.37,42.69,92.77,2.89,56.9,17.34,33.78,0.06,0.25,0.0,0.05,0.0,0.0,0.15,5.27,84.91,0.25,60.0,0.1,50.0,0.25,0.05,6.17,70.97,94.83,17.31,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,2.59,0.0,0.0,0.0,0.0,0,0
S. Pérez,Sebastián Andrés Pérez Kirby,111761,Palestino,Palestino,https://cdn5.wyscout.com/photos/team/public/941_120x120.png,Primera División,GK,GK,100,,0,,0,35.0,1990-12-02,350000,2026-12-31,18,1805,0,0.0,0,0.07,0.9,88.89,Chile,['Chile'],right,180,76,False,1.8399999999999999,0.25,80.0,0.45,100.0,0.05,0.07,0.0,1.6,2.1,0.05,3,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,10.02,0.15,0.2,20.49,82.24,13.36,75.0,0.05,0.0,10.87,95.87,9.57,67.19,35.32,50.32,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.19,59.38,0.25,20.0,0.1,0.0,0.0,0.0,7.88,76.58,98.46,6.48,26,1.3,87,4.34,4,70.11,23.79,1.19,-2.21,-0.11,0.0,1.6,0.45,,,,0.0,0,0
F. Máter,Facundo Leonel Máter,447713,Univ. Concepción,Univ. Concepción,https://cdn5.wyscout.com/photos/team/public/942_120x120.png,Primera División,"RCMF, RDMF, RCMF3",RCMF,28,RDMF,18,RCMF3,15,28.0,1998-07-23,2000000,2026-12-31,18,1783,0,3.43,1,1.6800000000000002,19.03,47.48,Argentina,['Argentina'],right,166,64,True,8.43,5.55,61.82,2.02,42.5,1.06,1.48,0.15,3.94,5.48,0.76,2,0.1,0,0.0,1.56,0.0,0,0.0,0.17,0,0.0,28,1.4100000000000001,17.86,0.0,0.05,0.56,18.18,0.1,0.0,0.45,22.22,0.05,2.32,45.65,8.63,38.6,1.31,1.67,0.25,24.58,0.76,1.51,35.08,76.69,12.87,64.31,4.24,92.86,32.1,79.87,2.42,47.92,16.32,35.96,0.08,0.96,0.0,0.05,0.25,60.0,0.4,6.11,62.81,1.97,46.15,0.35000000000000003,57.14,0.96,0.1,5.3,63.81,85.0,11.1,0,,0,,0,0.0,0.0,0.0,,,0.15,,2.02,0.0,0.0,0.0,0.0,0,0
Víctor Méndez,Víctor Felipe Méndez Obando,472981,Colo Colo,Colo Colo,https://cdn5.wyscout.com/photos/team/public/539_120x120.png,Primera División,"LCMF, LCMF3",LCMF,50,LCMF3,28,,0,26.0,1999-09-23,0,2027-12-31,18,1774,2,1.97,2,3.01,9.89,45.64,Chile,['Chile'],right,172,70,False,4.36,3.45,64.71,0.86,41.18,0.15,0.28,0.0,1.98,3.6,0.61,2,0.1,0,0.0,1.47,0.1,2,0.1,0.1,0,0.0,17,0.86,41.18,11.765,0.1,1.07,47.62,0.36,28.57,0.66,53.85,0.15,0.96,42.11,4.11,32.1,1.42,3.15,0.51,50.68,0.76,0.51,64.74,89.58,16.84,81.63,9.03,96.07,61.39,91.07,2.44,68.75,17.11,35.54,0.15,1.88,0.2,0.1,0.41000000000000003,50.0,0.71,9.64,85.79,2.84,58.93,0.81,37.5,1.52,0.41000000000000003,8.93,86.93,93.38,26.84,0,,0,,0,0.0,0.0,0.0,,,0.36,,0.86,0.2,0.05,100.0,0.86,0,0
F. Hormazábal,Fabián Marcelo Hormazábal Berríos,343791,Universidad de Chile,Universidad de Chile,https://cdn5.wyscout.com/photos/team/public/865_120x120.png,Primera División,"RB, RWB, RCB3",RB,57,RWB,17,RCB3,13,30.0,1996-04-26,0,2028-12-31,18,1760,1,1.49,2,1.55,17.03,51.95,Chile,['Chile'],right,176,74,False,9.15,5.78,61.95,2.66,55.77,0.31,0.5,0.1,5.27,8.61,0.8200000000000001,2,0.1,0,0.0,3.02,0.05,1,0.05,0.08,0,0.0,18,0.92,27.78,5.556,0.1,2.71,37.74,0.05,0.0,2.66,38.46,0.15,2.35,71.74,6.03,46.61,1.53,1.18,0.05,29.15,1.99,0.97,39.78,81.49,12.89,70.24,6.29,94.31,33.14,88.27,4.09,55.0,18.46,31.89,0.08,0.56,0.05,0.1,0.05,100.0,0.46,5.06,72.73,2.71,45.28,0.26,60.0,0.41000000000000003,0.97,7.31,79.02,87.25,12.84,0,,0,,0,0.0,0.0,0.0,,,0.51,,2.66,0.0,0.0,0.0,0.0,0,0
