Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Yushchyshyn,Vadym Yushchyshyn,-43456,UCSA,UCSA,https://cdn5.wyscout.com/photos/team/public/g-19333_120x120.png,Persha Liga,GK,GK,100,,0,,0,26.0,1999-11-23,100000,2027-06-30,5,485,0,0.0,0,0.0,0.56,100.0,Ukraine,['Ukraine'],right,190,79,False,1.67,0.0,0.0,0.19,100.0,0.0,0.0,0.0,1.67,2.29,0.0,1,0.19,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,100.0,0.0,0.0,0.0,15.4,0.56,0.19,21.53,86.21,12.99,81.43,0.0,0.0,11.51,98.39,10.02,72.22,34.83,51.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,71.43,0.0,0.0,0.19,0.0,0.0,0.0,8.16,77.27,93.33,8.35,8,1.48,25,4.64,2,68.0,9.06,1.6800000000000002,1.06,0.197,0.0,0.93,0.19,,,,0.0,0,0
M. Shershen,Mykhaylo Shershen,363393,UCSA,UCSA,https://cdn5.wyscout.com/photos/team/public/g-19333_120x120.png,Persha Liga,RCB,RCB,100,,0,,0,31.0,1995-04-27,400000,,5,485,1,0.56,1,0.53,11.32,55.74,Ukraine,['Ukraine'],right,187,76,False,7.79,3.34,66.67,4.82,57.69,0.37,0.51,0.74,5.2,7.12,0.19,1,0.19,0,0.0,0.19,0.19,1,0.19,0.1,0,0.0,4,0.74,25.0,25.0,0.19,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.93,60.0,0.56,0.37,0.0,30.06,0.37,0.37,46.21,88.35,21.71,82.05,2.9699999999999998,100.0,38.41,93.72,7.61,63.41,22.99,35.83,0.1,0.19,0.0,0.0,0.0,0.0,0.19,6.87,72.97,1.11,33.33,0.37,0.0,0.37,0.0,10.39,78.57,94.23,19.3,0,,0,,0,0.0,0.0,0.0,,,2.23,,4.82,0.0,0.0,0.0,0.0,0,0
M. Mykhalchuk,Milan Mykhalchuk,-251526,Nyva Ternopil,Nyva Ternopil,https://cdn5.wyscout.com/photos/team/public/g-8882_120x120.png,Persha Liga,LB,LB,100,,0,,0,21.0,2004-10-13,0,2028-12-31,5,483,0,0.0,1,0.37,15.28,57.32,Ukraine,['Ukraine'],left,180,70,False,8.39,7.08,63.16,2.42,30.77,0.37,0.5,0.0,3.54,4.75,1.12,1,0.19,0,0.0,1.49,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.19,3.73,15.0,3.54,10.53,0.0,0.0,0.37,1.3,71.43,4.47,62.5,0.56,1.8599999999999999,0.0,22.73,1.12,1.49,35.03,66.49,13.79,55.41,5.78,100.0,25.53,81.75,6.15,30.3,19.62,36.78,0.07,0.37,0.0,0.0,0.0,0.0,0.37,4.29,39.13,3.54,42.11,0.0,0.0,0.93,0.75,7.08,63.16,63.83,8.76,0,,0,,0,0.0,0.0,0.0,,,0.75,,2.42,0.0,0.0,0.0,0.0,0,0
A. Gabelok,Artem Gabelok,215370,Nyva Ternopil,Nyva Ternopil,https://cdn5.wyscout.com/photos/team/public/g-8882_120x120.png,Persha Liga,"LDMF, DMF, LCMF",LDMF,59,DMF,25,LCMF,14,31.0,1995-01-02,500000,2027-06-30,5,483,0,0.03,0,0.08,10.06,53.7,Ukraine,['Ukraine'],left,177,72,False,5.03,5.22,64.29,1.49,50.0,0.0,0.0,0.0,1.6800000000000002,2.25,1.12,0,0.0,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.19,0.0,0.0,0.0,0.37,0.0,0.19,0.0,0.19,0.0,0.0,0.19,0.0,1.8599999999999999,40.0,0.0,0.37,0.0,32.8,0.56,0.75,49.19,91.29,14.91,82.5,7.64,97.56,45.65,93.88,3.17,64.71,18.48,42.37,0.02,0.37,0.0,0.0,0.0,0.0,0.0,5.96,78.13,0.56,0.0,0.0,0.0,0.0,0.0,5.4,79.31,92.79,20.68,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,1.49,1.49,0.0,0.0,2.8,0,0
M. Mekhaniv,Maksym Mekhaniv,490982,Nyva Ternopil,Nyva Ternopil,https://cdn5.wyscout.com/photos/team/public/g-8882_120x120.png,Persha Liga,GK,GK,100,,0,,0,29.0,1996-09-22,250000,2027-06-30,5,483,0,0.0,0,0.0,1.3,100.0,Ukraine,['Ukraine'],right,184,0,False,1.6800000000000002,0.19,100.0,0.93,100.0,0.0,0.0,0.0,1.49,2.0,0.0,1,0.19,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,20.12,0.19,0.19,29.63,90.57,14.72,83.54,0.0,0.0,20.12,100.0,9.5,70.59,29.78,45.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6800000000000002,22.22,0.0,0.0,0.0,0.0,0.0,0.0,6.52,82.86,97.4,14.35,5,0.93,19,3.54,0,73.68,5.41,1.01,0.41000000000000003,0.076,0.0,4.1,0.93,,,,0.0,0,0
O. Slutskyi,Oleksiy Slutskyi,-78173,Inhulets,Inhulets,https://cdn5.wyscout.com/photos/team/public/g33980_120x120.png,Persha Liga,GK,GK,100,,0,,0,24.0,2002-06-02,0,2027-06-30,5,483,0,0.0,0,0.0,0.19,100.0,Ukraine,['Ukraine'],,190,0,False,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,3.11,0.0,1,0.19,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,17.7,0.19,0.19,33.35,89.39,16.58,82.02,0.19,0.0,24.41,96.18,8.76,70.21,28.69,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,58.82,0.37,50.0,0.56,33.33,0.19,0.0,7.45,77.5,100.0,14.91,9,1.6800000000000002,26,4.84,0,65.38,9.05,1.69,0.05,0.009000000000000001,0.0,2.24,0.0,,,,0.0,0,0
S. Malysh,Stanislav-Nuri Malysh,351863,Inhulets,Inhulets,https://cdn5.wyscout.com/photos/team/public/g33980_120x120.png,Persha Liga,LCB,LCB,100,,0,,0,31.0,1995-01-15,250000,2027-06-30,5,483,1,0.27,2,0.0,14.91,56.25,Ukraine,['Ukraine'],right,188,72,False,11.37,3.73,60.0,5.4,68.97,0.19,0.22,1.6800000000000002,8.94,10.67,1.12,0,0.0,0,0.0,0.37,0.19,1,0.19,0.05,1,0.19,5,0.93,20.0,20.0,0.37,0.37,0.0,0.19,0.0,0.0,0.0,0.0,0.56,33.33,2.42,23.08,0.56,1.12,0.0,22.36,0.56,0.56,41.55,79.37,24.04,74.42,2.24,91.67,33.35,84.92,8.01,58.14,22.23,36.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15,60.61,0.75,0.0,0.37,0.0,0.19,0.0,11.55,69.35,90.48,11.74,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,5.4,0.75,0.56,0.0,0.0,0,0
D. Teplyakov,Daniil Teplyakov,-288785,Metalist Kharkiv,Metalist Kharkiv,https://cdn5.wyscout.com/photos/team/public/g-12761_120x120.png,Persha Liga,"LDMF, RCMF, RDMF",LDMF,38,RCMF,36,RDMF,19,20.0,2006-06-02,0,,5,482,0,0.15,0,0.03,12.88,66.67,Ukraine,['Ukraine'],right,184,0,False,9.52,7.47,65.0,1.49,75.0,0.75,1.03,0.0,3.92,5.43,1.49,1,0.19,0,0.0,0.93,0.0,0,0.0,0.03,0,0.0,2,0.37,50.0,0.0,0.0,0.37,50.0,0.0,0.0,0.37,50.0,0.0,0.37,100.0,2.24,66.67,0.19,1.12,0.19,25.39,0.19,0.75,38.84,86.06,8.78,72.34,5.41,96.55,36.78,87.82,1.6800000000000002,55.56,18.83,21.97,0.01,0.19,0.0,0.0,0.19,100.0,0.19,2.43,69.23,0.93,60.0,0.19,100.0,0.37,0.19,4.11,40.91,92.23,19.23,0,,0,,0,0.0,0.0,0.0,,,0.56,,1.49,0.0,0.0,0.0,0.0,0,0
P. Pletnev,Pavlo  Pletnev,-288694,Metalist Kharkiv,Metalist Kharkiv,https://cdn5.wyscout.com/photos/team/public/g-12761_120x120.png,Persha Liga,GK,GK,100,,0,,0,18.0,2008-05-07,0,2027-06-30,5,482,0,0.0,0,0.0,1.31,85.71,Ukraine,['Ukraine'],unknown,0,0,False,1.31,0.0,0.0,0.75,100.0,0.0,0.0,0.0,1.31,1.81,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,50.0,0.0,0.0,0.0,7.1,0.0,0.75,13.82,83.78,8.03,72.09,0.0,0.0,9.15,95.92,4.67,60.0,30.0,47.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,33.33,0.0,0.0,0.0,0.0,0.0,0.0,4.11,59.09,100.0,4.85,6,1.12,16,2.99,1,62.5,5.58,1.04,-0.42,-0.078,0.0,2.24,0.75,,,,0.0,0,0
K. Digtyar,Kyrylo Digtyar,-205163,Metalist Kharkiv,Metalist Kharkiv,https://cdn5.wyscout.com/photos/team/public/g-12761_120x120.png,Persha Liga,"LB, LCB",LB,79,LCB,20,,0,18.0,2007-11-25,0,2030-06-30,5,482,0,0.0,2,1.3,15.68,58.33,Ukraine,['Ukraine'],left,182,69,False,10.46,5.04,74.07,2.99,62.5,1.49,2.07,0.0,5.23,7.24,0.75,2,0.37,0,0.0,2.24,0.0,0,0.0,0.0,0,0.0,1,0.19,0.0,0.0,0.37,1.87,40.0,1.6800000000000002,44.44,0.19,0.0,0.19,2.05,63.64,6.16,54.55,0.93,2.61,0.19,21.66,1.12,1.6800000000000002,32.86,73.86,11.95,60.94,3.36,100.0,28.2,78.81,3.17,41.18,20.16,38.95,0.24,1.87,0.0,0.0,0.19,100.0,0.75,3.17,70.59,2.24,41.67,0.37,50.0,0.75,0.93,5.79,51.61,83.1,13.26,0,,0,,0,0.0,0.0,0.0,,,0.37,,2.99,2.24,0.0,0.0,3.92,0,0
