Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Roef,Davy Roef,194904,Gent,Gent,https://cdn5.wyscout.com/photos/team/public/517_120x120.png,Pro League,GK,GK,100,,0,,0,32,1994-02-06,1500000,2029-06-30,40,3947,0,0.0,0,0.0,0.84,89.19,Belgium,['Belgium'],right,187,87,False,1.44,0.07,66.67,0.5,95.45,0.02,0.03,0.0,1.37,1.72,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,71.43,0.0,0.0,0.0,16.76,0.25,0.21,25.33,85.87,14.18,76.69,0.02,100.0,15.94,98.14,9.37,65.21,31.28,45.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,54.84,0.05,0.0,0.14,0.0,0.0,0.0,7.96,70.77,98.43,10.19,57,1.3,208,4.74,10,72.6,60.63,1.38,3.63,0.083,0.02,1.73,0.5,,,,0.0,0,0.0
E. Pletinckx,Ewoud Pletinckx,477613,OH Leuven,OH Leuven,https://cdn5.wyscout.com/photos/team/public/1069_120x120.png,Pro League,"RCB3, RCB",RCB3,78,RCB,11,,0,25,2000-10-10,2000000,2029-06-30,40,3880,3,4.01,0,0.13,12.57,52.03,Belgium,['Belgium'],right,190,85,False,8.56,5.47,62.29,4.99,46.51,0.02,0.03,0.81,5.13,6.66,0.67,4,0.09,0,0.0,0.58,0.07,3,0.07,0.09,3,0.07,31,0.72,38.71,9.677,0.0,0.37,43.75,0.02,0.0,0.35000000000000003,46.67,0.07,0.23,50.0,0.86,32.43,1.04,0.37,0.05,23.15,0.65,0.12,34.72,82.83,15.36,73.72,3.15,92.65,28.95,88.3,5.4,56.22,21.23,40.27,0.0,0.09,0.02,0.02,0.02,100.0,0.07,4.31,60.75,0.77,48.48,0.42,38.89,0.30000000000000004,0.16,6.68,67.01,90.99,13.13,0,,0,,0,0.0,0.0,0.0,,,2.16,,4.99,0.05,0.0,0.0,0.0,0,0.0
M. Smets,Matte Smets,-310020,Genk,Genk,https://cdn5.wyscout.com/photos/team/public/522_120x120.png,Pro League,"LCB, CB",LCB,73,CB,11,,0,22,2004-01-04,0,2028-06-30,39,3856,0,1.06,1,0.59,12.3,66.6,Belgium,['Belgium'],right,185,79,False,9.2,5.39,77.49,3.73,58.75,0.21,0.31,0.61,4.8100000000000005,7.13,0.44,4,0.09,0,0.0,0.28,0.0,0,0.0,0.02,0,0.0,12,0.28,0.0,0.0,0.02,0.33,42.86,0.16,42.86,0.16,42.86,0.05,0.19,75.0,0.77,57.58,0.58,1.38,0.12,51.54,0.37,0.4,66.94,90.93,20.33,77.61,3.34,95.1,59.66,94.95,6.98,58.86,22.19,40.31,0.01,0.14,0.0,0.05,0.07,0.0,0.07,8.36,74.02,0.91,25.64,0.4,29.41,0.21,0.12,9.99,76.87,97.4,38.56,0,,0,,0,0.0,0.0,0.0,,,2.66,,3.73,0.0,0.0,0.0,0.0,0,0.0
A. Jungdal,Andreas Kristoffer Jungdal,-58845,Westerlo,Westerlo,https://cdn5.wyscout.com/photos/team/public/525_120x120.png,Pro League,GK,GK,100,,0,,0,24,2002-02-22,1500000,2028-06-30,39,3854,0,0.0,0,0.27,0.7000000000000001,90.0,Singapore,"['Singapore', 'Denmark']",right,195,84,False,1.94,0.07,66.67,0.42,100.0,0.02,0.03,0.0,1.87,2.49,0.0,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,75.0,0.0,0.0,0.0,14.15,0.19,0.19,23.33,83.58,14.17,74.63,0.02,100.0,14.55,97.43,8.73,60.96,32.62,51.56,0.01,0.02,0.0,0.0,0.0,0.0,0.02,3.2,45.99,0.30000000000000004,23.08,0.44,47.37,0.07,0.0,6.5600000000000005,74.38,98.05,8.38,55,1.28,169,3.95,14,67.46,52.2,1.22,-2.8,-0.065,0.02,1.26,0.42,,,,0.0,0,0.0
B. Reynolds,Bryan Reynolds,475976,Westerlo,Westerlo,https://cdn5.wyscout.com/photos/team/public/525_120x120.png,Pro League,"RB, LB",RB,85,LB,11,,0,24,2001-06-28,3000000,2027-06-30,39,3832,2,1.92,3,4.11,12.94,51.18,United States,['United States'],right,185,75,False,7.21,5.8,59.92,1.5,62.5,0.09,0.13,0.19,3.64,4.9,0.8,8,0.19,0,0.0,1.83,0.05,2,0.05,0.05,0,0.0,22,0.52,36.36,9.091,0.07,1.9,39.51,0.26,36.36,1.6400000000000001,40.0,0.12,1.88,47.5,4.63,40.1,1.22,2.14,0.47000000000000003,26.54,2.16,0.56,36.45,78.8,15.29,70.81,5.54,92.37,31.73,83.79,2.96,47.62,17.48,36.18,0.1,0.73,0.0,0.02,0.07,0.0,0.4,5.38,67.25,3.24,48.55,0.61,30.77,1.06,0.73,7.19,75.49,78.85,9.0,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.5,0.0,0.0,0.0,0.0,0,0.0
B. Heynen,Bryan Heynen,410320,Genk,Genk,https://cdn5.wyscout.com/photos/team/public/522_120x120.png,Pro League,"LDMF, RCMF, RDMF",LDMF,52,RCMF,16,RDMF,13,29,1997-02-06,10000000,2029-06-30,39,3794,5,4.9,1,3.01,15.96,52.9,Belgium,['Belgium'],right,183,74,False,9.23,5.57,66.81,3.32,50.0,0.14,0.21,0.5,5.36,7.9,1.02,5,0.12,0,0.0,1.19,0.12,5,0.12,0.12,2,0.05,40,0.9500000000000001,27.5,12.5,0.02,0.71,33.33,0.43,38.89,0.26,27.27,0.14,0.85,72.22,4.98,40.48,1.54,1.04,0.09,42.06,0.62,0.9,56.81,87.18,22.01,78.56,7.78,96.04,51.36,91.18,4.79,51.98,18.4,37.27,0.07,0.74,0.09,0.09,0.14,50.0,0.33,10.86,80.57,2.09,54.55,0.78,39.39,0.9,0.21,10.79,78.9,93.83,19.24,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,3.32,0.02,0.0,0.0,0.0,0,0.0
C. Coosemans,Colin Coosemans,134021,Anderlecht,Anderlecht,https://cdn5.wyscout.com/photos/team/public/481_120x120.png,Pro League,GK,GK,100,,0,,0,33,1992-08-03,300000,2028-06-30,38,3788,0,0.0,0,0.56,0.71,93.33,Belgium,['Belgium'],right,186,84,False,0.88,0.05,100.0,0.43,94.44,0.0,0.0,0.0,0.8300000000000001,1.17,0.05,2,0.05,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.02,100.0,0.0,0.0,0.02,100.0,0.0,0.0,0.0,0.17,85.71,0.0,0.02,0.0,14.09,0.21,0.21,22.57,83.47,12.73,72.76,0.0,0.0,13.66,97.74,8.86,61.66,33.08,50.57,0.01,0.05,0.0,0.0,0.0,0.0,0.02,3.09,48.46,0.4,17.65,0.33,42.86,0.02,0.02,6.7,75.53,97.91,9.08,56,1.33,160,3.8,10,65.0,52.3,1.24,-3.7,-0.088,0.0,1.69,0.43,,,,0.0,0,0.0
B. Mechele,Brandon Mechele,295563,Club Brugge,Club Brugge,https://cdn5.wyscout.com/photos/team/public/510_120x120.png,Pro League,LCB,LCB,92,,0,,0,33,1993-01-28,3000000,2028-06-30,39,3786,5,4.49,2,0.52,14.64,61.69,Belgium,['Belgium'],right,190,79,False,8.44,5.99,70.24,5.04,58.49,0.29,0.45,0.8300000000000001,3.95,6.18,0.88,4,0.1,0,0.0,0.31,0.12,5,0.12,0.11,4,0.1,28,0.67,42.86,17.857,0.05,0.14,0.0,0.12,0.0,0.02,0.0,0.02,0.05,50.0,0.78,42.42,1.05,1.76,0.1,47.61,0.26,0.48,62.78,93.15,23.94,86.79,3.33,97.14,58.38,95.72,4.26,60.89,19.75,37.35,0.01,0.26,0.05,0.0,0.0,0.0,0.12,7.08,82.89,0.45,21.05,0.21,22.22,0.24,0.0,8.46,79.21,98.37,29.17,0,,0,,0,0.0,0.0,0.0,,,2.2800000000000002,,5.04,0.0,0.0,0.0,0.0,0,0.0
L. Kokubo,Léo Brian Kokubo,-40325,Sint-Truiden,Sint-Truiden,https://cdn5.wyscout.com/photos/team/public/521_120x120.png,Pro League,GK,GK,100,,0,,0,25,2001-01-23,750000,,38,3769,0,0.0,0,0.21,0.74,80.65,Japan,"['Japan', 'Nigeria']",right,193,85,False,1.22,0.1,75.0,0.41000000000000003,76.47,0.05,0.07,0.0,1.1,1.56,0.02,4,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,15.9,0.41000000000000003,0.24,23.28,84.41,13.18,75.0,0.0,0.0,15.74,98.03,7.52,56.19,30.95,47.85,0.01,0.05,0.0,0.0,0.0,0.0,0.0,1.72,27.78,0.12,0.0,0.1,25.0,0.0,0.0,5.49,67.39,97.44,9.34,43,1.03,162,3.87,9,73.46,50.87,1.21,7.87,0.188,0.0,1.27,0.41000000000000003,,,,0.0,0,0.0
C. Keita,Cheick Keita,-394510,Charleroi,Charleroi,https://cdn5.wyscout.com/photos/team/public/513_120x120.png,Pro League,LCB,LCB,95,,0,,0,23,2003-04-02,0,2027-06-30,40,3763,3,2.76,0,0.0,11.58,55.17,France,"['France', 'Mali']",right,185,80,False,6.65,4.8100000000000005,69.65,3.54,45.95,0.07,0.09,0.67,3.23,4.27,0.79,4,0.1,0,0.0,0.24,0.07,3,0.07,0.07,2,0.05,19,0.45,21.05,15.789,0.0,0.12,0.0,0.1,0.0,0.02,0.0,0.0,0.29,50.0,1.7000000000000002,32.39,0.72,0.72,0.1,24.87,0.31,0.43,33.39,90.47,11.91,81.53,2.06,93.02,30.59,94.29,2.68,50.89,19.49,35.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,74.75,0.26,18.18,0.07,33.33,0.12,0.0,4.16,61.49,96.21,15.76,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,3.54,0.0,0.0,0.0,0.0,0,0.0
