Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Kayondo,Abdul Azizi Kayondo,-234382,Slovan Liberec,Slovan Liberec,https://cdn5.wyscout.com/photos/team/public/762_120x120.png,Chance Liga,"LB, LWB",LB,79,LWB,20,,0,23,2002-10-06,0,2028-06-30,6,942,1,0.24,0,0.68,10.41,51.38,Uganda,['Uganda'],,175,0,False,5.83,3.44,75.0,1.24,46.15,0.0,0.0,0.1,3.25,7.5600000000000005,0.29,1,0.1,0,0.0,1.15,0.1,1,0.1,0.02,0,0.0,6,0.5700000000000001,16.67,16.667,0.0,2.39,28.0,2.39,28.0,0.0,0.0,0.5700000000000001,0.67,57.14,4.97,40.38,0.5700000000000001,1.34,0.38,13.57,0.67,1.62,18.25,76.44,6.4,67.16,2.87,100.0,14.71,87.66,1.43,33.33,19.01,36.98,0.06,0.96,0.0,0.0,0.0,0.0,0.5700000000000001,2.2,65.22,2.58,29.63,0.0,0.0,0.29,0.67,3.06,71.88,69.7,6.31,0,,0,,0,0.0,0.0,0.0,,,0.29,,1.24,0.0,0.0,0.0,0.0,0,0
T. Koubek,Tomáš Koubek,146310,Slovan Liberec,Slovan Liberec,https://cdn5.wyscout.com/photos/team/public/762_120x120.png,Chance Liga,GK,GK,100,,0,,0,34,1992-08-26,800000,2027-06-30,6,942,0,0.0,0,0.0,0.1,100.0,Czech Republic,['Czech Republic'],right,197,98,False,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.67,0.0,0,0.0,0,0.0,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.1,100.0,0.0,0.0,0.0,9.75,0.29,0.0,15.86,77.11,11.27,67.8,0.0,0.0,8.22,100.0,7.55,53.16,41.07,54.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,45.45,0.0,0.0,0.0,0.0,0.0,0.0,5.64,76.27,100.0,4.49,3,0.29,15,1.43,3,80.0,4.6,0.44,1.6,0.153,0.0,0.76,0.0,,,,0.0,0,0
L. Hůlka,Lukáš  Hůlka,214329,Slovan Liberec,Slovan Liberec,https://cdn5.wyscout.com/photos/team/public/762_120x120.png,Chance Liga,"LCB, RCB3",LCB,79,RCB3,14,,0,31,1995-03-31,375000,2029-06-30,6,942,0,0.59,0,0.0,6.59,66.67,Czech Republic,['Czech Republic'],right,182,74,False,4.2,2.1,68.18,3.63,68.42,0.0,0.0,0.1,2.77,6.44,0.48,2,0.19,0,0.0,0.38,0.0,0,0.0,0.06,0,0.0,3,0.29,66.67,0.0,0.0,0.48,40.0,0.19,50.0,0.29,33.33,0.1,0.0,0.0,0.1,0.0,0.67,0.29,0.1,14.9,0.38,0.19,24.75,86.87,8.79,75.0,1.34,100.0,21.59,93.81,2.77,41.38,23.38,46.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,55.17,0.5700000000000001,33.33,0.0,0.0,0.19,0.1,3.44,63.89,95.52,12.8,0,,0,,0,0.0,0.0,0.0,,,1.15,,3.63,0.1,0.1,100.0,0.0,0,0
A. Drakpe,Augustin Drakpe,-108474,Slovan Liberec,Slovan Liberec,https://cdn5.wyscout.com/photos/team/public/762_120x120.png,Chance Liga,"RCB, CB",RCB,82,CB,17,,0,24,2001-12-08,0,2029-06-30,6,906,0,0.28,0,0.01,7.65,66.23,Netherlands,"['Netherlands', 'Togo']",right,185,78,False,5.5600000000000005,2.48,68.0,3.18,62.5,0.0,0.0,0.4,3.87,9.07,0.4,0,0.0,0,0.0,0.1,0.0,0,0.0,0.03,0,0.0,2,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,100.0,0.79,50.0,0.30000000000000004,0.2,0.0,13.31,0.2,0.5,21.95,82.81,6.85,65.22,2.09,95.24,19.77,86.93,2.09,47.62,23.02,39.94,0.0,0.1,0.0,0.1,0.0,0.0,0.0,2.09,61.9,0.5,20.0,0.0,0.0,0.1,0.0,3.08,45.16,91.07,11.13,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,3.18,0.0,0.0,0.0,0.0,0,0
A. Zadražil,Adam Zadražil,492988,Hradec Králové,Hradec Králové,https://cdn5.wyscout.com/photos/team/public/2613_120x120.png,Chance Liga,GK,GK,100,,0,,0,26,2000-08-06,550000,2028-06-30,5,841,0,0.0,0,0.0,0.43,75.0,Czech Republic,['Czech Republic'],right,193,85,False,0.43,0.0,0.0,0.11,100.0,0.0,0.0,0.0,0.43,1.12,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,66.67,0.0,0.0,0.0,11.34,0.0,0.32,20.23,78.84,13.06,68.85,0.0,0.0,12.31,93.91,7.92,55.41,37.01,52.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.29,0.21,0.0,0.0,0.0,0.0,0.0,6.31,76.27,96.49,6.1,5,0.54,24,2.5700000000000003,1,79.17,5.54,0.59,0.54,0.058,0.0,2.35,0.11,,,,0.0,0,0
F. Čihák,Filip Čihák,-83731,Hradec Králové,Hradec Králové,https://cdn5.wyscout.com/photos/team/public/2613_120x120.png,Chance Liga,"LCB, CB",LCB,53,CB,35,,0,27,1999-07-10,500000,2027-06-30,5,841,0,0.31,0,0.01,7.28,54.41,Czech Republic,['Czech Republic'],right,190,80,False,4.17,2.35,45.45,2.89,48.15,0.21,0.56,0.54,2.89,7.57,0.75,2,0.21,0,0.0,0.32,0.0,0,0.0,0.03,0,0.0,2,0.21,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.11,100.0,0.0,0.43,50.0,1.28,58.33,0.21,0.11,0.0,22.79,0.11,0.75,31.03,88.62,12.41,77.59,1.3900000000000001,84.62,27.93,92.34,3.0,53.57,20.52,42.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,2.25,61.9,0.32,66.67,0.11,0.0,0.0,0.11,4.82,66.67,97.86,14.98,0,,0,,0,0.0,0.0,0.0,,,0.86,,2.89,0.0,0.0,0.0,0.0,0,0
D. Horák,Daniel Horák,478430,Hradec Králové,Hradec Králové,https://cdn5.wyscout.com/photos/team/public/2613_120x120.png,Chance Liga,"LB, LWB",LB,56,LWB,43,,0,26,2000-05-10,450000,2028-06-30,5,841,0,0.5,1,0.8300000000000001,6.96,47.69,Czech Republic,['Czech Republic'],left,185,75,False,2.7800000000000002,2.7800000000000002,42.31,0.86,50.0,0.0,0.0,0.11,1.6099999999999999,4.21,0.21,0,0.0,0,0.0,0.64,0.0,0,0.0,0.05,0,0.0,5,0.54,20.0,0.0,0.11,0.96,22.22,0.86,12.5,0.11,100.0,0.0,0.54,60.0,2.25,47.62,0.96,0.54,0.11,18.83,0.96,0.64,22.58,79.62,8.35,67.95,5.03,95.74,20.33,83.16,1.5,57.14,15.99,37.23,0.09,0.64,0.0,0.0,0.0,0.0,0.32,2.25,71.43,1.3900000000000001,53.85,0.0,0.0,0.75,0.21,4.92,71.74,83.33,5.14,0,,0,,0,0.0,0.0,0.0,,,0.11,,0.86,0.32,0.0,0.0,0.75,0,0
J. Uhrinčať,Jakub Uhrinčať,-170833,Hradec Králové,Hradec Králové,https://cdn5.wyscout.com/photos/team/public/2613_120x120.png,Chance Liga,"RB, RCB3",RB,55,RCB3,38,,0,25,2001-02-07,0,,5,781,0,0.02,0,0.16,4.84,61.9,Slovakia,['Slovakia'],right,0,0,False,3.46,2.19,57.89,1.27,72.73,0.0,0.0,0.35000000000000003,2.19,6.2,0.46,0,0.0,0,0.0,0.46,0.0,0,0.0,0.0,0,0.0,3,0.35000000000000003,0.0,0.0,0.0,0.46,25.0,0.0,0.0,0.46,25.0,0.12,0.23,100.0,0.58,80.0,0.35000000000000003,0.23,0.12,15.1,0.46,0.0,21.66,77.13,9.45,60.98,1.73,93.33,18.67,82.1,2.65,47.83,21.72,42.39,0.02,0.35000000000000003,0.0,0.0,0.23,50.0,0.23,3.5700000000000003,54.84,0.58,40.0,0.23,50.0,0.12,0.12,4.49,69.23,93.85,7.49,0,,0,,0,0.0,0.0,0.0,,,1.04,,1.27,0.0,0.0,0.0,0.0,0,0
F. Faye,Fallou Faye,-639796,Slovan Liberec,Slovan Liberec,https://cdn5.wyscout.com/photos/team/public/762_120x120.png,Chance Liga,"LDMF, LCMF",LDMF,63,LCMF,27,,0,20,2005-11-29,0,2031-06-30,6,739,0,0.8300000000000001,0,0.62,8.53,65.71,Senegal,['Senegal'],,0,0,False,2.92,1.9500000000000002,62.5,3.41,75.0,0.0,0.0,0.0,1.71,4.88,0.49,2,0.24,0,0.0,0.85,0.0,0,0.0,0.1,0,0.0,6,0.73,33.33,0.0,0.0,0.49,75.0,0.24,50.0,0.24,100.0,0.0,0.37,33.33,2.31,52.63,2.19,0.61,0.12,8.16,0.24,0.61,14.49,78.99,4.99,63.41,2.31,89.47,13.27,80.73,0.85,57.14,18.22,23.13,0.08,0.37,0.0,0.0,0.12,100.0,0.24,1.46,66.67,0.61,40.0,0.12,100.0,0.49,0.37,2.07,70.59,88.37,5.24,0,,0,,0,0.0,0.0,0.0,,,0.24,,3.41,0.0,0.0,0.0,0.0,0,0
L. Mašek,Lukáš Mašek,-131689,Slovan Liberec,Slovan Liberec,https://cdn5.wyscout.com/photos/team/public/762_120x120.png,Chance Liga,CF,CF,98,,0,,0,22,2004-05-08,250000,2029-06-30,6,706,2,2.3,0,0.0,9.82,42.86,Czech Republic,['Czech Republic'],right,183,79,False,1.02,1.78,35.71,3.95,48.39,0.0,0.0,0.0,0.38,1.13,1.02,0,0.0,0,0.0,1.02,0.25,2,0.25,0.29,1,0.13,12,1.53,58.33,16.667,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.25,50.0,2.93,47.83,2.68,0.25,0.0,3.19,0.64,1.02,4.59,55.56,1.15,11.11,1.27,100.0,4.33,58.82,0.13,0.0,11.31,5.5600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,16.67,0.13,0.0,0.0,0.0,0.25,0.0,0.0,0.0,50.0,0.76,0,,0,,0,0.0,0.0,0.0,,,0.13,,3.95,0.0,0.0,0.0,0.0,0,0
