Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Mthembu,Moses Mthembu,-249458,Richards Bay,Richards Bay,https://cdn5.wyscout.com/photos/team/public/g39857_120x120.png,PSL,"RDMF, LDMF, RCMF3",RDMF,48,LDMF,26,RCMF3,24,25.0,2001-07-02,0,,4,397,0,0.11,2,0.6000000000000001,11.56,49.02,South Africa,['South Africa'],,188,0,False,6.35,4.99,50.0,2.27,50.0,0.0,0.0,0.45,3.85,4.72,1.3599999999999999,1,0.23,0,0.0,0.45,0.0,0,0.0,0.03,0,0.0,7,1.5899999999999999,28.57,0.0,0.45,0.45,0.0,0.23,0.0,0.23,0.0,0.23,0.23,0.0,3.63,50.0,0.45,0.23,0.23,30.6,1.3599999999999999,2.04,39.67,81.14,17.23,69.74,6.12,92.59,34.01,85.33,5.21,60.87,18.73,43.59,0.14,0.91,0.0,0.0,0.0,0.0,0.45,9.29,70.73,1.13,40.0,0.0,0.0,0.68,0.23,8.61,89.47,91.67,10.88,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.27,0.91,0.0,0.0,2.04,0,0
B. Nashixwa,Baggio Tuli-Ngenovali Nashixwa,-241392,Richards Bay,Richards Bay,https://cdn5.wyscout.com/photos/team/public/g39857_120x120.png,PSL,"LDMF, RDMF, DMF",LDMF,48,RDMF,26,DMF,24,24.0,2002-05-23,0,,4,397,1,0.18,0,0.01,11.56,62.75,Namibia,['Namibia'],,0,0,False,12.92,7.71,67.65,1.13,80.0,0.45,0.56,0.23,7.25,8.89,1.5899999999999999,1,0.23,0,0.0,0.23,0.23,1,0.23,0.04,0,0.0,2,0.45,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,50.0,0.91,0.0,0.0,16.78,0.91,0.68,33.78,83.89,12.02,73.58,4.99,90.91,31.28,86.96,2.49,45.45,16.5,40.44,0.0,0.45,0.0,0.0,0.0,0.0,0.0,4.99,81.82,0.45,50.0,0.0,0.0,0.0,0.0,4.08,50.0,85.71,9.52,0,,0,,0,0.0,0.0,0.0,,,0.91,,1.13,0.0,0.0,0.0,0.0,0,0
I. Otieno,Ian Otieno,407242,Richards Bay,Richards Bay,https://cdn5.wyscout.com/photos/team/public/g39857_120x120.png,PSL,GK,GK,100,,0,,0,33.0,1993-08-09,0,,4,397,0,0.0,0,0.0,0.0,0.0,Kenya,['Kenya'],,0,0,False,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.56,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71,0.23,0.0,17.91,82.28,11.34,78.0,0.0,0.0,10.65,97.87,7.25,59.38,37.84,48.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,66.67,0.23,100.0,0.0,0.0,0.23,0.0,5.44,79.17,89.66,6.57,6,1.3599999999999999,23,5.21,0,73.91,7.37,1.67,1.37,0.311,0.0,2.04,0.0,,,,0.0,0,0
S. Mcineka,Simphiwe Fortune Mcineka,517717,Richards Bay,Richards Bay,https://cdn5.wyscout.com/photos/team/public/g39857_120x120.png,PSL,"LCB, LCB3",LCB,75,LCB3,24,,0,29.0,1996-10-08,700000,2027-06-30,4,397,1,0.28,0,0.0,7.03,74.19,South Africa,['South Africa'],,0,0,False,7.93,2.27,90.0,3.17,71.43,0.0,0.0,0.23,5.89,7.22,0.0,0,0.0,0,0.0,0.23,0.23,1,0.23,0.06,1,0.23,1,0.23,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,33.33,0.45,0.23,0.0,15.19,0.0,0.0,26.3,77.59,10.43,63.04,0.45,100.0,21.54,84.21,4.76,47.62,24.79,34.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,57.89,0.0,0.0,0.0,0.0,0.0,0.0,4.99,50.0,87.5,14.51,0,,0,,0,0.0,0.0,0.0,,,0.23,,3.17,0.0,0.0,0.0,0.0,0,0
L. Nkaki,Lebohang Nkaki,-412782,Polokwane City,Polokwane City,https://cdn5.wyscout.com/photos/team/public/g8148_120x120.png,PSL,LCB,LCB,100,,0,,0,33.0,1993-01-08,0,,4,394,0,0.02,0,0.0,10.74,59.57,South Africa,['South Africa'],,0,0,False,12.56,3.88,70.59,5.48,45.83,0.0,0.0,0.6900000000000001,9.82,13.03,0.91,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,8.91,0.0,0.46,18.96,66.27,9.82,41.86,1.1400000000000001,100.0,12.56,87.27,6.4,25.0,29.72,44.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,30.43,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,4.57,50.0,90.91,7.54,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,5.48,0.23,0.0,0.0,0.0,0,0
Manuel Kambala,Manuel Kambala,468997,Polokwane City,Polokwane City,https://cdn5.wyscout.com/photos/team/public/g8148_120x120.png,PSL,"LDMF, DMF, RDMF",LDMF,49,DMF,26,RDMF,24,35.0,1991-08-21,200000,,4,394,0,0.01,0,0.0,10.96,54.17,Mozambique,['Mozambique'],right,182,80,False,8.45,5.03,45.45,3.43,73.33,0.0,0.0,0.46,6.17,8.18,1.37,1,0.23,0,0.0,0.23,0.0,0,0.0,0.0,0,0.0,1,0.23,100.0,0.0,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.0,0.23,0.0,2.06,55.56,0.0,0.0,0.0,13.25,0.0,1.6,30.61,70.15,13.93,54.1,3.65,93.75,23.07,76.24,7.31,53.13,22.44,40.63,0.0,0.23,0.0,0.0,0.0,0.0,0.0,6.4,64.29,0.91,50.0,0.0,0.0,0.46,0.0,7.54,60.61,80.43,10.51,0,,0,,0,0.0,0.0,0.0,,,0.23,,3.43,0.0,0.0,0.0,0.0,0,0
M. Mncwango,Mlondi Mncwango,-815377,TS Galaxy FC U23,TS Galaxy FC,https://cdn5.wyscout.com/photos/team/public/g-24682_120x120.png,Diski Challenge,"LCB3, LB",LCB3,87,LB,12,,0,,,0,,4,394,0,0.0,0,0.0,15.3,56.72,South Africa,['South Africa'],unknown,0,0,False,15.08,9.37,65.85,2.74,58.33,0.0,0.0,0.6900000000000001,8.91,10.0,1.6,2,0.46,0,0.0,0.23,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.23,100.0,0.23,100.0,0.0,0.0,0.0,0.46,0.0,2.51,27.27,0.0,0.46,0.0,19.64,1.37,0.91,34.26,73.33,19.19,60.71,4.11,94.44,26.95,80.51,7.08,45.16,23.47,44.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,57.89,0.46,50.0,0.0,0.0,0.0,0.23,11.42,52.0,91.89,8.45,0,,0,,0,0.0,0.0,0.0,,,2.06,,2.74,0.0,0.0,0.0,0.0,0,0
L. Motaung,Lentswe Motaung,-720115,TS Galaxy FC,TS Galaxy FC,https://cdn5.wyscout.com/photos/team/public/g-9524_120x120.png,PSL,"RCB3, RCB",RCB3,87,RCB,12,,0,,,0,,4,394,0,0.0,0,0.12,14.39,58.73,South Africa,['South Africa'],,0,0,False,10.74,7.31,62.5,2.9699999999999998,61.54,0.0,0.0,0.46,6.17,6.92,1.1400000000000001,2,0.46,0,0.0,0.46,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,100.0,3.43,40.0,0.0,0.0,0.0,21.7,0.91,0.46,40.89,83.8,18.5,72.84,4.8,100.0,29.7,94.62,11.19,55.1,23.97,41.9,0.03,0.23,0.0,0.0,0.0,0.0,0.23,6.17,66.67,1.6,57.14,0.0,0.0,1.6,0.0,10.74,76.6,87.04,12.34,0,,0,,0,0.0,0.0,0.0,,,2.9699999999999998,,2.9699999999999998,0.0,0.0,0.0,0.0,0,0
V. Letsoalo,Sepana Victor Letsoalo,327488,TS Galaxy FC,TS Galaxy FC,https://cdn5.wyscout.com/photos/team/public/g-9524_120x120.png,PSL,CF,CF,97,,0,,0,33.0,1993-04-01,600000,,4,394,4,3.15,0,0.9500000000000001,18.05,37.97,South Africa,['South Africa'],right,176,70,False,3.88,4.34,42.11,8.22,44.44,0.0,0.0,0.23,2.06,2.31,2.2800000000000002,0,0.0,0,0.0,1.37,0.91,2,0.46,0.72,0,0.0,14,3.2,42.86,28.571,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.0,0.6900000000000001,0.0,4.57,25.0,3.43,0.91,0.0,18.05,4.34,0.6900000000000001,23.3,71.57,5.71,64.0,7.99,94.29,22.39,72.45,0.46,100.0,13.34,8.61,0.22,0.6900000000000001,0.0,0.23,0.0,0.0,0.23,2.51,72.73,1.1400000000000001,20.0,0.0,0.0,0.91,0.0,1.1400000000000001,80.0,40.91,5.03,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.22,0.0,0.0,0.0,0.0,2,100
V. Zulu,Veluyeke Zulu,356643,TS Galaxy FC,TS Galaxy FC,https://cdn5.wyscout.com/photos/team/public/g-9524_120x120.png,PSL,"CB, LCB",CB,87,LCB,12,,0,31.0,1995-03-02,250000,,4,394,1,0.2,0,0.0,6.62,65.52,South Africa,['South Africa'],right,190,0,False,9.37,4.11,50.0,1.83,87.5,0.0,0.0,1.37,7.31,8.21,0.6900000000000001,0,0.0,0,0.0,0.46,0.23,1,0.23,0.05,1,0.23,2,0.46,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,0.0,0.0,18.27,0.23,0.23,28.32,79.03,13.93,67.21,0.6900000000000001,100.0,21.24,87.1,7.08,54.84,26.07,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2800000000000002,20.0,0.23,0.0,0.0,0.0,0.0,0.0,4.34,57.89,93.88,11.19,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.83,0.0,0.0,0.0,0.0,0,0
