Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Buffa,Agustin Buffa Pedrouzo,-38464,Wanderers,Wanderers,https://cdn5.wyscout.com/photos/team/public/662_120x120.png,Primera División,GK,GK,100,,0,,0,28.0,1998-01-08,175000,2026-12-31,19,1892,0,0.0,0,0.0,0.5700000000000001,91.67,Uruguay,['Uruguay'],right,182,80,False,2.33,0.19,75.0,0.19,100.0,0.05,0.07,0.0,2.14,2.93,0.05,3,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.05,6.85,0.1,0.14,15.7,82.42,9.42,72.22,0.0,0.0,8.23,98.27,7.42,65.38,36.05,49.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,59.26,0.24,40.0,0.24,80.0,0.1,0.0,5.47,75.65,99.19,5.85,24,1.1400000000000001,83,3.95,7,71.08,22.31,1.06,-1.69,-0.08,0.0,1.33,0.19,,,,0.0,0,0.0
E. Burdín,Ezequiel Burdín,-498333,Albion,Albion,https://cdn5.wyscout.com/photos/team/public/g25838_120x120.png,Primera División,LCB,LCB,87,,0,,0,21.0,2004-10-16,0,2027-12-31,19,1885,0,0.72,0,0.05,10.74,56.44,Uruguay,['Uruguay'],,191,75,False,8.16,3.96,65.06,4.2,57.95,0.29,0.41000000000000003,1.0,5.3,7.59,0.48,4,0.19,0,0.0,0.1,0.0,0,0.0,0.03,0,0.0,6,0.29,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,1.0,19.05,0.48,0.91,0.05,33.09,0.67,0.24,45.6,85.86,18.05,71.16,3.58,92.0,39.39,92.0,6.21,46.92,20.78,39.56,0.0,0.14,0.05,0.0,0.0,0.0,0.0,4.39,50.0,0.33,14.29,0.5700000000000001,16.67,0.05,0.0,6.64,60.43,96.04,19.29,0,,0,,0,0.0,0.0,0.0,,,2.2,,4.2,0.0,0.0,0.0,0.0,0,0.0
S. Jaume,Sebastián Jaume Méndez,-380346,Albion,Albion,https://cdn5.wyscout.com/photos/team/public/g25838_120x120.png,Primera División,GK,GK,100,,0,,0,22.0,2004-06-26,0,2027-12-31,19,1885,0,0.0,0,0.0,0.72,100.0,Uruguay,['Uruguay'],right,185,77,False,1.38,0.19,100.0,0.43,100.0,0.0,0.0,0.0,1.19,1.71,0.0,0,0.0,0,0.0,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.1,100.0,0.0,0.0,0.0,10.5,0.29,0.24,20.29,81.88,13.66,74.83,0.0,0.0,12.8,98.51,7.45,53.21,32.21,52.16,0.0,0.0,0.0,0.0,0.05,100.0,0.0,3.77,50.63,0.33,0.0,0.19,0.0,0.0,0.0,4.58,76.04,96.75,5.87,20,0.9500000000000001,86,4.11,6,76.74,19.85,0.9500000000000001,-0.15,-0.007,0.0,1.96,0.43,,,,0.0,0,0.0
T. Correa,Tiziano Correa Reyes,-355038,Cerro Largo,Cerro Largo,https://cdn5.wyscout.com/photos/team/public/1319_120x120.png,Primera División,CF,CF,99,,0,,0,21.0,2004-08-31,0,2026-12-31,19,1859,5,5.44,2,1.46,17.19,34.93,Spain,"['Spain', 'Uruguay']",right,175,75,False,3.39,1.8399999999999999,57.89,5.08,33.33,0.19,0.28,0.05,2.13,3.07,0.68,2,0.1,0,0.0,2.08,0.24,5,0.24,0.26,1,0.05,46,2.23,41.3,10.87,0.1,1.07,27.27,0.39,50.0,0.68,14.29,0.1,1.8399999999999999,44.74,7.41,32.68,2.47,0.92,0.24,14.33,3.0,0.48,19.17,69.7,4.79,48.48,3.63,90.67,15.78,75.15,2.42,50.0,17.93,32.43,0.07,0.77,0.0,0.0,0.1,50.0,0.44,2.81,62.07,1.8399999999999999,55.26,0.29,50.0,0.77,0.29,2.66,80.0,72.59,6.54,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.08,0.05,0.05,0.0,0.0,1,0.0
L. Agazzi,Lucas  Agazzi Galeano,-404251,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,RB,RB,91,,0,,0,21.0,2005-05-02,0,2027-12-31,19,1834,1,1.97,3,1.82,13.5,54.91,Uruguay,"['Uruguay', 'Italy']",right,180,76,False,7.16,5.5,66.07,2.36,45.83,0.29,0.46,0.1,3.24,5.09,0.6900000000000001,0,0.0,0,0.0,2.5,0.05,1,0.05,0.1,1,0.05,14,0.6900000000000001,21.43,7.143,0.15,4.51,34.78,0.0,0.0,4.42,34.44,0.59,1.52,51.61,4.12,47.62,1.67,1.23,0.1,20.71,3.44,1.13,29.89,67.65,10.65,59.45,4.91,93.0,21.44,79.86,4.12,39.29,21.56,38.39,0.09,0.79,0.0,0.0,0.0,0.0,0.59,4.71,56.25,3.93,37.5,0.29,16.67,0.39,1.52,7.12,68.28,65.24,10.31,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.36,0.0,0.0,0.0,0.05,0,0.0
F. Álvarez,Felipe  Álvarez,-411226,Racing,Racing,https://cdn5.wyscout.com/photos/team/public/1320_120x120.png,Primera División,"LCB, LCB3, CB",LCB,65,LCB3,18,CB,10,22.0,2004-05-02,0,,18,1797,2,1.4100000000000001,0,0.5700000000000001,12.97,62.93,Argentina,['Argentina'],left,0,0,False,8.86,5.16,73.79,5.66,60.18,0.30000000000000004,0.48,0.55,4.76,7.58,0.6000000000000001,0,0.0,0,0.0,0.6000000000000001,0.1,2,0.1,0.07,2,0.1,14,0.7000000000000001,28.57,14.286,0.0,0.6000000000000001,41.67,0.55,45.45,0.05,0.0,0.0,0.2,75.0,0.65,38.46,0.75,0.35000000000000003,0.15,11.22,0.4,0.35000000000000003,26.19,74.0,16.18,66.87,1.0,75.0,17.78,82.54,7.8100000000000005,57.05,24.4,38.49,0.03,0.1,0.0,0.0,0.0,0.0,0.1,6.01,55.0,0.8,37.5,0.30000000000000004,33.33,0.2,0.2,8.11,68.52,87.67,7.31,0,,0,,0,0.0,0.0,0.0,,,0.4,,5.66,0.05,0.0,0.0,0.0,0,0.0
B. Antúnez,Bruno Antúnez D''Espaux,-322500,Boston River,Boston River,https://cdn5.wyscout.com/photos/team/public/1750_120x120.png,Primera División,GK,GK,100,,0,,0,23.0,2003-01-31,0,2026-12-31,18,1788,0,0.0,0,0.0,0.81,81.25,Uruguay,['Uruguay'],,0,0,False,1.46,0.1,100.0,0.45,66.67,0.0,0.0,0.0,1.3599999999999999,1.85,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.15,100.0,0.0,0.0,0.0,9.97,0.15,0.25,17.62,86.57,9.01,75.98,0.0,0.0,12.58,97.6,4.93,60.2,30.38,49.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,56.52,0.15,0.0,0.15,66.67,0.0,0.0,4.28,67.06,98.15,8.15,22,1.11,103,5.18,3,78.64,24.05,1.21,2.05,0.10300000000000001,0.0,1.51,0.45,,,,0.0,0,0.0
A. Hernández,Alexander Nahuel Hernández Domínguez,-411692,Cerro Largo,Cerro Largo,https://cdn5.wyscout.com/photos/team/public/1319_120x120.png,Primera División,"RB, RW",RB,80,RW,10,,0,21.0,2004-08-18,0,2027-12-31,19,1771,1,0.54,0,0.06,16.41,51.7,Uruguay,['Uruguay'],right,176,70,False,9.76,7.52,64.19,2.64,40.38,0.56,0.8,0.15,4.37,6.22,1.02,3,0.15,0,0.0,1.83,0.05,1,0.05,0.03,0,0.0,8,0.41000000000000003,37.5,12.5,0.0,1.47,37.93,0.05,0.0,1.42,39.29,0.1,1.52,73.33,4.32,44.71,0.61,1.6800000000000002,0.56,20.23,1.63,0.41000000000000003,29.78,77.65,13.42,72.35,4.68,94.57,24.44,85.24,4.01,45.57,19.19,34.44,0.0,0.25,0.0,0.05,0.0,0.0,0.1,4.27,59.52,1.88,37.84,0.30000000000000004,0.0,0.25,0.46,6.4,77.78,76.43,7.11,0,,0,,0,0.0,0.0,0.0,,,0.61,,2.64,0.05,0.0,0.0,0.0,0,0.0
J. Ginzo,Juan Martín Ginzo,-348219,Deportivo Maldonado,Deportivo Maldonado,https://cdn5.wyscout.com/photos/team/public/1745_120x120.png,Primera División,RB,RB,91,,0,,0,24.0,2002-03-05,0,2027-07-31,19,1764,1,0.75,1,1.01,15.26,50.84,Argentina,['Argentina'],right,178,68,False,8.32,6.73,62.88,2.5,44.9,0.36,0.56,0.15,3.7199999999999998,5.86,0.92,4,0.2,0,0.0,1.38,0.05,1,0.05,0.04,0,0.0,4,0.2,50.0,25.0,0.05,2.35,30.43,0.0,0.0,2.24,29.55,0.05,1.02,50.0,4.08,42.5,1.38,1.58,0.26,26.48,1.99,0.97,38.83,77.92,16.17,69.4,6.22,94.26,31.53,84.63,5.2,55.88,18.51,34.4,0.05,0.71,0.0,0.0,0.05,100.0,0.41000000000000003,5.1,70.0,1.73,55.88,0.26,40.0,0.66,0.51,8.47,71.08,79.89,9.64,0,,0,,0,0.0,0.0,0.0,,,0.56,,2.5,0.0,0.0,0.0,0.0,0,0.0
M. Goicoechea,Mauro Daniel Goicoechea Furia,23530,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,GK,GK,100,,0,,0,38.0,1988-03-27,100000,2026-12-31,18,1759,0,0.0,0,0.0,0.72,85.71,Uruguay,"['Uruguay', 'Italy']",right,186,82,False,1.94,0.15,66.67,0.51,90.0,0.0,0.0,0.0,1.8399999999999999,2.7800000000000002,0.0,0,0.0,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.05,100.0,0.0,0.0,0.0,6.24,0.1,0.2,14.43,85.46,7.67,74.67,0.0,0.0,9.36,96.72,5.07,64.65,31.68,48.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,70.15,97.58,6.34,26,1.33,85,4.35,4,69.41,21.9,1.12,-4.1,-0.21,0.0,1.48,0.51,,,,0.0,0,0.0
