Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Chen Li,Chen Li,-76142,Jiangxi Lushan,Jiangxi Lushan,https://cdn5.wyscout.com/photos/team/public/g27906_120x120.png,China League Two,GK,GK,100,,0,,0,29.0,1996-11-25,25000,,21,2098,0,0.0,0,0.0,0.6000000000000001,92.86,China PR,['China PR'],,188,83,False,1.42,0.04,0.0,0.30000000000000004,100.0,0.04,0.06,0.0,1.37,1.9300000000000002,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,3.43,0.17,0.34,9.09,74.53,6.73,66.24,0.0,0.0,4.38,97.06,4.72,53.64,36.79,43.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,40.0,0.09,0.0,0.04,0.0,0.0,0.0,3.39,69.62,100.0,2.06,19,0.8200000000000001,58,2.49,8,67.24,13.78,0.59,-5.22,-0.224,0.0,1.33,0.30000000000000004,,,,0.0,0,0.0
Zhang Chong,Chong Zhang,28670,Dalian Kewei,Dalian Kewei,https://cdn5.wyscout.com/photos/team/public/g-25899_120x120.png,China League Two,GK,GK,100,,0,,0,38.0,1987-11-25,0,,21,2093,0,0.0,0,0.30000000000000004,0.34,62.5,China PR,['China PR'],right,190,80,False,1.2,0.0,0.0,0.17,75.0,0.0,0.0,0.0,1.2,1.79,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,66.67,0.0,0.0,0.0,6.28,0.34,0.13,12.26,86.32,7.18,77.84,0.0,0.0,7.91,100.0,4.34,61.39,33.14,46.21,0.01,0.04,0.0,0.0,0.0,0.0,0.04,1.51,57.14,0.04,0.0,0.0,0.0,0.0,0.0,3.1,80.56,98.2,4.77,12,0.52,52,2.24,13,76.92,13.64,0.59,1.6400000000000001,0.07100000000000001,0.0,1.08,0.17,,,,0.0,0,0.0
Li Zhuoxuan,Zhuoxuan Li,-343795,Guangzhou Dandelion,Guangzhou Dandelion,https://cdn5.wyscout.com/photos/team/public/g-23501_120x120.png,China League Two,"LCB, LCB3",LCB,70,LCB3,23,,0,25.0,2001-08-06,0,,21,2079,6,3.35,0,1.33,11.26,55.0,China PR,['China PR'],,183,67,False,6.41,3.94,67.03,3.46,55.0,0.0,0.0,0.65,3.77,5.58,0.39,0,0.0,0,0.0,1.17,0.26,3,0.13,0.15,0,0.0,21,0.91,38.1,28.571,0.0,0.8200000000000001,57.89,0.56,53.85,0.26,66.67,0.09,0.61,57.14,1.9,38.64,0.17,2.12,0.09,40.48,0.26,0.43,55.76,85.79,25.89,77.26,2.42,92.86,46.23,93.26,8.7,48.76,22.61,39.98,0.06,0.61,0.04,0.0,0.0,0.0,0.0,11.56,70.04,1.52,37.14,0.74,23.53,0.13,0.43,12.29,83.45,94.11,22.77,0,,0,,0,0.0,0.0,0.0,,,0.87,,3.46,1.77,0.30000000000000004,42.86,2.16,3,100.0
Yuan Jianrui,Jianrui Yuan,-573294,Shenzhen 2028,Shenzhen 2028,https://cdn5.wyscout.com/photos/team/public/g-23503_120x120.png,China League Two,GK,GK,100,,0,,0,21.0,2005-02-08,0,,21,2074,0,0.0,0,0.0,0.9500000000000001,95.45,China PR,['China PR'],unknown,185,0,False,1.48,0.0,0.0,0.74,94.12,0.0,0.0,0.0,1.48,2.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.09,9.68,0.04,0.26,18.36,85.34,10.89,79.28,0.0,0.0,13.45,97.1,4.86,53.57,29.14,46.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200000000000001,26.32,0.13,0.0,0.04,0.0,0.0,0.0,3.65,60.71,95.6,6.9,24,1.04,77,3.34,5,68.83,23.85,1.04,-0.15,-0.007,0.0,2.04,0.74,,,,0.0,0,0.0
Z. Yuan,Zinan Yuan,-691190,Shenzhen 2028,Shenzhen 2028,https://cdn5.wyscout.com/photos/team/public/g-23503_120x120.png,China League Two,RB,RB,75,,0,,0,21.0,2005-04-28,0,,21,2074,1,2.03,1,1.7000000000000002,16.1,48.52,China PR,['China PR'],unknown,180,0,False,7.59,7.2,58.43,2.17,42.0,0.09,0.13,0.04,3.3,4.92,0.9500000000000001,1,0.04,0,0.0,2.3,0.04,1,0.04,0.09,0,0.0,14,0.61,21.43,7.143,0.04,3.47,37.5,0.13,33.33,3.25,37.33,0.26,1.9100000000000001,45.45,5.03,38.79,1.22,1.74,0.30000000000000004,26.99,1.56,1.08,36.45,73.45,13.41,61.81,5.03,96.55,26.73,84.25,6.34,47.26,21.74,35.73,0.07,0.61,0.0,0.04,0.04,0.0,0.43,7.46,64.53,4.34,45.0,0.91,33.33,1.13,1.26,9.33,78.14,78.15,13.11,0,,0,,0,0.0,0.0,0.0,,,0.22,,2.17,0.04,0.0,0.0,0.0,0,0.0
Li Zhen,Zhen Li,-76240,Dalian Kewei,Dalian Kewei,https://cdn5.wyscout.com/photos/team/public/g-25899_120x120.png,China League Two,LB,LB,90,,0,,0,28.0,1997-11-01,75000,,21,2072,1,0.8,0,1.2,11.34,59.0,China PR,['China PR'],,176,0,False,8.43,5.08,70.94,1.9100000000000001,54.55,0.22,0.32,0.26,4.6,6.85,0.61,2,0.09,0,0.0,1.56,0.04,1,0.04,0.03,0,0.0,4,0.17,75.0,25.0,0.0,1.82,42.86,1.74,42.5,0.09,50.0,0.35000000000000003,1.0,60.87,2.95,48.53,0.52,1.0,0.22,33.14,0.48,0.65,47.04,81.07,23.46,74.26,5.99,95.65,37.92,88.09,7.38,54.12,20.57,36.33,0.05,0.43,0.04,0.0,0.04,100.0,0.17,10.47,71.37,2.52,39.66,0.87,25.0,0.35000000000000003,0.74,12.16,78.21,89.69,12.64,0,,0,,0,0.0,0.0,0.0,,,0.52,,1.9100000000000001,0.0,0.0,0.0,0.09,0,0.0
Cheng Luan,Luan Cheng,-398951,Shenzhen 2028,Shenzhen 2028,https://cdn5.wyscout.com/photos/team/public/g-23503_120x120.png,China League Two,"LCMF, LDMF, DMF",LCMF,34,LDMF,23,DMF,17,20.0,2005-12-06,0,,21,2068,2,1.6800000000000002,8,4.57,7.96,60.11,China PR,['China PR'],,165,0,False,6.22,3.48,76.25,1.44,48.48,0.04,0.06,0.17,3.5300000000000002,5.26,0.13,0,0.0,0,0.0,1.74,0.09,1,0.04,0.07,0,0.0,22,0.96,40.91,9.091,0.35000000000000003,2.18,46.0,0.65,40.0,1.52,48.57,0.09,0.52,66.67,2.31,49.06,0.39,1.83,0.09,45.48,0.26,0.52,62.5,84.75,20.8,73.85,8.36,96.35,52.49,90.96,7.88,54.14,19.75,36.25,0.2,2.05,0.04,0.0,0.04,0.0,0.35000000000000003,11.32,66.92,4.13,52.63,1.22,35.71,1.18,0.91,11.66,80.22,91.67,25.07,0,,0,,0,0.0,0.0,0.0,,,1.04,,1.44,2.26,0.44,30.0,4.79,1,100.0
Wang Song,Song Wang,-398425,Changchun Xidu,Changchun Xidu,https://cdn5.wyscout.com/photos/team/public/g-21339_120x120.png,China League Two,"LB, LB5, LCB3",LB,35,LB5,27,LCB3,19,22.0,2003-10-07,0,,21,2045,0,0.39,0,1.09,13.78,56.55,China PR,['China PR'],right,179,0,False,8.58,6.16,67.86,1.28,31.03,0.04,0.06,0.09,4.36,6.05,0.92,1,0.04,0,0.0,2.2,0.0,0,0.0,0.02,0,0.0,9,0.4,22.22,0.0,0.0,2.64,33.33,2.55,32.76,0.09,50.0,0.48,1.72,69.23,4.97,51.33,0.5700000000000001,0.88,0.09,13.56,0.75,1.5,24.43,65.59,10.25,53.65,3.3,94.67,15.58,78.53,6.38,46.9,24.18,35.3,0.05,0.48,0.0,0.0,0.04,100.0,0.31,4.44,46.53,2.38,44.44,0.62,42.86,0.31,0.88,7.26,64.24,67.78,7.92,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.28,0.09,0.0,0.0,0.26,0,0.0
Tang Xin,Xin Tang,115682,Hubei Istar,Hubei Istar,https://cdn5.wyscout.com/photos/team/public/g38382_120x120.png,China League Two,"RB, LB",RB,38,LB,26,,0,35.0,1990-10-16,50000,,21,2017,1,0.26,0,0.96,12.0,63.94,China PR,['China PR'],right,178,75,False,7.59,4.02,67.78,2.1,61.7,0.4,0.53,0.13,4.46,5.91,0.49,2,0.09,0,0.0,2.14,0.04,1,0.04,0.01,0,0.0,7,0.31,14.29,14.286,0.0,2.23,40.0,1.12,44.0,1.07,33.33,0.13,1.56,77.14,4.37,65.31,0.22,1.92,0.04,31.37,0.9400000000000001,1.38,43.46,81.21,20.21,75.94,5.22,91.45,36.05,87.75,5.27,53.39,18.99,31.25,0.04,0.45,0.0,0.0,0.09,0.0,0.31,6.38,76.92,2.14,47.92,0.18,25.0,0.45,0.89,10.84,75.31,86.88,12.58,0,,0,,0,0.0,0.0,0.0,,,0.36,,2.1,0.13,0.0,0.0,0.04,0,0.0
W. Zhong,Wenze Zhong,-691497,Guangdong Mingtu,Guangdong Mingtu,https://cdn5.wyscout.com/photos/team/public/g-23500_120x120.png,China League Two,LB,LB,79,,0,,0,18.0,2007-10-03,0,,20,1984,3,1.37,0,1.78,14.92,58.05,China PR,['China PR'],unknown,170,0,False,9.25,6.53,72.22,3.13,44.93,0.36,0.56,0.09,4.17,6.39,0.54,1,0.05,0,0.0,2.36,0.14,3,0.14,0.06,1,0.05,27,1.22,25.93,11.111,0.0,2.18,52.08,2.04,53.33,0.14,33.33,0.27,1.5,57.58,4.08,50.0,0.86,1.0,0.05,21.05,1.32,1.09,30.71,74.15,12.79,59.22,5.13,98.23,24.27,81.12,4.35,45.83,18.67,32.37,0.08,0.8200000000000001,0.05,0.0,0.05,100.0,0.41000000000000003,3.58,59.49,2.45,53.7,0.5,45.45,0.5,1.18,7.76,61.99,79.9,9.03,0,,0,,0,0.0,0.0,0.0,,,0.45,,3.13,0.14,0.0,0.0,0.09,0,0.0
