Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Stakhnyuk,Anastasiia Stakhnyuk,-422632,Kryvbas,Kryvbas,https://cdn5.wyscout.com/photos/team/public/g-14220_120x120.png,Premier League Women,"RCMF, AMF, LCMF",RCMF,33,AMF,20,LCMF,17,19.0,2006-06-05,0,,26,2525,8,6.1,1,3.03,20.42,49.21,Ukraine,['Ukraine'],unknown,0,0,False,9.66,7.06,65.15,3.5300000000000002,48.48,0.36,0.46,0.21,4.7,6.05,1.07,2,0.07,0,0.0,1.43,0.29,5,0.18,0.22,0,0.0,46,1.6400000000000001,41.3,17.391,0.04,0.46,15.38,0.07,0.0,0.32,22.22,0.11,1.28,52.78,6.27,32.39,0.89,0.5,0.04,14.08,1.0,0.86,31.33,62.46,14.01,48.6,4.63,89.23,25.81,69.48,5.1,31.47,16.81,31.28,0.11,0.78,0.04,0.0,0.04,0.0,0.04,5.67,42.77,1.0,14.29,0.43,16.67,0.25,0.04,6.34,50.0,66.15,6.84,0,,0,,0,0.0,0.0,0.0,,,0.43,,3.5300000000000002,1.92,0.5700000000000001,37.5,2.2800000000000002,4,75.0
A. Avramenko,Anna Avramenko,-426092,Kryvbas,Kryvbas,https://cdn5.wyscout.com/photos/team/public/g-14220_120x120.png,Premier League Women,LCB,LCB,74,,0,,0,18.0,2008-01-21,0,,26,2465,0,0.81,1,0.84,12.01,60.79,Ukraine,['Ukraine'],,0,0,False,9.6,5.7,71.79,1.3900000000000001,55.26,0.29,0.37,0.44,5.22,6.66,0.62,2,0.07,0,0.0,0.84,0.0,0,0.0,0.03,0,0.0,8,0.29,25.0,0.0,0.04,0.47000000000000003,46.15,0.29,50.0,0.15,50.0,0.07,0.6900000000000001,73.68,3.21,46.59,1.13,0.91,0.0,17.31,0.37,0.8,36.66,68.33,20.01,55.84,1.79,89.8,22.56,81.23,13.62,47.72,24.92,36.78,0.03,0.22,0.0,0.0,0.04,100.0,0.15,6.83,47.59,0.9500000000000001,30.77,0.77,28.57,0.44,0.22,11.14,57.7,86.3,12.52,3,,7,,0,57.14,2.35,0.09,,,1.1,,1.3900000000000001,0.29,0.04,100.0,0.0,0,0.0
V. Savkina,Victoria Savkina,-471585,Ladomir,Ladomir,https://cdn5.wyscout.com/photos/team/public/g39856_120x120.png,Premier League Women,"LCB, DMF, RCB",LCB,52,DMF,14,RCB,13,17.0,2008-06-20,0,,26,2464,3,3.25,2,0.64,12.75,59.31,Ukraine,['Ukraine'],unknown,0,0,False,8.77,4.86,76.69,1.79,63.27,0.07,0.09,0.47000000000000003,4.97,5.8,0.22,1,0.04,0,0.0,1.28,0.11,3,0.11,0.12,1,0.04,25,0.91,48.0,12.0,0.07,0.62,0.0,0.22,0.0,0.37,0.0,0.07,0.99,85.19,4.71,46.51,1.17,1.06,0.04,22.65,0.29,0.66,42.0,78.17,19.83,68.51,3.54,93.81,34.04,86.91,7.38,44.06,19.15,33.22,0.02,0.29,0.0,0.0,0.0,0.0,0.18,5.19,53.52,0.6900000000000001,21.05,0.58,18.75,0.29,0.0,8.4,54.78,88.12,12.6,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.79,0.26,0.0,0.0,0.04,0,0.0
M. Nevar,Myroslava Nevar,-214148,Ladomir,Ladomir,https://cdn5.wyscout.com/photos/team/public/g39856_120x120.png,Premier League Women,"DMF, RCMF, LCMF",DMF,36,RCMF,25,LCMF,17,21.0,2005-01-08,0,,26,2464,8,4.54,2,2.99,20.27,55.86,Ukraine,['Ukraine'],,0,0,False,12.24,9.35,71.88,1.46,27.5,0.18,0.21,0.18,5.33,6.23,0.9500000000000001,2,0.07,0,0.0,3.1,0.29,8,0.29,0.17,0,0.0,55,2.01,36.36,14.545,0.07,1.6099999999999999,38.64,0.77,23.81,0.84,52.17,0.15,2.85,60.26,7.52,44.17,1.17,2.05,0.22,23.67,0.8,0.37,44.42,65.46,18.88,47.58,7.16,92.35,34.22,74.17,8.66,35.86,18.69,32.22,0.11,1.02,0.0,0.04,0.15,25.0,0.29,8.4,43.48,2.52,28.99,1.35,29.73,0.47000000000000003,0.51,8.4,51.3,76.85,10.88,0,,0,,0,0.0,0.0,0.0,,,0.33,,1.46,0.77,0.22,33.33,1.83,0,0.0
S. Kohut,Svitlana Kohut,-214169,Kolos Kovalivka,Kolos Kovalivka,https://cdn5.wyscout.com/photos/team/public/g-14219_120x120.png,Premier League Women,"RCMF, LCMF, RDMF",RCMF,39,LCMF,17,RDMF,14,28.0,1997-06-01,0,,26,2444,7,3.93,4,4.03,22.61,45.6,Ukraine,['Ukraine'],,0,0,False,8.14,7.14,62.37,1.6600000000000001,48.89,0.37,0.53,0.07,3.31,4.8,1.58,3,0.11,0,0.0,3.31,0.26,7,0.26,0.14,0,0.0,51,1.88,43.14,13.725,0.15,1.6600000000000001,42.22,1.07,51.72,0.59,25.0,0.22,2.73,58.11,11.19,36.18,1.77,1.6600000000000001,0.22,27.88,0.92,1.3599999999999999,44.96,74.77,14.21,59.84,7.51,92.16,38.7,79.64,4.68,45.67,19.09,33.82,0.15,1.1400000000000001,0.11,0.04,0.66,33.33,0.44,7.84,61.03,3.09,42.86,1.22,30.3,1.07,0.59,7.11,69.43,81.92,16.5,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.6600000000000001,0.85,0.18,60.0,2.17,0,0.0
N. Pantsulaya,Natya Pantsulaya,-653960,SeaSters,SeaSters,https://cdn5.wyscout.com/photos/team/public/g-21885_120x120.png,Premier League Women,"RW, RCMF, LCMF",RW,28,RCMF,25,LCMF,18,34.0,1991-12-28,0,,26,2420,5,2.85,3,2.2800000000000002,17.11,49.35,Ukraine,['Ukraine'],unknown,0,0,False,8.37,5.8,66.03,2.94,43.04,0.26,0.39,0.15,4.28,6.34,1.82,3,0.11,0,0.0,1.9300000000000002,0.19,5,0.19,0.11,2,0.07,36,1.34,27.78,13.889,0.11,2.05,27.27,0.56,13.33,1.49,32.5,0.41000000000000003,1.6,58.14,6.06,38.04,1.82,1.23,0.07,18.56,1.67,1.08,33.81,66.34,14.17,57.48,4.91,95.45,27.56,73.41,4.24,39.47,17.59,31.68,0.08,0.78,0.11,0.0,0.15,50.0,0.48,7.48,48.26,3.87,34.62,0.89,20.83,1.08,0.71,6.62,73.6,63.87,8.85,0,,0,,0,0.0,0.0,0.0,,,0.07,,2.94,0.19,0.04,0.0,0.0,0,0.0
D. Korotchuk,Dana Korotchuk,-251553,Ladomir,Ladomir,https://cdn5.wyscout.com/photos/team/public/g39856_120x120.png,Premier League Women,"RB, LW",RB,59,LW,17,,0,20.0,2005-12-23,0,,26,2385,3,1.04,0,1.0,13.25,54.13,Ukraine,['Ukraine'],,0,0,False,10.08,6.94,61.41,0.45,25.0,0.11,0.13,0.15,5.7,6.71,0.23,1,0.04,0,0.0,1.4,0.11,3,0.11,0.04,0,0.0,27,1.02,40.74,11.111,0.0,1.21,28.13,0.26,0.0,0.9400000000000001,36.0,0.15,0.9400000000000001,68.0,4.49,47.9,0.49,0.79,0.11,20.42,1.02,1.09,34.6,73.06,18.34,66.46,4.79,95.28,27.81,82.36,5.7,36.42,17.95,30.83,0.04,0.38,0.0,0.04,0.04,0.0,0.0,5.62,60.4,1.25,36.36,0.5700000000000001,33.33,0.26,0.42,8.45,58.93,74.1,6.26,0,,0,,0,0.0,0.0,0.0,,,0.34,,0.45,0.9400000000000001,0.15,50.0,0.34,0,0.0
M. Ignatenko,Maria Ignatenko,-374841,Ladomir,Ladomir,https://cdn5.wyscout.com/photos/team/public/g39856_120x120.png,Premier League Women,"LB, LW",LB,67,LW,10,,0,19.0,2007-04-07,0,,25,2368,3,3.03,0,0.47000000000000003,17.14,53.44,Ukraine,['Ukraine'],unknown,0,0,False,12.24,7.37,68.04,1.9,64.0,0.42,0.48,0.34,6.8,7.84,0.5700000000000001,6,0.23,0,0.0,1.4100000000000001,0.11,1,0.04,0.12,0,0.0,15,0.5700000000000001,40.0,20.0,0.0,1.03,18.52,0.9500000000000001,20.0,0.08,0.0,0.08,2.09,47.27,6.5,35.09,0.30000000000000004,1.56,0.27,24.4,1.18,0.9500000000000001,42.87,69.68,20.79,56.49,5.59,93.2,34.43,78.37,7.49,36.55,19.22,31.72,0.02,0.27,0.04,0.0,0.0,0.0,0.11,5.63,42.57,1.79,27.66,0.53,14.29,0.30000000000000004,0.19,10.07,46.04,78.11,11.29,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,1.9,0.04,0.04,0.0,0.0,3,66.667
I. Rybalkina,Iryna Rybalkina,385531,Pantery,Pantery,https://cdn5.wyscout.com/photos/team/public/g36081_120x120.png,Premier League Women,"RCB, LCB, RCMF",RCB,47,LCB,20,RCMF,11,27.0,1999-04-24,0,,25,2365,0,0.98,1,1.33,14.16,58.33,Ukraine,['Ukraine'],,0,0,False,11.53,6.24,65.85,2.93,59.74,0.53,0.66,0.84,6.89,8.5,0.46,2,0.08,0,0.0,0.53,0.0,0,0.0,0.04,0,0.0,21,0.8,23.81,0.0,0.04,0.15,25.0,0.04,0.0,0.11,33.33,0.0,0.53,57.14,3.01,40.51,0.27,0.15,0.0,12.37,0.11,1.33,28.77,60.71,14.92,44.13,2.25,84.75,19.37,73.67,9.25,34.16,21.79,34.0,0.05,0.23,0.04,0.0,0.0,0.0,0.11,4.3,42.48,0.8,23.81,0.5700000000000001,33.33,0.15,0.08,8.45,37.39,81.74,8.33,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.93,1.52,0.38,40.0,0.0,0,0.0
A. Belkina,Anastasia Belkina,-641131,Kryvbas,Kryvbas,https://cdn5.wyscout.com/photos/team/public/g-14220_120x120.png,Premier League Women,RCB,RCB,93,,0,,0,16.0,2009-08-17,0,,25,2347,1,1.24,2,0.58,11.66,61.18,Ukraine,['Ukraine'],,0,0,False,11.47,6.33,70.91,2.26,61.02,0.73,0.93,0.42,6.25,7.94,0.81,7,0.27,0,0.0,0.15,0.04,1,0.04,0.05,0,0.0,8,0.31,25.0,12.5,0.08,0.08,50.0,0.0,0.0,0.04,100.0,0.0,0.23,16.67,1.53,40.0,0.58,0.42,0.0,20.02,0.12,0.31,40.03,66.67,22.51,52.98,2.34,95.08,27.99,76.71,11.96,43.27,22.44,32.36,0.02,0.12,0.0,0.0,0.08,0.0,0.08,6.6,41.28,0.88,8.7,0.58,13.33,0.08,0.0,11.7,49.51,87.3,12.08,0,,0,,0,0.0,0.0,0.0,,,1.96,,2.26,0.04,0.0,0.0,0.0,0,0.0
