Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Fernandes,Alyssa Fernandes,-336080,Standard Liège,Standard Liège,https://cdn5.wyscout.com/photos/team/public/g5356_120x120.png,Super League,GK,GK,100,,0,,0,20.0,2006-01-01,0,,19,1824,0,0.0,0,0.0,0.79,81.25,France,['France'],unknown,0,0,False,1.83,0.05,0.0,0.44,100.0,0.0,0.0,0.0,1.83,2.25,0.05,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,75.0,0.0,0.0,0.0,11.84,0.15,0.35000000000000003,22.06,84.12,11.45,74.14,0.0,0.0,15.39,95.83,6.61,57.46,26.79,38.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,49.53,95.9,9.62,27,1.33,80,3.95,3,66.25,26.26,1.3,-0.74,-0.037,0.0,1.6800000000000002,0.44,,,,0.0,0,0
H. Damman,Hillary Damman,420984,Zulte-Waregem,Zulte-Waregem,https://cdn5.wyscout.com/photos/team/public/g5364_120x120.png,Super League,GK,GK,100,,0,,0,27.0,1998-06-15,0,,19,1810,0,0.0,0,0.0,0.75,93.33,France,['France'],,0,0,False,1.5899999999999999,0.05,0.0,0.5,100.0,0.0,0.0,0.0,1.5899999999999999,1.8399999999999999,0.0,0,0.0,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.1,100.0,0.0,0.0,0.0,15.56,0.2,0.15,24.27,86.07,11.09,73.99,0.0,0.0,15.86,98.43,8.35,63.1,26.25,38.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.57,58.04,96.14,11.59,28,1.3900000000000001,95,4.72,7,70.53,29.74,1.48,1.74,0.08700000000000001,0.0,1.29,0.5,,,,0.0,0,0
C. O'Riordan,Claire O'Riordan,413030,Standard Liège,Standard Liège,https://cdn5.wyscout.com/photos/team/public/g5356_120x120.png,Super League,LCB,LCB,98,,0,,0,31.0,1994-10-12,0,,19,1805,0,1.0,2,0.31,11.77,65.25,Republic of Ireland,['Republic of Ireland'],both,169,0,False,10.77,5.29,71.7,3.99,63.75,0.1,0.12,0.55,6.88,8.59,1.1,6,0.30000000000000004,0,0.0,0.4,0.0,0,0.0,0.05,0,0.0,8,0.4,12.5,0.0,0.1,0.2,50.0,0.15,66.67,0.05,0.0,0.05,0.30000000000000004,83.33,1.25,40.0,0.65,0.5,0.0,17.25,0.0,0.45,34.4,78.26,14.36,63.89,2.14,83.72,29.32,84.35,4.89,42.86,20.12,31.26,0.02,0.05,0.0,0.0,0.05,0.0,0.05,3.79,43.42,0.7000000000000001,42.86,0.75,26.67,0.35000000000000003,0.05,6.63,47.37,91.06,15.06,0,,0,,0,0.0,0.0,0.0,,,1.45,,3.99,0.45,0.0,0.0,0.0,0,0
L. Deloose,Laura Deloose,268952,Anderlecht,Anderlecht,https://cdn5.wyscout.com/photos/team/public/g5353_120x120.png,Super League,RB,RB,94,,0,,0,32.0,1993-06-19,0,,19,1803,0,0.78,5,2.7199999999999998,13.78,51.81,Belgium,['Belgium'],,0,0,False,8.09,4.79,70.83,0.9500000000000001,36.84,0.25,0.4,0.1,4.44,7.06,0.55,2,0.1,0,0.0,2.5,0.0,0,0.0,0.04,0,0.0,11,0.55,18.18,0.0,0.25,4.44,28.09,0.05,0.0,4.34,28.74,1.1,2.05,56.1,6.74,42.96,1.9,2.15,0.1,36.94,3.49,1.35,50.32,77.28,21.41,72.49,7.84,95.54,41.23,84.99,4.74,54.74,19.59,32.59,0.14,1.0,0.05,0.1,0.05,0.0,0.65,7.49,66.67,4.44,47.19,0.4,50.0,1.15,1.5,12.23,75.1,77.59,14.48,0,,0,,0,0.0,0.0,0.0,,,2.15,,0.9500000000000001,0.05,0.0,0.0,0.0,0,0
A. Bert,Amber Bert,-442590,Zulte-Waregem,Zulte-Waregem,https://cdn5.wyscout.com/photos/team/public/g5364_120x120.png,Super League,"RCB, CB",RCB,75,CB,17,,0,25.0,2000-10-09,0,,19,1802,1,0.87,1,0.54,8.34,61.08,Belgium,['Belgium'],unknown,0,0,False,7.29,4.54,70.33,1.8,58.33,0.1,0.12,0.25,4.0,4.62,0.25,2,0.1,0,0.0,0.30000000000000004,0.05,1,0.05,0.04,0,0.0,3,0.15,66.67,33.333,0.05,0.4,25.0,0.30000000000000004,16.67,0.1,50.0,0.05,0.1,100.0,1.0,35.0,0.15,0.35000000000000003,0.0,18.88,0.1,0.1,35.91,71.07,18.73,58.13,3.15,96.83,25.42,82.51,10.09,44.06,23.68,37.76,0.03,0.25,0.0,0.0,0.0,0.0,0.0,5.89,47.46,0.7000000000000001,28.57,0.4,25.0,0.1,0.15,10.29,50.49,87.28,11.39,0,,0,,0,0.0,0.0,0.0,,,2.85,,1.8,0.6000000000000001,0.1,50.0,0.8,0,0
K. Nelemans,Kayra Nelemans,-146481,Club Brugge,Club Brugge,https://cdn5.wyscout.com/photos/team/public/g7013_120x120.png,Super League,LB,LB,98,,0,,0,23.0,2002-10-11,0,,19,1783,0,1.16,4,4.26,21.35,53.9,Netherlands,['Netherlands'],,0,0,False,13.73,10.2,65.35,2.73,48.15,0.56,0.79,0.05,6.51,9.26,1.26,2,0.1,0,0.0,2.68,0.0,0,0.0,0.06,0,0.0,16,0.81,43.75,0.0,0.2,3.33,27.27,3.13,29.03,0.2,0.0,0.66,2.02,70.0,5.4,47.66,1.16,1.11,0.0,26.1,1.3599999999999999,1.06,39.37,67.31,19.33,62.92,4.29,89.41,29.83,73.94,6.31,56.0,20.42,32.68,0.22,1.72,0.1,0.0,0.0,0.0,0.35000000000000003,6.31,60.8,3.08,42.62,0.45,33.33,0.4,0.86,10.8,62.15,71.65,9.79,0,,0,,0,0.0,0.0,0.0,,,0.86,,2.73,0.96,0.05,100.0,2.98,0,0
P. Tchidjo Bomie,Paola Tchidjo Bomie,-654511,Standard Liège,Standard Liège,https://cdn5.wyscout.com/photos/team/public/g5356_120x120.png,Super League,"LB, RB",LB,61,RB,34,,0,17.0,2008-10-18,0,,20,1714,1,0.79,1,0.91,22.26,50.94,Belgium,['Belgium'],,0,0,False,10.82,9.4,69.83,2.63,46.0,0.37,0.44,0.26,3.89,4.64,1.79,5,0.26,0,0.0,1.52,0.05,1,0.05,0.04,0,0.0,6,0.32,33.33,16.667,0.05,1.6800000000000002,25.0,0.9500000000000001,27.78,0.68,15.38,0.26,1.8399999999999999,54.29,7.72,31.97,0.84,1.52,0.11,17.7,0.32,1.21,28.77,67.34,14.7,64.64,3.52,80.6,25.62,72.34,1.52,27.59,15.82,22.9,0.05,0.37,0.0,0.0,0.0,0.0,0.26,3.73,61.97,1.47,28.57,0.11,0.0,0.37,0.63,7.04,54.48,70.83,5.04,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,2.63,0.0,0.0,0.0,0.0,0,0
L. Wajnblum,Lola Wajnblum,211525,Standard Liège,Standard Liège,https://cdn5.wyscout.com/photos/team/public/g5356_120x120.png,Super League,"RB, LB",RB,72,LB,25,,0,30.0,1996-01-22,0,,19,1708,0,0.23,0,0.96,15.6,56.08,Belgium,['Belgium'],,0,0,False,8.54,5.8,66.36,2.11,62.5,0.21,0.26,0.26,4.48,5.63,0.74,4,0.21,0,0.0,2.16,0.0,0,0.0,0.01,0,0.0,6,0.32,50.0,0.0,0.0,2.58,20.41,0.42,37.5,2.16,17.07,0.37,2.37,62.22,6.17,45.3,0.6900000000000001,2.06,0.26,25.87,1.11,1.48,40.63,66.41,20.44,62.11,4.95,81.91,34.3,72.81,3.79,38.89,18.07,29.95,0.05,0.32,0.0,0.05,0.11,0.0,0.21,8.06,58.82,2.74,26.92,0.53,10.0,0.47000000000000003,0.63,8.75,68.07,69.36,9.12,0,,0,,0,0.0,0.0,0.0,,,1.37,,2.11,0.05,0.05,100.0,0.05,0,0
C. Tison,Charlotte Tison,381567,Ladies Genk,Ladies Genk,https://cdn5.wyscout.com/photos/team/public/g34238_120x120.png,Super League,"RCB, CB, DMF",RCB,44,CB,21,DMF,18,28.0,1998-04-21,0,,18,1704,1,0.78,0,0.91,15.53,58.84,Belgium,['Belgium'],,0,0,False,12.62,7.08,67.91,4.07,64.94,0.9,1.06,0.63,6.92,8.2,1.06,3,0.16,0,0.0,0.74,0.05,1,0.05,0.04,1,0.05,7,0.37,28.57,14.286,0.0,0.21,100.0,0.0,0.0,0.21,100.0,0.16,0.42,75.0,2.64,32.0,0.63,0.32,0.05,18.49,0.21,0.53,36.34,79.07,14.47,66.06,4.17,96.2,32.01,82.01,4.12,55.13,18.02,33.54,0.05,0.32,0.21,0.0,0.11,100.0,0.16,3.49,62.12,0.32,50.0,0.16,100.0,0.21,0.21,7.13,47.41,89.41,12.46,0,,0,,0,0.0,0.0,0.0,,,2.17,,4.07,0.16,0.0,0.0,0.11,0,0
G. Vanaenrode,Gwyneth Vanaenrode,455828,Ladies Genk,Ladies Genk,https://cdn5.wyscout.com/photos/team/public/g34238_120x120.png,Super League,"LB, RB, RB5",LB,42,RB,17,RB5,17,25.0,2000-05-25,0,,18,1701,1,1.6099999999999999,2,0.91,20.42,52.33,Belgium,['Belgium'],,0,0,False,11.48,9.68,71.58,1.06,15.0,0.11,0.13,0.05,4.44,5.27,1.32,2,0.11,0,0.0,2.12,0.05,1,0.05,0.09,0,0.0,10,0.53,20.0,10.0,0.11,2.06,35.9,1.01,42.11,1.06,30.0,0.21,2.49,48.94,6.88,33.85,1.01,1.38,0.26,19.26,1.32,0.53,31.27,70.56,15.03,63.73,3.86,93.15,24.87,76.17,4.55,55.81,19.18,30.98,0.05,0.42,0.0,0.0,0.11,50.0,0.32,3.86,52.05,2.01,28.95,0.32,33.33,0.0,0.74,8.04,61.84,76.82,7.99,0,,0,,0,0.0,0.0,0.0,,,1.43,,1.06,0.05,0.0,0.0,0.0,0,0
