Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Audunsson,Steinthór Már Audunsson,32217,KA,KA,https://cdn5.wyscout.com/photos/team/public/g1134_120x120.png,Besta-deild karla,GK,GK,100,,0,,0,36.0,1990-02-23,25000,2026-11-16,8,792,0,0.0,0,0.0,1.1400000000000001,80.0,Iceland,['Iceland'],,0,0,False,0.34,0.34,66.67,0.23,100.0,0.0,0.0,0.0,0.11,0.14,0.11,2,0.23,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,80.0,0.0,0.0,0.0,16.82,0.23,0.34,26.14,84.78,15.11,77.44,0.0,0.0,17.27,98.68,8.86,57.69,32.04,49.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,33.33,0.23,0.0,0.0,0.0,0.0,0.0,5.23,65.22,95.74,10.68,10,1.1400000000000001,43,4.89,2,76.74,14.46,1.6400000000000001,4.46,0.507,0.0,2.05,0.23,,,,0.0,0,0.0
H. Gudmundsson,Hans Viktor Gudmundsson,403901,KA,KA,https://cdn5.wyscout.com/photos/team/public/g1134_120x120.png,Besta-deild karla,"LCB, CB",LCB,81,CB,12,,0,29.0,1996-09-09,75000,2027-11-16,8,792,0,0.56,0,0.0,13.07,60.0,Iceland,['Iceland'],right,0,0,False,8.07,3.75,63.64,5.91,53.85,0.0,0.0,0.8,5.68,7.14,0.5700000000000001,0,0.0,0,0.0,0.45,0.0,0,0.0,0.06,0,0.0,3,0.34,33.33,0.0,0.0,0.34,0.0,0.34,0.0,0.0,0.0,0.0,0.34,100.0,1.48,61.54,0.68,0.23,0.0,33.64,1.1400000000000001,0.68,51.7,82.86,23.98,77.25,2.73,91.67,41.59,87.98,9.89,63.22,25.81,43.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32,70.73,0.8,0.0,0.11,0.0,0.0,0.0,13.75,69.42,88.83,21.36,0,,0,,0,0.0,0.0,0.0,,,1.82,,5.91,0.0,0.0,0.0,0.0,0,0.0
J. Pedersen,Jeppe Pedersen,517671,KA,KA,https://cdn5.wyscout.com/photos/team/public/g1134_120x120.png,Besta-deild karla,"DMF, LDMF, LCMF3",DMF,37,LDMF,31,LCMF3,12,25.0,2001-03-03,200000,2027-12-31,8,792,1,0.4,2,1.03,15.11,55.64,Denmark,['Denmark'],right,181,72,False,8.41,7.5,60.61,2.05,38.89,0.11,0.14,0.23,3.75,4.71,1.3599999999999999,2,0.23,0,0.0,1.48,0.11,1,0.11,0.05,0,0.0,10,1.1400000000000001,30.0,10.0,0.23,0.91,25.0,0.34,0.0,0.45,25.0,0.23,1.1400000000000001,70.0,4.2,56.76,0.5700000000000001,0.5700000000000001,0.11,28.52,0.5700000000000001,1.5899999999999999,45.91,85.4,13.64,71.67,7.39,92.31,39.66,88.54,5.45,70.83,19.79,38.97,0.12,0.91,0.0,0.11,0.23,50.0,0.5700000000000001,7.27,81.25,1.5899999999999999,14.29,0.23,50.0,0.34,0.23,7.84,72.46,91.76,19.32,0,,0,,0,0.0,0.0,0.0,,,1.25,,2.05,0.0,0.0,0.0,0.0,0,0.0
J. Andrésson,Jökull Andrésson,-73933,FH,FH,https://cdn5.wyscout.com/photos/team/public/888_120x120.png,Besta-deild karla,GK,GK,100,,0,,0,24.0,2001-08-25,125000,2028-12-31,8,784,0,0.0,0,0.0,0.26,100.0,Iceland,['Iceland'],left,194,82,False,0.66,0.26,100.0,0.0,0.0,0.0,0.0,0.0,0.4,0.45,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.13,0.0,14.36,73.39,9.36,67.61,0.0,0.0,7.51,98.25,6.72,47.06,33.19,48.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,45.45,0.0,0.0,0.0,0.0,0.0,0.0,5.01,52.63,88.24,4.48,20,2.64,46,6.06,0,56.52,17.63,2.32,-2.37,-0.312,0.0,1.8399999999999999,0.0,,,,0.0,0,0.0
B. Berndsen,Baldvin Thór Berndsen,-339707,ÍA,ÍA,https://cdn5.wyscout.com/photos/team/public/g1136_120x120.png,Besta-deild karla,"RCB, LCB",RCB,71,LCB,27,,0,22.0,2004-01-23,0,,8,778,0,1.06,0,0.48,12.96,63.39,Iceland,['Iceland'],right,0,0,False,10.64,5.32,54.35,5.21,71.11,0.12,0.16,0.81,7.63,10.53,0.93,1,0.12,0,0.0,0.81,0.0,0,0.0,0.12,0,0.0,7,0.81,42.86,0.0,0.0,0.46,75.0,0.12,0.0,0.35000000000000003,100.0,0.0,0.12,100.0,0.58,40.0,0.81,0.46,0.0,41.76,0.81,0.35000000000000003,60.62,83.4,25.33,67.58,3.47,93.33,50.67,91.55,9.49,40.24,25.14,48.31,0.06,0.23,0.12,0.0,0.23,0.0,0.23,9.95,51.16,1.5,38.46,0.46,0.0,0.46,0.35000000000000003,11.22,77.32,95.02,27.88,0,,0,,0,0.0,0.0,0.0,,,2.2,,5.21,0.12,0.12,100.0,0.0,0,0.0
B. Helgason,Baldur Kári Helgason,-286891,FH,FH,https://cdn5.wyscout.com/photos/team/public/888_120x120.png,Besta-deild karla,"LB, LCMF, LCMF3",LB,59,LCMF,25,LCMF3,12,21.0,2005-02-08,0,,8,774,0,0.13,1,0.68,23.54,54.55,Iceland,['Iceland'],left,0,0,False,13.77,10.43,73.08,4.15,35.48,1.2,1.3599999999999999,0.27,4.95,5.61,0.8,2,0.23,0,0.0,1.87,0.0,0,0.0,0.02,0,0.0,3,0.4,66.67,0.0,0.13,1.47,36.36,1.2,22.22,0.27,100.0,0.13,2.14,50.0,7.09,39.62,1.74,1.47,0.27,13.24,0.8,1.87,25.41,75.26,11.1,66.27,2.54,84.21,22.33,79.64,1.6,50.0,17.36,36.94,0.09,0.53,0.13,0.13,0.0,0.0,0.27,2.27,70.59,1.47,63.64,0.13,100.0,0.9400000000000001,0.53,5.35,62.5,85.71,6.55,0,,0,,0,0.0,0.0,0.0,,,0.13,,4.15,0.0,0.0,0.0,0.13,0,0.0
M. Edeland,Mattias Edeland,-432280,ÍBV,ÍBV,https://cdn5.wyscout.com/photos/team/public/2938_120x120.png,Besta-deild karla,"LCB, CB",LCB,85,CB,12,,0,27.0,1999-05-12,0,2026-12-31,8,772,0,0.22,0,0.01,9.68,59.04,Sweden,['Sweden'],unknown,0,0,False,8.98,4.9,64.29,2.56,50.0,0.12,0.15,0.47000000000000003,5.71,7.24,0.35000000000000003,0,0.0,0,0.0,0.12,0.0,0,0.0,0.03,0,0.0,1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,1.52,46.15,0.35000000000000003,0.12,0.0,36.37,0.35000000000000003,0.8200000000000001,51.06,87.21,19.12,72.56,2.1,100.0,45.12,91.47,5.95,54.9,22.12,48.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,5.25,64.44,0.58,60.0,0.0,0.0,0.35000000000000003,0.0,8.28,63.38,96.23,24.72,0,,0,,0,0.0,0.0,0.0,,,1.4,,2.56,0.0,0.0,0.0,0.0,0,0.0
Sigurður Magnússon,Sigurður Arnar Magnússon,446344,ÍBV,ÍBV,https://cdn5.wyscout.com/photos/team/public/2938_120x120.png,Besta-deild karla,"RCB, RCB3",RCB,85,RCB3,12,,0,26.0,1999-06-30,50000,2026-11-16,8,772,0,0.85,0,0.02,13.87,59.66,Iceland,['Iceland'],right,0,0,False,9.33,5.83,58.0,4.9,61.9,0.23,0.30000000000000004,0.93,5.71,7.24,1.17,2,0.23,0,0.0,0.23,0.0,0,0.0,0.1,0,0.0,5,0.58,20.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,1.52,38.46,0.7000000000000001,1.17,0.23,36.49,0.35000000000000003,0.35000000000000003,55.26,84.6,25.65,75.0,4.78,92.68,48.26,90.1,6.88,45.76,19.63,33.18,0.0,0.12,0.0,0.0,0.0,0.0,0.12,5.83,56.0,0.93,75.0,0.0,0.0,0.58,0.12,9.68,60.24,95.15,19.24,0,,0,,0,0.0,0.0,0.0,,,2.68,,4.9,0.0,0.0,0.0,0.0,0,0.0
H. Haraldsson,Haukur Andri Haraldsson,-300564,ÍA,ÍA,https://cdn5.wyscout.com/photos/team/public/g1136_120x120.png,Besta-deild karla,"LCMF, LW, DMF",LCMF,48,LW,21,DMF,13,20.0,2005-08-24,0,2027-12-31,8,756,0,0.26,2,0.92,10.71,44.44,Iceland,['Iceland'],right,0,0,False,5.12,5.12,51.16,1.67,28.57,0.0,0.0,0.24,2.5,3.46,0.71,2,0.24,0,0.0,1.07,0.0,0,0.0,0.03,0,0.0,4,0.48,25.0,0.0,0.24,0.48,75.0,0.24,100.0,0.24,50.0,0.0,1.19,40.0,2.98,44.0,0.6000000000000001,0.24,0.24,31.07,0.0,0.71,42.74,90.81,8.1,76.47,9.88,96.39,38.93,93.58,3.33,60.71,20.13,34.5,0.11,0.36,0.0,0.0,0.12,100.0,0.36,3.81,81.25,1.19,50.0,0.24,100.0,0.48,0.36,5.24,65.91,94.44,19.29,0,,0,,0,0.0,0.0,0.0,,,1.67,,1.67,0.0,0.0,0.0,0.12,0,0.0
M. Pétursson,Markús Máni Pétursson,-340009,KA,KA,https://cdn5.wyscout.com/photos/team/public/g1134_120x120.png,Besta-deild karla,"RCB, LCB3",RCB,86,LCB3,13,,0,20.0,2006-05-27,0,2027-12-01,8,746,0,1.1,0,0.0,15.2,55.56,Iceland,['Iceland'],unknown,0,0,False,10.86,6.76,62.5,5.67,48.94,0.36,0.46,0.84,6.27,8.04,1.33,1,0.12,0,0.0,0.36,0.0,0,0.0,0.13,0,0.0,7,0.84,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,66.67,1.57,46.15,1.09,0.0,0.0,29.44,0.72,0.24,48.5,81.09,21.23,71.59,3.86,93.75,40.9,88.5,7.6,41.27,24.45,40.96,0.0,0.0,0.12,0.12,0.0,0.0,0.0,8.08,68.66,0.12,100.0,0.0,0.0,0.24,0.0,10.13,60.71,89.47,20.63,0,,0,,0,0.0,0.0,0.0,,,2.9,,5.67,0.0,0.0,0.0,0.0,0,0.0
