Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Lourenço Pinto,Lorenzo  Pereira Pinto,-611116,Uniao Lamas,Uniao Lamas,https://cdn5.wyscout.com/photos/team/public/g1741_120x120.png,Campeonato de Portugal,"CB, LCB",CB,55,LCB,44,,0,24.0,2002-08-08,0,,2,208,0,0.0,0,0.0,12.98,80.0,Portugal,['Portugal'],left,185,75,False,12.98,6.49,93.33,3.89,77.78,0.43,0.65,1.3,6.49,9.78,1.73,1,0.43,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.87,50.0,0.0,0.43,0.0,19.04,0.0,0.0,32.45,80.0,16.44,60.53,0.87,100.0,24.66,85.96,7.79,61.11,25.18,40.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,57.14,0.0,0.0,0.0,0.0,0.0,0.0,8.22,68.42,100.0,14.28,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.89,0.0,0.0,0.0,0.0,0,0
Mário Henrique,Mário Henrique Fernandes Cardoso,-427186,Uniao Lamas,Uniao Lamas,https://cdn5.wyscout.com/photos/team/public/g1741_120x120.png,Campeonato de Portugal,CF,CF,100,,0,,0,26.0,2000-06-04,0,,2,208,0,0.37,0,0.0,17.31,37.5,Brazil,['Brazil'],,185,87,False,1.73,1.73,50.0,3.03,57.14,0.0,0.0,0.0,0.87,1.3,0.87,0,0.0,0,0.0,0.43,0.0,0,0.0,0.16,0,0.0,1,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,50.0,7.79,44.44,1.3,0.43,0.0,5.19,0.43,1.73,12.55,86.21,1.3,66.67,4.76,90.91,12.55,86.21,0.0,0.0,12.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,100.0,0.43,0.0,0.0,0.0,0.87,0.0,0.43,0.0,100.0,2.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.03,0.0,0.0,0.0,0.0,0,0
Daniel Rodriguez,Wyner Daniel Rodriguez Rosero,487845,Uniao Lamas,Uniao Lamas,https://cdn5.wyscout.com/photos/team/public/g1741_120x120.png,Campeonato de Portugal,"RB, RB5, RWB",RB,44,RB5,32,RWB,23,31.0,1994-12-08,0,2027-06-30,2,208,0,0.05,0,0.37,17.31,62.5,Colombia,['Colombia'],right,178,70,False,11.25,6.92,75.0,2.6,83.33,0.43,0.65,0.0,5.63,8.48,0.87,0,0.0,0,0.0,2.16,0.0,0,0.0,0.02,0,0.0,2,0.87,50.0,0.0,0.0,2.6,33.33,0.0,0.0,2.6,33.33,1.3,1.73,50.0,6.49,40.0,3.46,0.43,0.43,19.47,3.89,0.87,28.13,70.77,15.14,62.86,2.6,100.0,20.77,77.08,4.76,63.64,20.97,32.58,0.16,0.43,0.0,0.0,0.0,0.0,0.43,6.06,35.71,3.03,71.43,0.0,0.0,1.3,0.87,7.36,94.12,78.57,6.06,0,,0,,0,0.0,0.0,0.0,,,0.43,,2.6,0.0,0.0,0.0,0.0,0,0
Diogo Santos,Diogo Cardoso Santos,489518,Uniao Lamas,Uniao Lamas,https://cdn5.wyscout.com/photos/team/public/g1741_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,29.0,1997-03-16,0,2027-06-30,2,208,0,0.0,0,0.0,1.3,33.33,Portugal,['Portugal'],right,0,0,False,1.73,0.87,50.0,0.43,0.0,0.0,0.0,0.0,1.3,1.96,0.43,1,0.43,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,0.43,0.0,15.14,80.0,6.92,62.5,0.0,0.0,9.52,90.91,5.63,61.54,26.75,37.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,46.15,100.0,6.49,2,0.87,5,2.16,0,60.0,2.69,1.16,0.6900000000000001,0.299,0.0,1.73,0.43,,,,0.0,0,0
Rui André,Rui Miguel  Machado André,-160882,Brito,Brito,https://cdn5.wyscout.com/photos/team/public/g-12856_120x120.png,Campeonato de Portugal,LB,LB,100,,0,,0,23.0,2002-10-17,0,,2,208,0,0.0,0,0.41000000000000003,19.9,60.87,Portugal,['Portugal'],,0,0,False,11.25,9.95,73.91,1.73,100.0,0.0,0.0,0.0,3.89,8.44,0.43,0,0.0,0,0.0,1.73,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.6,50.0,2.16,60.0,0.43,0.0,0.0,2.16,20.0,5.19,25.0,0.87,0.43,0.0,18.17,1.3,1.3,28.13,70.77,12.12,57.14,3.46,100.0,19.04,86.36,6.49,33.33,22.47,35.96,0.18,1.3,0.0,0.0,0.0,0.0,0.0,6.49,46.67,1.73,50.0,0.0,0.0,0.0,1.3,6.92,93.75,83.33,7.79,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.73,1.3,0.0,0.0,1.3,0,0
Pablo Araújo,Pablo Luigi Francisco de Araújo,-27755,Brito,Brito,https://cdn5.wyscout.com/photos/team/public/g-12856_120x120.png,Campeonato de Portugal,"RCMF, CF, LDMF",RCMF,42,CF,35,LDMF,14,29.0,1997-04-26,0,,2,208,0,0.22,0,0.01,7.79,33.33,Brazil,['Brazil'],right,180,71,False,1.3,2.6,50.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0,0.0,0,0.0,1.3,0.0,0,0.0,0.1,0,0.0,4,1.73,0.0,0.0,0.0,2.6,16.67,0.87,0.0,1.73,25.0,0.0,1.73,50.0,2.16,40.0,2.16,0.87,0.0,12.12,0.87,0.43,18.61,72.09,3.89,66.67,3.03,100.0,15.14,85.71,1.3,33.33,20.06,27.84,0.0,0.43,0.0,0.0,0.0,0.0,0.0,3.03,57.14,2.6,16.67,0.0,0.0,0.0,0.43,2.16,20.0,72.22,7.79,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.3,1.73,0.43,0.0,0.87,0,0
Rui Lopes,Rui Miguel César Lopes Martins,361349,Brito,Brito,https://cdn5.wyscout.com/photos/team/public/g-12856_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,32.0,1993-12-28,0,,2,208,0,0.0,0,0.0,0.0,0.0,Portugal,['Portugal'],right,188,76,False,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,3.75,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.55,0.43,0.0,21.63,96.0,11.68,92.59,0.0,0.0,18.61,100.0,3.03,71.43,27.77,47.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,75.0,0.87,50.0,0.0,0.0,0.43,0.0,2.6,83.33,100.0,9.09,5,2.16,9,3.89,0,44.44,3.9,1.69,-1.1,-0.47600000000000003,0.0,0.87,0.0,,,,0.0,0,0
Ricardo Almeida,Ricardo Almeida Ribeiro,376549,Brito,Brito,https://cdn5.wyscout.com/photos/team/public/g-12856_120x120.png,Campeonato de Portugal,CF,CF,100,,0,,0,29.0,1997-05-09,0,,2,208,1,0.92,0,0.31,14.28,36.36,Portugal,['Portugal'],right,184,78,False,3.03,2.16,80.0,7.36,17.65,0.0,0.0,0.0,1.3,2.81,0.43,2,0.87,0,0.0,1.3,0.43,0,0.0,0.4,0,0.0,3,1.3,33.33,33.333,0.0,0.87,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,3.03,28.57,1.73,0.0,0.0,10.38,0.43,0.87,16.01,70.27,5.63,69.23,4.33,80.0,14.28,75.76,0.87,50.0,17.96,27.8,0.14,0.87,0.0,0.0,0.87,100.0,0.87,1.3,66.67,3.89,55.56,0.87,100.0,2.6,0.0,3.03,85.71,71.43,3.03,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.36,0.0,0.0,0.0,0.0,1,100
Marco Fernandes,Marco António Fernandes,499010,Brito,Brito,https://cdn5.wyscout.com/photos/team/public/g-12856_120x120.png,Campeonato de Portugal,"RCB, LCB",RCB,75,LCB,24,,0,28.0,1998-07-18,0,,2,208,0,0.04,0,0.0,12.98,60.0,Switzerland,"['Switzerland', 'Portugal']",right,186,82,False,6.06,4.33,60.0,6.06,64.29,0.0,0.0,0.43,3.46,7.5,1.3,1,0.43,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,66.67,0.43,2.16,0.0,31.15,0.87,2.16,47.16,81.65,18.61,65.12,2.6,83.33,41.11,90.53,6.06,21.43,22.23,44.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.79,50.0,0.43,0.0,0.87,0.0,0.0,0.0,6.49,73.33,91.67,20.77,0,,0,,0,0.0,0.0,0.0,,,1.73,,6.06,0.0,0.0,0.0,0.0,0,0
L. Moreira,Lucas  Moreira,-730826,Bragança,Bragança,https://cdn5.wyscout.com/photos/team/public/g1767_120x120.png,Campeonato de Portugal,LB,LB,100,,0,,0,22.0,2004-05-18,0,,2,207,0,0.03,0,0.55,19.57,51.11,Brazil,['Brazil'],unknown,178,0,False,6.09,8.7,55.0,2.61,66.67,0.43,0.5700000000000001,0.43,0.87,1.13,2.17,1,0.43,0,0.0,0.43,0.0,0,0.0,0.01,0,0.0,2,0.87,0.0,0.0,0.0,0.43,0.0,0.43,0.0,0.0,0.0,0.43,1.3,33.33,5.22,25.0,0.87,1.74,0.0,12.61,0.43,1.74,23.48,66.67,13.04,60.0,4.35,90.0,16.96,76.92,6.09,42.86,22.88,36.91,0.24,0.43,0.0,0.0,0.0,0.0,0.0,5.65,23.08,1.3,0.0,0.0,0.0,0.43,0.0,5.65,61.54,63.64,4.78,0,,0,,0,0.0,0.0,0.0,,,1.3,,2.61,0.0,0.0,0.0,0.87,0,0
