Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Falconer,Demi Falconer,-364401,Partick Thistle,Partick Thistle,https://cdn5.wyscout.com/photos/team/public/g33568_120x120.png,SWPL 1,"RCB, CB, LCB",RCB,56,CB,18,LCB,17,29.0,1997-04-19,0,,26,2483,0,0.14,1,0.18,11.13,60.59,Scotland,['Scotland'],unknown,0,0,False,11.24,6.52,68.33,1.99,54.55,0.04,0.04,1.09,6.74,7.4,0.33,3,0.11,0,0.0,0.14,0.0,0,0.0,0.0,0,0.0,3,0.11,0.0,0.0,0.04,0.18,20.0,0.0,0.0,0.18,20.0,0.04,0.29,37.5,1.27,42.86,0.22,0.25,0.0,18.2,0.4,0.6900000000000001,36.75,67.75,21.06,56.11,2.9,91.25,23.78,81.55,12.8,42.78,24.32,36.49,0.01,0.11,0.0,0.0,0.07,0.0,0.07,6.05,33.53,1.27,8.57,0.65,11.11,0.22,0.0,10.19,44.84,85.87,10.0,0,,0,,0,0.0,0.0,0.0,,,1.81,,1.99,0.36,0.0,0.0,0.0,0,0.0
K. Clark,Kelly Clark,174952,Celtic,Celtic,https://cdn5.wyscout.com/photos/team/public/g5415_120x120.png,SWPL 1,RCB,RCB,87,,0,,0,31.0,1994-06-10,0,,26,2482,3,1.37,2,0.97,10.59,63.36,Scotland,['Scotland'],,0,0,False,7.61,5.29,78.08,2.18,55.0,0.04,0.05,0.73,3.44,5.13,0.29,2,0.07,0,0.0,0.54,0.11,3,0.11,0.05,1,0.04,10,0.36,70.0,30.0,0.07,0.15,75.0,0.07,100.0,0.07,50.0,0.0,0.18,100.0,2.03,37.5,0.33,1.8900000000000001,0.07,37.13,0.33,0.22,51.74,88.65,18.42,74.21,3.44,94.74,45.8,93.43,5.8,51.25,19.83,35.71,0.04,0.29,0.04,0.15,0.04,0.0,0.11,7.14,68.53,0.8,40.91,0.65,27.78,0.18,0.07,9.07,68.8,98.39,24.8,0,,0,,0,0.0,0.0,0.0,,,2.39,,2.18,0.44,0.07,100.0,0.33,0,0.0
A. Handley,Addison Handley,-301318,Partick Thistle,Partick Thistle,https://cdn5.wyscout.com/photos/team/public/g33568_120x120.png,SWPL 1,"RB, LB, LB5",RB,34,LB,28,LB5,10,22.0,2004-04-28,0,,26,2433,1,1.19,1,0.6900000000000001,14.28,46.11,Scotland,['Scotland'],unknown,0,0,False,9.17,6.44,60.92,0.59,31.25,0.07,0.08,0.63,5.18,5.66,0.7000000000000001,2,0.07,0,0.0,1.26,0.04,1,0.04,0.04,0,0.0,17,0.63,47.06,5.882,0.04,1.0,18.52,0.55,20.0,0.44,16.67,0.22,1.33,55.56,5.33,33.33,0.33,0.63,0.44,16.05,0.96,0.89,26.04,63.07,12.54,52.21,3.77,81.37,19.75,72.47,5.29,36.36,20.09,33.61,0.03,0.22,0.0,0.04,0.07,50.0,0.11,4.07,40.0,1.7000000000000002,23.91,0.7000000000000001,15.79,0.22,0.30000000000000004,6.92,48.66,71.43,5.96,0,,0,,0,0.0,0.0,0.0,,,0.59,,0.59,0.07,0.0,0.0,0.0,0,0.0
J. Currie,Jennifer Currie,-144178,Partick Thistle,Partick Thistle,https://cdn5.wyscout.com/photos/team/public/g33568_120x120.png,SWPL 1,GK,GK,100,,0,,0,29.0,1996-06-24,0,,25,2386,0,0.16,0,0.0,0.87,82.61,Scotland,['Scotland'],,0,0,False,2.38,0.19,40.0,0.49,92.31,0.04,0.04,0.0,2.26,2.5,0.04,3,0.11,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.04,0.0,0.0,10.52,0.08,0.30000000000000004,21.01,74.15,12.03,58.62,0.0,0.0,10.22,97.79,10.79,51.75,31.28,41.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,26.32,0.11,0.0,0.08,0.0,0.0,0.0,6.98,50.81,95.26,7.96,62,2.34,191,7.2,2,67.54,54.74,2.06,-7.26,-0.274,0.0,1.28,0.49,,,,0.0,0,0.0
E. Rennie,Erin Rennie,-364397,Partick Thistle,Partick Thistle,https://cdn5.wyscout.com/photos/team/public/g33568_120x120.png,SWPL 1,"AMF, RCMF, LCMF",AMF,17,RCMF,16,LCMF,14,23.0,2002-12-11,0,,26,2359,2,1.6,1,1.0,14.31,52.27,Scotland,['Scotland'],unknown,0,0,False,7.67,6.5600000000000005,69.77,1.22,40.63,0.08,0.08,0.19,3.01,3.26,0.61,1,0.04,0,0.0,1.26,0.08,2,0.08,0.06,0,0.0,19,0.72,42.11,10.526,0.04,0.72,36.84,0.34,33.33,0.38,40.0,0.23,1.07,60.71,4.73,35.48,0.8,0.5700000000000001,0.15,14.38,1.1400000000000001,0.53,24.46,72.23,7.71,57.43,5.72,88.67,21.9,76.31,1.83,37.5,16.58,28.23,0.04,0.5700000000000001,0.0,0.0,0.08,50.0,0.11,3.24,58.82,1.45,42.11,0.38,20.0,0.46,0.31,4.43,53.45,73.26,6.5600000000000005,0,,0,,0,0.0,0.0,0.0,,,0.38,,1.22,0.5700000000000001,0.08,50.0,1.22,0,0.0
K. Wilkinson,Katie Jade Wilkinson,174900,Rangers,Rangers,https://cdn5.wyscout.com/photos/team/public/g12437_120x120.png,SWPL 1,"CF, AMF",CF,86,AMF,13,,0,31.0,1994-11-05,0,,26,2356,28,19.35,3,3.5,19.98,36.9,England,['England'],,0,0,False,3.36,2.56,62.69,3.44,45.56,0.08,0.13,0.0,1.6800000000000002,2.8,0.88,1,0.04,0,0.0,3.55,1.07,23,0.88,0.74,7,0.27,105,4.01,51.43,26.667,0.11,0.88,43.48,0.34,33.33,0.5,46.15,0.15,1.53,52.5,11.19,29.69,5.27,0.6900000000000001,0.0,14.67,1.6400000000000001,1.45,25.14,73.71,8.1,64.62,5.88,88.31,22.84,76.25,1.4100000000000001,51.35,15.2,22.09,0.13,1.22,0.19,0.04,0.5700000000000001,53.33,0.92,3.25,54.12,2.87,60.0,0.8,42.86,1.9100000000000001,0.34,3.36,76.14,74.15,5.62,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.44,0.5700000000000001,0.5,46.15,0.04,6,83.333
J. Fife,Jenna Fife,291967,Rangers,Rangers,https://cdn5.wyscout.com/photos/team/public/g12437_120x120.png,SWPL 1,GK,GK,100,,0,,0,30.0,1995-12-01,0,,25,2349,0,0.0,0,0.0,0.54,71.43,Scotland,['Scotland'],,0,0,False,1.07,0.15,50.0,0.08,50.0,0.04,0.06,0.0,0.96,1.5899999999999999,0.08,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,75.0,0.0,0.0,0.0,20.34,0.11,0.15,28.54,91.41,11.99,81.15,0.0,0.0,22.87,98.83,5.67,61.49,24.28,42.75,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.96,48.0,0.15,0.0,0.15,50.0,0.0,0.0,4.06,64.15,99.22,14.75,23,0.88,66,2.5300000000000002,12,65.15,16.72,0.64,-6.28,-0.241,0.0,0.8,0.08,,,,0.0,0,0.0
N. Schumacher,Noa Schumacher,-220089,Hibernian,Hibernian,https://cdn5.wyscout.com/photos/team/public/g5372_120x120.png,SWPL 1,GK,GK,100,,0,,0,26.0,1999-12-31,0,,24,2291,0,0.0,0,0.0,0.63,93.75,United States,['United States'],,178,0,False,2.0,0.08,50.0,0.35000000000000003,100.0,0.0,0.0,0.0,1.96,2.96,0.04,3,0.12,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.16,100.0,0.0,0.0,0.0,17.05,0.24,0.12,26.01,79.91,14.46,66.3,0.0,0.0,16.19,96.36,9.82,52.8,29.83,44.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.41,0.16,0.0,0.16,25.0,0.0,0.0,6.13,55.77,96.67,10.61,20,0.79,83,3.26,11,75.9,24.07,0.9500000000000001,4.07,0.16,0.0,0.8200000000000001,0.35000000000000003,,,,0.0,0,0.0
S. Cowan,Shona Cowan,-301315,Hamilton Academical,Hamilton Academical,https://cdn5.wyscout.com/photos/team/public/g5418_120x120.png,SWPL 1,"LB, LB5",LB,67,LB5,21,,0,22.0,2004-04-28,0,,24,2289,0,0.05,0,0.65,18.36,53.32,Scotland,['Scotland'],unknown,0,0,False,15.85,10.81,62.18,2.87,42.47,0.35000000000000003,0.35000000000000003,0.51,8.77,8.61,0.63,3,0.12,0,0.0,0.51,0.0,0,0.0,0.0,0,0.0,1,0.04,100.0,0.0,0.0,0.71,22.22,0.67,17.65,0.0,0.0,0.08,0.63,50.0,2.75,40.0,0.0,0.51,0.28,8.26,0.98,0.59,21.35,47.51,14.67,39.95,1.69,83.72,14.55,56.49,6.09,29.03,22.56,35.13,0.03,0.12,0.0,0.0,0.0,0.0,0.08,4.8,32.79,1.42,30.56,0.43,27.27,0.28,0.24,7.82,37.69,57.14,2.75,0,,0,,0,0.0,0.0,0.0,,,0.31,,2.87,0.0,0.0,0.0,0.04,0,0.0
L. Perry,Lauren Perry,495190,Montrose,Montrose,https://cdn5.wyscout.com/photos/team/public/g38362_120x120.png,SWPL 1,GK,GK,100,,0,,0,25.0,2001-04-05,0,,24,2289,0,0.0,0,0.0,0.55,92.86,Northern Ireland,['Northern Ireland'],,0,0,False,2.56,0.08,100.0,0.35000000000000003,100.0,0.0,0.0,0.0,2.48,3.17,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,7.94,0.12,0.12,17.22,62.79,15.88,61.88,0.0,0.0,2.32,83.05,14.74,60.27,42.36,44.76,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.99,47.37,0.28,42.86,0.2,20.0,0.12,0.0,10.34,76.81,84.0,0.98,60,2.36,159,6.25,5,62.26,44.66,1.76,-15.34,-0.603,0.0,1.38,0.35000000000000003,,,,0.0,0,0.0
