Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Mitre,Lisandro Nicolás Mariano Mitre,-118866,Atlético Vinotinto,Atlético Vinotinto,https://cdn5.wyscout.com/photos/team/public/g-23427_120x120.png,Liga Pro Serie B,GK,GK,100,,0,,0,30.0,1995-12-18,0,2026-12-31,18,1771,0,0.0,0,0.0,0.66,84.62,Argentina,['Argentina'],left,185,82,False,1.52,0.15,100.0,0.46,88.89,0.0,0.0,0.0,1.37,1.8900000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,14.48,0.41000000000000003,0.1,25.46,80.04,13.77,64.94,0.05,100.0,13.82,97.79,11.49,59.73,37.53,53.86,0.0,0.0,0.05,0.0,0.0,0.0,0.0,5.08,46.0,0.66,23.08,0.25,40.0,0.15,0.0,7.17,73.05,99.04,10.62,17,0.86,71,3.61,5,76.06,17.62,0.9,0.62,0.032,0.05,1.32,0.46,,,,0.0,0,0
R. Cabezas,Rommel Andrés Cabezas Briones,-172820,El Nacional,El Nacional,https://cdn5.wyscout.com/photos/team/public/881_120x120.png,Liga Pro Serie B,"LCB, RCB, CB",LCB,50,RCB,27,CB,16,26.0,2000-05-27,200000,2026-12-31,18,1762,0,0.41000000000000003,0,0.06,13.13,58.37,Ecuador,['Ecuador'],right,0,0,False,9.14,5.72,69.64,3.68,61.11,0.36,0.48,0.51,4.8,6.47,1.17,4,0.2,0,0.0,0.26,0.0,0,0.0,0.02,0,0.0,7,0.36,42.86,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.15,66.67,2.09,29.27,0.77,0.46,0.05,15.63,0.2,0.31,30.85,81.62,14.81,73.45,1.99,94.87,24.98,89.16,5.82,50.0,23.5,40.21,0.0,0.1,0.0,0.0,0.0,0.0,0.05,5.21,57.84,1.02,15.0,1.07,9.52,0.36,0.0,7.3,69.93,88.44,11.49,0,,0,,0,0.0,0.0,0.0,,,1.48,,3.68,0.0,0.0,0.0,0.0,0,0
J. Palacios,Henry Josue Palacios Angulo,-456510,Independiente Juniors,Independiente Juniors,https://cdn5.wyscout.com/photos/team/public/g-10245_120x120.png,Liga Pro Serie B,"RCB, LCB, CB",RCB,51,LCB,35,CB,13,21.0,2004-10-20,0,,18,1731,0,0.89,0,0.02,13.49,60.0,Ecuador,['Ecuador'],unknown,0,0,False,6.17,4.9,71.91,4.74,47.67,0.06,0.09,0.22,2.59,4.29,0.72,4,0.21,0,0.0,0.17,0.0,0,0.0,0.05,0,0.0,8,0.44,12.5,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.17,66.67,1.9300000000000002,54.29,0.72,1.1,0.06,31.01,0.66,0.99,43.79,85.41,17.13,73.31,1.54,92.86,36.79,92.37,6.94,49.21,26.77,46.72,0.0,0.17,0.0,0.0,0.0,0.0,0.0,6.77,60.98,1.16,23.81,0.55,20.0,0.28,0.0,8.87,73.29,95.2,22.97,0,,0,,0,0.0,0.0,0.0,,,1.05,,4.74,0.0,0.0,0.0,0.0,0,0
P. Cifuentes,Pablo Cesar Cifuentes Cortez,178994,LDU Portoviejo,LDU Portoviejo,https://cdn5.wyscout.com/photos/team/public/1673_120x120.png,Liga Pro Serie B,"RCB, CB",RCB,70,CB,27,,0,38.0,1988-04-17,0,2026-12-31,17,1700,1,0.66,0,0.0,10.75,70.94,Ecuador,['Ecuador'],right,0,0,False,7.99,4.76,75.56,3.65,63.77,0.32,0.5,0.48,4.08,6.43,0.9500000000000001,6,0.32,0,0.0,0.05,0.05,1,0.05,0.03,0,0.0,4,0.21,25.0,25.0,0.0,0.11,0.0,0.05,0.0,0.05,0.0,0.05,0.05,0.0,0.37,28.57,0.42,0.21,0.0,13.98,0.42,0.37,25.84,82.17,13.24,70.0,1.8,100.0,17.89,89.05,7.84,67.57,25.76,39.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,62.92,0.79,26.67,0.74,57.14,0.21,0.05,7.2,72.06,94.94,9.42,0,,0,,0,0.0,0.0,0.0,,,1.48,,3.65,0.0,0.0,0.0,0.0,0,0
E. Quinonez,Elkin David Quinonez Angulo,-472964,Independiente Juniors,Independiente Juniors,https://cdn5.wyscout.com/photos/team/public/g-10245_120x120.png,Liga Pro Serie B,GK,GK,100,,0,,0,21.0,2005-01-25,0,,17,1673,0,0.0,0,0.0,0.8,78.57,Ecuador,['Ecuador'],unknown,0,0,False,1.03,0.06,0.0,0.4,100.0,0.06,0.09,0.06,0.97,1.6,0.06,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,66.67,0.0,0.0,0.0,10.91,0.4,0.23,19.13,85.67,9.94,74.71,0.06,0.0,12.68,98.65,6.4,60.71,33.15,53.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,50.0,0.4,14.29,0.11,0.0,0.0,0.0,4.05,67.61,98.62,8.28,10,0.5700000000000001,49,2.8,8,79.59,10.49,0.6000000000000001,0.49,0.028,0.0,1.83,0.4,,,,0.0,0,0
M. Delpadre,Marcos Antonio Delpadre,359151,San Antonio,San Antonio,https://cdn5.wyscout.com/photos/team/public/g-21140_120x120.png,Liga Pro Serie B,LCB,LCB,96,,0,,0,35.0,1991-06-18,100000,,17,1672,0,0.32,0,0.0,11.14,65.7,Paraguay,['Paraguay'],,186,78,False,8.77,3.88,65.28,5.87,65.14,0.22,0.34,0.81,6.03,9.44,0.43,2,0.11,0,0.0,0.05,0.0,0,0.0,0.02,0,0.0,4,0.22,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,66.67,0.43,0.27,0.0,22.34,0.38,0.38,38.81,84.05,18.09,73.51,1.88,94.29,31.6,90.97,7.21,53.73,23.22,36.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,51.14,0.38,71.43,0.22,50.0,0.16,0.0,7.97,70.27,94.56,15.83,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,5.87,0.0,0.0,0.0,0.0,0,0
B. Castro,Bismar Yasmani Castro Mina,-193096,Deportivo Santo Domingo,Deportivo Santo Domingo,https://cdn5.wyscout.com/photos/team/public/g-25801_120x120.png,Liga Pro Serie B,GK,GK,100,,0,,0,24.0,2002-03-22,50000,2026-12-31,17,1663,0,0.0,0,0.0,0.7000000000000001,100.0,Ecuador,['Ecuador'],right,186,81,False,1.19,0.0,0.0,0.54,100.0,0.0,0.0,0.0,1.19,1.45,0.0,3,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,4.06,0.05,0.16,12.61,66.52,9.96,59.78,0.0,0.0,4.06,96.0,8.5,52.87,45.35,55.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,48.24,0.27,20.0,0.49,11.11,0.05,0.0,6.28,74.14,100.0,2.11,12,0.65,58,3.14,8,79.31,12.89,0.7000000000000001,0.89,0.048,0.0,2.22,0.54,,,,0.0,0,0
J. Peñarrieta,Justin José Peñarrieta Guerrero,-431326,Gualaceo,Gualaceo,https://cdn5.wyscout.com/photos/team/public/g32820_120x120.png,Liga Pro Serie B,"CB, RCB",CB,83,RCB,12,,0,25.0,2000-08-26,0,2026-12-31,18,1646,2,0.84,0,0.37,8.19,61.7,Ecuador,['Ecuador'],unknown,0,0,False,5.64,2.96,64.71,2.61,60.0,0.35000000000000003,0.56,0.12,3.37,5.42,0.46,1,0.05,0,0.0,0.41000000000000003,0.11,2,0.12,0.05,2,0.12,12,0.7000000000000001,33.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,75.0,1.16,50.0,0.52,0.58,0.12,21.03,0.12,0.41000000000000003,36.49,82.96,16.85,70.69,1.34,95.65,28.35,92.42,8.13,50.0,25.33,43.58,0.02,0.23,0.0,0.0,0.0,0.0,0.12,5.23,45.56,0.58,0.0,1.05,22.22,0.06,0.0,8.13,67.86,94.76,15.51,0,,0,,0,0.0,0.0,0.0,,,0.81,,2.61,0.06,0.06,0.0,0.0,0,0
C. Caicedo,Carlos Rivaldo Caicedo Pincay,-125481,Deportivo Santo Domingo,Deportivo Santo Domingo,https://cdn5.wyscout.com/photos/team/public/g-25801_120x120.png,Liga Pro Serie B,"LCB, RCB3, LCB3",LCB,62,RCB3,19,LCB3,10,26.0,2000-07-05,75000,2026-12-31,17,1627,0,1.16,0,0.74,16.1,57.73,Ecuador,['Ecuador'],,0,0,False,8.74,7.41,68.66,4.15,48.0,0.0,0.0,0.28,3.65,4.4,1.55,4,0.22,0,0.0,0.66,0.0,0,0.0,0.06,0,0.0,11,0.61,18.18,0.0,0.0,0.17,33.33,0.11,50.0,0.06,0.0,0.11,0.66,75.0,2.8200000000000003,47.06,0.77,1.05,0.17,12.22,0.22,1.33,26.5,70.15,15.32,61.73,1.05,68.42,17.15,81.29,9.18,50.0,27.67,41.63,0.04,0.33,0.0,0.0,0.0,0.0,0.17,6.97,53.17,0.66,16.67,0.55,30.0,0.28,0.11,9.29,68.45,84.21,8.41,0,,0,,0,0.0,0.0,0.0,,,0.28,,4.15,0.0,0.0,0.0,0.0,0,0
W. Godoy,Wílmer Javier Godoy Quiñónez,246824,Atletico FC,Atletico FC,https://cdn5.wyscout.com/photos/team/public/g-25803_120x120.png,Liga Pro Serie B,"RCMF, LCMF, RCMF3",RCMF,59,LCMF,11,RCMF3,11,32.0,1993-11-05,0,2026-12-31,17,1627,3,2.05,0,0.6000000000000001,15.16,51.82,Ecuador,['Ecuador'],right,174,67,False,5.59,3.43,66.13,4.54,47.56,0.06,0.08,0.28,3.26,4.5,1.11,3,0.17,0,0.0,0.8300000000000001,0.17,2,0.11,0.11,2,0.11,14,0.77,42.86,21.429,0.0,0.33,50.0,0.11,0.0,0.22,75.0,0.06,0.55,60.0,5.37,46.39,1.22,0.22,0.0,19.08,0.44,2.38,26.5,81.0,8.35,56.95,5.37,98.97,22.02,89.95,4.15,36.0,20.36,39.67,0.03,0.33,0.0,0.06,0.0,0.0,0.11,5.03,51.65,1.0,33.33,0.77,28.57,0.33,0.11,3.8200000000000003,66.67,90.36,9.18,0,,0,,0,0.0,0.0,0.0,,,0.72,,4.54,0.11,0.0,0.0,0.0,1,100
