Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Gu Sung-Yun,Sung-Yun Gu,286938,Seoul,Seoul,https://cdn5.wyscout.com/photos/team/public/2428_120x120.png,K League 1,GK,GK,100,,0,,0,32.0,1994-06-27,600000,,17,1753,0,0.0,0,0.18,0.46,88.89,Korea Republic,['Korea Republic'],right,195,82,False,0.62,0.0,0.0,0.36,100.0,0.0,0.0,0.0,0.62,0.9500000000000001,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,11.45,0.15,0.1,16.99,89.73,7.24,79.43,0.05,0.0,12.58,98.78,4.42,63.95,27.4,50.88,0.01,0.05,0.0,0.0,0.0,0.0,0.0,1.44,75.0,0.05,0.0,0.05,0.0,0.0,0.0,3.08,76.67,97.67,8.83,12,0.62,57,2.93,8,78.95,15.41,0.79,3.41,0.17500000000000002,0.0,1.8,0.36,,,,0.0,0,0.0
Seo Jae-Min,Jae-Min Seo,-142896,Incheon United,Incheon United,https://cdn5.wyscout.com/photos/team/public/2544_120x120.png,K League 1,"LCMF, LCMF3",LCMF,69,LCMF3,10,,0,22.0,2003-09-16,0,,17,1751,1,0.78,0,1.4100000000000001,11.51,49.55,Korea Republic,['Korea Republic'],right,178,73,False,5.71,3.91,61.84,0.98,31.58,0.21,0.27,0.1,3.08,4.12,0.72,0,0.0,0,0.0,1.34,0.05,1,0.05,0.04,0,0.0,7,0.36,42.86,14.286,0.0,0.51,40.0,0.51,40.0,0.0,0.0,0.05,1.6400000000000001,59.38,5.29,44.66,0.62,1.54,0.26,32.95,0.5700000000000001,1.13,44.67,86.77,12.23,72.69,11.05,93.49,41.38,89.44,2.7800000000000002,55.56,17.29,27.34,0.07,0.5700000000000001,0.05,0.05,0.1,0.0,0.31,5.86,76.32,1.34,73.08,0.5700000000000001,27.27,0.77,0.21,6.58,65.63,95.2,13.93,0,,0,,0,0.0,0.0,0.0,,,1.44,,0.98,0.0,0.0,0.0,0.0,0,0.0
Chang-Geun Lee,Chang-Geun Lee,232023,Daejeon Citizen,Daejeon Citizen,https://cdn5.wyscout.com/photos/team/public/2546_120x120.png,K League 1,GK,GK,100,,0,,0,32.0,1993-08-30,600000,,17,1748,0,0.0,0,0.0,0.51,80.0,Korea Republic,['Korea Republic'],right,186,80,False,0.5700000000000001,0.0,0.0,0.26,80.0,0.0,0.0,0.0,0.5700000000000001,0.8300000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,75.0,0.0,0.0,0.0,16.27,0.36,0.31,22.09,89.28,12.56,82.38,0.0,0.0,11.33,99.55,10.71,78.85,35.79,49.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,76.81,0.1,0.0,0.15,0.0,0.0,0.0,8.91,87.86,98.85,8.96,18,0.93,71,3.66,4,74.65,23.41,1.21,5.41,0.279,0.0,0.8200000000000001,0.26,,,,0.0,0,0.0
Choi Jun,Jun Choi,-83427,Seoul,Seoul,https://cdn5.wyscout.com/photos/team/public/2428_120x120.png,K League 1,RB,RB,99,,0,,0,27.0,1999-04-17,650000,,17,1747,0,0.05,0,0.86,14.84,55.56,Korea Republic,['Korea Republic'],right,174,67,False,8.5,6.44,64.0,1.6,61.29,0.21,0.32,0.31,4.17,6.48,1.24,4,0.21,0,0.0,1.8,0.0,0,0.0,0.0,0,0.0,6,0.31,0.0,0.0,0.0,1.3900000000000001,55.56,0.0,0.0,1.3900000000000001,55.56,0.21,1.44,71.43,4.95,48.96,0.26,0.88,0.41000000000000003,32.46,0.77,1.7000000000000002,42.71,84.32,17.1,73.49,6.7,95.38,35.24,90.5,6.13,55.46,18.7,34.79,0.04,0.62,0.1,0.0,0.0,0.0,0.52,6.8,75.76,2.01,58.97,0.67,53.85,0.5700000000000001,0.72,8.71,71.01,88.56,12.16,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.6,0.0,0.0,0.0,0.0,0,0.0
Jo Hyeon-Woo,Hyeon-Woo Jo,286390,Ulsan Hyundai,Ulsan Hyundai,https://cdn5.wyscout.com/photos/team/public/2403_120x120.png,K League 1,GK,GK,100,,0,,0,34.0,1991-09-25,900000,,17,1729,0,0.0,0,0.0,0.5700000000000001,90.91,Korea Republic,['Korea Republic'],right,189,75,False,0.31,0.05,0.0,0.52,100.0,0.0,0.0,0.0,0.31,0.37,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,12.08,0.31,0.21,16.76,89.13,7.86,78.15,0.0,0.0,12.18,98.72,4.58,63.64,28.98,48.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,46.67,0.0,0.0,0.0,0.0,0.0,0.0,3.44,68.18,98.72,8.12,24,1.25,72,3.75,3,66.67,23.44,1.22,-0.56,-0.029,0.0,1.72,0.52,,,,0.0,0,0.0
Dong-Jun Kim,Dong-Jun Kim,298077,Jeju SK,Jeju SK,https://cdn5.wyscout.com/photos/team/public/2551_120x120.png,K League 1,GK,GK,100,,0,,0,31.0,1994-12-19,600000,,17,1726,0,0.0,0,0.0,0.8300000000000001,93.75,Korea Republic,['Korea Republic'],right,189,85,False,1.2,0.0,0.0,0.47000000000000003,100.0,0.0,0.0,0.0,1.2,1.43,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.21,75.0,0.0,0.0,0.0,8.4,0.42,0.42,13.71,85.55,7.2,76.81,0.0,0.0,8.81,98.22,4.85,63.44,32.63,48.92,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.56,53.33,0.0,0.0,0.05,100.0,0.0,0.0,3.75,69.44,95.8,6.21,17,0.89,62,3.23,6,72.58,18.43,0.96,1.43,0.075,0.0,2.35,0.47000000000000003,,,,0.0,0,0.0
Park Cheong-Hyo,Cheong-Hyo Park,286609,Gangwon,Gangwon,https://cdn5.wyscout.com/photos/team/public/2543_120x120.png,K League 1,GK,GK,100,,0,,0,36.0,1990-02-13,200000,,17,1721,0,0.0,0,0.0,0.58,81.82,Korea Republic,['Korea Republic'],right,190,77,False,0.78,0.1,100.0,0.37,85.71,0.0,0.0,0.0,0.68,1.01,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.21,0.1,19.77,79.63,16.05,76.22,0.0,0.0,6.07,95.69,13.7,72.52,45.14,54.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68,75.3,0.31,50.0,0.58,63.64,0.21,0.0,10.77,85.92,96.88,3.35,11,0.58,57,2.98,9,80.7,16.09,0.84,5.09,0.266,0.0,1.57,0.37,,,,0.0,0,0.0
Juan Antonio,Juan Antonio Ros Martínez,317048,Seoul,Seoul,https://cdn5.wyscout.com/photos/team/public/2428_120x120.png,K League 1,"LCB, RCB",LCB,70,RCB,29,,0,30.0,1996-03-15,300000,2026-12-31,17,1706,2,1.35,0,0.0,11.87,55.56,Spain,['Spain'],right,188,82,False,7.75,4.33,68.29,4.43,50.0,0.21,0.33,0.6900000000000001,4.59,7.17,0.84,3,0.16,0,0.0,0.16,0.11,2,0.11,0.07,1,0.05,6,0.32,50.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,44.44,0.58,0.21,0.0,37.98,0.42,0.42,52.65,92.89,18.73,84.51,2.8,98.11,48.27,95.85,4.38,60.24,19.98,35.2,0.0,0.0,0.05,0.05,0.0,0.0,0.0,4.38,69.88,0.11,0.0,0.11,50.0,0.05,0.0,6.54,73.39,97.36,25.96,0,,0,,0,0.0,0.0,0.0,,,1.53,,4.43,0.0,0.0,0.0,0.0,0,0.0
Cho Hyun-Taek,Hyun-Taek Cho,-174119,Ulsan Hyundai,Ulsan Hyundai,https://cdn5.wyscout.com/photos/team/public/2403_120x120.png,K League 1,"LB, LWB, LB5",LB,70,LWB,16,LB5,11,24.0,2001-08-02,400000,,17,1667,0,1.08,1,2.09,14.31,56.23,Korea Republic,['Korea Republic'],left,180,76,False,8.69,5.72,66.98,2.59,52.08,0.32,0.39,0.32,4.54,5.41,1.03,2,0.11,0,0.0,2.9699999999999998,0.0,0,0.0,0.06,0,0.0,12,0.65,25.0,0.0,0.05,3.89,43.06,3.7800000000000002,42.86,0.11,50.0,0.38,1.94,55.56,4.37,45.68,1.03,1.51,0.43,24.84,1.8399999999999999,1.08,33.58,73.15,11.34,61.9,7.45,97.83,24.78,83.44,5.29,46.94,21.34,40.31,0.11,1.19,0.0,0.0,0.05,100.0,0.76,3.51,49.23,4.48,49.4,0.49,33.33,1.03,1.4,7.99,68.24,65.32,9.34,0,,0,,0,0.0,0.0,0.0,,,0.32,,2.59,0.0,0.0,0.0,0.05,0,0.0
Sung-Wook Hong,Sung-Wook Hong,-142900,Bucheon 1995,Bucheon 1995,https://cdn5.wyscout.com/photos/team/public/g10752_120x120.png,K League 1,"RCB3, LCB3",RCB3,56,LCB3,43,,0,23.0,2002-09-17,100000,,16,1647,0,0.64,1,0.19,11.31,56.52,Korea Republic,['Korea Republic'],right,186,0,False,8.25,3.93,51.39,5.03,64.13,0.22,0.25,0.8200000000000001,6.01,6.8,0.6000000000000001,0,0.0,0,0.0,0.27,0.0,0,0.0,0.04,0,0.0,6,0.33,16.67,0.0,0.05,0.27,20.0,0.22,0.0,0.05,100.0,0.0,0.16,66.67,0.71,38.46,0.6000000000000001,0.55,0.0,24.43,0.22,0.49,35.14,85.23,15.52,76.06,2.95,88.89,31.31,90.92,3.55,40.0,18.42,35.33,0.01,0.22,0.0,0.0,0.05,100.0,0.05,3.99,65.75,0.6000000000000001,63.64,0.16,66.67,0.27,0.05,5.9,62.04,93.52,11.8,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,5.03,0.0,0.0,0.0,0.0,0,0.0
Song Bum-Keun,Bum-Keun Song,465554,Jeonbuk Motors,Jeonbuk Motors,https://cdn5.wyscout.com/photos/team/public/2550_120x120.png,K League 1,GK,GK,100,,0,,0,28.0,1997-10-15,1000000,,16,1646,0,0.0,0,0.04,0.55,100.0,Korea Republic,['Korea Republic'],right,196,93,False,0.66,0.0,0.0,0.27,100.0,0.0,0.0,0.0,0.66,0.99,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.05,0.0,15.53,0.22,0.22,21.0,88.8,9.51,75.86,0.0,0.0,14.43,99.62,6.4,66.67,31.51,49.23,0.0,0.05,0.0,0.0,0.0,0.0,0.05,2.79,60.78,0.44,25.0,0.22,25.0,0.11,0.0,4.92,80.0,100.0,10.83,13,0.71,59,3.23,7,77.97,18.56,1.01,5.5600000000000005,0.304,0.0,0.93,0.27,,,,0.0,0,0.0
Jae-Hyeon Mo,Jae-Hyeon Mo,476803,Gangwon,Gangwon,https://cdn5.wyscout.com/photos/team/public/2543_120x120.png,K League 1,RW,RW,93,,0,,0,29.0,1996-09-24,400000,2027-12-31,17,1645,2,4.18,4,2.45,21.17,48.32,Korea Republic,['Korea Republic'],right,184,77,False,4.76,4.05,60.81,5.58,50.0,0.16,0.24,0.05,2.13,3.17,1.81,3,0.16,0,0.0,3.2800000000000002,0.11,2,0.11,0.23,0,0.0,32,1.75,34.38,6.25,0.22,3.5,29.69,0.6000000000000001,18.18,2.9,32.08,0.44,3.12,52.63,8.26,44.37,3.5,1.6400000000000001,0.33,22.1,1.6400000000000001,1.9100000000000001,31.02,73.9,8.21,61.33,8.1,94.59,25.66,81.66,2.24,46.34,17.4,33.13,0.13,0.77,0.0,0.0,0.0,0.0,0.49,2.24,56.1,3.39,46.77,0.11,0.0,1.04,1.04,4.92,74.44,70.07,8.04,0,,0,,0,0.0,0.0,0.0,,,0.44,,5.58,0.0,0.0,0.0,0.05,1,0.0
Lee Ho-Jae,Ho-Jae Lee,-231883,Pohang Steelers,Pohang Steelers,https://cdn5.wyscout.com/photos/team/public/2178_120x120.png,K League 1,CF,CF,94,,0,,0,25.0,2000-10-14,300000,2027-12-31,17,1636,8,7.46,0,1.74,23.11,36.9,Korea Republic,['Korea Republic'],right,192,85,False,3.3,2.59,51.06,8.31,46.36,0.11,0.16,0.22,1.87,2.64,1.16,4,0.22,0,0.0,1.43,0.44,4,0.22,0.41000000000000003,0,0.0,36,1.98,44.44,22.222,0.0,0.39,28.57,0.11,50.0,0.28,20.0,0.0,1.21,36.36,8.75,27.67,3.63,0.39,0.0,12.27,2.81,1.98,16.78,72.13,3.63,40.91,5.12,89.25,15.29,75.18,1.1,45.0,16.16,22.48,0.1,0.72,0.06,0.06,0.0,0.0,0.44,1.49,48.15,0.88,43.75,0.11,0.0,0.9400000000000001,0.11,1.87,50.0,79.27,4.51,0,,0,,0,0.0,0.0,0.0,,,0.11,,8.31,0.11,0.11,50.0,0.0,4,100.0
Juan Ibiza,Juan Fernández Blanco,430572,Incheon United,Incheon United,https://cdn5.wyscout.com/photos/team/public/2544_120x120.png,K League 1,"LCB, CB",LCB,87,CB,12,,0,30.0,1995-08-17,500000,2027-06-30,16,1635,2,1.6099999999999999,0,0.03,11.72,61.03,Spain,['Spain'],left,187,78,True,5.5,3.47,65.08,6.5,61.86,0.17,0.22,0.33,3.08,4.08,0.9400000000000001,5,0.28,0,0.0,0.5,0.11,2,0.11,0.09,2,0.11,13,0.72,46.15,15.385,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.17,100.0,0.8300000000000001,53.33,1.05,0.17,0.0,46.51,0.28,0.55,63.25,92.08,18.88,79.01,2.81,92.16,57.69,95.8,5.5,54.0,20.77,34.94,0.0,0.11,0.0,0.0,0.0,0.0,0.06,3.85,70.0,0.44,25.0,0.33,33.33,0.33,0.06,6.28,58.77,98.68,37.65,0,,0,,0,0.0,0.0,0.0,,,1.82,,6.5,0.0,0.0,0.0,0.0,0,0.0
Park Cheol-Woo,Cheol-Woo Park,-187756,Gimcheon Sangmu,Gimcheon Sangmu,https://cdn5.wyscout.com/photos/team/public/3470_120x120.png,K League 1,"LB, LB5",LB,86,LB5,10,,0,28.0,1997-10-21,300000,2026-10-06,17,1625,2,1.07,2,1.79,16.62,52.0,Korea Republic,['Korea Republic'],left,176,70,True,7.8100000000000005,6.48,64.96,2.44,43.18,0.17,0.25,0.28,3.43,5.14,0.9400000000000001,3,0.17,0,0.0,3.43,0.11,2,0.11,0.06,0,0.0,19,1.05,36.84,10.526,0.11,3.05,50.91,2.99,50.0,0.06,100.0,0.22,2.44,59.09,6.2,44.64,0.66,1.77,0.33,31.02,1.72,1.05,40.54,81.83,12.52,67.26,11.13,95.02,33.12,88.13,4.65,55.95,19.25,43.4,0.1,0.9400000000000001,0.06,0.0,0.11,50.0,0.44,4.87,61.36,3.49,66.67,1.16,57.14,0.89,1.38,7.42,70.15,82.83,10.97,0,,0,,0,0.0,0.0,0.0,,,0.28,,2.44,0.8300000000000001,0.33,33.33,0.33,0,0.0
Moon Min-Seo,Min-Seo Moon,-563902,Gwangju,Gwangju,https://cdn5.wyscout.com/photos/team/public/2666_120x120.png,K League 1,"LCMF, LDMF, RCMF",LCMF,71,LDMF,12,RCMF,10,22.0,2004-02-18,0,2026-12-31,17,1624,3,1.09,0,0.8,10.81,45.64,Korea Republic,['Korea Republic'],,181,0,False,4.88,2.99,57.41,1.44,34.62,0.06,0.07,0.28,3.1,3.66,0.78,4,0.22,0,0.0,1.94,0.17,3,0.17,0.06,0,0.0,16,0.89,43.75,18.75,0.0,1.16,52.38,0.55,50.0,0.61,54.55,0.06,1.6099999999999999,55.17,5.54,40.0,1.0,1.11,0.22,27.65,0.44,0.89,34.3,86.91,8.2,70.27,6.54,95.76,31.15,90.57,2.11,50.0,18.06,32.29,0.04,0.61,0.0,0.0,0.06,100.0,0.33,4.43,75.0,1.55,50.0,0.22,0.0,0.44,0.55,4.16,65.33,91.53,13.74,0,,0,,0,0.0,0.0,0.0,,,0.39,,1.44,0.28,0.0,0.0,0.78,0,0.0
Jong-Beom Baek,Jong-Beom Baek,-117645,Gimcheon Sangmu,Gimcheon Sangmu,https://cdn5.wyscout.com/photos/team/public/3470_120x120.png,K League 1,GK,GK,100,,0,,0,25.0,2001-01-21,450000,2026-10-06,16,1622,0,0.0,0,0.0,0.61,90.91,Korea Republic,['Korea Republic'],right,190,85,True,0.61,0.06,0.0,0.55,100.0,0.0,0.0,0.0,0.61,0.91,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98,0.39,0.11,21.81,90.59,9.82,83.05,0.0,0.0,15.26,99.27,6.49,70.94,28.9,47.96,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.5,66.67,0.11,50.0,0.22,50.0,0.06,0.0,5.22,74.47,97.47,10.99,21,1.17,62,3.44,2,66.13,22.03,1.22,1.03,0.057,0.0,1.44,0.55,,,,0.0,0,0.0
Hwang In-Jae,In-Jae Hwang,438421,Pohang Steelers,Pohang Steelers,https://cdn5.wyscout.com/photos/team/public/2178_120x120.png,K League 1,GK,GK,100,,0,,0,32.0,1994-04-22,550000,,16,1619,0,0.0,0,0.0,0.67,91.67,Korea Republic,['Korea Republic'],right,187,73,False,1.22,0.11,100.0,0.44,87.5,0.0,0.0,0.0,1.11,1.58,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.06,13.01,0.17,0.06,19.57,82.39,12.12,75.23,0.0,0.0,9.78,96.02,9.78,68.75,35.53,49.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,57.38,0.0,0.0,0.11,50.0,0.0,0.0,7.45,80.6,93.1,6.45,14,0.78,52,2.89,7,73.08,13.67,0.76,-0.33,-0.018000000000000002,0.0,1.67,0.44,,,,0.0,0,0.0
Ryun-Sung Kim,Ryun-Sung Kim,-142866,Jeju SK,Jeju SK,https://cdn5.wyscout.com/photos/team/public/2551_120x120.png,K League 1,LB,LB,76,,0,,0,24.0,2002-06-04,175000,2027-12-31,16,1607,1,0.66,1,1.43,13.95,53.82,Korea Republic,['Korea Republic'],left,180,0,False,7.17,5.32,68.42,1.96,51.43,0.17,0.2,0.34,3.36,4.08,0.56,1,0.06,0,0.0,2.86,0.06,1,0.06,0.04,0,0.0,5,0.28,60.0,20.0,0.06,3.19,47.37,3.02,46.3,0.17,66.67,0.45,2.58,45.65,5.66,43.56,1.18,2.13,0.39,29.63,1.4,1.06,38.42,82.36,14.9,76.69,7.45,93.98,31.98,89.14,3.47,50.0,17.46,33.03,0.08,0.84,0.0,0.0,0.0,0.0,0.39,3.25,75.86,3.14,55.36,0.06,100.0,0.62,1.57,8.06,72.22,83.85,9.02,0,,0,,0,0.0,0.0,0.0,,,0.22,,1.96,0.17,0.0,0.0,0.11,0,0.0
