Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Gianluca Germinario,Gianluca Germinario,-166322,Pineto,Pineto,https://cdn5.wyscout.com/photos/team/public/g37149_120x120.png,Serie C,"LCMF, DMF",LCMF,86,DMF,13,,0,24,2002-04-22,0,2027-06-30,2,218,0,0.0,0,0.07,11.56,57.14,Italy,['Italy'],right,180,71,False,8.26,6.61,62.5,1.24,66.67,0.0,0.0,0.41000000000000003,4.13,6.98,0.8300000000000001,1,0.41000000000000003,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.41000000000000003,0.0,0.0,0.0,1.24,0.0,0.41000000000000003,0.0,0.8300000000000001,0.0,0.0,0.0,0.0,2.89,42.86,0.0,0.0,0.0,18.17,0.41000000000000003,1.24,32.61,74.68,10.73,50.0,6.19,100.0,27.66,83.58,4.13,30.0,19.46,48.27,0.03,0.41000000000000003,0.0,0.0,0.0,0.0,0.41000000000000003,6.19,40.0,1.65,25.0,0.0,0.0,0.41000000000000003,0.0,5.37,69.23,83.33,9.91,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,1.24,0.0,0.0,0.0,1.65,0,0
Gianluca Vigliotti,Gianluca Vigliotti,-161996,Pineto,Pineto,https://cdn5.wyscout.com/photos/team/public/g37149_120x120.png,Serie C,CF,CF,100,,0,,0,21,2005-02-24,0,2027-06-30,2,218,0,0.5700000000000001,0,0.0,14.45,34.29,Italy,['Italy'],right,180,0,False,1.24,1.24,66.67,7.84,36.84,0.0,0.0,0.0,0.41000000000000003,0.7000000000000001,0.41000000000000003,0,0.0,0,0.0,0.41000000000000003,0.0,0,0.0,0.23,0,0.0,2,0.8300000000000001,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,0.0,3.7199999999999998,22.22,2.89,0.41000000000000003,0.0,7.43,2.89,0.8300000000000001,10.73,76.92,1.24,66.67,3.7199999999999998,77.78,10.32,76.0,0.41000000000000003,100.0,12.69,16.87,0.0,0.41000000000000003,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,66.67,85.71,2.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.84,0.0,0.0,0.0,0.0,0,0
Luca Lombardi,Luca Lombardi,-128550,Pineto,Pineto,https://cdn5.wyscout.com/photos/team/public/g37149_120x120.png,Serie C,"DMF, RCMF, LCMF3",DMF,47,RCMF,35,LCMF3,13,23,2002-12-06,100000,2027-06-30,2,218,0,0.09,0,0.0,9.08,31.82,Italy,['Italy'],left,175,68,False,4.13,2.89,28.57,1.65,25.0,0.0,0.0,0.41000000000000003,3.3,5.58,1.65,1,0.41000000000000003,0,0.0,0.41000000000000003,0.0,0,0.0,0.04,0,0.0,1,0.41000000000000003,100.0,0.0,0.0,0.41000000000000003,0.0,0.0,0.0,0.41000000000000003,0.0,0.0,0.8300000000000001,0.0,4.13,40.0,0.0,1.24,0.0,21.47,0.41000000000000003,0.8300000000000001,35.5,79.07,12.39,66.67,4.13,90.0,27.25,77.27,7.84,89.47,20.87,40.05,0.0,0.8300000000000001,0.0,0.0,0.0,0.0,0.0,6.19,86.67,0.8300000000000001,50.0,0.0,0.0,0.41000000000000003,0.0,7.84,73.68,82.35,14.04,0,,0,,0,0.0,0.0,0.0,,,1.24,,1.65,1.24,0.41000000000000003,100.0,1.24,0,0
Giovanni Alessandretti,Giovanni  Alessandretti,-100012,Pineto,Pineto,https://cdn5.wyscout.com/photos/team/public/g37149_120x120.png,Serie C,"RCB3, RB, RCB",RCB3,46,RB,36,RCB,16,25,2001-01-01,75000,,2,218,0,0.15,0,0.0,11.56,67.86,Italy,['Italy'],right,184,75,False,7.43,3.7199999999999998,77.78,6.19,66.67,0.41000000000000003,0.7000000000000001,0.41000000000000003,4.13,6.98,0.8300000000000001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.06,0,0.0,1,0.41000000000000003,0.0,0.0,0.0,0.41000000000000003,0.0,0.0,0.0,0.41000000000000003,0.0,0.0,0.0,0.0,0.41000000000000003,100.0,0.8300000000000001,0.41000000000000003,0.0,19.82,1.65,0.41000000000000003,29.72,70.83,17.75,60.47,2.48,83.33,22.29,83.33,7.02,35.29,24.03,45.17,0.0,0.41000000000000003,0.0,0.0,0.0,0.0,0.0,5.37,30.77,1.65,25.0,0.0,0.0,0.41000000000000003,0.0,5.37,76.92,85.0,8.26,0,,0,,0,0.0,0.0,0.0,,,1.24,,6.19,0.0,0.0,0.0,0.0,0,0
Alessandro Tonti,Alessandro Tonti,254057,Pineto,Pineto,https://cdn5.wyscout.com/photos/team/public/g37149_120x120.png,Serie C,GK,GK,100,,0,,0,34,1992-05-28,300000,2027-06-30,2,218,0,0.0,0,0.0,0.41000000000000003,100.0,Italy,['Italy'],left,187,85,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,100.0,0.0,0.0,0.0,16.51,0.0,0.41000000000000003,21.88,79.25,11.56,64.29,0.0,0.0,14.04,97.06,7.43,50.0,33.26,46.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,58.33,100.0,9.91,0,0.0,4,1.65,2,100.0,1.43,0.59,1.43,0.59,0.0,2.06,0.0,,,,0.0,0,0
Domenico Frare,Domenico Frare,425386,Pineto,Pineto,https://cdn5.wyscout.com/photos/team/public/g37149_120x120.png,Serie C,"CB, RCB, LCB",CB,46,RCB,36,LCB,16,30,1996-05-10,500000,2028-06-30,2,218,0,0.0,0,0.0,5.78,71.43,Italy,['Italy'],right,187,87,False,7.43,3.7199999999999998,77.78,1.65,50.0,0.0,0.0,0.41000000000000003,4.54,7.67,0.8300000000000001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,100.0,0.41000000000000003,0.8300000000000001,0.41000000000000003,13.21,0.8300000000000001,0.8300000000000001,21.47,92.31,7.02,82.35,1.65,100.0,20.64,96.0,0.8300000000000001,0.0,20.68,23.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,33.33,0.41000000000000003,0.0,0.0,0.0,0.0,0.0,1.24,66.67,96.3,11.15,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,1.65,0.0,0.0,0.0,0.0,0,0
T. Pittino,Tommaso Pittino,-283482,Livorno,Livorno,https://cdn5.wyscout.com/photos/team/public/82_120x120.png,Serie C,"LCB, RB",LCB,80,RB,19,,0,21,2005-01-14,0,2027-06-30,2,213,0,0.13,0,0.0,7.18,64.71,Italy,['Italy'],unknown,0,0,True,6.34,4.23,50.0,1.69,100.0,0.42,0.68,0.42,3.8,6.14,1.27,0,0.0,0,0.0,0.0,0.0,0,0.0,0.05,0,0.0,2,0.85,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.85,100.0,0.85,0.0,0.42,25.77,0.42,0.85,34.23,87.65,10.14,75.0,4.65,100.0,31.27,95.95,2.54,0.0,19.37,45.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.42,0.0,0.0,0.0,0.0,0.0,2.11,0.0,88.89,15.21,0,,0,,0,0.0,0.0,0.0,,,3.8,,1.69,0.0,0.0,0.0,0.0,0,0
S. Regazzetti,Samuele Regazzetti,-146874,Livorno,Livorno,https://cdn5.wyscout.com/photos/team/public/82_120x120.png,Serie C,"RB, LB",RB,80,LB,19,,0,22,2004-07-16,0,2027-06-30,2,213,0,0.19,0,0.17,12.68,46.67,Italy,['Italy'],right,177,69,False,7.61,4.23,70.0,3.8,44.44,0.0,0.0,0.0,4.65,7.5,0.85,0,0.0,0,0.0,1.27,0.0,0,0.0,0.08,0,0.0,1,0.42,100.0,0.0,0.0,1.27,33.33,0.42,100.0,0.85,0.0,0.0,0.85,50.0,4.65,27.27,1.27,0.42,0.42,19.86,0.42,0.42,30.0,81.69,9.72,73.91,8.87,90.48,27.89,86.36,0.85,0.0,14.84,19.2,0.07,0.42,0.0,0.0,0.0,0.0,0.42,1.69,75.0,0.85,50.0,0.0,0.0,0.42,0.42,5.92,50.0,80.0,6.34,0,,0,,0,0.0,0.0,0.0,,,0.42,,3.8,0.0,0.0,0.0,0.0,0,0
T. Arrigoni,Tommaso Arrigoni,218726,Livorno,Livorno,https://cdn5.wyscout.com/photos/team/public/82_120x120.png,Serie C,"RCMF, RDMF, LDMF",RCMF,48,RDMF,26,LDMF,24,32,1994-02-26,300000,2027-06-30,2,213,0,0.0,0,0.49,7.61,55.56,Italy,['Italy'],right,171,69,True,5.92,3.38,50.0,2.11,40.0,0.42,0.68,0.42,3.8,6.14,0.85,1,0.42,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,80.0,0.42,0.42,0.0,28.31,0.42,1.69,42.68,89.11,13.94,69.7,10.99,100.0,37.61,94.38,5.07,50.0,17.86,35.11,0.21,1.27,0.0,0.0,0.0,0.0,0.42,5.49,69.23,0.0,0.0,0.42,0.0,0.42,0.0,5.92,85.71,100.0,12.25,0,,0,,0,0.0,0.0,0.0,,,3.38,,2.11,0.85,0.0,0.0,2.11,0,0
M. Bachini,Matteo Bachini,341427,Livorno,Livorno,https://cdn5.wyscout.com/photos/team/public/82_120x120.png,Serie C,RCB,RCB,100,,0,,0,31,1995-05-24,250000,2027-06-30,2,213,0,0.12,1,0.19,8.45,55.0,Italy,['Italy'],right,188,82,False,8.03,3.8,66.67,2.96,28.57,0.0,0.0,0.42,5.49,8.86,1.27,0,0.0,0,0.0,1.27,0.0,0,0.0,0.05,0,0.0,1,0.42,0.0,0.0,0.42,0.85,50.0,0.0,0.0,0.85,50.0,0.0,0.85,100.0,1.69,75.0,0.42,0.85,0.0,13.52,0.42,0.0,24.08,85.96,8.03,68.42,2.96,100.0,20.7,91.84,2.54,50.0,18.71,32.41,0.08,0.42,0.0,0.0,0.0,0.0,0.42,1.27,66.67,1.69,50.0,0.0,0.0,0.42,0.42,4.23,60.0,95.45,9.3,0,,0,,0,0.0,0.0,0.0,,,2.54,,2.96,0.0,0.0,0.0,0.0,0,0
