Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Nwaiwu,Chibuike Nwaiwu,-429397,Trabzonspor,Trabzonspor,https://cdn5.wyscout.com/photos/team/public/820_120x120.png,Süper Lig,RCB,RCB,100,,0,,0,23,2003-07-23,0,2030-06-30,3,303,0,0.22,0,0.0,10.69,52.78,Nigeria,['Nigeria'],,0,0,False,9.5,3.27,54.55,3.56,41.67,0.0,0.0,1.19,7.72,12.38,1.49,2,0.59,0,0.0,0.89,0.0,0,0.0,0.07,0,0.0,2,0.59,50.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,1.19,50.0,2.67,66.67,0.89,0.89,0.30000000000000004,45.15,0.59,0.89,63.56,89.72,23.76,76.25,4.46,93.33,57.03,95.83,6.24,38.1,22.71,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,66.67,0.59,0.0,0.0,0.0,0.0,0.0,9.8,78.79,98.0,29.7,0,,0,,0,0.0,0.0,0.0,,,1.78,,3.56,0.0,0.0,0.0,0.0,0,0
S. Savić,Stefan Savić,90031,Trabzonspor,Trabzonspor,https://cdn5.wyscout.com/photos/team/public/820_120x120.png,Süper Lig,LCB,LCB,100,,0,,0,35,1991-01-08,2500000,2027-06-30,3,303,0,0.19,0,0.11,5.05,70.59,Montenegro,"['Montenegro', 'Serbia']",right,187,79,False,4.75,0.59,50.0,2.38,87.5,0.0,0.0,0.30000000000000004,4.46,7.14,0.59,2,0.59,0,0.0,1.19,0.0,0,0.0,0.06,0,0.0,2,0.59,100.0,0.0,0.0,0.30000000000000004,100.0,0.30000000000000004,100.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.89,66.67,1.19,0.30000000000000004,0.0,50.5,0.30000000000000004,0.89,65.05,91.78,24.95,82.14,2.08,100.0,60.59,95.1,4.16,42.86,20.91,45.51,0.03,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,4.75,56.25,0.59,50.0,0.0,0.0,0.0,0.30000000000000004,5.64,84.21,98.15,32.08,0,,0,,0,0.0,0.0,0.0,,,1.19,,2.38,0.0,0.0,0.0,0.0,0,0
A. Onana,André Onana,372465,Trabzonspor,Trabzonspor,https://cdn5.wyscout.com/photos/team/public/820_120x120.png,Süper Lig,GK,GK,100,,0,,0,30,1996-04-02,0,2028-06-30,3,303,0,0.0,0,0.0,0.59,100.0,Cameroon,['Cameroon'],right,190,93,True,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,22.87,0.0,0.30000000000000004,33.56,84.07,17.52,74.58,0.0,0.0,23.76,95.0,9.8,57.58,32.92,54.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,40.0,0.30000000000000004,100.0,0.0,0.0,0.30000000000000004,0.0,8.32,67.86,95.92,14.55,4,1.19,16,4.75,0,75.0,5.3,1.58,1.3,0.386,0.0,1.78,0.30000000000000004,,,,0.0,0,0
M. Eskihellaç,Mustafa Eskihellaç,422826,Trabzonspor,Trabzonspor,https://cdn5.wyscout.com/photos/team/public/820_120x120.png,Süper Lig,LB,LB,83,,0,,0,29,1997-05-05,1400000,2027-06-30,3,303,0,0.54,0,0.48,13.96,59.57,Türkiye,['Türkiye'],right,175,72,False,5.94,5.64,47.37,2.38,50.0,0.30000000000000004,0.48,0.0,2.9699999999999998,4.76,0.59,0,0.0,0,0.0,2.38,0.0,0,0.0,0.16,0,0.0,5,1.49,20.0,0.0,0.0,1.78,50.0,1.78,50.0,0.0,0.0,0.30000000000000004,1.49,80.0,4.46,73.33,1.78,2.38,0.0,40.99,2.08,2.08,49.9,86.31,16.04,79.63,10.4,97.14,44.55,90.67,3.56,50.0,16.74,35.19,0.14,0.89,0.0,0.0,0.0,0.0,0.89,6.53,90.91,1.49,40.0,0.30000000000000004,0.0,0.59,1.19,6.83,69.57,84.78,13.66,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.38,0.0,0.0,0.0,0.0,0,0
Y. Andzouana,Yhoan Andzouana,327221,Konyaspor,Konyaspor,https://cdn5.wyscout.com/photos/team/public/828_120x120.png,Süper Lig,"RB, LB",RB,52,LB,40,,0,29,1996-12-13,650000,2028-06-30,3,301,0,0.02,1,0.88,10.17,52.94,Congo,"['Congo', 'France']",right,179,71,False,5.68,4.49,53.33,0.9,66.67,0.6000000000000001,0.72,0.0,2.69,3.25,0.6000000000000001,0,0.0,0,0.0,3.29,0.0,0,0.0,0.01,0,0.0,1,0.30000000000000004,100.0,0.0,0.30000000000000004,2.99,50.0,1.5,40.0,1.5,60.0,0.6000000000000001,1.79,66.67,3.89,53.85,0.9,1.5,0.30000000000000004,29.3,1.5,0.6000000000000001,38.57,82.95,12.86,69.77,7.48,96.0,34.98,86.32,0.6000000000000001,50.0,18.83,17.38,0.26,1.2,0.0,0.0,0.30000000000000004,100.0,1.5,2.39,87.5,3.59,66.67,0.30000000000000004,100.0,0.6000000000000001,1.5,6.28,61.9,89.47,11.36,0,,0,,0,0.0,0.0,0.0,,,1.2,,0.9,0.0,0.0,0.0,0.0,0,0
A. Demirbağ,Adil Demirbağ,394938,Konyaspor,Konyaspor,https://cdn5.wyscout.com/photos/team/public/828_120x120.png,Süper Lig,LCB,LCB,93,,0,,0,28,1997-12-10,1800000,2027-06-30,3,301,0,0.09,0,0.0,7.18,54.17,Türkiye,['Türkiye'],right,185,78,False,7.18,3.59,58.33,2.39,37.5,0.0,0.0,1.79,5.08,6.14,1.2,1,0.30000000000000004,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,1,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.9,66.67,0.30000000000000004,0.9,0.30000000000000004,36.78,0.30000000000000004,0.6000000000000001,45.75,88.24,16.74,80.36,3.29,100.0,40.66,91.18,4.78,68.75,22.9,48.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,53.85,1.79,33.33,0.0,0.0,0.6000000000000001,0.30000000000000004,6.88,56.52,93.06,21.53,0,,0,,0,0.0,0.0,0.0,,,2.99,,2.39,0.0,0.0,0.0,0.0,0,0
N. Miroshi,Novatus Dismas Miroshi,-242599,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,"LCMF, RCMF",LCMF,82,RCMF,17,,0,23,2002-09-02,0,2028-06-30,3,300,1,0.77,0,0.02,8.4,50.0,Tanzania,['Tanzania'],left,185,77,False,7.8,4.2,42.86,2.7,55.56,0.0,0.0,0.0,6.0,7.06,1.5,0,0.0,0,0.0,1.2,0.30000000000000004,1,0.30000000000000004,0.23,0,0.0,5,1.5,60.0,20.0,0.0,1.2,25.0,0.9,33.33,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.6000000000000001,50.0,2.1,0.0,0.0,20.1,0.0,0.6000000000000001,30.0,86.0,10.2,70.59,4.2,92.86,25.2,91.67,3.6,66.67,17.21,33.95,0.01,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,5.1,70.59,1.5,20.0,0.0,0.0,0.0,0.6000000000000001,3.9,76.92,89.66,8.7,0,,0,,0,0.0,0.0,0.0,,,0.9,,2.7,0.0,0.0,0.0,0.0,0,0
T. Altıkardeş,Taha Altıkardeş,-238947,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,RCB3,RCB3,100,,0,,0,23,2003-08-22,2800000,2028-06-30,3,300,0,0.30000000000000004,0,0.0,6.6,68.18,Türkiye,['Türkiye'],right,188,75,False,5.7,1.8,83.33,3.3,45.45,0.0,0.0,1.2,4.2,4.94,0.30000000000000004,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.09,0,0.0,2,0.6000000000000001,0.0,0.0,0.0,2.4,12.5,0.0,0.0,2.4,12.5,0.0,0.0,0.0,0.30000000000000004,100.0,0.9,0.9,0.0,15.9,1.5,0.6000000000000001,29.1,61.86,13.5,60.0,1.5,100.0,17.7,77.97,9.0,43.33,26.66,40.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,39.13,2.7,22.22,0.30000000000000004,0.0,0.6000000000000001,0.30000000000000004,5.7,73.68,51.43,10.5,0,,0,,0,0.0,0.0,0.0,,,0.9,,3.3,0.0,0.0,0.0,0.0,0,0
L. Gugeshashvili,Luka Gugeshashvili,421460,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,GK,GK,100,,0,,0,27,1999-04-29,500000,2028-06-30,3,300,0,0.0,0,0.0,0.6000000000000001,100.0,Georgia,['Georgia'],left,196,79,True,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.76,0.0,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.6000000000000001,100.0,0.30000000000000004,0.0,0.0,12.0,0.0,0.30000000000000004,21.9,52.05,19.5,49.23,0.30000000000000004,100.0,2.7,77.78,19.2,48.44,50.8,53.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,48.65,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,11.4,76.32,71.43,2.1,7,2.1,16,4.8,0,56.25,7.1,2.13,0.1,0.03,0.0,2.1,0.0,,,,0.0,0,0
E. Krasniqi,Ermal Krasniqi,-115407,Amed SK,Amed SK,https://cdn5.wyscout.com/photos/team/public/g9161_120x120.png,Süper Lig,"RWB, RB",RWB,51,RB,43,,0,27,1998-09-07,0,2028-06-30,3,298,0,0.41000000000000003,0,0.77,19.03,50.79,Kosovo,['Kosovo'],left,188,79,False,9.06,8.76,68.97,0.30000000000000004,100.0,0.0,0.0,0.0,3.02,3.66,1.81,1,0.30000000000000004,0,0.0,2.11,0.0,0,0.0,0.12,0,0.0,6,1.81,16.67,0.0,0.0,1.51,40.0,0.0,0.0,1.51,40.0,0.6000000000000001,2.7199999999999998,44.44,8.15,40.74,0.91,1.51,0.0,21.14,3.32,0.30000000000000004,30.2,78.0,8.15,66.67,6.04,95.0,26.88,82.02,1.81,50.0,15.6,34.24,0.23,1.51,0.0,0.0,0.0,0.0,0.91,1.81,66.67,3.32,45.45,0.0,0.0,0.91,0.91,5.13,58.82,80.77,7.85,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,0.30000000000000004,0.0,0.0,0.0,0.0,0,0
