Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Daciel,Daciel Elis dos Santos,513829,Dingnan United,Dingnan United,https://cdn5.wyscout.com/photos/team/public/g33022_120x120.png,China League One,"LCB, LCB3, CB",LCB,65,LCB3,20,CB,14,29,1996-11-29,100000,,14,1395,1,1.3,3,1.8,11.87,64.67,Brazil,['Brazil'],left,190,0,False,8.39,3.87,70.0,5.61,70.11,0.06,0.1,0.77,5.61,8.76,0.77,1,0.06,0,0.0,0.71,0.06,1,0.06,0.08,1,0.06,10,0.65,70.0,10.0,0.19,0.32,20.0,0.19,0.0,0.13,50.0,0.13,0.19,100.0,1.1,52.94,1.16,0.39,0.0,27.94,0.13,0.9,42.06,85.43,20.26,75.16,2.52,97.44,35.61,93.12,6.13,44.21,23.9,40.97,0.12,0.26,0.0,0.06,0.0,0.0,0.26,6.0,62.37,0.39,16.67,0.19,0.0,0.32,0.19,9.61,75.17,96.17,16.84,0,,0,,0,0.0,0.0,0.0,,,1.29,,5.61,0.0,0.0,0.0,0.0,0,0
Erikys,Erikys da Silva Ferreira,351099,Dingnan United,Dingnan United,https://cdn5.wyscout.com/photos/team/public/g33022_120x120.png,China League One,CF,CF,100,,0,,0,31,1995-05-15,325000,,14,1387,11,8.83,1,0.62,17.07,44.11,Brazil,['Brazil'],,182,74,False,2.27,1.43,45.45,5.97,41.3,0.0,0.0,0.06,1.62,2.54,1.17,2,0.13,0,0.0,2.4,0.71,8,0.52,0.5700000000000001,1,0.06,43,2.79,48.84,25.581,0.06,0.52,37.5,0.39,33.33,0.06,100.0,0.0,1.3,65.0,6.23,50.0,2.98,1.23,0.19,11.36,2.4,2.79,15.83,79.92,2.08,50.0,6.29,94.85,14.47,82.96,0.84,53.85,15.15,19.77,0.04,0.45,0.0,0.06,0.0,0.0,0.26,1.04,50.0,1.04,25.0,0.0,0.0,0.39,0.32,1.17,50.0,73.13,4.35,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.97,0.0,0.0,0.0,0.0,3,100
Zhao Yingjie,Yingjie Zhao,184700,Shenzhen Juniors,Shenzhen Juniors,https://cdn5.wyscout.com/photos/team/public/g-21225_120x120.png,China League One,"RDMF, RCMF",RDMF,45,RCMF,37,,0,33,1992-08-02,100000,,14,1377,0,0.61,6,2.87,6.73,51.46,China PR,['China PR'],right,179,75,False,3.99,2.68,53.66,1.31,50.0,0.07,0.12,0.0,2.48,4.5600000000000005,0.78,0,0.0,0,0.0,1.05,0.0,0,0.0,0.04,0,0.0,13,0.85,7.69,0.0,0.39,1.5,39.13,0.33,20.0,1.18,44.44,0.39,0.46,71.43,2.09,50.0,0.13,0.46,0.0,40.33,0.46,0.59,48.37,84.73,15.42,70.34,7.52,93.91,40.26,91.07,6.67,56.86,19.07,38.22,0.19,1.5,0.07,0.13,0.13,50.0,0.46,9.41,70.83,3.01,41.3,0.39,33.33,0.78,0.52,7.97,74.59,90.11,17.84,0,,0,,0,0.0,0.0,0.0,,,0.39,,1.31,1.7000000000000002,0.2,33.33,3.27,0,0
Zhang Xingbo,Xingbo Zhang,-54670,Foshan Nanshi,Foshan Nanshi,https://cdn5.wyscout.com/photos/team/public/g-14384_120x120.png,China League One,"LDMF, LCMF, LWB",LDMF,31,LCMF,20,LWB,18,32,1994-01-17,75000,,14,1355,0,0.26,3,1.4100000000000001,15.21,56.77,China PR,['China PR'],both,173,69,False,6.11,5.11,49.35,3.59,72.22,0.13,0.19,0.4,3.45,5.0,1.6600000000000001,1,0.07,0,0.0,0.8,0.0,0,0.0,0.02,0,0.0,8,0.53,12.5,0.0,0.2,0.73,63.64,0.4,83.33,0.33,40.0,0.2,0.53,50.0,4.85,58.9,0.4,0.86,0.2,20.52,0.6000000000000001,3.25,32.41,81.15,12.89,70.1,4.05,95.08,25.77,87.63,5.91,55.06,19.75,35.73,0.09,0.53,0.0,0.0,0.0,0.0,0.46,6.64,66.0,2.06,54.84,0.33,40.0,0.73,0.53,8.24,75.0,86.98,11.23,0,,0,,0,0.0,0.0,0.0,,,0.07,,3.59,0.73,0.0,0.0,0.2,0,0
Niu Ziyi,Ziyi Niu,-58003,Shijiazhuang Gongfu,Shijiazhuang Gongfu,https://cdn5.wyscout.com/photos/team/public/g-14018_120x120.png,China League One,LCB,LCB,83,,0,,0,26,1999-09-21,100000,,14,1352,1,0.16,0,0.0,8.65,60.77,China PR,['China PR'],left,183,73,False,5.92,2.8,66.67,3.39,60.78,0.2,0.28,0.53,3.86,5.44,0.27,0,0.0,0,0.0,0.2,0.07,1,0.07,0.01,1,0.07,2,0.13,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,1.4,57.14,0.33,0.4,0.07,30.09,0.27,0.73,43.4,87.73,18.37,76.09,1.8599999999999999,89.29,38.28,93.74,5.13,42.86,21.25,38.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,54.0,0.2,0.0,0.2,0.0,0.0,0.0,6.79,62.75,97.98,19.77,0,,0,,0,0.0,0.0,0.0,,,0.87,,3.39,0.0,0.0,0.0,0.0,0,0
W. Sihan,Wang Sihan,-715535,Dingnan United,Dingnan United,https://cdn5.wyscout.com/photos/team/public/g33022_120x120.png,China League One,"RCB, CB, RCB3",RCB,61,CB,21,RCB3,13,34,1992-04-03,0,,14,1338,1,0.9,1,0.29,10.83,57.76,China PR,['China PR'],,0,0,False,9.28,4.17,61.29,3.9,56.9,0.13,0.21,1.01,6.59,10.17,1.08,1,0.07,0,0.0,0.54,0.07,1,0.07,0.06,0,0.0,6,0.4,50.0,16.667,0.07,0.27,25.0,0.0,0.0,0.27,25.0,0.0,0.34,80.0,1.1400000000000001,52.94,1.01,0.67,0.13,34.51,0.0,0.61,48.3,86.63,17.09,74.41,3.43,94.12,42.78,92.61,5.25,41.03,21.01,44.15,0.02,0.34,0.0,0.07,0.0,0.0,0.13,4.91,52.05,1.01,13.33,0.27,25.0,0.27,0.07,5.78,65.12,93.94,22.2,0,,0,,0,0.0,0.0,0.0,,,2.09,,3.9,0.0,0.0,0.0,0.0,0,0
Du Jia,Jia Du,332491,Dingnan United,Dingnan United,https://cdn5.wyscout.com/photos/team/public/g33022_120x120.png,China League One,GK,GK,100,,0,,0,33,1993-05-01,50000,,14,1331,0,0.0,0,0.0,0.68,90.0,China PR,['China PR'],right,186,78,False,0.68,0.2,66.67,0.14,100.0,0.0,0.0,0.0,0.54,0.86,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,12.04,0.2,0.41000000000000003,21.37,88.61,10.75,81.76,0.0,0.0,15.48,98.25,5.82,62.79,27.45,49.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,30.0,0.07,0.0,0.0,0.0,0.0,0.0,3.99,76.27,95.59,9.2,21,1.42,63,4.26,1,66.67,20.51,1.3900000000000001,-0.49,-0.033,0.0,1.28,0.14,,,,0.0,0,0
Kou Jiahao,Jiahao Kou,-58086,Yanbian Longding,Yanbian Longding,https://cdn5.wyscout.com/photos/team/public/g-14027_120x120.png,China League One,GK,GK,100,,0,,0,27,1999-06-01,0,,13,1299,0,0.0,0,0.0,0.8300000000000001,91.67,China PR,['China PR'],,186,0,False,0.48,0.0,0.0,0.62,88.89,0.0,0.0,0.0,0.48,0.79,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,2.98,0.28,0.35000000000000003,8.24,76.47,3.74,53.7,0.0,0.0,5.54,97.5,2.7,33.33,30.74,49.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,33.33,0.0,0.0,0.0,0.0,0.0,0.0,2.29,39.39,94.0,3.46,10,0.6900000000000001,37,2.56,6,72.97,10.91,0.76,0.91,0.063,0.0,2.08,0.62,,,,0.0,0,0
Xu Jizu,Jizu Xu,-53141,Yanbian Longding,Yanbian Longding,https://cdn5.wyscout.com/photos/team/public/g-14027_120x120.png,China League One,CB,CB,95,,0,,0,28,1997-11-15,100000,,13,1299,1,0.93,0,0.04,8.31,70.83,China PR,['China PR'],right,188,53,False,8.24,2.56,62.16,3.74,79.63,0.55,0.9,0.9,6.1,9.92,0.48,1,0.07,0,0.0,0.14,0.07,1,0.07,0.06,1,0.07,6,0.42,33.33,16.667,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.42,66.67,0.42,0.0,0.0,29.93,0.42,0.55,46.28,87.13,12.47,70.56,0.55,87.5,42.54,91.21,3.67,41.51,23.0,38.68,0.0,0.07,0.0,0.07,0.0,0.0,0.07,1.8,42.31,0.21,33.33,0.07,0.0,0.07,0.0,6.03,45.98,94.16,29.65,0,,0,,0,0.0,0.0,0.0,,,0.48,,3.74,0.0,0.0,0.0,0.0,0,0
J. Xiao,Jiaqi Xiao,-571509,Guangdong GZ-Power,Guangdong GZ-Power,https://cdn5.wyscout.com/photos/team/public/g-21226_120x120.png,China League One,GK,GK,100,,0,,0,21,2004-11-14,0,,13,1299,0,0.0,0,0.0,0.55,75.0,China PR,['China PR'],unknown,183,0,False,1.3900000000000001,0.07,0.0,0.14,50.0,0.0,0.0,0.0,1.3900000000000001,2.31,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,7.07,0.28,0.35000000000000003,14.0,78.22,7.62,70.91,0.07,100.0,8.87,96.09,5.13,47.3,31.22,44.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,50.0,0.14,0.0,0.07,0.0,0.0,0.0,4.16,60.0,87.95,5.75,12,0.8300000000000001,48,3.33,5,75.0,16.15,1.12,4.15,0.28800000000000003,0.0,0.9,0.14,,,,0.0,0,0
