Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Hadzimujović,Ahmed  Hadzimujović,-570804,Novi Pazar,Novi Pazar,https://cdn5.wyscout.com/photos/team/public/3838_120x120.png,Super Liga,RCB,RCB,97,,0,,0,19,2007-08-17,0,2027-06-30,7,679,0,0.26,0,0.47000000000000003,6.89,55.77,Serbia,['Serbia'],,0,0,False,7.95,2.92,59.09,2.52,52.63,0.13,0.2,0.8,6.1,9.39,0.8,2,0.27,0,0.0,0.27,0.0,0,0.0,0.03,0,0.0,3,0.4,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.4,100.0,0.4,0.93,0.13,32.74,0.4,0.27,45.6,87.21,17.63,72.18,2.92,100.0,36.45,93.82,9.15,60.87,26.31,42.96,0.06,0.8,0.0,0.0,0.0,0.0,0.27,7.82,66.1,0.8,50.0,0.0,0.0,0.4,0.0,10.34,83.33,95.86,22.4,0,,0,,0,0.0,0.0,0.0,,,2.12,,2.52,0.13,0.0,0.0,0.0,0,0
J. Marinković,Jovan Marinković,478285,Novi Pazar,Novi Pazar,https://cdn5.wyscout.com/photos/team/public/3838_120x120.png,Super Liga,LCB,LCB,97,,0,,0,29,1996-09-12,250000,2027-06-30,7,679,0,0.46,0,0.0,9.28,45.71,Serbia,['Serbia'],right,186,82,False,6.89,2.92,50.0,4.37,42.42,0.0,0.0,0.66,5.43,8.37,1.19,3,0.4,0,0.0,0.13,0.0,0,0.0,0.06,0,0.0,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,1.06,37.5,0.8,0.8,0.0,29.96,0.27,0.4,45.73,86.67,18.16,72.26,2.92,95.45,39.9,92.69,5.83,45.45,22.54,46.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,55.56,0.66,40.0,0.0,0.0,0.27,0.0,7.42,64.29,97.39,20.28,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,4.37,0.0,0.0,0.0,0.0,0,0
V. Novicic,Vasilije  Novicic,-484281,IMT Novi Beograd,IMT Novi Beograd,https://cdn5.wyscout.com/photos/team/public/g30905_120x120.png,Super Liga,"RCMF, RDMF, LDMF",RCMF,54,RDMF,25,LDMF,12,18,2008-05-07,0,,7,679,1,1.7000000000000002,2,1.03,9.68,61.64,Serbia,['Serbia'],unknown,0,0,False,5.57,3.84,65.52,4.11,67.74,0.0,0.0,0.4,3.05,4.63,0.93,1,0.13,0,0.0,0.8,0.13,0,0.0,0.23,0,0.0,8,1.06,50.0,12.5,0.27,0.66,40.0,0.27,50.0,0.4,33.33,0.13,0.0,0.0,1.46,45.45,0.0,0.27,0.13,27.04,0.13,0.66,39.63,85.95,14.05,75.47,5.17,94.87,35.26,88.35,3.71,71.43,19.63,36.72,0.14,1.46,0.0,0.0,0.0,0.0,0.27,6.1,78.26,1.06,37.5,0.0,0.0,0.53,0.27,7.29,85.45,92.37,15.64,0,,0,,0,0.0,0.0,0.0,,,1.19,,4.11,2.25,0.53,25.0,4.9,2,50
O. Čančarević,Ognjen Čančarević,136154,IMT Novi Beograd,IMT Novi Beograd,https://cdn5.wyscout.com/photos/team/public/g30905_120x120.png,Super Liga,GK,GK,100,,0,,0,36,1989-09-25,200000,,7,679,0,0.0,0,0.0,0.27,100.0,Armenia,"['Armenia', 'Serbia']",left,187,87,False,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,20.28,0.66,0.27,29.16,71.82,17.89,58.52,0.13,100.0,14.85,98.21,14.18,44.86,38.18,52.52,0.0,0.0,0.13,0.0,0.0,0.0,0.0,5.43,39.02,0.8,0.0,0.0,0.0,0.0,0.0,7.69,67.24,93.83,10.74,4,0.53,18,2.39,4,77.78,4.51,0.6000000000000001,0.51,0.068,0.13,1.19,0.13,,,,0.0,0,0
Iván Martos,Iván Martos Campillo,429080,IMT Novi Beograd,IMT Novi Beograd,https://cdn5.wyscout.com/photos/team/public/g30905_120x120.png,Super Liga,LB,LB,95,,0,,0,29,1997-05-15,400000,,7,679,1,0.64,0,0.51,10.87,48.78,Spain,['Spain'],left,183,68,False,7.16,5.7,32.56,1.99,60.0,0.27,0.4,0.27,5.04,7.65,1.5899999999999999,2,0.27,0,0.0,0.8,0.13,1,0.13,0.08,1,0.13,4,0.53,25.0,25.0,0.0,1.72,30.77,1.72,30.77,0.0,0.0,0.27,0.13,100.0,1.99,80.0,0.66,0.53,0.0,25.98,1.8599999999999999,1.8599999999999999,36.05,75.74,12.33,63.44,5.96,97.78,28.76,83.41,5.57,50.0,21.89,42.23,0.07,0.4,0.0,0.0,0.0,0.0,0.27,5.7,60.47,3.31,36.0,0.13,100.0,0.8,0.53,8.22,75.81,80.0,13.25,0,,0,,0,0.0,0.0,0.0,,,1.19,,1.99,0.0,0.0,0.0,0.13,0,0
M. Sissako,Moussa Sissako,506161,IMT Novi Beograd,IMT Novi Beograd,https://cdn5.wyscout.com/photos/team/public/g30905_120x120.png,Super Liga,RCB,RCB,95,,0,,0,25,2000-11-10,400000,2027-06-30,7,679,0,0.32,0,0.0,9.54,62.5,France,"['France', 'Mali']",right,188,82,False,7.82,3.18,66.67,3.58,70.37,0.13,0.2,0.8,5.57,8.46,0.66,0,0.0,0,0.0,0.13,0.0,0,0.0,0.04,0,0.0,2,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,1.33,40.0,0.4,0.66,0.0,32.87,0.53,1.06,48.25,88.46,15.64,75.42,3.98,96.67,43.48,92.07,4.77,55.56,22.56,42.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,72.5,0.27,0.0,0.0,0.0,0.0,0.0,7.42,76.79,94.48,23.99,0,,0,,0,0.0,0.0,0.0,,,2.65,,3.58,0.0,0.0,0.0,0.0,0,0
A. Miljković,Aleksandar Miljković,46468,Novi Pazar,Novi Pazar,https://cdn5.wyscout.com/photos/team/public/3838_120x120.png,Super Liga,RB,RB,97,,0,,0,36,1990-02-26,175000,2027-06-30,7,678,0,1.48,0,0.38,7.7,56.9,Serbia,['Serbia'],right,184,77,False,6.9,4.12,48.39,2.26,70.59,0.13,0.2,0.4,4.78,7.35,1.46,1,0.13,0,0.0,0.4,0.0,0,0.0,0.2,0,0.0,6,0.8,33.33,0.0,0.0,1.33,10.0,0.0,0.0,1.33,10.0,0.13,0.0,0.0,0.66,80.0,1.33,0.53,0.0,23.89,0.8,0.53,34.78,80.53,14.34,74.07,5.04,94.74,31.19,85.96,2.26,47.06,18.01,42.99,0.05,0.53,0.0,0.0,0.13,0.0,0.27,3.58,66.67,1.8599999999999999,14.29,0.13,0.0,0.27,0.13,5.97,71.11,80.26,10.09,0,,0,,0,0.0,0.0,0.0,,,1.06,,2.26,0.0,0.0,0.0,0.0,0,0
K. Szűcs,Kornél Szűcs,-80319,Vojvodina,Vojvodina,https://cdn5.wyscout.com/photos/team/public/700_120x120.png,Super Liga,"RCB, RCB3, LCB",RCB,74,RCB3,14,LCB,11,24,2001-09-24,250000,2029-06-30,7,675,0,0.93,0,0.14,9.73,52.05,Hungary,['Hungary'],right,190,77,False,6.93,3.73,50.0,4.53,58.82,0.0,0.0,0.67,5.07,8.14,0.93,0,0.0,0,0.0,0.13,0.0,0,0.0,0.12,0,0.0,4,0.53,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.67,0.0,0.0,28.53,0.27,0.27,38.13,89.86,14.67,80.0,1.73,92.31,35.33,92.08,2.8,61.9,21.15,44.3,0.02,0.13,0.0,0.0,0.0,0.0,0.13,3.87,79.31,0.13,0.0,0.0,0.0,0.27,0.0,5.73,65.12,97.39,20.4,0,,0,,0,0.0,0.0,0.0,,,0.93,,4.53,0.0,0.0,0.0,0.0,0,0
D. Rosić,Dragan Rosić,451214,Vojvodina,Vojvodina,https://cdn5.wyscout.com/photos/team/public/700_120x120.png,Super Liga,GK,GK,100,,0,,0,29,1996-09-22,0,2029-06-30,7,675,0,0.0,0,0.0,0.53,100.0,Serbia,['Serbia'],left,194,86,False,1.33,0.0,0.0,0.4,100.0,0.0,0.0,0.0,1.33,2.14,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,7.73,0.27,0.4,19.33,79.31,10.67,72.5,0.13,100.0,12.53,96.81,6.67,48.0,29.9,50.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,54.55,91.23,7.6,6,0.8,36,4.8,4,83.33,10.76,1.43,4.76,0.635,0.0,2.0,0.4,,,,0.0,0,0
S. Sladojević,Slobodan Sladojević,-248746,Mačva Šabac,Mačva Šabac,https://cdn5.wyscout.com/photos/team/public/g3221_120x120.png,Super Liga,LCB,LCB,100,,0,,0,23,2002-10-02,150000,2027-06-30,7,674,0,0.79,1,0.42,10.68,63.75,Serbia,['Serbia'],,0,0,False,10.01,2.94,59.09,6.41,70.83,0.13,0.16,1.47,8.15,10.05,0.93,2,0.27,0,0.0,0.13,0.0,0,0.0,0.11,0,0.0,2,0.27,50.0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.13,0.0,0.8,33.33,0.4,0.0,0.0,15.76,0.13,0.67,27.91,77.03,12.95,60.82,1.2,100.0,22.17,87.95,5.61,35.71,24.11,45.97,0.06,0.27,0.0,0.0,0.0,0.0,0.13,2.94,36.36,0.67,0.0,0.13,0.0,0.13,0.0,5.47,46.34,92.41,10.55,0,,0,,0,0.0,0.0,0.0,,,0.67,,6.41,0.0,0.0,0.0,0.0,0,0
