Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Matthews,Devon Matthews,-359003,Accrington Stanley,Accrington Stanley,https://cdn5.wyscout.com/photos/team/public/1184_120x120.png,League Two,"LCB3, RCB3",LCB3,69,RCB3,30,,0,26.0,2000-01-04,0,2027-06-30,4,411,0,0.08,0,0.06,19.05,60.92,England,['England'],right,0,0,False,10.07,5.47,48.0,8.1,75.68,0.0,0.0,0.88,7.45,11.33,1.31,1,0.22,0,0.0,0.44,0.0,0,0.0,0.02,0,0.0,3,0.66,33.33,0.0,0.0,0.22,100.0,0.0,0.0,0.22,100.0,0.0,0.22,0.0,1.31,33.33,1.53,0.66,0.0,16.42,0.66,1.53,32.63,76.51,18.18,69.88,2.19,90.0,25.18,84.35,7.23,48.48,23.31,43.77,0.01,0.22,0.0,0.0,0.0,0.0,0.22,5.91,66.67,0.88,75.0,0.0,0.0,0.44,0.22,8.54,66.67,86.67,9.85,0,,0,,0,0.0,0.0,0.0,,,0.66,,8.1,0.0,0.0,0.0,0.0,0,0
F. Rawson,Farrend Rawson,363575,Accrington Stanley,Accrington Stanley,https://cdn5.wyscout.com/photos/team/public/1184_120x120.png,League Two,CB,CB,100,,0,,0,30.0,1996-07-11,225000,2028-06-30,4,411,0,0.14,0,0.07,16.86,66.23,England,['England'],right,193,73,False,10.95,4.82,59.09,11.17,68.63,0.0,0.0,0.88,8.1,12.33,0.66,0,0.0,0,0.0,0.22,0.0,0,0.0,0.03,0,0.0,2,0.44,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,9.85,0.44,0.0,20.58,80.85,9.2,64.29,1.97,100.0,17.74,87.65,2.85,38.46,20.81,40.86,0.02,0.22,0.0,0.0,0.0,0.0,0.22,1.97,33.33,0.66,66.67,0.0,0.0,0.22,0.0,2.63,58.33,96.97,7.23,0,,0,,0,0.0,0.0,0.0,,,1.53,,11.17,0.0,0.0,0.0,0.0,0,0
D. Love,Donald Love,417910,Accrington Stanley,Accrington Stanley,https://cdn5.wyscout.com/photos/team/public/1184_120x120.png,League Two,"RWB, RCMF3, RCMF",RWB,55,RCMF3,24,RCMF,20,31.0,1994-12-02,175000,2028-06-30,4,411,0,0.14,0,1.09,12.7,32.76,Scotland,"['Scotland', 'England']",right,178,72,False,5.47,5.04,30.43,3.2800000000000002,26.67,0.0,0.0,0.0,3.94,6.0,0.88,0,0.0,0,0.0,3.07,0.0,0,0.0,0.03,0,0.0,4,0.88,25.0,0.0,0.0,3.07,71.43,0.66,33.33,2.41,81.82,0.44,0.66,100.0,2.85,38.46,1.31,0.66,0.0,24.09,2.19,0.88,33.28,72.37,11.82,46.3,5.47,96.0,24.09,78.18,6.35,51.72,21.48,41.21,0.24,1.53,0.22,0.0,0.0,0.0,1.09,6.57,50.0,5.47,64.0,0.0,0.0,2.19,2.19,8.98,75.61,86.0,10.95,0,,0,,0,0.0,0.0,0.0,,,0.88,,3.2800000000000002,0.66,0.0,0.0,1.75,0,0
J. Anderson,Joe Anderson,465501,Accrington Stanley,Accrington Stanley,https://cdn5.wyscout.com/photos/team/public/1184_120x120.png,League Two,"LWB, LCB3",LWB,69,LCB3,30,,0,25.0,2001-02-06,175000,2028-06-30,4,411,0,0.28,0,0.19,13.14,48.33,England,['England'],left,186,81,False,7.01,5.26,45.83,4.38,50.0,0.22,0.33,0.44,4.38,6.67,1.31,2,0.44,0,0.0,2.41,0.0,0,0.0,0.06,0,0.0,4,0.88,25.0,0.0,0.0,3.7199999999999998,47.06,3.5,43.75,0.22,100.0,0.66,0.44,100.0,2.41,54.55,1.53,0.22,0.0,20.15,1.31,0.88,34.82,70.44,14.89,58.82,3.94,100.0,22.99,80.0,8.1,54.05,24.44,46.87,0.04,0.88,0.0,0.22,0.0,0.0,0.88,7.01,68.75,3.07,57.14,0.0,0.0,0.44,1.97,11.39,76.92,76.36,12.04,0,,0,,0,0.0,0.0,0.0,,,0.88,,4.38,0.0,0.0,0.0,0.0,0,0
L. Moulden,Louie Moulden,505352,Accrington Stanley,Accrington Stanley,https://cdn5.wyscout.com/photos/team/public/1184_120x120.png,League Two,GK,GK,100,,0,,0,24.0,2002-01-06,175000,2027-06-30,4,411,0,0.0,0,0.0,0.22,100.0,England,['England'],right,190,77,True,0.88,0.0,0.0,0.22,100.0,0.0,0.0,0.0,0.88,1.33,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.99,0.88,0.22,24.96,70.18,19.05,63.22,0.0,0.0,7.45,100.0,17.3,58.23,46.71,52.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.88,55.56,1.09,40.0,0.0,0.0,0.44,0.0,11.61,81.13,92.31,5.69,9,1.97,24,5.26,0,62.5,7.18,1.57,-1.82,-0.399,0.0,1.53,0.22,,,,0.0,0,0
J. Woods,Josh Woods,-312072,Accrington Stanley,Accrington Stanley,https://cdn5.wyscout.com/photos/team/public/1184_120x120.png,League Two,"CF, AMF, LWB",CF,57,AMF,32,LWB,10,26.0,2000-07-05,0,2027-06-30,4,404,2,2.99,0,0.45,22.05,39.39,England,['England'],right,0,0,False,4.01,3.56,50.0,11.14,38.0,0.0,0.0,0.67,2.23,3.41,1.78,2,0.45,0,0.0,2.23,0.45,1,0.22,0.67,0,0.0,11,2.45,27.27,18.182,0.0,1.34,50.0,0.45,100.0,0.89,25.0,0.0,1.34,66.67,4.68,38.1,3.79,0.0,0.0,11.58,1.78,1.11,18.27,67.07,5.12,60.87,3.79,76.47,14.93,70.15,2.0,55.56,18.69,42.09,0.1,1.34,0.0,0.0,0.0,0.0,0.89,2.23,70.0,0.89,75.0,0.0,0.0,0.45,0.67,2.45,72.73,78.26,5.12,0,,0,,0,0.0,0.0,0.0,,,0.0,,11.14,0.0,0.0,0.0,0.0,1,100
J. Ward,Jed Ward,-249744,Walsall,Walsall,https://cdn5.wyscout.com/photos/team/public/787_120x120.png,League Two,GK,GK,100,,0,,0,23.0,2003-05-20,250000,2029-06-30,4,401,0,0.0,0,0.0,0.45,100.0,England,['England'],right,186,77,False,0.67,0.22,100.0,0.0,0.0,0.0,0.0,0.0,0.45,0.71,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,17.73,0.0,0.22,28.73,78.91,17.06,67.11,0.0,0.0,19.08,95.29,9.65,46.51,32.44,53.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,42.11,0.45,0.0,0.0,0.0,0.0,0.0,7.18,65.63,97.44,8.75,4,0.9,19,4.26,2,78.95,4.44,1.0,0.44,0.099,0.0,2.02,0.0,,,,0.0,0,0
S. Sprangler,Sven Sprangler,236523,Walsall,Walsall,https://cdn5.wyscout.com/photos/team/public/787_120x120.png,League Two,"LDMF, LCMF",LDMF,88,LCMF,11,,0,31.0,1995-03-27,225000,2028-06-30,4,401,0,0.22,0,0.04,11.67,55.77,Austria,"['Austria', 'Czech Republic']",right,182,77,False,8.08,5.84,61.54,3.59,56.25,0.9,1.43,0.22,3.59,5.71,2.02,1,0.22,0,0.0,0.22,0.0,0,0.0,0.05,0,0.0,1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,1.35,50.0,0.67,0.0,0.0,22.0,0.0,0.0,42.19,87.23,10.77,66.67,9.2,100.0,39.28,89.71,2.92,53.85,16.49,36.86,0.01,0.22,0.0,0.0,0.0,0.0,0.22,3.37,80.0,0.22,0.0,0.0,0.0,0.22,0.0,4.94,50.0,93.65,14.14,0,,0,,0,0.0,0.0,0.0,,,2.02,,3.59,0.0,0.0,0.0,0.0,0,0
A. Pressley,Aaron Pressley,472236,Walsall,Walsall,https://cdn5.wyscout.com/photos/team/public/787_120x120.png,League Two,CF,CF,100,,0,,0,24.0,2001-11-07,175000,2028-06-30,4,401,4,3.39,0,0.36,18.63,42.17,Scotland,['Scotland'],right,194,79,False,3.8200000000000003,1.12,60.0,9.43,47.62,0.0,0.0,0.67,3.14,5.0,0.9,0,0.0,0,0.0,2.02,0.9,3,0.67,0.76,3,0.67,14,3.14,57.14,28.571,0.0,0.67,33.33,0.22,100.0,0.45,0.0,0.22,0.0,0.0,4.71,33.33,4.71,0.9,0.22,16.16,2.24,0.67,19.3,88.37,3.8200000000000003,70.59,7.63,97.06,18.4,90.24,0.22,100.0,13.07,10.45,0.08,0.45,0.0,0.0,0.0,0.0,0.67,1.8,75.0,0.67,33.33,0.0,0.0,0.45,0.22,1.12,100.0,85.71,4.71,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.43,0.0,0.0,0.0,0.0,1,100
T. Booth,Tom Booth,-356828,Crewe Alexandra,Crewe Alexandra,https://cdn5.wyscout.com/photos/team/public/1107_120x120.png,League Two,GK,GK,100,,0,,0,22.0,2004-08-02,0,2027-06-30,4,401,0,0.0,0,0.0,0.45,100.0,England,['England'],right,190,76,False,0.22,0.0,0.0,0.22,100.0,0.0,0.0,0.0,0.22,0.29,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,21.32,0.0,0.45,30.97,89.13,9.2,65.85,0.0,0.0,24.91,100.0,6.06,44.44,28.64,56.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3.8200000000000003,70.59,98.9,20.42,2,0.45,18,4.04,3,88.89,4.8,1.08,2.8,0.628,0.0,0.67,0.22,,,,0.0,0,0
