Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Brann,Conor Brann,-329714,Cork City,Cork City,https://cdn5.wyscout.com/photos/team/public/4065_120x120.png,First Division,GK,GK,100,,0,,0,23.0,2003-06-27,0,2026-11-30,29,2758,0,0.0,0,0.30000000000000004,0.36,72.73,Republic of Ireland,['Republic of Ireland'],,189,80,False,1.17,0.13,100.0,0.07,100.0,0.0,0.0,0.0,1.04,1.73,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,25.0,0.0,0.0,0.03,20.33,0.13,0.07,31.69,78.48,17.0,62.19,0.07,100.0,19.48,97.82,12.14,47.85,35.02,53.73,0.01,0.07,0.0,0.03,0.0,0.0,0.03,6.66,45.1,0.85,26.92,0.52,18.75,0.2,0.0,7.51,77.83,97.62,13.74,23,0.75,94,3.07,14,75.53,25.59,0.8300000000000001,2.59,0.085,0.0,1.6,0.07,,,,0.0,0,0.0
D. Crowley,Darragh Crowley,-122192,Cork City,Cork City,https://cdn5.wyscout.com/photos/team/public/4065_120x120.png,First Division,"LCMF, RCMF, RDMF",LCMF,25,RCMF,24,RDMF,15,26.0,2000-02-20,0,,28,2715,3,3.5,0,2.8,15.71,59.7,Republic of Ireland,['Republic of Ireland'],right,183,0,False,9.38,6.7,67.33,3.55,63.55,0.30000000000000004,0.5,0.17,4.57,7.64,0.86,6,0.2,0,0.0,1.56,0.1,3,0.1,0.12,0,0.0,40,1.33,27.5,7.5,0.0,1.13,52.94,0.36,45.45,0.76,56.52,0.03,0.8300000000000001,72.0,3.65,44.55,0.93,0.53,0.07,21.12,0.6000000000000001,1.13,38.15,80.1,12.07,60.16,7.13,95.81,33.48,84.46,3.61,48.62,19.48,37.6,0.09,0.63,0.1,0.0,0.1,0.0,0.23,5.9,65.17,2.12,56.25,0.43,23.08,0.7000000000000001,0.56,5.77,72.99,91.32,14.52,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,3.55,0.0,0.0,0.0,0.03,0,0.0
N. Brookwell,Niall Brookwell,496287,Kerry ,Kerry ,https://cdn5.wyscout.com/photos/team/public/g-17426_120x120.png,First Division,"RCB, RCB3, LDMF",RCB,38,RCB3,20,LDMF,14,24.0,2002-03-22,0,2027-11-30,28,2694,4,2.43,0,0.44,13.86,62.65,England,['England'],right,187,0,False,9.79,6.18,63.78,4.41,67.42,0.30000000000000004,0.36,0.8,5.55,6.7,1.2,9,0.30000000000000004,0,0.0,0.43,0.13,4,0.13,0.08,0,0.0,18,0.6000000000000001,33.33,22.222,0.0,0.17,20.0,0.0,0.0,0.17,20.0,0.03,0.30000000000000004,66.67,1.34,52.5,0.87,0.6000000000000001,0.03,19.34,0.43,0.77,32.81,77.8,13.06,60.87,2.17,90.77,27.96,85.3,4.68,35.0,21.35,39.3,0.01,0.13,0.03,0.0,0.0,0.0,0.03,5.8100000000000005,51.72,1.07,18.75,0.2,16.67,0.23,0.03,6.41,57.81,91.31,14.23,0,,0,,0,0.0,0.0,0.0,,,1.0,,4.41,0.03,0.0,0.0,0.0,0,0.0
R. Lynch,Robbie  Lynch,-441487,Treaty United,Treaty United,https://cdn5.wyscout.com/photos/team/public/g-13831_120x120.png,First Division,"RB, CB, RCB",RB,50,CB,24,RCB,18,20.0,2006-04-24,0,,28,2676,2,2.21,1,1.23,12.54,67.29,Republic of Ireland,['Republic of Ireland'],,0,0,False,10.8,5.41,75.78,4.14,69.92,0.03,0.04,0.64,6.66,7.98,0.44,4,0.13,0,0.0,1.1400000000000001,0.07,2,0.07,0.07,1,0.03,10,0.34,40.0,20.0,0.03,1.4100000000000001,35.71,0.13,50.0,1.24,32.43,0.13,0.74,68.18,1.82,57.41,0.74,1.04,0.07,21.73,0.84,0.44,34.24,71.12,18.97,60.28,3.06,93.41,24.11,83.68,8.81,41.98,25.27,45.29,0.04,0.54,0.0,0.0,0.0,0.0,0.2,8.14,51.65,2.09,41.94,0.5,40.0,0.61,0.54,9.55,68.66,86.08,9.18,0,,0,,0,0.0,0.0,0.0,,,0.84,,4.14,0.0,0.0,0.0,0.0,0,0.0
E. Lee,Ewan Lee,-459738,Kerry ,Kerry ,https://cdn5.wyscout.com/photos/team/public/g-17426_120x120.png,First Division,"DMF, RDMF, RB",DMF,30,RDMF,29,RB,14,23.0,2002-10-18,0,,29,2654,1,0.98,2,1.32,16.28,57.5,Republic of Ireland,['Republic of Ireland'],unknown,0,0,False,9.02,8.07,64.29,4.17,60.16,0.17,0.2,0.17,3.66,4.38,1.09,4,0.14,0,0.0,0.61,0.03,1,0.03,0.03,0,0.0,5,0.17,20.0,20.0,0.07,0.31,11.11,0.1,0.0,0.2,16.67,0.03,0.85,60.0,3.09,42.86,0.41000000000000003,0.58,0.14,14.68,0.17,0.44,27.77,72.77,11.63,57.43,3.5300000000000002,92.31,24.25,77.76,3.22,41.05,18.2,31.05,0.04,0.27,0.0,0.0,0.03,100.0,0.24,5.19,53.59,0.64,26.32,0.17,40.0,0.31,0.03,5.53,57.67,86.77,8.72,0,,0,,0,0.0,0.0,0.0,,,0.07,,4.17,0.0,0.0,0.0,0.03,0,0.0
B. McManus,Brian McManus,-191837,Athlone Town,Athlone Town,https://cdn5.wyscout.com/photos/team/public/g1195_120x120.png,First Division,"LCMF, LDMF, AMF",LCMF,33,LDMF,21,AMF,12,24.0,2001-11-29,75000,2026-11-30,28,2619,1,4.32,2,1.78,21.48,45.12,Republic of Ireland,['Republic of Ireland'],left,176,65,False,9.66,8.49,55.06,3.7800000000000002,41.82,0.34,0.45,0.48,4.64,6.09,2.44,10,0.34,0,0.0,1.4100000000000001,0.03,1,0.03,0.15,0,0.0,41,1.4100000000000001,39.02,2.439,0.07,0.65,21.05,0.52,13.33,0.14,50.0,0.1,1.1,53.13,6.94,35.15,1.6800000000000002,1.0,0.24,27.11,0.62,0.6900000000000001,44.95,78.13,15.19,59.73,10.38,93.71,39.11,84.09,5.22,40.13,18.32,37.59,0.06,0.76,0.0,0.0,0.17,80.0,0.41000000000000003,7.59,58.37,1.99,31.03,0.41000000000000003,50.0,0.6900000000000001,0.21,7.22,68.1,87.27,12.96,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,3.7800000000000002,0.03,0.0,0.0,0.0,0,0.0
D. Osagie,Declan Osagie,-573915,Bray Wanderers,Bray Wanderers,https://cdn5.wyscout.com/photos/team/public/2574_120x120.png,First Division,RCB,RCB,96,,0,,0,20.0,2006-05-20,0,,27,2580,0,2.98,0,0.15,14.79,62.97,Republic of Ireland,['Republic of Ireland'],,0,0,False,9.21,4.8100000000000005,74.64,6.31,62.43,0.03,0.05,0.73,5.58,8.41,0.66,1,0.03,1,0.03,0.49,0.0,0,0.0,0.1,0,0.0,17,0.59,35.29,0.0,0.0,0.17,60.0,0.03,0.0,0.14,75.0,0.0,0.35000000000000003,50.0,1.74,48.0,0.84,1.29,0.07,38.34,0.56,0.56,58.01,84.79,25.15,73.79,2.9699999999999998,90.59,51.73,90.02,6.14,41.48,21.71,42.64,0.01,0.07,0.0,0.0,0.07,0.0,0.03,6.52,57.75,0.91,42.31,0.35000000000000003,10.0,0.21,0.1,10.74,61.36,95.3,25.26,0,,0,,0,0.0,0.0,0.0,,,2.02,,6.31,0.0,0.0,0.0,0.0,0,0.0
H. Mpongo,Hans Mpongo,-341204,Cork City,Cork City,https://cdn5.wyscout.com/photos/team/public/4065_120x120.png,First Division,"LAMF, CF, LWB",LAMF,27,CF,23,LWB,18,23.0,2003-03-26,0,2027-11-30,29,2560,14,12.3,10,4.68,19.79,40.14,Netherlands,"['Netherlands', 'England']",right,0,0,False,4.11,3.45,63.27,2.5,23.94,0.04,0.06,0.04,1.9,3.1,0.74,0,0.0,0,0.0,5.55,0.49,13,0.46,0.43,2,0.07,72,2.5300000000000002,48.61,19.444,0.35000000000000003,3.13,33.71,2.7800000000000002,34.18,0.35000000000000003,30.0,0.53,6.71,48.69,12.27,37.25,5.41,4.04,0.35000000000000003,15.86,2.21,0.74,18.42,66.03,3.9,50.45,4.82,86.13,14.8,73.87,0.6000000000000001,29.41,15.73,16.11,0.16,1.09,0.0,0.0,0.07,0.0,0.98,0.88,44.0,2.5300000000000002,45.83,0.18,0.0,0.9500000000000001,1.23,3.06,68.97,59.09,5.41,0,,0,,0,0.0,0.0,0.0,,,0.07,,2.5,0.0,0.0,0.0,0.07,1,100.0
J. Hakkinen,Jonas Hakkinen,513876,Kerry ,Kerry ,https://cdn5.wyscout.com/photos/team/public/g-17426_120x120.png,First Division,"LCB, LCB3",LCB,72,LCB3,27,,0,27.0,1999-03-21,75000,2026-11-30,27,2549,2,1.6400000000000001,0,0.99,12.68,55.15,Canada,"['Canada', 'Finland']",right,186,0,False,8.54,3.74,65.09,6.14,54.6,0.21,0.25,0.67,5.9,7.04,0.9500000000000001,4,0.14,0,0.0,0.32,0.07,2,0.07,0.06,1,0.04,11,0.39,36.36,18.182,0.0,0.14,50.0,0.07,50.0,0.07,50.0,0.0,0.11,100.0,1.17,45.45,0.85,0.71,0.07,26.02,0.14,0.46,43.43,83.98,19.42,70.55,2.26,93.75,35.77,90.23,7.52,54.93,22.72,37.34,0.03,0.21,0.0,0.0,0.0,0.0,0.07,6.85,63.4,0.35000000000000003,30.0,0.21,0.0,0.28,0.07,9.32,68.94,96.35,18.36,0,,0,,0,0.0,0.0,0.0,,,1.27,,6.14,0.0,0.0,0.0,0.0,0,0.0
K. Moore,Kian Moore,-265736,Longford Town,Longford Town,https://cdn5.wyscout.com/photos/team/public/g1183_120x120.png,First Division,GK,GK,100,,0,,0,23.0,2003-03-31,0,2026-11-30,27,2537,0,0.0,0,0.0,0.8200000000000001,73.91,Republic of Ireland,['Republic of Ireland'],right,0,0,False,1.17,0.04,0.0,0.39,81.82,0.0,0.0,0.0,1.17,1.42,0.07,2,0.07,1,0.04,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,10.39,0.21,0.28,18.73,67.8,12.1,52.79,0.0,0.0,8.41,94.51,10.29,46.21,37.86,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,27.91,0.32,0.0,0.07,0.0,0.0,0.0,6.5600000000000005,61.08,95.12,5.82,29,1.03,116,4.12,8,75.0,34.99,1.24,5.99,0.212,0.0,1.67,0.39,,,,0.0,0,0.0
