Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Olsson,Simon Olsson,423888,Elfsborg,Elfsborg,https://cdn5.wyscout.com/photos/team/public/640_120x120.png,Allsvenskan,"LCMF, LDMF, RCMF",LCMF,62,LDMF,22,RCMF,11,28,1997-09-14,3000000,2029-12-31,11,1079,0,0.53,2,0.71,14.51,41.95,Sweden,['Sweden'],right,185,81,False,5.17,4.5,55.56,0.67,62.5,0.17,0.19,0.0,2.5,2.89,0.5,2,0.17,0,0.0,1.0,0.0,0,0.0,0.04,0,0.0,8,0.67,12.5,0.0,0.17,1.0,41.67,0.8300000000000001,30.0,0.08,100.0,0.08,1.25,40.0,8.42,30.69,0.5,1.33,0.17,28.53,0.0,1.17,39.54,82.91,14.68,71.02,3.5,88.1,35.45,86.12,3.09,59.46,17.42,34.23,0.06,0.58,0.0,0.0,0.08,0.0,0.42,6.26,68.0,2.42,41.38,0.33,25.0,1.17,0.42,5.67,70.59,90.86,14.6,0,,0,,0,0.0,0.0,0.0,,,0.17,,0.67,0.17,0.0,0.0,0.08,0,0
I. Pettersson,Isak Pettersson,436259,Elfsborg,Elfsborg,https://cdn5.wyscout.com/photos/team/public/640_120x120.png,Allsvenskan,GK,GK,100,,0,,0,29,1997-06-06,500000,2026-12-31,11,1079,0,0.0,0,0.0,0.17,50.0,Sweden,['Sweden'],left,181,84,False,1.75,0.08,0.0,0.08,100.0,0.0,0.0,0.0,1.75,2.03,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.94,0.5,0.0,29.36,83.24,13.51,66.67,0.0,0.0,18.68,98.21,10.68,57.03,33.83,51.61,0.0,0.0,0.08,0.0,0.0,0.0,0.0,3.67,54.55,0.17,50.0,0.08,0.0,0.08,0.0,6.92,71.08,97.19,14.85,11,0.92,40,3.34,3,72.5,10.45,0.87,-0.55,-0.046,0.0,1.33,0.08,,,,0.0,0,0
J. Magnússon,Júlíus Magnússon,335205,Elfsborg,Elfsborg,https://cdn5.wyscout.com/photos/team/public/640_120x120.png,Allsvenskan,"RCMF, RDMF, LCMF",RCMF,66,RDMF,22,LCMF,10,28,1998-06-28,600000,2029-12-31,11,1067,2,0.85,1,1.13,10.37,56.1,Iceland,['Iceland'],right,178,71,False,11.22,4.47,69.81,2.95,57.14,0.42,0.48,0.34,7.68,8.81,0.76,1,0.08,0,0.0,0.67,0.17,2,0.17,0.07,1,0.08,9,0.76,44.44,22.222,0.08,0.67,37.5,0.25,0.0,0.42,60.0,0.08,0.59,14.29,1.94,26.09,0.76,0.25,0.0,27.67,0.59,0.42,41.33,84.08,11.64,72.46,7.93,93.62,38.21,86.09,2.45,65.52,16.62,33.1,0.1,0.42,0.0,0.0,0.0,0.0,0.0,3.96,80.85,1.01,50.0,0.0,0.0,0.42,0.25,5.48,55.38,89.27,14.93,0,,0,,0,0.0,0.0,0.0,,,0.84,,2.95,0.67,0.17,50.0,1.6,0,0
W. Hahn,Warner Hahn,102913,Hammarby,Hammarby,https://cdn5.wyscout.com/photos/team/public/644_120x120.png,Allsvenskan,GK,GK,100,,0,,0,34,1992-06-15,350000,2027-12-31,11,1067,0,0.0,0,0.0,0.25,100.0,Netherlands,"['Netherlands', 'Suriname']",right,190,88,False,0.67,0.0,0.0,0.08,100.0,0.0,0.0,0.0,0.67,1.03,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,17.04,0.59,0.17,24.88,80.34,15.35,69.23,0.0,0.0,16.03,96.84,8.86,50.48,30.89,51.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,39.02,0.34,0.0,0.25,0.0,0.0,0.0,5.9,61.43,97.94,8.18,13,1.1,43,3.63,3,69.77,13.33,1.12,0.33,0.028,0.0,1.1,0.08,,,,0.0,0,0
T. Isherwood,Thomas Poppler Isherwood,379227,Elfsborg,Elfsborg,https://cdn5.wyscout.com/photos/team/public/640_120x120.png,Allsvenskan,"LCB3, LCB",LCB3,69,LCB,29,,0,28,1998-01-28,500000,2028-12-31,11,1064,0,0.09,1,0.14,10.32,63.93,Sweden,"['Sweden', 'England']",left,195,87,False,8.8,4.4,71.15,3.05,63.89,0.17,0.19,0.76,5.5,6.33,0.34,1,0.08,0,0.0,0.17,0.0,0,0.0,0.01,0,0.0,4,0.34,0.0,0.0,0.08,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.17,100.0,1.35,43.75,0.76,1.02,0.17,35.44,0.42,0.08,49.91,86.95,21.65,78.52,4.4,98.08,42.8,91.7,6.94,59.76,20.56,36.95,0.01,0.08,0.0,0.0,0.0,0.0,0.08,6.51,75.32,0.59,14.29,0.42,40.0,0.25,0.0,9.39,72.97,95.0,18.61,0,,0,,0,0.0,0.0,0.0,,,3.38,,3.05,0.0,0.0,0.0,0.0,0,0
M. Karlsson,Markus Karlsson,-292292,Hammarby,Hammarby,https://cdn5.wyscout.com/photos/team/public/644_120x120.png,Allsvenskan,"RDMF, LDMF, RCMF",RDMF,51,LDMF,22,RCMF,21,22,2004-01-20,0,2029-12-31,11,1060,0,0.5,1,0.55,15.11,53.37,Sweden,['Sweden'],right,187,80,False,6.62,5.6,60.61,1.44,35.29,0.25,0.39,0.34,2.9699999999999998,4.55,0.68,1,0.08,0,0.0,0.93,0.0,0,0.0,0.04,0,0.0,8,0.68,0.0,0.0,0.08,0.51,50.0,0.0,0.0,0.51,50.0,0.08,1.44,47.06,5.77,50.0,1.02,1.9500000000000002,0.17,42.54,0.25,2.04,58.92,90.35,15.79,80.11,8.49,95.0,56.72,92.37,1.7000000000000002,35.0,14.19,27.33,0.05,1.19,0.17,0.0,0.0,0.0,0.08,7.39,90.8,1.27,66.67,0.25,33.33,1.02,0.25,5.43,70.31,94.4,19.7,0,,0,,0,0.0,0.0,0.0,,,0.68,,1.44,0.0,0.0,0.0,0.0,0,0
V. Eriksson,Victor Eriksson,-84960,Hammarby,Hammarby,https://cdn5.wyscout.com/photos/team/public/644_120x120.png,Allsvenskan,"RCB, LCB",RCB,51,LCB,44,,0,25,2000-09-17,800000,2028-12-31,11,1053,1,1.67,0,0.08,19.4,73.57,Sweden,['Sweden'],right,192,82,False,8.72,7.35,72.09,6.92,80.25,0.17,0.26,0.68,3.25,4.94,1.37,2,0.17,0,0.0,0.26,0.09,1,0.09,0.14,0,0.0,8,0.68,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,33.33,0.77,0.68,0.09,41.37,0.09,0.85,57.95,94.4,17.61,85.92,5.38,98.41,55.9,96.18,2.05,45.83,16.4,29.31,0.01,0.09,0.09,0.09,0.09,100.0,0.09,3.5,85.37,0.43,40.0,0.26,66.67,0.17,0.0,4.1,75.0,97.91,24.53,0,,0,,0,0.0,0.0,0.0,,,3.76,,6.92,0.0,0.0,0.0,0.0,0,0
F. Winther,Frederik Winther,-45312,Hammarby,Hammarby,https://cdn5.wyscout.com/photos/team/public/644_120x120.png,Allsvenskan,"LCB, LB",LCB,52,LB,43,,0,25,2001-01-04,800000,2027-12-31,11,1043,0,1.53,1,1.22,16.74,63.4,Denmark,['Denmark'],left,190,83,False,8.2,7.59,64.77,4.75,72.73,0.09,0.13,0.35000000000000003,3.19,4.85,1.29,1,0.09,0,0.0,1.21,0.0,0,0.0,0.13,0,0.0,14,1.21,7.14,0.0,0.09,0.78,66.67,0.6900000000000001,62.5,0.09,100.0,0.09,1.04,58.33,1.81,52.38,1.47,1.47,0.0,50.82,0.43,0.52,65.58,88.16,22.35,75.29,7.25,92.86,58.85,92.52,6.04,48.57,18.43,45.2,0.1,1.04,0.09,0.09,0.0,0.0,0.43,8.46,67.35,1.21,35.71,0.43,40.0,0.6000000000000001,0.26,9.49,71.82,95.61,25.54,0,,0,,0,0.0,0.0,0.0,,,1.73,,4.75,0.0,0.0,0.0,0.0,0,0
E. Jäger,Elis Nils Viktor Jäger,-702049,Västerås SK,Västerås SK,https://cdn5.wyscout.com/photos/team/public/3397_120x120.png,Allsvenskan,GK,GK,100,,0,,0,20,2005-08-23,0,,10,1015,0,0.0,0,0.0,0.53,100.0,Sweden,['Sweden'],,0,0,False,0.35000000000000003,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.35000000000000003,0.45,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,17.56,0.18,0.35000000000000003,22.61,80.0,12.33,64.75,0.0,0.0,13.48,97.37,9.13,54.37,33.93,53.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,48.57,0.27,0.0,0.27,0.0,0.09,0.0,6.74,72.37,98.13,9.49,22,1.9500000000000002,52,4.61,1,57.69,16.89,1.5,-5.11,-0.453,0.0,0.98,0.18,,,,0.0,0,0
S. Gefvert,Simon Gefvert,452312,Västerås SK,Västerås SK,https://cdn5.wyscout.com/photos/team/public/3397_120x120.png,Allsvenskan,"RWB, RB5",RWB,60,RB5,39,,0,29,1997-03-28,700000,2026-12-31,10,1005,0,0.48,3,0.91,12.72,59.86,Sweden,['Sweden'],right,175,72,False,7.16,6.0,68.66,1.6099999999999999,38.89,0.27,0.34,0.27,2.7800000000000002,3.54,0.63,0,0.0,0,0.0,1.97,0.0,0,0.0,0.04,0,0.0,4,0.36,0.0,0.0,0.27,3.22,36.11,0.0,0.0,3.22,36.11,0.54,0.81,100.0,3.94,61.36,1.52,2.51,0.54,26.87,1.16,1.16,35.73,75.19,11.46,60.16,8.96,99.0,29.28,82.87,3.4,44.74,18.17,38.53,0.08,0.72,0.09,0.0,0.0,0.0,0.45,2.51,67.86,2.6,51.72,0.09,0.0,0.72,1.16,8.06,64.44,71.43,8.15,0,,0,,0,0.0,0.0,0.0,,,0.99,,1.6099999999999999,0.27,0.0,0.0,0.09,0,0
