Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Wirtz,Eva Wirtz,-603788,Stjarnan,Stjarnan,https://cdn5.wyscout.com/photos/team/public/g5319_120x120.png,Úrvalsdeild Women,LB,LB,94,,0,,0,,,0,2026-11-16,10,965,1,0.4,0,0.34,16.69,59.22,United States,['United States'],unknown,177,0,False,11.47,8.77,63.83,1.87,60.0,0.0,0.0,0.28,5.88,6.73,0.47000000000000003,1,0.09,0,0.0,1.96,0.09,1,0.09,0.04,1,0.09,4,0.37,50.0,25.0,0.0,1.77,21.05,1.77,21.05,0.0,0.0,0.19,1.87,75.0,4.38,55.32,0.84,2.98,0.19,19.68,0.65,0.75,35.72,72.06,18.47,65.66,4.38,93.62,30.03,80.12,3.92,33.33,18.9,34.18,0.03,0.56,0.0,0.0,0.0,0.0,0.28,5.22,48.21,1.87,30.0,0.37,25.0,0.28,0.28,8.77,57.45,75.53,8.77,0,,0,,0,0.0,0.0,0.0,,,0.84,,1.87,0.0,0.0,0.0,0.0,0,0.0
B. Skiba,Bridgette Skiba,-239226,Stjarnan,Stjarnan,https://cdn5.wyscout.com/photos/team/public/g5319_120x120.png,Úrvalsdeild Women,GK,GK,100,,0,,0,26.0,1999-10-20,0,,10,965,0,0.0,0,0.09,1.21,76.92,United States,['United States'],unknown,180,0,False,3.26,0.09,100.0,0.75,87.5,0.0,0.0,0.0,3.17,3.63,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,12.12,0.0,0.19,23.6,73.52,13.9,57.72,0.0,0.0,12.03,94.57,11.56,51.61,33.78,44.52,0.01,0.09,0.0,0.0,0.0,0.0,0.09,1.77,36.84,0.09,100.0,0.09,100.0,0.09,0.0,7.65,59.76,97.78,8.39,9,0.84,44,4.1,4,79.55,10.56,0.98,1.56,0.145,0.0,2.42,0.75,,,,0.0,0,0.0
A. Augur,Allie Augur,-204134,Thór / KA,Thór / KA,https://cdn5.wyscout.com/photos/team/public/g6711_120x120.png,Úrvalsdeild Women,GK,GK,100,,0,,0,25.0,2001-01-01,0,,10,963,0,0.0,0,0.0,1.5,87.5,United States,['United States'],,170,0,False,3.18,0.19,100.0,0.75,87.5,0.09,0.11,0.0,2.9,3.31,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,100.0,0.0,0.0,0.0,11.31,0.09,0.65,23.36,76.8,15.14,66.67,0.09,0.0,13.93,95.3,9.44,49.5,27.5,38.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,25.0,0.09,0.0,0.19,0.0,0.0,0.0,6.82,46.58,94.74,7.1,19,1.78,64,5.98,3,70.31,19.61,1.83,0.61,0.057,0.0,2.34,0.75,,,,0.0,0,0.0
M. Árnadóttir,Margrét Árnadóttir,404733,Thór / KA,Thór / KA,https://cdn5.wyscout.com/photos/team/public/g6711_120x120.png,Úrvalsdeild Women,"LDMF, AMF, CF",LDMF,34,AMF,17,CF,15,27.0,1999-04-25,0,,10,963,4,2.92,1,1.37,20.19,47.22,Iceland,['Iceland'],,0,0,False,10.19,6.54,72.86,4.3,47.83,0.09,0.11,0.37,5.33,6.09,0.75,1,0.09,0,0.0,1.5,0.37,4,0.37,0.27,1,0.09,32,2.99,25.0,12.5,0.09,0.65,28.57,0.28,33.33,0.37,25.0,0.09,0.93,60.0,6.73,26.39,2.62,0.75,0.09,23.18,2.15,0.93,38.97,68.59,16.17,52.02,7.48,91.25,31.4,75.0,7.01,42.67,20.25,33.01,0.13,0.93,0.09,0.0,0.0,0.0,0.56,6.92,47.3,2.06,50.0,0.37,25.0,1.03,0.19,7.94,57.65,80.7,10.65,0,,0,,0,0.0,0.0,0.0,,,1.03,,4.3,0.47000000000000003,0.0,0.0,0.0,0,0.0
H. McLaughlin,Hannah McLaughlin,-200963,Grindavík,Grindavík,https://cdn5.wyscout.com/photos/team/public/g7218_120x120.png,Úrvalsdeild Women,"LCB, LB, LCB3",LCB,37,LB,29,LCB3,20,,,0,,10,960,0,0.39,1,0.79,18.38,58.16,United States,['United States'],,0,0,False,13.31,7.97,72.94,2.91,64.52,0.0,0.0,0.09,7.5,11.21,0.9400000000000001,0,0.0,0,0.0,1.4100000000000001,0.0,0,0.0,0.04,0,0.0,6,0.56,16.67,0.0,0.09,0.56,83.33,0.56,83.33,0.0,0.0,0.09,1.13,75.0,5.91,31.75,1.31,2.7199999999999998,0.09,35.72,1.22,0.56,59.63,80.66,25.03,70.79,8.63,95.65,51.09,84.77,7.97,54.12,19.29,33.78,0.07,0.47000000000000003,0.0,0.0,0.0,0.0,0.19,7.97,64.71,1.31,71.43,0.28,0.0,0.56,0.47000000000000003,13.88,61.49,90.65,20.06,0,,0,,0,0.0,0.0,0.0,,,3.47,,2.91,0.0,0.0,0.0,0.0,0,0.0
D. Sandoval,Deja Sandoval,-234885,FH,FH,https://cdn5.wyscout.com/photos/team/public/g5314_120x120.png,Úrvalsdeild Women,LCB3,LCB3,89,,0,,0,25.0,2001-05-10,0,,10,960,4,0.88,0,0.11,18.19,65.98,United States,['United States'],unknown,168,0,False,13.97,8.72,73.12,4.5,75.0,0.28,0.47000000000000003,0.38,7.31,12.12,0.56,2,0.19,0,0.0,0.75,0.38,4,0.38,0.08,3,0.28,9,0.84,66.67,44.444,0.0,0.9400000000000001,0.0,0.9400000000000001,0.0,0.0,0.0,0.0,0.47000000000000003,40.0,2.5300000000000002,33.33,1.4100000000000001,1.5899999999999999,0.19,47.91,0.56,0.19,72.47,75.68,39.0,65.38,7.03,97.33,62.81,81.64,8.72,40.86,20.07,36.25,0.01,0.38,0.0,0.09,0.0,0.0,0.0,11.16,55.46,1.31,21.43,0.38,50.0,0.19,0.0,19.03,63.05,90.91,19.59,0,,0,,0,0.0,0.0,0.0,,,2.91,,4.5,0.0,0.0,0.0,0.0,0,0.0
A. Guðlaugsdóttir,Aldis Guðlaugsdóttir,-188597,FH,FH,https://cdn5.wyscout.com/photos/team/public/g5314_120x120.png,Úrvalsdeild Women,GK,GK,100,,0,,0,22.0,2004-04-07,0,,10,960,0,0.0,0,0.0,0.84,100.0,Iceland,['Iceland'],,0,0,False,3.94,0.19,100.0,0.38,100.0,0.09,0.16,0.0,3.66,6.06,0.0,0,0.0,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.09,100.0,0.09,0.0,0.0,24.56,0.09,0.0,36.75,84.69,19.03,73.89,0.19,50.0,25.97,98.19,10.69,52.63,24.78,37.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,50.0,0.09,0.0,0.09,100.0,0.0,0.0,7.31,43.59,96.43,15.75,15,1.4100000000000001,48,4.5,1,68.75,12.91,1.21,-2.09,-0.196,0.0,0.84,0.38,,,,0.0,0,0.0
B. Eiríksdóttir,Bryndis Eiríksdóttir,-441833,Valur,Valur,https://cdn5.wyscout.com/photos/team/public/g5320_120x120.png,Úrvalsdeild Women,RB,RB,93,,0,,0,21.0,2005-07-10,0,,10,955,0,0.58,1,0.46,14.23,62.91,Iceland,['Iceland'],unknown,0,0,False,10.18,8.95,69.47,1.51,68.75,0.19,0.2,0.28,3.77,4.1,0.5700000000000001,0,0.0,0,0.0,1.04,0.0,0,0.0,0.05,0,0.0,6,0.5700000000000001,0.0,0.0,0.09,1.88,35.0,0.19,100.0,1.51,25.0,0.09,0.66,57.14,2.17,56.52,1.04,1.04,0.0,27.33,0.47000000000000003,0.75,41.37,79.27,17.15,67.58,5.37,98.25,33.17,86.08,6.5,56.52,20.7,31.67,0.04,0.5700000000000001,0.0,0.0,0.0,0.0,0.28,5.94,76.19,1.6,47.06,0.28,66.67,0.47000000000000003,0.5700000000000001,10.74,65.79,84.03,13.57,0,,0,,0,0.0,0.0,0.0,,,1.79,,1.51,0.19,0.0,0.0,0.0,0,0.0
K. Hjálmarsdóttir,Kimberley Dóra Hjálmarsdóttir,-259503,Valur,Valur,https://cdn5.wyscout.com/photos/team/public/g5320_120x120.png,Úrvalsdeild Women,"RDMF, DMF, LCMF3",RDMF,33,DMF,31,LCMF3,14,20.0,2005-09-26,0,,10,955,0,0.37,0,0.05,22.99,56.56,Iceland,"['Iceland', 'Philippines']",,0,0,False,13.66,10.65,75.22,0.9400000000000001,30.0,0.5700000000000001,0.61,0.19,5.09,5.53,1.04,1,0.09,0,0.0,1.98,0.0,0,0.0,0.03,0,0.0,10,0.9400000000000001,40.0,0.0,0.0,0.5700000000000001,33.33,0.38,25.0,0.19,50.0,0.09,3.02,46.88,9.05,36.46,0.9400000000000001,2.45,0.66,11.87,0.47000000000000003,0.85,23.84,75.49,8.67,57.61,3.96,97.62,21.49,80.26,1.79,31.58,16.39,24.81,0.0,0.09,0.0,0.0,0.0,0.0,0.0,4.15,59.09,0.85,22.22,0.0,0.0,0.28,0.19,4.05,58.14,78.21,7.35,0,,0,,0,0.0,0.0,0.0,,,0.66,,0.9400000000000001,0.0,0.0,0.0,0.0,0,0.0
T. Magnús­dótt­ir,Tinna Brá Magnús­dótt­ir,-257818,Valur,Valur,https://cdn5.wyscout.com/photos/team/public/g5320_120x120.png,Úrvalsdeild Women,GK,GK,100,,0,,0,22.0,2004-06-28,0,,10,955,0,0.0,0,0.0,0.75,87.5,Iceland,['Iceland'],unknown,0,0,False,1.6,0.09,100.0,0.47000000000000003,80.0,0.0,0.0,0.0,1.51,1.6400000000000001,0.0,0,0.0,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.09,100.0,0.09,0.0,0.0,12.91,0.0,0.09,20.45,81.57,9.8,66.35,0.0,0.0,12.91,97.08,7.54,55.0,26.1,39.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,49.21,95.74,8.86,12,1.13,68,6.41,3,82.35,13.77,1.3,1.77,0.167,0.0,1.4100000000000001,0.47000000000000003,,,,0.0,0,0.0
