Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Sasaki,Masato Sasaki,-115837,Iwaki,Iwaki,https://cdn5.wyscout.com/photos/team/public/g39010_120x120.png,J2/J3 100 Year Vision League,GK,GK,100,,0,,0,24.0,2002-05-01,150000,2027-06-30,19,1894,0,0.0,0,0.02,0.81,70.59,Japan,['Japan'],left,184,75,False,1.38,0.1,50.0,0.48,90.0,0.0,0.0,0.0,1.33,2.18,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.14,33.33,0.0,0.0,0.0,7.7,0.14,0.1,13.59,78.32,9.36,70.56,0.0,0.0,5.89,95.97,7.65,65.22,36.82,48.88,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.9,65.57,0.05,0.0,0.05,100.0,0.0,0.0,5.84,79.67,96.15,3.71,19,0.9,52,2.47,6,63.46,16.7,0.79,-2.3,-0.109,0.0,1.52,0.48,,,,0.0,0,0
K. Sugiyama,Koji  Sugiyama,-322711,Ehime,Ehime,https://cdn5.wyscout.com/photos/team/public/g6521_120x120.png,J2/J3 100 Year Vision League,"RCB, CB",RCB,63,CB,35,,0,28.0,1998-04-19,0,,19,1866,0,1.03,1,0.07,14.9,62.14,Japan,['Japan'],right,180,0,False,8.2,5.02,69.23,5.98,62.9,0.39,0.58,0.92,4.34,6.54,0.96,3,0.14,0,0.0,0.19,0.0,0,0.0,0.05,0,0.0,9,0.43,22.22,0.0,0.05,0.14,33.33,0.0,0.0,0.14,33.33,0.05,0.14,33.33,0.96,25.0,0.8200000000000001,0.53,0.05,29.95,0.29,0.53,43.99,84.76,19.29,73.25,1.9300000000000002,92.5,38.83,90.19,5.02,44.23,20.11,42.47,0.0,0.05,0.05,0.05,0.0,0.0,0.05,5.59,60.34,0.29,16.67,0.1,0.0,0.1,0.05,7.77,59.01,95.04,16.54,0,,0,,0,0.0,0.0,0.0,,,1.25,,5.98,0.0,0.0,0.0,0.0,0,0
H. Sato,Hiroto  Sato,-679901,Nara Club,Nara Club,https://cdn5.wyscout.com/photos/team/public/g22694_120x120.png,J2/J3 100 Year Vision League,RCB,RCB,100,,0,,0,23.0,2002-12-24,0,,19,1866,0,0.37,0,0.0,13.22,63.14,Japan,['Japan'],unknown,184,0,False,8.78,5.5,71.93,4.05,61.9,0.1,0.14,1.21,4.73,6.73,0.87,0,0.0,0,0.0,0.14,0.0,0,0.0,0.02,0,0.0,4,0.19,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,1.25,30.77,0.34,0.24,0.0,45.0,0.05,0.39,59.37,89.6,19.58,76.85,2.7,96.43,53.87,93.64,5.5,50.0,20.18,42.48,0.0,0.0,0.0,0.05,0.0,0.0,0.0,5.69,66.95,0.43,22.22,0.58,33.33,0.1,0.0,8.25,59.06,97.46,30.34,0,,0,,0,0.0,0.0,0.0,,,1.78,,4.05,0.0,0.0,0.0,0.0,0,0
R. Morita,Rin Morita,-164291,Nara Club,Nara Club,https://cdn5.wyscout.com/photos/team/public/g22694_120x120.png,J2/J3 100 Year Vision League,LDMF,LDMF,82,,0,,0,24.0,2002-02-14,0,,19,1863,4,2.48,4,0.4,13.48,54.84,Japan,['Japan'],,180,69,False,7.92,5.99,64.52,1.55,50.0,0.34,0.48,0.43,3.7199999999999998,5.26,0.92,2,0.1,0,0.0,1.06,0.19,4,0.19,0.12,0,0.0,19,0.92,42.11,21.053,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.8200000000000001,76.47,4.25,45.45,0.43,0.8200000000000001,0.24,42.32,0.14,0.92,54.78,88.01,13.72,67.96,11.93,98.79,49.66,92.32,4.98,47.57,17.35,35.42,0.02,0.43,0.05,0.0,0.19,25.0,0.24,6.52,65.19,1.4,34.48,1.01,28.57,0.53,0.0,6.38,66.67,92.84,18.89,0,,0,,0,0.0,0.0,0.0,,,1.11,,1.55,0.0,0.0,0.0,0.0,0,0
S. Fujiwara,Soya Fujiwara,-159752,Albirex Niigata,Albirex Niigata,https://cdn5.wyscout.com/photos/team/public/1697_120x120.png,J2/J3 100 Year Vision League,RB,RB,97,,0,,0,30.0,1995-09-09,600000,,19,1853,2,1.4,2,1.15,13.84,54.04,Japan,['Japan'],right,170,70,False,8.45,6.61,68.38,2.8200000000000003,36.21,0.05,0.07,0.19,3.89,5.26,0.49,1,0.05,0,0.0,1.4100000000000001,0.1,1,0.05,0.07,0,0.0,9,0.44,44.44,22.222,0.1,1.65,47.06,0.05,100.0,1.6,45.45,0.19,0.78,56.25,2.62,37.04,0.78,1.26,0.15,27.54,0.92,0.24,41.67,79.02,18.36,67.2,8.21,97.04,34.05,86.59,6.02,45.16,19.66,37.62,0.06,0.39,0.05,0.0,0.0,0.0,0.34,6.51,62.69,1.99,53.66,0.58,33.33,0.53,0.68,9.71,65.5,87.68,9.86,0,,0,,0,0.0,0.0,0.0,,,0.73,,2.8200000000000003,0.0,0.0,0.0,0.0,1,100
S. Hino,Shota Hino,-450269,Ehime,Ehime,https://cdn5.wyscout.com/photos/team/public/g6521_120x120.png,J2/J3 100 Year Vision League,"AMF, LW, CF",AMF,75,LW,11,CF,10,23.0,2002-10-16,0,,19,1852,4,3.71,1,2.41,14.97,42.86,Japan,['Japan'],right,167,61,False,5.35,3.98,64.63,1.94,30.0,0.39,0.59,0.15,2.38,3.59,0.78,1,0.05,0,0.0,3.6,0.19,4,0.19,0.18,0,0.0,35,1.7000000000000002,42.86,11.429,0.05,2.43,44.0,1.46,46.67,0.97,40.0,0.53,3.16,55.38,6.95,39.86,2.48,2.43,0.58,33.0,0.53,0.73,44.61,78.87,13.9,63.64,10.59,92.2,38.97,84.66,3.4,35.71,15.77,34.08,0.12,1.12,0.05,0.0,0.29,16.67,0.34,7.14,65.99,4.08,50.0,1.12,17.39,1.46,1.02,6.8,73.57,78.57,10.21,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.94,0.15,0.0,0.0,0.34,0,0
R. Abe,Ryota Abe,-562076,Ehime,Ehime,https://cdn5.wyscout.com/photos/team/public/g6521_120x120.png,J2/J3 100 Year Vision League,"LB, RB, RWB",LB,34,RB,26,RWB,21,24.0,2001-07-07,0,,19,1828,2,1.3599999999999999,3,1.83,14.47,46.94,Japan,['Japan'],unknown,171,0,False,7.78,6.4,67.69,2.51,31.37,0.25,0.37,0.2,3.2,4.77,0.49,1,0.05,0,0.0,1.48,0.1,2,0.1,0.07,0,0.0,11,0.54,36.36,18.182,0.15,2.22,31.11,0.74,20.0,1.43,37.93,0.39,1.28,46.15,3.35,33.82,0.84,1.48,0.54,34.37,1.23,0.54,45.49,82.58,12.06,68.98,9.85,95.5,41.6,87.46,1.72,31.43,14.77,28.51,0.09,0.79,0.0,0.0,0.0,0.0,0.54,2.61,77.36,2.61,49.06,0.05,0.0,0.74,0.64,7.09,60.42,83.97,11.67,0,,0,,0,0.0,0.0,0.0,,,0.89,,2.51,0.0,0.0,0.0,0.0,0,0
M. Vito,Marc Vito Brezmes,408029,Nara Club,Nara Club,https://cdn5.wyscout.com/photos/team/public/g22694_120x120.png,J2/J3 100 Year Vision League,GK,GK,100,,0,,0,30.0,1996-03-10,125000,2027-12-31,18,1804,0,0.0,0,0.0,0.6000000000000001,75.0,Spain,['Spain'],left,187,80,False,1.7000000000000002,0.0,0.0,0.35000000000000003,71.43,0.0,0.0,0.0,1.7000000000000002,2.44,0.05,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.15,100.0,0.0,0.05,0.0,21.5,0.25,0.1,36.87,82.14,20.01,69.83,0.05,100.0,26.44,95.28,10.43,48.8,28.1,47.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,28.3,0.25,20.0,0.85,11.76,0.05,0.0,7.28,49.32,96.71,15.17,31,1.55,93,4.64,3,66.67,34.43,1.72,3.43,0.171,0.05,1.55,0.35000000000000003,,,,0.0,0,0
Y. Wakasa,Yuji Wakasa,-159820,Renofa Yamaguchi,Renofa Yamaguchi,https://cdn5.wyscout.com/photos/team/public/g16852_120x120.png,J2/J3 100 Year Vision League,"LCMF, RCMF",LCMF,48,RCMF,39,,0,30.0,1996-02-09,400000,,18,1786,1,1.3,1,1.79,13.0,50.39,Japan,['Japan'],right,170,69,False,6.1,4.13,67.07,2.7199999999999998,48.15,0.5,0.71,0.1,2.8200000000000003,3.95,0.91,4,0.2,0,0.0,1.16,0.05,0,0.0,0.07,0,0.0,13,0.66,15.38,7.692,0.05,1.06,52.38,0.5,30.0,0.55,72.73,0.05,0.91,50.0,4.18,36.14,1.06,1.11,0.05,33.26,0.35000000000000003,0.55,46.26,85.08,16.83,74.85,6.4,94.49,39.86,89.51,5.39,57.94,18.01,35.57,0.09,0.81,0.0,0.1,0.05,100.0,0.4,7.46,71.62,2.22,65.91,0.5,30.0,0.86,0.55,8.47,75.0,94.38,16.13,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,2.7199999999999998,0.0,0.0,0.0,0.45,1,100
T. Shirai,Tatsuya Shirai,-189662,Matsumoto Yamaga,Matsumoto Yamaga,https://cdn5.wyscout.com/photos/team/public/g12592_120x120.png,J2/J3 100 Year Vision League,"RCB3, CB",RCB3,82,CB,11,,0,29.0,1997-04-05,75000,,18,1772,1,2.23,0,0.38,13.92,59.49,Japan,['Japan'],right,180,73,False,8.48,6.04,67.23,5.33,50.48,0.25,0.35000000000000003,0.51,4.16,5.8,0.51,2,0.1,0,0.0,0.76,0.05,1,0.05,0.11,0,0.0,10,0.51,30.0,10.0,0.0,0.56,63.64,0.1,0.0,0.46,77.78,0.0,0.30000000000000004,83.33,1.37,74.07,0.91,0.2,0.0,14.17,0.2,0.71,27.78,75.69,14.32,67.73,1.73,82.35,22.7,83.67,4.67,38.04,20.83,39.96,0.02,0.30000000000000004,0.0,0.05,0.0,0.0,0.2,4.42,55.17,0.86,47.06,0.2,25.0,0.25,0.30000000000000004,7.21,57.75,84.57,8.23,0,,0,,0,0.0,0.0,0.0,,,0.56,,5.33,0.0,0.0,0.0,0.0,0,0
