Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Buberg,Andrea Buberg Sæteren,-457655,Rosenborg,Rosenborg,https://cdn5.wyscout.com/photos/team/public/g4415_120x120.png,Toppserien,RCB,RCB,100,,0,,0,19.0,2007-02-21,0,,12,1189,0,0.4,0,0.6000000000000001,11.66,62.99,Norway,['Norway'],unknown,0,0,False,8.17,5.45,73.61,1.97,61.54,0.0,0.0,0.45,4.16,7.05,0.15,0,0.0,0,0.0,0.45,0.0,0,0.0,0.03,0,0.0,4,0.30000000000000004,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.38,100.0,2.5700000000000003,41.18,1.21,2.7199999999999998,0.53,54.05,0.23,0.30000000000000004,75.62,91.39,23.84,79.37,3.94,96.15,70.47,94.31,5.07,52.24,20.07,38.51,0.05,0.30000000000000004,0.08,0.08,0.08,100.0,0.08,11.35,80.67,1.21,56.25,0.23,33.33,0.8300000000000001,0.0,9.46,79.2,97.57,40.42,0,,0,,0,0.0,0.0,0.0,,,1.82,,1.97,0.0,0.0,0.0,0.0,0,0.0
M. Kokosz,Milena Kokosz,-248898,Rosenborg,Rosenborg,https://cdn5.wyscout.com/photos/team/public/g4415_120x120.png,Toppserien,LB,LB,100,,0,,0,24.0,2001-08-17,0,,12,1189,0,0.5700000000000001,2,3.7,10.9,52.78,Poland,['Poland'],unknown,0,0,False,5.3,4.77,63.49,0.76,80.0,0.0,0.0,0.08,2.27,3.85,0.68,1,0.08,0,0.0,3.33,0.0,0,0.0,0.04,0,0.0,11,0.8300000000000001,18.18,0.0,0.15,4.69,45.16,4.09,46.3,0.61,37.5,0.8300000000000001,1.3599999999999999,77.78,3.48,41.3,2.35,3.03,0.61,42.01,1.8900000000000001,0.23,52.15,80.55,20.44,75.93,9.84,94.62,44.74,86.13,2.95,48.72,17.58,33.88,0.28,2.2,0.0,0.0,0.08,0.0,0.8300000000000001,5.83,84.42,4.39,44.83,0.30000000000000004,50.0,0.91,1.97,11.2,69.59,81.28,14.15,0,,0,,0,0.0,0.0,0.0,,,0.76,,0.76,0.23,0.0,0.0,2.65,0,0.0
N. Eckhoff,Noor Hoelsbrekken Eckhoff,427099,Vålerenga,Vålerenga,https://cdn5.wyscout.com/photos/team/public/g10008_120x120.png,Toppserien,"LCB, LCB3",LCB,68,LCB3,26,,0,26.0,1999-12-06,0,,12,1185,1,0.63,0,0.0,11.54,65.13,Norway,['Norway'],,175,0,False,9.19,5.7,70.67,2.13,67.86,0.08,0.11,0.61,5.09,7.15,0.99,0,0.0,0,0.0,0.38,0.08,1,0.08,0.05,0,0.0,8,0.61,12.5,12.5,0.0,0.46,16.67,0.23,33.33,0.23,0.0,0.0,0.30000000000000004,75.0,2.35,54.84,0.84,0.91,0.0,51.57,0.15,0.84,70.18,90.69,27.57,82.64,5.16,97.06,65.32,93.72,4.48,52.54,19.72,33.95,0.0,0.08,0.08,0.08,0.0,0.0,0.0,9.65,81.89,0.76,40.0,0.08,0.0,0.30000000000000004,0.08,9.72,79.69,95.94,31.82,0,,0,,0,0.0,0.0,0.0,,,3.7199999999999998,,2.13,0.08,0.0,0.0,0.0,0,0.0
F. Aursland,Frida Kvale Aursland,-432413,Haugesund,Haugesund,https://cdn5.wyscout.com/photos/team/public/g-23191_120x120.png,Toppserien,GK,GK,100,,0,,0,19.0,2006-12-17,0,,12,1169,0,0.0,0,0.0,0.77,90.0,Norway,['Norway'],,0,0,False,1.54,0.15,50.0,0.31,100.0,0.0,0.0,0.0,1.46,1.71,0.08,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,9.62,0.08,0.23,21.17,73.09,13.7,62.92,0.08,100.0,11.93,93.55,9.16,47.06,30.03,41.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78,44.32,93.1,6.7,30,2.31,80,6.16,0,62.5,25.19,1.94,-4.8100000000000005,-0.37,0.08,1.62,0.31,,,,0.0,0,0.0
K. Nybru,Kristine Hustveit Nybru,-293067,Haugesund,Haugesund,https://cdn5.wyscout.com/photos/team/public/g-23191_120x120.png,Toppserien,"LCMF, DMF, RCMF",LCMF,34,DMF,27,RCMF,21,20.0,2005-11-02,0,,12,1169,4,2.27,2,2.8200000000000003,14.47,50.53,Norway,['Norway'],unknown,0,0,False,9.78,7.47,63.92,1.69,36.36,0.23,0.27,0.08,4.77,5.57,0.31,0,0.0,0,0.0,0.85,0.31,2,0.15,0.17,0,0.0,22,1.69,40.91,18.182,0.15,1.0,15.38,0.38,40.0,0.62,0.0,0.31,0.38,0.0,4.08,37.74,0.31,0.54,0.0,21.17,0.54,0.38,35.88,65.88,16.71,53.46,4.08,92.45,30.1,72.38,4.77,35.48,19.36,38.25,0.22,1.77,0.0,0.0,0.08,0.0,0.08,7.39,52.08,1.62,19.05,0.46,16.67,0.23,0.23,6.85,60.67,75.18,10.55,0,,0,,0,0.0,0.0,0.0,,,0.38,,1.69,1.77,0.31,25.0,4.16,2,100.0
S. Skoglund,Sunniva Skoglund,-81089,Stabæk,Stabæk,https://cdn5.wyscout.com/photos/team/public/g12930_120x120.png,Toppserien,GK,GK,100,,0,,0,24.0,2002-05-22,0,2027-07-31,12,1169,0,0.14,0,0.0,0.85,81.82,Norway,['Norway'],right,0,0,False,1.54,0.15,100.0,0.23,66.67,0.0,0.0,0.0,1.3900000000000001,1.57,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.08,0.0,0.0,23.87,0.08,0.38,39.73,78.1,21.79,61.84,0.0,0.0,24.33,96.84,15.24,48.99,29.89,42.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,23.26,0.31,0.0,0.23,0.0,0.0,0.0,11.32,58.5,98.05,15.78,12,0.92,67,5.16,4,82.09,18.0,1.3900000000000001,6.0,0.462,0.0,2.62,0.23,,,,0.0,0,0.0
E. Bølviken,Emilie Bølviken,477923,Stabæk,Stabæk,https://cdn5.wyscout.com/photos/team/public/g12930_120x120.png,Toppserien,LCB3,LCB3,95,,0,,0,26.0,2000-05-22,0,,12,1169,1,0.22,0,0.66,13.17,52.63,Norway,['Norway'],right,0,0,False,11.09,7.39,61.46,1.31,35.29,0.62,0.7000000000000001,0.62,5.93,6.72,0.6900000000000001,1,0.08,0,0.0,0.92,0.08,1,0.08,0.02,0,0.0,3,0.23,66.67,33.333,0.0,1.0,46.15,0.92,50.0,0.08,0.0,0.15,0.46,66.67,2.93,42.11,0.54,0.54,0.08,36.95,1.0,0.54,52.74,79.42,23.25,63.25,4.93,95.31,44.73,86.57,7.01,38.46,19.0,34.62,0.05,0.38,0.0,0.08,0.08,0.0,0.08,8.55,69.37,1.31,17.65,0.08,0.0,0.23,0.31,11.24,58.9,93.64,18.17,0,,0,,0,0.0,0.0,0.0,,,1.31,,1.31,0.08,0.0,0.0,0.0,0,0.0
K. Svandal,Kristina Svandal,-190133,Haugesund,Haugesund,https://cdn5.wyscout.com/photos/team/public/g-23191_120x120.png,Toppserien,CF,CF,78,,0,,0,22.0,2004-04-03,0,,12,1167,5,6.46,2,1.06,21.29,44.93,Norway,['Norway'],,0,0,False,7.25,7.33,66.32,3.93,47.06,0.0,0.0,0.15,2.39,2.79,1.08,2,0.15,0,0.0,2.01,0.39,5,0.39,0.5,2,0.15,41,3.16,51.22,12.195,0.15,0.23,33.33,0.15,50.0,0.08,0.0,0.0,0.85,36.36,7.79,26.73,3.7,0.62,0.08,12.49,1.47,1.0,20.67,70.15,5.48,43.66,4.94,85.94,20.28,70.72,0.15,50.0,13.89,9.12,0.08,0.54,0.0,0.0,0.15,0.0,0.39,1.85,54.17,0.6900000000000001,44.44,0.15,0.0,0.6900000000000001,0.08,2.39,35.48,80.0,4.63,0,,0,,0,0.0,0.0,0.0,,,0.08,,3.93,0.0,0.0,0.0,0.0,0,0.0
S. Panengstuen,Selma Panengstuen,-248950,Brann,Brann,https://cdn5.wyscout.com/photos/team/public/g-15245_120x120.png,Toppserien,GK,GK,100,,0,,0,23.0,2003-03-05,0,,12,1151,0,0.0,0,0.0,0.47000000000000003,100.0,Norway,['Norway'],unknown,0,0,False,0.78,0.0,0.0,0.08,100.0,0.0,0.0,0.0,0.78,1.32,0.0,0,0.0,0,0.0,0.16,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.31,100.0,0.0,0.0,0.0,19.7,0.0,0.23,26.9,89.53,8.44,73.15,0.08,0.0,22.6,97.23,4.3,49.09,24.12,42.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,42.86,97.3,17.36,3,0.23,16,1.25,9,81.25,4.61,0.36,1.6099999999999999,0.126,0.0,1.09,0.08,,,,0.0,0,0.0
J. Tynnilä,Joanna Tynnilä,518297,Brann,Brann,https://cdn5.wyscout.com/photos/team/public/g-15245_120x120.png,Toppserien,LCB,LCB,100,,0,,0,24.0,2001-09-01,0,,12,1151,2,1.3599999999999999,2,0.66,8.76,63.39,Finland,['Finland'],,170,0,False,5.4,3.75,79.17,1.4100000000000001,61.11,0.0,0.0,0.39,2.42,4.1,0.23,0,0.0,0,0.0,0.7000000000000001,0.16,2,0.16,0.11,1,0.08,12,0.9400000000000001,41.67,16.667,0.16,0.47000000000000003,16.67,0.39,20.0,0.08,0.0,0.16,0.23,100.0,2.9699999999999998,42.11,1.49,0.63,0.08,53.01,0.16,0.86,70.45,91.12,26.19,82.69,6.02,94.81,62.87,95.15,7.12,60.44,20.37,39.28,0.05,0.23,0.0,0.08,0.0,0.0,0.31,9.3,81.51,1.17,40.0,0.23,100.0,0.31,0.08,10.87,77.7,97.31,31.98,0,,0,,0,0.0,0.0,0.0,,,3.13,,1.4100000000000001,0.0,0.0,0.0,0.0,0,0.0
