Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ng Wai Him,Wai Him Ng,-183451,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,GK,GK,100,,0,,0,24,2002-06-30,0,,2,208,0,0.0,0,0.0,1.3,66.67,Hong Kong,['Hong Kong'],right,183,80,False,2.16,0.0,0.0,1.3,66.67,0.0,0.0,0.0,2.16,3.26,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,0.43,0.0,22.5,84.62,13.85,75.0,0.0,0.0,14.28,100.0,8.22,57.89,32.58,49.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3.89,88.89,100.0,8.65,3,1.3,9,3.89,0,66.67,5.11,2.21,2.11,0.913,0.0,2.6,1.3,,,,0.0,0,0
T. Inoue,Tatsuya Inoue,-606567,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,"LAMF, AMF",LAMF,51,AMF,35,,0,26,1999-10-26,0,,2,208,0,0.12,0,0.18,16.01,56.76,Japan,['Japan'],both,170,0,False,4.33,2.16,80.0,1.73,25.0,0.0,0.0,0.43,2.6,3.91,1.3,1,0.43,0,0.0,3.46,0.0,0,0.0,0.05,0,0.0,1,0.43,0.0,0.0,0.0,1.73,50.0,1.73,50.0,0.0,0.0,0.0,4.33,60.0,9.52,50.0,1.73,1.3,0.0,12.12,0.43,1.73,22.07,82.35,7.79,61.11,4.33,100.0,18.61,90.7,1.73,25.0,16.66,34.59,0.08,0.43,0.0,0.0,0.0,0.0,0.43,2.6,50.0,2.6,50.0,0.43,0.0,0.87,1.3,3.03,71.43,86.67,6.49,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.73,0.0,0.0,0.0,0.0,0,0
Fábio Erins,Fábio Erins de Matos,-210165,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,LCB,LCB,92,,0,,0,25,2001-03-15,0,,2,208,0,0.13,0,0.12,8.65,60.0,Brazil,['Brazil'],,192,83,False,6.92,4.33,80.0,1.73,50.0,0.0,0.0,1.3,3.46,5.22,1.73,2,0.87,0,0.0,0.87,0.0,0,0.0,0.06,0,0.0,2,0.87,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,50.0,1.3,33.33,1.73,1.3,0.0,22.93,0.0,0.0,32.45,89.33,11.25,84.62,3.46,100.0,29.42,92.65,3.03,57.14,21.11,38.03,0.05,0.43,0.0,0.0,0.0,0.0,0.0,5.19,75.0,0.0,0.0,0.43,100.0,0.43,0.0,4.76,72.73,94.74,16.44,0,,0,,0,0.0,0.0,0.0,,,2.6,,1.73,0.0,0.0,0.0,0.0,0,0
K. Kawase,Kota Kawase,475102,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,RCB,RCB,92,,0,,0,33,1992-11-08,175000,2027-05-31,2,208,0,0.0,0,0.0,9.09,57.14,Japan,['Japan'],right,190,0,False,9.09,3.89,55.56,2.16,100.0,0.43,0.65,0.43,6.49,9.78,0.87,1,0.43,0,0.0,0.43,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,100.0,1.3,33.33,0.0,0.43,0.0,26.39,0.0,0.0,38.51,79.78,17.31,65.0,3.03,100.0,31.59,90.41,6.92,31.25,24.99,47.22,0.0,0.0,0.43,0.0,0.0,0.0,0.0,6.49,26.67,1.73,0.0,0.87,0.0,0.0,0.0,8.22,57.89,94.29,15.14,0,,0,,0,0.0,0.0,0.0,,,2.6,,2.16,0.0,0.0,0.0,0.0,0,0
C. Hall,Calum Hall,492810,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,RB,RB,92,,0,,0,26,2000-08-03,0,,2,208,0,0.0,0,0.09,5.63,46.15,Scotland,['Scotland'],right,0,0,False,4.33,1.73,75.0,2.16,20.0,0.0,0.0,0.87,3.03,4.57,0.0,0,0.0,0,0.0,0.43,0.0,0,0.0,0.0,0,0.0,2,0.87,0.0,0.0,0.0,2.16,20.0,0.0,0.0,2.16,20.0,0.0,0.0,0.0,1.73,50.0,0.43,0.0,0.0,18.17,2.16,0.87,30.72,77.46,12.55,65.52,7.79,100.0,23.37,87.04,5.19,58.33,23.33,34.18,0.04,0.43,0.0,0.0,0.0,0.0,0.0,5.63,61.54,2.16,40.0,0.0,0.0,0.43,0.43,7.36,64.71,85.71,9.09,0,,0,,0,0.0,0.0,0.0,,,2.16,,2.16,1.3,0.43,0.0,0.43,0,0
Kwai-Wa Cheung,Kwai-Wa Cheung,-377000,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,GK,GK,100,,0,,0,22,2004-04-07,0,,2,207,0,0.0,0,0.0,0.87,100.0,Hong Kong,['Hong Kong'],unknown,183,0,False,1.74,0.43,100.0,0.0,0.0,0.0,0.0,0.0,1.3,1.48,0.0,0,0.0,0,0.0,0.43,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,100.0,0.43,100.0,0.0,0.0,0.0,5.65,0.0,0.0,11.3,84.62,7.83,77.78,0.0,0.0,6.96,100.0,4.35,60.0,25.79,34.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,57.14,100.0,3.04,5,2.17,9,3.91,0,44.44,3.35,1.45,-1.65,-0.717,0.0,0.0,0.0,,,,0.0,0,0
J. Kang,Jun-hyun Kang,-423217,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"LCB3, LCB",LCB3,66,LCB,33,,0,27,1999-04-13,0,,2,207,0,0.39,0,0.21,9.13,66.67,Korea Republic,['Korea Republic'],unknown,0,0,False,7.83,5.65,69.23,1.74,75.0,0.0,0.0,0.0,3.91,4.43,1.3,0,0.0,0,0.0,0.0,0.0,0,0.0,0.17,0,0.0,2,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,50.0,0.87,0.0,0.0,20.87,0.0,0.0,30.0,81.16,13.48,64.52,0.87,100.0,23.04,92.45,6.96,43.75,26.97,45.69,0.09,0.43,0.0,0.0,0.0,0.0,0.43,5.22,33.33,0.87,100.0,0.43,0.0,0.87,0.0,3.48,75.0,96.77,13.48,0,,0,,0,0.0,0.0,0.0,,,0.87,,1.74,1.74,0.0,0.0,0.0,0,0
A. Koudakpo,Adolph Koudakpo,-414029,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,CF,CF,95,,0,,0,27,1999-07-21,0,,2,207,0,0.0,0,0.31,22.17,43.14,Wales,['Wales'],right,190,0,False,4.35,2.17,100.0,6.09,28.57,0.0,0.0,0.0,2.17,2.46,0.87,0,0.0,0,0.0,0.87,0.0,0,0.0,0.0,0,0.0,1,0.43,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.43,0.0,0.0,2.61,33.33,10.0,43.48,1.74,1.74,0.43,5.65,0.0,3.04,10.0,69.57,0.87,50.0,4.35,90.0,9.57,72.73,0.0,0.0,11.95,0.0,0.14,0.87,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.43,0.0,42.86,3.04,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.09,0.0,0.0,0.0,0.0,0,0
Diego Eli,Diego Eli Moreira,113542,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"CB, RCB, DMF",CB,66,RCB,19,DMF,14,37,1988-09-04,50000,2027-05-31,2,207,0,0.0,0,0.0,10.0,52.17,Hong Kong,"['Hong Kong', 'Brazil']",right,181,76,False,7.39,4.35,60.0,0.87,50.0,0.0,0.0,0.43,4.78,5.41,1.3,2,0.87,0,0.0,0.43,0.0,0,0.0,0.0,0,0.0,1,0.43,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.87,50.0,2.61,33.33,0.0,1.74,0.0,30.43,0.0,0.43,46.96,87.04,22.17,82.35,2.61,100.0,35.65,96.34,10.0,65.22,25.13,47.34,0.0,0.43,0.0,0.0,0.0,0.0,0.0,6.96,75.0,1.74,75.0,0.0,0.0,1.3,0.0,12.17,71.43,88.89,19.57,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.87,1.3,0.0,0.0,0.0,0,0
Kessi,Kessi Isac dos Santos,286083,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"RCMF, LCMF, DMF",RCMF,50,LCMF,15,DMF,14,31,1994-10-26,250000,2027-05-31,2,207,1,0.93,0,0.0,16.09,51.35,Brazil,['Brazil'],right,179,72,False,5.65,3.04,42.86,5.22,50.0,0.87,0.98,0.43,3.48,3.93,1.74,1,0.43,0,0.0,0.87,0.43,1,0.43,0.4,0,0.0,6,2.61,33.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.17,60.0,0.87,0.87,0.0,26.52,0.0,0.87,40.87,80.85,15.22,68.57,3.48,87.5,36.09,86.75,4.78,36.36,17.18,40.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.43,54.17,0.87,0.0,0.0,0.0,0.0,0.0,8.26,68.42,92.31,16.96,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.22,0.87,0.87,0.0,0.0,1,0
