Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Segecic,Adrian Segecic,-163160,Portsmouth,Portsmouth,https://cdn5.wyscout.com/photos/team/public/38_120x120.png,Championship,"AMF, LAMF, LCMF3",AMF,70,LAMF,16,LCMF3,12,22.0,2004-06-01,400000,2028-06-30,4,399,1,1.5899999999999999,0,1.01,11.28,52.0,Australia,"['Australia', 'Serbia']",left,173,0,False,1.58,1.8,50.0,2.03,11.11,0.0,0.0,0.0,0.68,1.32,0.45,0,0.0,0,0.0,2.93,0.23,1,0.23,0.36,0,0.0,15,3.38,20.0,6.667,0.0,1.13,20.0,1.13,20.0,0.0,0.0,0.45,2.48,81.82,7.44,63.64,2.93,0.45,0.0,13.31,1.13,2.26,17.82,74.68,3.16,57.14,6.09,96.3,16.24,80.56,0.68,0.0,17.95,19.64,0.23,1.58,0.0,0.0,0.0,0.0,0.23,1.8,50.0,1.13,20.0,0.0,0.0,0.45,0.45,2.26,80.0,70.83,5.41,0,,0,,0,0.0,0.0,0.0,,,2.26,,2.03,2.03,0.68,33.33,4.06,0,0
T. Devlin,Terry Devlin,-137147,Portsmouth,Portsmouth,https://cdn5.wyscout.com/photos/team/public/38_120x120.png,Championship,RB,RB,91,,0,,0,22.0,2003-11-06,250000,2028-06-30,4,399,1,0.07,0,0.06,11.5,56.86,Northern Ireland,['Northern Ireland'],right,176,70,False,7.89,4.96,68.18,3.38,53.33,0.0,0.0,0.0,4.51,8.82,1.13,1,0.23,0,0.0,0.68,0.23,1,0.23,0.02,0,0.0,5,1.13,20.0,20.0,0.0,2.26,20.0,0.0,0.0,2.26,20.0,0.0,0.23,0.0,1.58,71.43,0.9,0.9,0.0,30.0,1.8,1.8,41.5,78.8,15.56,66.67,9.47,90.48,36.09,84.38,3.16,57.14,18.62,43.34,0.01,0.68,0.0,0.0,0.0,0.0,0.0,6.77,73.33,3.83,41.18,0.0,0.0,1.13,0.68,8.35,78.38,78.85,11.73,0,,0,,0,0.0,0.0,0.0,,,0.9,,3.38,0.23,0.0,0.0,0.0,0,0
A. Patterson,Anthony Patterson,453699,,Wrexham,,,GK,GK,100,,0,,0,26.0,2000-05-10,12000000,,4,398,0,0.0,0,0.0,0.23,0.0,England,['England'],right,188,77,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,10.18,0.0,0.0,19.9,88.64,11.08,79.59,0.0,0.0,11.31,98.0,8.59,76.32,34.98,50.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,55.56,0.23,100.0,0.0,0.0,0.23,0.0,6.5600000000000005,89.66,100.0,8.14,4,0.9,13,2.94,1,69.23,3.9699999999999998,0.9,-0.03,-0.007,0.0,1.58,0.0,,,,0.0,0,0
C. Doyle,Callum Doyle,-202937,Wrexham,Wrexham,https://cdn5.wyscout.com/photos/team/public/1588_120x120.png,Championship,LCB3,LCB3,100,,0,,0,22.0,2003-10-03,0,2029-06-30,4,398,1,1.03,0,0.11,14.02,56.45,England,['England'],left,190,85,False,8.59,3.84,52.94,6.11,55.56,0.0,0.0,0.68,6.5600000000000005,9.35,0.45,0,0.0,0,0.0,1.3599999999999999,0.23,1,0.23,0.23,0,0.0,7,1.58,57.14,14.286,0.0,1.13,20.0,1.13,20.0,0.0,0.0,0.23,0.23,100.0,2.04,66.67,1.81,1.13,0.23,40.25,0.9,0.9,54.5,78.42,26.23,66.38,4.97,95.45,47.71,84.36,5.65,40.0,20.38,48.04,0.02,0.45,0.23,0.0,0.23,0.0,0.45,10.18,62.22,2.49,27.27,0.68,33.33,0.23,0.45,12.21,62.96,88.57,15.83,0,,0,,0,0.0,0.0,0.0,,,0.9,,6.11,0.23,0.23,0.0,0.0,0,0
L. O'Brien,Lewis O'Brien,-69153,Wrexham,Wrexham,https://cdn5.wyscout.com/photos/team/public/1588_120x120.png,Championship,"LCMF, AMF",LCMF,70,AMF,29,,0,27.0,1998-10-14,5000000,2028-06-30,4,398,0,0.56,1,1.0,11.08,36.73,England,['England'],left,173,74,False,6.33,4.97,40.91,0.9,25.0,0.0,0.0,0.0,4.3,6.13,1.3599999999999999,0,0.0,0,0.0,0.23,0.0,0,0.0,0.13,0,0.0,3,0.68,0.0,0.0,0.23,0.9,25.0,0.45,50.0,0.45,0.0,0.23,0.68,0.0,4.52,40.0,0.9,0.68,0.23,35.95,0.9,1.3599999999999999,48.62,84.65,13.12,65.52,8.14,100.0,45.45,88.56,2.26,30.0,15.91,29.51,0.23,1.3599999999999999,0.0,0.0,0.0,0.0,0.23,5.88,69.23,0.9,25.0,0.0,0.0,0.0,0.23,3.62,43.75,88.61,17.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.9,1.13,0.0,0.0,2.49,0,0
D. Hyam,Dominic Hyam,343835,Wrexham,Wrexham,https://cdn5.wyscout.com/photos/team/public/1588_120x120.png,Championship,CB,CB,100,,0,,0,30.0,1995-12-20,2500000,2027-06-30,4,398,0,0.19,0,0.0,12.21,61.11,Scotland,"['Scotland', 'England']",right,188,70,False,9.27,3.17,64.29,7.46,63.64,0.0,0.0,0.9,7.24,10.32,0.9,1,0.23,0,0.0,0.0,0.0,0,0.0,0.04,0,0.0,1,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,30.3,0.0,1.13,41.61,89.67,13.57,76.67,1.58,100.0,36.86,92.64,4.75,66.67,16.95,25.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,72.73,0.0,0.0,0.0,0.0,0.0,0.0,6.5600000000000005,58.62,97.75,20.13,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,7.46,0.0,0.0,0.0,0.23,0,0
S. Langås,Sondre Klingen Langås,-186797,Derby County,Derby County,https://cdn5.wyscout.com/photos/team/public/40_120x120.png,Championship,"RB, LCB, RCB",RB,31,LCB,28,RCB,27,25.0,2001-02-02,1000000,2029-06-30,4,395,0,0.16,0,0.0,14.81,60.0,Norway,['Norway'],right,187,83,False,10.25,7.97,60.0,5.01,59.09,0.23,0.26,0.46,5.24,6.05,0.91,3,0.68,0,0.0,0.23,0.0,0,0.0,0.04,0,0.0,1,0.23,0.0,0.0,0.0,0.46,50.0,0.0,0.0,0.46,50.0,0.0,0.0,0.0,0.68,33.33,0.91,0.23,0.0,22.56,0.46,0.46,34.18,86.67,13.9,73.77,5.01,95.45,30.08,91.67,3.65,50.0,18.39,32.73,0.0,0.0,0.0,0.0,0.23,0.0,0.0,5.01,68.18,1.1400000000000001,60.0,0.23,0.0,0.46,0.23,5.01,68.18,93.62,10.71,0,,0,,0,0.0,0.0,0.0,,,2.05,,5.01,0.0,0.0,0.0,0.0,0,0
J. Widell Zetterström,Jacob Widell Zetterström,-85191,Derby County,Derby County,https://cdn5.wyscout.com/photos/team/public/40_120x120.png,Championship,GK,GK,100,,0,,0,28.0,1998-07-11,2500000,2027-06-30,4,395,0,0.17,0,0.0,0.23,100.0,Sweden,['Sweden'],right,197,84,False,0.23,0.0,0.0,0.23,100.0,0.0,0.0,0.0,0.23,0.26,0.0,0,0.0,0,0.0,0.23,0.0,0,0.0,0.04,0,0.0,1,0.23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,15.49,0.23,0.0,23.24,71.57,14.13,58.06,0.0,0.0,10.94,95.83,12.3,50.0,41.19,56.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,46.43,0.0,0.0,0.0,0.0,0.0,0.0,8.43,72.97,94.29,7.97,7,1.5899999999999999,25,5.7,1,72.0,7.29,1.6600000000000001,0.29,0.066,0.0,1.37,0.23,,,,0.0,0,0
C. Taylor,Charlie Taylor,201149,Derby County,Derby County,https://cdn5.wyscout.com/photos/team/public/40_120x120.png,Championship,"LB, LWB",LB,87,LWB,12,,0,32.0,1993-09-18,3000000,2027-06-30,4,395,0,0.01,0,0.0,11.39,50.0,England,['England'],left,183,72,False,10.71,5.92,61.54,2.73,33.33,0.23,0.26,1.37,6.84,7.89,0.91,1,0.23,0,0.0,0.68,0.0,0,0.0,0.0,0,0.0,2,0.46,0.0,0.0,0.0,1.5899999999999999,28.57,1.5899999999999999,28.57,0.0,0.0,0.23,0.23,100.0,2.05,44.44,0.46,0.0,0.23,25.97,0.91,0.46,34.18,77.33,14.81,61.54,6.15,100.0,27.57,88.43,5.01,31.82,20.51,40.06,0.0,0.23,0.0,0.0,0.0,0.0,0.0,3.87,47.06,1.37,33.33,0.23,0.0,0.0,0.46,4.78,47.62,81.08,8.43,0,,0,,0,0.0,0.0,0.0,,,0.91,,2.73,0.0,0.0,0.0,0.0,0,0
D. Sanderson,Dion Sanderson,453663,Derby County,Derby County,https://cdn5.wyscout.com/photos/team/public/40_120x120.png,Championship,"RCB, LCB, CB",RCB,59,LCB,27,CB,12,26.0,1999-12-15,3200000,2028-06-30,4,395,0,0.03,0,0.0,13.44,62.71,England,['England'],right,188,78,False,7.06,5.01,59.09,6.38,64.29,0.0,0.0,1.5899999999999999,4.1,4.74,1.1400000000000001,2,0.46,0,0.0,0.23,0.0,0,0.0,0.01,0,0.0,1,0.23,0.0,0.0,0.0,0.46,50.0,0.0,0.0,0.46,50.0,0.0,0.23,0.0,0.91,50.0,0.68,0.46,0.0,24.61,0.0,0.68,35.77,91.08,10.48,78.26,3.19,100.0,31.44,94.2,3.87,70.59,23.02,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,84.21,0.23,100.0,0.0,0.0,0.23,0.23,5.47,66.67,96.55,19.82,0,,0,,0,0.0,0.0,0.0,,,2.73,,6.38,0.0,0.0,0.0,0.0,0,0
