Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Córdova,Matías Córdova Espinel,-60963,Comerciantes Unidos,Comerciantes Unidos,https://cdn5.wyscout.com/photos/team/public/g17195_120x120.png,Primera División,GK,GK,100,,0,,0,24.0,2002-05-06,100000,2027-12-31,24,2433,0,0.0,0,0.0,0.44,91.67,Peru,['Peru'],right,195,84,False,0.55,0.07,50.0,0.22,100.0,0.0,0.0,0.0,0.52,0.84,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,6.18,0.15,0.26,11.95,78.95,6.18,62.87,0.0,0.0,7.95,95.35,3.96,46.73,34.58,50.33,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.5899999999999999,41.86,0.11,0.0,0.07,0.0,0.0,0.0,3.22,58.62,96.6,5.44,33,1.22,108,4.0,5,69.44,30.32,1.12,-2.68,-0.099,0.0,1.4100000000000001,0.22,,,,0.0,0,0.0
M. Vega,Matías Alejandro Vega,59265,Juan Pablo II College,Juan Pablo II College,https://cdn5.wyscout.com/photos/team/public/g-23170_120x120.png,Primera División,GK,GK,100,,0,,0,40.0,1986-04-18,25000,2026-12-31,24,2432,0,0.0,0,0.0,0.93,80.0,Argentina,['Argentina'],right,191,79,False,1.33,0.19,40.0,0.48,92.31,0.04,0.05,0.0,1.22,1.76,0.0,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.19,100.0,0.0,0.0,0.0,5.11,0.11,0.37,11.77,72.01,8.33,64.44,0.0,0.0,5.11,94.93,6.59,54.49,39.16,50.56,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.92,46.15,0.07,0.0,0.04,0.0,0.0,0.0,4.96,66.42,90.12,3.0,50,1.85,133,4.92,2,62.41,46.17,1.71,-3.83,-0.14200000000000002,0.0,1.5899999999999999,0.48,,,,0.0,0,0.0
R. Tapia,Rodrigo Ernesto Tapia,432114,Atlético Grau,Atlético Grau,https://cdn5.wyscout.com/photos/team/public/3746_120x120.png,Primera División,"RCB3, RCB, RB",RCB3,38,RCB,34,RB,24,31.0,1994-09-28,250000,2026-12-31,24,2411,1,0.37,0,0.34,9.82,60.46,Argentina,['Argentina'],right,184,82,False,9.56,5.34,61.54,2.5,59.7,0.52,0.71,0.45,5.75,7.86,0.9,3,0.11,0,0.0,0.41000000000000003,0.04,1,0.04,0.01,1,0.04,6,0.22,33.33,16.667,0.0,0.49,53.85,0.0,0.0,0.49,53.85,0.04,0.07,100.0,0.63,58.82,0.52,0.26,0.04,20.27,0.6000000000000001,0.34,33.6,80.33,18.29,72.65,2.8,92.0,27.59,87.01,5.52,49.32,21.18,36.94,0.01,0.37,0.0,0.0,0.0,0.0,0.11,5.15,68.12,0.86,60.87,0.11,66.67,0.26,0.26,9.26,68.55,91.25,8.96,0,,0,,0,0.0,0.0,0.0,,,1.49,,2.5,0.0,0.0,0.0,0.0,0,0.0
P. Zubczuk,Patrick Sergei Zubczuk Meléndez,349869,Deportivo Garcilaso,Deportivo Garcilaso,https://cdn5.wyscout.com/photos/team/public/g37890_120x120.png,Primera División,GK,GK,100,,0,,0,31.0,1995-02-21,425000,2027-12-31,24,2405,0,0.0,0,0.03,0.67,88.89,Peru,"['Peru', 'Argentina']",right,188,78,False,0.64,0.11,66.67,0.30000000000000004,100.0,0.0,0.0,0.0,0.56,0.79,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,9.06,0.19,0.15,16.39,79.45,10.29,68.36,0.0,0.0,9.17,97.96,7.22,55.96,37.96,54.79,0.0,0.04,0.0,0.0,0.0,0.0,0.04,2.58,42.03,0.45,0.0,0.26,14.29,0.0,0.0,4.94,72.73,97.95,5.46,21,0.79,104,3.89,10,79.81,27.55,1.03,6.55,0.245,0.0,1.98,0.30000000000000004,,,,0.0,0,0.0
D. Enriquez,Diego Mauricio Enriquez Gutierrez,-60964,Sporting Cristal,Sporting Cristal,https://cdn5.wyscout.com/photos/team/public/541_120x120.png,Primera División,GK,GK,100,,0,,0,24.0,2002-01-24,0,2027-12-31,24,2404,0,0.0,0,0.0,0.41000000000000003,54.55,Peru,['Peru'],right,183,76,False,0.9400000000000001,0.19,20.0,0.07,100.0,0.04,0.06,0.0,0.86,1.46,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,13.85,0.22,0.07,21.68,92.92,8.91,84.45,0.11,100.0,17.37,98.92,4.27,69.3,26.91,40.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,42.86,0.04,0.0,0.04,100.0,0.0,0.0,3.11,74.7,99.05,11.83,38,1.42,113,4.23,4,66.37,32.64,1.22,-5.36,-0.201,0.0,0.79,0.07,,,,0.0,0,0.0
A. Zamudio,Ángel Gustavo Zamudio Chávez,404023,Sport Huancayo,Sport Huancayo,https://cdn5.wyscout.com/photos/team/public/1671_120x120.png,Primera División,GK,GK,100,,0,,0,29.0,1997-04-21,500000,2027-12-31,24,2392,0,0.0,0,0.0,0.38,100.0,Peru,['Peru'],right,185,79,False,1.13,0.15,100.0,0.19,100.0,0.0,0.0,0.0,0.98,1.43,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.15,0.11,13.96,84.37,8.35,78.38,0.0,0.0,9.18,99.18,4.74,56.35,32.6,45.84,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.17,51.61,0.08,0.0,0.11,0.0,0.04,0.0,3.76,71.0,93.43,5.15,41,1.54,104,3.91,4,60.58,33.83,1.27,-7.17,-0.27,0.0,0.8300000000000001,0.19,,,,0.0,0,0.0
A. Gómez,Agustín Gómez,492658,Deportivo Garcilaso,Deportivo Garcilaso,https://cdn5.wyscout.com/photos/team/public/g37890_120x120.png,Primera División,"LCB, RCB",LCB,50,RCB,44,,0,30.0,1996-08-28,0,2026-12-31,24,2382,0,1.72,0,0.01,8.99,60.5,Argentina,['Argentina'],both,187,84,False,9.03,3.63,66.67,3.48,55.43,0.11,0.16,0.72,6.5,9.1,0.53,2,0.08,0,0.0,0.23,0.0,0,0.0,0.06,0,0.0,11,0.42,9.09,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.26,71.43,0.8300000000000001,68.18,0.53,0.30000000000000004,0.11,18.93,0.23,0.23,32.64,78.36,15.34,63.55,1.1,82.76,26.75,86.58,5.86,41.29,23.58,45.39,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.7,36.73,0.49,7.69,0.26,42.86,0.08,0.0,6.08,52.8,94.03,13.3,0,,0,,0,0.0,0.0,0.0,,,0.72,,3.48,0.0,0.0,0.0,0.0,0,0.0
M. Gaona,Marcelo Enrique Gaona Flores,-60898,Sport Huancayo,Sport Huancayo,https://cdn5.wyscout.com/photos/team/public/1671_120x120.png,Primera División,"RCB, LCB",RCB,74,LCB,13,,0,27.0,1999-03-26,325000,2028-12-31,24,2360,0,0.66,1,0.25,9.72,61.57,Peru,['Peru'],right,180,73,False,8.31,3.7,74.23,4.54,52.1,0.42,0.62,0.5,5.15,7.5600000000000005,0.65,4,0.15,0,0.0,0.19,0.0,0,0.0,0.03,0,0.0,7,0.27,28.57,0.0,0.04,0.15,50.0,0.04,0.0,0.11,66.67,0.0,0.04,100.0,0.53,50.0,0.5,0.11,0.08,19.14,0.5,0.15,33.25,84.52,14.26,72.19,1.6800000000000002,93.18,27.88,90.83,5.26,51.45,22.84,41.08,0.01,0.11,0.0,0.0,0.0,0.0,0.08,4.19,60.0,0.5,23.08,0.27,28.57,0.15,0.08,6.06,67.92,96.83,14.45,0,,0,,0,0.0,0.0,0.0,,,1.26,,4.54,0.0,0.0,0.0,0.0,0,0.0
R. Salcedo,Ricardo Enrique Salcedo Smith,116021,Sport Huancayo,Sport Huancayo,https://cdn5.wyscout.com/photos/team/public/1671_120x120.png,Primera División,"DMF, LDMF, LCMF",DMF,32,LDMF,30,LCMF,23,36.0,1990-03-23,225000,2026-12-31,24,2329,1,1.57,1,0.18,14.61,56.61,Peru,['Peru'],right,175,70,False,9.39,7.84,64.04,1.51,43.59,0.85,1.23,0.23,3.52,5.1,1.78,5,0.19,1,0.04,0.66,0.04,1,0.04,0.06,0,0.0,17,0.66,29.41,5.882,0.04,0.23,0.0,0.12,0.0,0.12,0.0,0.12,0.7000000000000001,66.67,4.13,46.73,0.39,0.7000000000000001,0.12,18.01,0.35000000000000003,1.12,29.76,86.88,9.97,79.07,3.25,90.48,27.09,90.44,2.47,54.69,17.54,32.16,0.01,0.27,0.04,0.08,0.0,0.0,0.08,4.37,86.73,0.81,57.14,0.04,0.0,0.43,0.0,4.64,70.83,92.12,11.28,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.51,0.0,0.0,0.0,0.0,0,0.0
M. Lliuya,Marcos Alexander Lliuya Campos,420896,UTC Cajamarca,UTC Cajamarca,https://cdn5.wyscout.com/photos/team/public/g6809_120x120.png,Primera División,"AMF, CF, LCMF",AMF,44,CF,24,LCMF,13,34.0,1992-03-27,450000,2026-12-31,24,2292,4,2.38,4,3.87,8.56,46.79,Peru,['Peru'],right,170,71,False,1.34,1.26,59.38,0.12,0.0,0.0,0.0,0.0,0.59,0.91,0.24,2,0.08,0,0.0,2.79,0.16,3,0.12,0.09,0,0.0,46,1.81,39.13,8.696,0.16,1.22,32.26,0.71,33.33,0.51,30.77,0.31,2.32,69.49,6.52,48.8,0.51,1.69,0.12,38.48,1.06,1.18,45.79,83.88,17.55,76.51,5.42,94.93,37.19,89.55,7.42,63.49,19.79,36.99,0.15,2.0,0.04,0.08,0.08,100.0,0.51,12.13,80.26,3.65,40.86,1.34,38.24,1.18,0.47000000000000003,11.11,91.17,88.52,15.39,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.12,1.26,0.43,54.55,2.75,1,100.0
