Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ó. Ásgeirsson,Ólafur Örn Ásgeirsson,-254846,HK,HK,https://cdn5.wyscout.com/photos/team/public/4068_120x120.png,1. Deild,GK,GK,100,,0,,0,23.0,2003-04-02,0,,18,1749,0,0.0,1,0.8,1.13,86.36,Iceland,['Iceland'],,0,0,False,2.26,0.1,0.0,0.51,100.0,0.0,0.0,0.0,2.26,2.99,0.0,1,0.05,0,0.0,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.51,90.0,0.0,0.0,0.0,22.23,0.21,0.36,36.64,79.78,22.69,69.84,0.0,0.0,21.97,95.08,14.56,57.24,33.63,50.23,0.04,0.1,0.0,0.0,0.0,0.0,0.1,5.61,39.45,0.67,23.08,1.03,25.0,0.05,0.0,10.29,74.0,96.36,12.71,33,1.7000000000000002,107,5.51,3,69.16,27.62,1.42,-5.38,-0.277,0.0,1.7000000000000002,0.51,,,,0.0,0,0.0
O. Ólafsson,Ólafur Íshólm Ólafsson,245841,Leiknir Reykjavík,Leiknir Reykjavík,https://cdn5.wyscout.com/photos/team/public/g6138_120x120.png,1. Deild,GK,GK,100,,0,,0,31.0,1995-05-08,75000,,18,1728,0,0.0,0,0.0,0.68,76.92,Iceland,['Iceland'],right,0,0,False,1.82,0.05,100.0,0.47000000000000003,66.67,0.05,0.07,0.05,1.72,2.23,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,10.52,0.1,0.21,20.47,82.19,11.93,73.36,0.0,0.0,12.71,96.72,7.71,58.78,32.08,49.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,35.29,0.16,0.0,0.26,20.0,0.0,0.0,5.94,67.54,95.17,7.55,27,1.4100000000000001,101,5.26,4,73.27,33.12,1.73,6.12,0.319,0.0,1.46,0.47000000000000003,,,,0.0,0,0.0
V. Sigurjonsson,Vilhelm Thrainn Sigurjonsson,509669,ÍR,ÍR,https://cdn5.wyscout.com/photos/team/public/4069_120x120.png,1. Deild,GK,GK,100,,0,,0,24.0,2002-05-17,25000,,18,1724,0,0.0,0,0.0,0.9400000000000001,100.0,Iceland,['Iceland'],,193,88,False,2.66,0.21,100.0,0.63,100.0,0.1,0.12,0.0,2.35,2.68,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,9.4,0.1,0.21,21.04,81.64,12.16,72.1,0.1,50.0,13.89,96.99,7.1,52.21,31.57,47.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,44.68,0.26,20.0,0.16,100.0,0.05,0.0,5.12,71.43,95.24,7.67,39,2.04,96,5.01,2,59.38,28.99,1.51,-10.01,-0.523,0.0,3.13,0.63,,,,0.0,0,0.0
Xabi Cárdenas,Xabier Cárdenas Añorga,-94549,Völsungur,Völsungur,https://cdn5.wyscout.com/photos/team/public/g3021_120x120.png,1. Deild,"LCB, RCB, RCMF",LCB,22,RCB,18,RCMF,12,28.0,1998-01-01,0,2026-11-16,18,1719,1,1.18,1,0.41000000000000003,18.06,54.2,Spain,['Spain'],right,188,75,False,11.99,7.59,69.66,3.3,55.56,0.63,0.68,0.58,6.07,6.58,1.1,3,0.16,0,0.0,0.26,0.05,1,0.05,0.06,0,0.0,6,0.31,16.67,16.667,0.05,0.31,33.33,0.1,50.0,0.21,25.0,0.0,0.37,28.57,4.71,31.11,0.89,0.89,0.16,30.68,0.31,0.68,46.96,85.4,18.22,73.85,5.71,98.17,41.52,90.16,5.13,50.0,18.84,31.22,0.02,0.21,0.05,0.05,0.0,0.0,0.26,5.08,70.1,0.42,50.0,0.16,66.67,0.26,0.05,6.8100000000000005,60.77,94.25,16.39,0,,0,,0,0.0,0.0,0.0,,,1.88,,3.3,0.05,0.0,0.0,0.0,0,0.0
G. Smit,Guy Smit,430423,Njardvík,Njardvík,https://cdn5.wyscout.com/photos/team/public/g2507_120x120.png,1. Deild,GK,GK,100,,0,,0,30.0,1996-01-19,75000,2027-12-31,18,1708,0,0.0,0,0.0,0.84,75.0,Netherlands,['Netherlands'],,195,85,False,2.48,0.11,50.0,0.53,90.0,0.05,0.07,0.0,2.37,3.13,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,33.33,0.0,0.0,0.0,18.28,0.21,0.11,30.61,79.86,19.07,70.99,0.0,0.0,18.76,94.66,11.8,56.25,31.78,46.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,46.3,0.11,0.0,0.63,41.67,0.0,0.0,8.91,68.64,94.42,10.38,23,1.21,66,3.48,7,65.15,21.3,1.12,-1.7000000000000002,-0.09,0.0,1.48,0.53,,,,0.0,0,0.0
D. Vladisavljević,Djordje Vladisavljević,-322240,Leiknir Reykjavík,Leiknir Reykjavík,https://cdn5.wyscout.com/photos/team/public/g6138_120x120.png,1. Deild,LCB,LCB,100,,0,,0,24.0,2002-07-23,0,,18,1698,1,0.41000000000000003,0,0.13,10.76,60.1,Serbia,['Serbia'],left,188,0,False,8.69,4.13,73.08,3.5,48.48,0.32,0.41000000000000003,0.85,5.35,6.97,0.58,3,0.16,0,0.0,0.27,0.05,1,0.05,0.02,0,0.0,2,0.11,50.0,50.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.21,75.0,1.33,56.0,0.32,0.8,0.0,28.25,0.11,0.9,46.54,85.65,20.88,76.65,2.54,91.67,38.48,91.18,8.06,59.21,21.81,36.32,0.01,0.21,0.0,0.0,0.05,100.0,0.11,7.31,68.12,0.53,50.0,0.64,50.0,0.27,0.0,10.81,68.14,94.29,20.41,0,,0,,0,0.0,0.0,0.0,,,1.8,,3.5,0.0,0.0,0.0,0.0,0,0.0
D. Radić,Dominik Radić,362637,HK,HK,https://cdn5.wyscout.com/photos/team/public/4068_120x120.png,1. Deild,CF,CF,100,,0,,0,30.0,1996-07-26,0,2028-12-31,18,1686,12,11.17,1,2.19,23.06,37.73,Germany,"['Germany', 'Croatia']",right,188,83,False,3.68,2.7800000000000002,59.62,7.1,43.61,0.05,0.07,0.05,1.98,2.63,0.53,1,0.05,0,0.0,2.56,0.64,12,0.64,0.6000000000000001,3,0.16,53,2.83,43.4,22.642,0.05,0.6900000000000001,23.08,0.27,20.0,0.43,25.0,0.11,1.81,64.71,10.52,27.41,4.8,1.23,0.32,9.72,2.19,0.59,15.75,72.2,4.27,57.5,3.84,94.44,14.63,75.91,0.43,25.0,15.44,12.7,0.12,0.8,0.05,0.05,0.0,0.0,0.11,1.6,66.67,0.91,64.71,0.0,0.0,0.85,0.16,1.71,56.25,78.26,3.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.1,0.0,0.0,0.0,0.0,0,0.0
A. Kristjánsson,Arnar Pálmi Kristjánsson,-124396,Völsungur,Völsungur,https://cdn5.wyscout.com/photos/team/public/g3021_120x120.png,1. Deild,"LB, LB5",LB,72,LB5,22,,0,24.0,2002-07-11,0,,18,1686,1,0.33,3,3.27,12.54,54.89,Iceland,['Iceland'],,0,0,False,10.3,5.87,68.18,1.87,40.0,0.05,0.06,0.43,6.25,6.76,0.27,2,0.11,0,0.0,2.4,0.05,1,0.05,0.02,0,0.0,13,0.6900000000000001,38.46,7.692,0.16,4.91,28.26,4.54,28.24,0.32,33.33,0.32,1.07,70.0,3.36,42.86,1.12,2.24,0.21,28.93,2.62,0.43,41.21,65.93,18.79,61.08,5.18,86.6,31.39,75.85,5.23,38.78,20.22,37.63,0.17,1.23,0.05,0.05,0.11,0.0,0.43,5.66,58.49,4.06,35.53,0.43,25.0,0.64,1.44,11.48,60.93,61.29,9.93,0,,0,,0,0.0,0.0,0.0,,,0.21,,1.87,0.91,0.27,40.0,2.14,0,0.0
E. Sigurbjörnsson,Eiður Aron Sigurbjörnsson,78792,Njardvík,Njardvík,https://cdn5.wyscout.com/photos/team/public/g2507_120x120.png,1. Deild,CB,CB,88,,0,,0,36.0,1990-02-26,75000,2026-12-31,18,1682,1,1.01,1,0.39,9.52,59.55,Iceland,['Iceland'],right,187,81,False,7.71,3.26,62.3,4.55,62.35,0.16,0.21,0.43,5.51,7.24,0.64,1,0.05,0,0.0,0.48,0.05,1,0.05,0.05,1,0.05,10,0.54,20.0,10.0,0.05,0.32,83.33,0.16,100.0,0.11,50.0,0.05,0.11,50.0,0.27,40.0,0.8,0.8,0.0,37.46,0.21,0.11,55.97,86.71,23.86,76.01,4.44,96.39,47.73,93.39,7.92,46.62,20.91,38.03,0.02,0.11,0.0,0.05,0.05,100.0,0.21,7.17,57.46,0.54,30.0,0.54,30.0,0.16,0.27,9.74,69.23,95.49,22.53,0,,0,,0,0.0,0.0,0.0,,,3.69,,4.55,0.0,0.0,0.0,0.0,0,0.0
O. Helgason,Olafur Kristofer Helgason,-103238,Fylkir,Fylkir,https://cdn5.wyscout.com/photos/team/public/2939_120x120.png,1. Deild,GK,GK,100,,0,,0,23.0,2002-10-24,75000,2027-12-31,17,1644,0,0.0,0,0.0,1.26,78.26,Iceland,['Iceland'],right,0,0,False,2.74,0.16,33.33,0.66,91.67,0.0,0.0,0.0,2.68,3.6,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,66.67,0.0,0.0,0.0,19.98,0.27,0.27,34.05,82.32,21.57,72.59,0.0,0.0,22.55,98.54,11.44,50.72,32.03,53.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,33.33,0.71,0.0,0.38,0.0,0.05,0.0,8.7,66.04,99.53,11.66,28,1.53,81,4.43,4,65.43,24.69,1.35,-3.31,-0.181,0.0,1.8599999999999999,0.66,,,,0.0,0,0.0
