Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ž. Lipušček,Žiga Lipušček,378649,FK RFS,FK RFS,https://cdn5.wyscout.com/photos/team/public/g6676_120x120.png,Virsliga,"LCB, CB, LCB3",LCB,74,CB,14,LCB3,11,29.0,1997-01-05,800000,2027-06-30,15,1434,4,1.6600000000000001,1,0.11,11.49,67.21,Slovenia,['Slovenia'],left,199,88,False,5.21,3.7,71.19,4.77,68.42,0.0,0.0,0.63,2.5700000000000003,4.5600000000000005,1.07,3,0.19,0,0.0,0.56,0.25,4,0.25,0.1,4,0.25,15,0.9400000000000001,40.0,26.667,0.06,0.19,33.33,0.06,0.0,0.13,50.0,0.0,0.25,50.0,1.76,57.14,1.0,1.19,0.0,44.25,0.38,0.63,57.18,91.22,23.22,83.24,2.51,100.0,50.52,95.9,6.46,56.31,20.48,42.69,0.01,0.25,0.0,0.06,0.06,0.0,0.0,8.54,74.26,0.9400000000000001,53.33,0.38,16.67,0.5,0.06,9.23,83.67,96.6,23.97,0,,0,,0,0.0,0.0,0.0,,,1.26,,4.77,0.0,0.0,0.0,0.0,0,0
M. Ošs,Mārcis Ošs,182297,SK Super Nova,SK Super Nova,https://cdn5.wyscout.com/photos/team/public/g4151_120x120.png,Virsliga,"RCB, CB",RCB,73,CB,26,,0,34.0,1991-07-25,175000,2026-11-30,15,1424,3,2.11,0,0.15,14.16,64.29,Latvia,['Latvia'],right,192,82,False,7.33,3.92,77.42,6.64,69.52,0.32,0.39,0.63,3.98,4.92,0.51,2,0.13,0,0.0,0.44,0.19,3,0.19,0.13,1,0.06,18,1.1400000000000001,33.33,16.667,0.0,0.25,0.0,0.0,0.0,0.19,0.0,0.0,0.32,20.0,1.71,37.04,1.9,0.38,0.13,14.28,0.32,0.7000000000000001,27.3,82.64,11.06,70.29,2.65,92.86,22.37,89.27,4.68,55.41,22.27,40.48,0.01,0.06,0.0,0.0,0.0,0.0,0.0,3.03,56.25,0.51,37.5,0.13,100.0,0.44,0.0,4.68,60.81,94.44,11.38,0,,0,,0,0.0,0.0,0.0,,,1.52,,6.64,0.0,0.0,0.0,0.0,0,0
A. Dvořák,Adam Dvořák,-127682,FS Jelgava,FS Jelgava,https://cdn5.wyscout.com/photos/team/public/g-15586_120x120.png,Virsliga,GK,GK,100,,0,,0,21.0,2004-07-28,0,,15,1418,0,0.0,1,0.62,1.21,73.68,Czech Republic,['Czech Republic'],left,189,78,False,1.21,0.0,0.0,0.76,66.67,0.0,0.0,0.0,1.21,1.4,0.06,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,80.0,0.0,0.0,0.0,10.35,0.38,0.32,18.09,75.09,11.87,64.17,0.06,100.0,8.0,98.41,10.03,56.96,38.04,49.29,0.04,0.06,0.0,0.0,0.0,0.0,0.06,3.62,47.37,0.38,50.0,0.38,33.33,0.25,0.0,6.85,73.15,96.84,6.03,29,1.8399999999999999,75,4.76,3,61.33,25.74,1.63,-3.26,-0.20700000000000002,0.06,1.9,0.76,,,,0.0,0,0
A. Černomordijs,Antonijs Černomordijs,302570,Riga FC,Riga FC,https://cdn5.wyscout.com/photos/team/public/g33093_120x120.png,Virsliga,RCB,RCB,88,,0,,0,29.0,1996-09-26,425000,,15,1417,1,0.38,4,0.84,9.53,54.67,Latvia,['Latvia'],right,190,78,False,5.59,3.43,72.22,2.67,47.62,0.0,0.0,0.25,3.11,6.02,1.08,4,0.25,0,0.0,0.25,0.06,1,0.06,0.02,1,0.06,4,0.25,50.0,25.0,0.25,0.13,50.0,0.0,0.0,0.13,50.0,0.0,0.25,25.0,1.8399999999999999,44.83,0.76,1.21,0.0,50.3,0.7000000000000001,0.44,65.67,91.49,28.2,85.14,1.97,93.55,59.83,95.22,5.72,53.33,20.79,40.66,0.05,0.32,0.0,0.0,0.0,0.0,0.19,10.23,80.12,0.44,14.29,0.5700000000000001,33.33,0.32,0.06,11.75,82.7,96.11,31.0,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,2.67,0.0,0.0,0.0,0.0,0,0
R. Jurkovskis,Raivis Jurkovskis,359153,Riga FC,Riga FC,https://cdn5.wyscout.com/photos/team/public/g33093_120x120.png,Virsliga,"RB, LB",RB,76,LB,20,,0,29.0,1996-12-09,400000,2026-11-13,15,1412,0,0.23,3,2.66,10.64,52.1,Latvia,['Latvia'],right,187,73,False,5.93,4.4,68.12,1.85,41.38,0.13,0.25,0.38,2.8,5.41,0.5700000000000001,2,0.13,0,0.0,3.8200000000000003,0.0,0,0.0,0.01,0,0.0,9,0.5700000000000001,11.11,0.0,0.19,6.06,42.11,1.02,25.0,4.97,44.87,0.76,1.98,61.29,3.63,42.11,2.42,2.04,0.5700000000000001,42.77,2.55,0.19,54.69,81.82,21.16,78.31,7.78,95.08,45.0,88.95,3.76,57.63,18.87,37.65,0.17,1.15,0.0,0.06,0.0,0.0,0.7000000000000001,7.14,73.21,5.23,63.41,0.51,37.5,1.53,2.42,11.6,84.62,85.5,17.15,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.85,0.0,0.0,0.0,0.0,0,0
K. Čudars,Kristers Čudars,447907,Ogre United,Ogre United,https://cdn5.wyscout.com/photos/team/public/g-21229_120x120.png,Virsliga,"LCMF, RCMF",LCMF,38,RCMF,26,,0,26.0,1999-09-03,75000,2026-11-30,15,1392,5,3.7800000000000002,1,0.78,19.2,45.45,Latvia,['Latvia'],right,186,80,False,8.02,7.11,50.0,4.27,53.03,0.13,0.16,0.52,4.33,5.21,2.7800000000000002,2,0.13,0,0.0,1.3599999999999999,0.32,2,0.13,0.24,1,0.06,29,1.88,20.69,17.241,0.06,0.71,36.36,0.26,25.0,0.39,50.0,0.19,1.23,57.89,5.17,38.75,1.42,0.97,0.13,21.08,1.29,1.3599999999999999,34.78,74.16,13.25,63.41,5.11,92.41,28.9,78.52,5.17,55.0,18.73,36.07,0.05,0.45,0.0,0.06,0.0,0.0,0.13,5.82,64.44,1.6800000000000002,38.46,0.32,60.0,0.58,0.32,7.63,69.49,80.63,10.34,0,,0,,0,0.0,0.0,0.0,,,0.32,,4.27,0.13,0.06,0.0,0.06,3,100
S. Panić,Stefan Panić,203004,FK RFS,FK RFS,https://cdn5.wyscout.com/photos/team/public/g6676_120x120.png,Virsliga,"RCMF, LCMF, DMF",RCMF,39,LCMF,33,DMF,13,33.0,1992-09-20,400000,2026-12-15,15,1376,6,4.88,0,0.43,16.61,60.63,Serbia,['Serbia'],both,193,85,False,9.55,6.74,60.19,5.82,73.03,0.46,0.81,0.2,5.04,8.92,1.5,1,0.07,0,0.0,1.44,0.39,3,0.2,0.32,1,0.07,22,1.44,50.0,27.273,0.0,0.39,100.0,0.0,0.0,0.39,100.0,0.0,0.46,57.14,2.35,47.22,0.98,0.72,0.0,60.57,0.39,0.78,81.04,91.93,30.35,85.13,9.55,96.58,76.59,93.6,4.06,59.68,17.31,37.74,0.03,0.26,0.07,0.0,0.07,100.0,0.2,13.28,83.74,1.96,76.67,0.59,55.56,0.98,0.39,11.64,85.96,96.75,28.19,0,,0,,0,0.0,0.0,0.0,,,0.85,,5.82,0.13,0.13,50.0,0.0,3,100
E. Bongemba,Edvin Bongemba,-293246,FK Auda,FK Auda,https://cdn5.wyscout.com/photos/team/public/g1396_120x120.png,Virsliga,"LCMF, LCMF3",LCMF,83,LCMF3,11,,0,22.0,2004-01-14,0,,15,1356,1,2.41,2,0.66,18.14,48.84,France,['France'],right,0,0,False,5.34,4.08,70.69,2.18,48.39,0.0,0.0,0.0,2.46,4.3,0.7000000000000001,0,0.0,0,0.0,2.32,0.07,1,0.07,0.17,1,0.07,23,1.62,21.74,4.348,0.14,0.84,41.67,0.63,44.44,0.21,33.33,0.07,2.39,61.76,10.2,42.07,1.83,1.76,0.21,22.5,0.35000000000000003,2.11,33.96,85.3,7.87,72.32,7.66,96.33,30.94,88.86,2.18,51.61,15.67,32.74,0.05,0.84,0.07,0.0,0.21,66.67,0.35000000000000003,3.94,71.43,1.83,50.0,0.63,22.22,0.7000000000000001,0.35000000000000003,3.73,75.47,85.81,10.9,0,,0,,0,0.0,0.0,0.0,,,0.49,,2.18,0.07,0.07,0.0,0.0,0,0
J. Vergara,Josué Vergara,-603373,FK Auda,FK Auda,https://cdn5.wyscout.com/photos/team/public/g1396_120x120.png,Virsliga,CF,CF,100,,0,,0,18.0,2007-07-25,0,,15,1349,12,7.46,2,1.57,27.31,35.09,Panama,['Panama'],,0,0,False,2.31,2.09,51.72,9.94,39.13,0.14,0.25,0.0,1.08,1.9100000000000001,0.86,1,0.07,0,0.0,2.88,0.8,10,0.72,0.54,4,0.29,41,2.95,53.66,29.268,0.14,0.43,33.33,0.29,50.0,0.14,0.0,0.14,1.87,57.69,12.11,27.38,4.25,0.58,0.0,10.95,3.03,1.8,17.37,74.69,3.46,54.17,4.97,88.41,16.29,77.43,0.65,33.33,14.47,19.08,0.11,0.5,0.0,0.0,0.07,100.0,0.22,1.8,52.0,0.65,44.44,0.0,0.0,0.72,0.14,1.37,84.21,63.79,4.18,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.94,0.0,0.0,0.0,0.0,2,100
G. Mihaļcovs,Gļebs Mihaļcovs,-257770,BFC Daugavpils,BFC Daugavpils,https://cdn5.wyscout.com/photos/team/public/g14966_120x120.png,Virsliga,"RB, LB",RB,71,LB,23,,0,22.0,2004-03-15,125000,,14,1344,0,0.01,3,1.18,15.94,59.24,Latvia,['Latvia'],right,180,0,False,9.84,8.91,67.67,1.34,45.0,0.27,0.33,0.13,3.55,4.38,1.0,2,0.13,0,0.0,1.6099999999999999,0.0,0,0.0,0.0,0,0.0,2,0.13,0.0,0.0,0.2,2.14,43.75,0.8,41.67,1.34,45.0,0.54,1.34,50.0,3.88,50.0,0.54,1.34,0.27,22.77,1.54,1.67,34.62,80.85,16.34,75.0,5.89,98.86,28.39,87.97,4.15,50.0,19.5,32.26,0.08,0.54,0.0,0.0,0.0,0.0,0.47000000000000003,5.69,71.76,1.81,44.44,0.07,100.0,0.27,0.87,9.11,77.21,80.45,8.91,0,,0,,0,0.0,0.0,0.0,,,0.87,,1.34,0.07,0.0,0.0,0.0,0,0
