Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Buffa,Agustin Buffa Pedrouzo,-38464,Wanderers,Wanderers,https://cdn5.wyscout.com/photos/team/public/662_120x120.png,Primera División,GK,GK,100,,0,,0,28.0,1998-01-08,175000,2026-12-31,21,2092,0,0.0,0,0.0,0.6000000000000001,92.86,Uruguay,['Uruguay'],right,182,80,False,2.19,0.17,75.0,0.17,100.0,0.04,0.06,0.0,2.02,2.7800000000000002,0.04,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.04,7.1,0.13,0.22,16.56,83.12,10.07,73.93,0.0,0.0,8.43,98.47,8.09,67.55,36.4,49.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,62.3,0.22,40.0,0.22,80.0,0.09,0.0,6.07,77.3,98.58,6.07,25,1.08,89,3.83,8,71.91,23.5,1.01,-1.5,-0.065,0.0,1.51,0.17,,,,0.0,0,0.0
E. Burdín,Ezequiel Burdín,-498333,Albion,Albion,https://cdn5.wyscout.com/photos/team/public/g25838_120x120.png,Primera División,LCB,LCB,89,,0,,0,21.0,2004-10-16,0,2027-12-31,21,2085,0,1.12,0,0.05,10.62,55.28,Uruguay,['Uruguay'],left,191,75,False,8.16,3.9699999999999998,64.13,4.06,55.32,0.26,0.38,1.08,5.35,7.86,0.6000000000000001,5,0.22,0,0.0,0.09,0.0,0,0.0,0.05,0,0.0,7,0.30000000000000004,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,1.12,23.08,0.47000000000000003,1.04,0.04,34.75,0.78,0.26,47.31,86.13,18.3,71.23,3.76,93.1,41.01,91.58,6.3,50.68,20.59,39.6,0.0,0.17,0.04,0.0,0.0,0.0,0.04,4.62,53.27,0.47000000000000003,36.36,0.52,16.67,0.13,0.0,6.99,60.49,95.96,20.29,0,,0,,0,0.0,0.0,0.0,,,2.29,,4.06,0.0,0.0,0.0,0.0,0,0.0
S. Jaume,Sebastián Jaume Méndez,-380346,Albion,Albion,https://cdn5.wyscout.com/photos/team/public/g25838_120x120.png,Primera División,GK,GK,100,,0,,0,22.0,2004-06-26,0,2027-12-31,21,2085,0,0.0,0,0.0,0.73,100.0,Uruguay,['Uruguay'],right,185,77,False,1.29,0.17,100.0,0.39,100.0,0.0,0.0,0.0,1.12,1.65,0.0,0,0.0,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.17,100.0,0.0,0.0,0.0,11.48,0.30000000000000004,0.26,21.28,82.76,14.16,75.61,0.0,0.0,13.94,98.76,7.29,52.07,31.35,52.08,0.0,0.0,0.0,0.0,0.04,100.0,0.0,3.63,47.62,0.43,0.0,0.17,0.0,0.0,0.0,4.53,75.24,97.18,6.13,22,0.9500000000000001,92,3.9699999999999998,6,76.09,21.96,0.9500000000000001,-0.04,-0.002,0.0,1.94,0.39,,,,0.0,0,0.0
M. Goicoechea,Mauro Daniel Goicoechea Furia,23530,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,GK,GK,100,,0,,0,38.0,1988-03-27,100000,2026-12-31,21,2058,0,0.0,0,0.0,0.66,86.67,Uruguay,"['Uruguay', 'Italy']",right,186,82,False,1.71,0.17,75.0,0.44,90.0,0.0,0.0,0.0,1.57,2.35,0.0,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,100.0,0.0,0.0,0.0,6.6,0.13,0.17,15.0,84.55,8.31,73.68,0.0,0.0,9.23,96.68,5.77,65.15,32.35,47.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,68.48,97.92,6.3,28,1.22,97,4.24,5,71.13,25.57,1.12,-2.43,-0.106,0.0,1.44,0.44,,,,0.0,0,0.0
L. Agazzi,Lucas  Agazzi Galeano,-404251,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,RB,RB,92,,0,,0,21.0,2005-05-02,0,2027-12-31,21,2024,1,1.98,3,1.9300000000000002,13.38,55.48,Uruguay,"['Uruguay', 'Italy']",right,180,76,False,7.38,5.65,66.93,2.36,45.28,0.27,0.41000000000000003,0.22,3.33,5.17,0.62,0,0.0,0,0.0,2.27,0.04,1,0.04,0.09,1,0.04,15,0.67,20.0,6.667,0.13,4.18,34.04,0.0,0.0,4.09,33.7,0.58,1.42,50.0,3.91,46.59,1.56,1.2,0.13,21.21,3.16,1.11,30.55,68.12,10.94,58.94,5.16,93.97,22.41,79.76,4.14,38.71,21.19,37.28,0.09,0.76,0.0,0.0,0.0,0.0,0.53,4.8,55.56,3.65,36.59,0.27,16.67,0.36,1.38,6.94,68.59,65.64,10.09,0,,0,,0,0.0,0.0,0.0,,,0.31,,2.36,0.0,0.0,0.0,0.04,0,0.0
F. Álvarez,Felipe  Álvarez,-411226,Racing,Racing,https://cdn5.wyscout.com/photos/team/public/1320_120x120.png,Primera División,"LCB, LCB3",LCB,65,LCB3,16,,0,22.0,2004-05-02,0,,20,1994,2,1.4100000000000001,0,0.5700000000000001,12.82,64.08,Argentina,['Argentina'],left,0,0,False,9.25,5.19,74.78,5.6,61.29,0.27,0.43,0.63,5.1,8.09,0.54,0,0.0,0,0.0,0.54,0.09,2,0.09,0.06,2,0.09,14,0.63,28.57,14.286,0.0,0.54,41.67,0.5,45.45,0.05,0.0,0.0,0.18,75.0,0.63,42.86,0.68,0.36,0.14,13.13,0.36,0.36,28.62,74.61,16.65,65.04,1.17,80.77,20.36,83.15,7.72,54.39,24.29,38.88,0.03,0.09,0.0,0.0,0.0,0.0,0.09,6.36,52.48,0.77,35.29,0.27,33.33,0.18,0.18,7.99,68.36,89.64,8.71,0,,0,,0,0.0,0.0,0.0,,,0.5,,5.6,0.05,0.0,0.0,0.0,0,0.0
B. Antúnez,Bruno Antúnez D''Espaux,-322500,Boston River,Boston River,https://cdn5.wyscout.com/photos/team/public/1750_120x120.png,Primera División,GK,GK,100,,0,,0,23.0,2003-01-31,0,2026-12-31,20,1979,0,0.0,0,0.0,0.73,81.25,Uruguay,['Uruguay'],,0,0,False,1.46,0.09,100.0,0.41000000000000003,66.67,0.0,0.0,0.0,1.3599999999999999,1.88,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.14,100.0,0.0,0.0,0.0,10.37,0.18,0.23,18.33,87.34,9.19,76.73,0.0,0.0,13.1,97.92,5.14,61.95,30.36,48.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,53.85,0.14,0.0,0.14,66.67,0.0,0.0,4.32,68.42,98.41,8.6,25,1.1400000000000001,110,5.0,4,77.27,25.25,1.15,0.25,0.011,0.0,1.46,0.41000000000000003,,,,0.0,0,0.0
F. Formiliano,Fabricio Orosmán Formiliano Duarte,203349,Wanderers,Wanderers,https://cdn5.wyscout.com/photos/team/public/662_120x120.png,Primera División,"RCB, CB",RCB,48,CB,43,,0,33.0,1993-01-14,1000000,2027-12-31,20,1948,0,1.82,0,0.22,11.55,60.8,Uruguay,"['Uruguay', 'Italy']",right,185,79,False,11.0,5.04,77.06,3.9699999999999998,52.33,0.09,0.13,0.92,7.02,9.68,0.55,2,0.09,1,0.05,0.18,0.0,0,0.0,0.08,0,0.0,12,0.55,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,50.0,0.79,47.06,0.65,0.14,0.0,14.0,0.32,0.55,31.46,83.99,15.11,74.31,1.52,93.94,26.61,88.37,4.85,60.0,21.54,37.66,0.01,0.14,0.0,0.0,0.0,0.0,0.0,3.1,59.7,0.23,20.0,0.18,25.0,0.09,0.0,6.05,61.83,95.49,12.29,0,,0,,0,0.0,0.0,0.0,,,1.11,,3.9699999999999998,0.0,0.0,0.0,0.0,0,0.0
B. Montenegro,Brian Guillermo Montenegro Benítez,115463,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,CF,CF,100,,0,,0,33.0,1993-06-10,500000,2026-12-31,20,1939,6,6.08,0,2.06,14.16,36.72,Paraguay,"['Paraguay', 'Italy']",left,181,75,False,2.9699999999999998,1.49,53.13,8.4,42.54,0.0,0.0,0.09,2.18,3.37,0.65,1,0.05,0,0.0,1.02,0.28,6,0.28,0.28,1,0.05,35,1.62,48.57,17.143,0.0,0.19,50.0,0.09,50.0,0.09,50.0,0.05,0.37,37.5,2.7800000000000002,15.0,2.65,0.23,0.05,12.63,3.62,0.37,16.66,72.98,3.16,50.0,5.06,84.4,15.78,74.41,0.7000000000000001,46.67,13.62,12.47,0.1,0.65,0.0,0.0,0.0,0.0,0.28,1.21,57.69,0.79,64.71,0.05,100.0,0.7000000000000001,0.09,1.3900000000000001,53.33,78.35,4.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.4,0.0,0.0,0.0,0.0,1,0.0
A. Macelli,Alejo Agustín Macelli,-169799,Cerro,Cerro,https://cdn5.wyscout.com/photos/team/public/986_120x120.png,Primera División,"RCB, CB, DMF",RCB,28,CB,26,DMF,21,28.0,1998-03-02,0,2026-12-31,20,1938,3,1.76,0,0.04,15.79,63.24,Argentina,['Argentina'],right,178,70,False,11.15,6.32,69.12,5.71,70.73,1.02,1.3,0.51,5.76,7.34,0.98,7,0.33,1,0.05,0.33,0.14,3,0.14,0.08,3,0.14,17,0.79,29.41,17.647,0.0,0.19,0.0,0.09,0.0,0.09,0.0,0.05,0.14,33.33,2.18,44.68,0.84,0.46,0.09,19.37,0.23,1.11,35.02,79.71,17.69,73.23,1.67,86.11,28.61,85.23,6.22,56.72,20.67,36.79,0.0,0.14,0.0,0.0,0.05,100.0,0.05,5.85,65.08,0.37,50.0,0.14,66.67,0.28,0.05,8.08,64.37,89.8,11.84,0,,0,,0,0.0,0.0,0.0,,,0.65,,5.71,0.0,0.0,0.0,0.0,0,0.0
