Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Gust,Alexander Gust,-560971,Altona Magic,Altona Magic,https://cdn5.wyscout.com/photos/team/public/g5076_120x120.png,Victoria NPL,LB,LB,97,,0,,0,22.0,2004-01-23,0,,18,1787,0,0.65,0,1.13,23.07,54.15,Australia,['Australia'],unknown,0,0,False,13.45,10.02,63.82,4.48,58.43,0.86,1.07,0.15,6.19,7.77,0.91,2,0.1,0,0.0,1.46,0.0,0,0.0,0.03,0,0.0,13,0.65,7.69,0.0,0.0,2.06,31.71,1.9100000000000001,31.58,0.15,33.33,0.35000000000000003,1.31,53.85,5.94,39.83,1.06,0.81,0.15,19.19,2.47,1.21,34.35,67.16,18.43,63.39,4.58,84.62,26.89,75.28,5.49,40.37,19.78,36.86,0.06,0.6000000000000001,0.0,0.05,0.15,33.33,0.30000000000000004,7.5,59.06,2.52,42.0,0.35000000000000003,28.57,0.4,0.65,9.87,64.8,69.12,6.85,0,,0,,0,0.0,0.0,0.0,,,0.4,,4.48,0.30000000000000004,0.05,0.0,0.0,0,0
V. Cesnik,Valli Cesnik,-676073,Dandenong City,Dandenong City,https://cdn5.wyscout.com/photos/team/public/g27634_120x120.png,Victoria NPL,"RB, RW",RB,78,RW,19,,0,27.0,1999-03-23,0,,18,1760,0,0.6000000000000001,1,1.2,20.71,51.6,Australia,['Australia'],unknown,0,0,False,11.4,8.85,63.58,2.76,48.15,0.51,0.61,0.36,5.27,6.29,0.41000000000000003,0,0.0,0,0.0,2.71,0.0,0,0.0,0.03,0,0.0,15,0.77,26.67,0.0,0.05,2.25,38.64,0.0,0.0,2.2,37.21,0.31,2.45,64.58,7.01,41.61,0.87,2.25,0.31,19.33,1.79,0.56,34.01,76.69,13.55,67.92,7.16,95.0,28.23,83.7,3.68,44.44,19.05,32.26,0.06,0.51,0.05,0.0,0.05,100.0,0.2,3.5300000000000002,71.01,2.1,46.34,0.2,25.0,0.2,0.87,7.52,61.22,76.19,8.59,0,,0,,0,0.0,0.0,0.0,,,1.13,,2.76,0.05,0.0,0.0,0.0,0,0
C. Siciliano,Christian Siciliano,-313909,Sunshine Georgies,Sunshine Georgies,https://cdn5.wyscout.com/photos/team/public/g5156_120x120.png,Victoria NPL,GK,GK,100,,0,,0,22.0,2003-07-11,0,,18,1757,0,0.0,0,0.06,1.38,77.78,Australia,['Australia'],unknown,0,0,False,3.69,0.26,40.0,0.8200000000000001,93.75,0.1,0.13,0.0,3.48,4.38,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.2,100.0,0.05,0.0,0.0,10.14,0.26,0.2,21.62,68.01,15.16,59.8,0.0,0.0,8.04,92.36,13.52,53.79,38.15,48.16,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.2,41.46,0.31,0.0,0.0,0.0,0.0,0.0,8.35,69.94,89.19,5.69,25,1.28,102,5.22,4,75.49,30.71,1.57,5.71,0.292,0.0,1.9500000000000002,0.8200000000000001,,,,0.0,0,0
H. Kawaguchi,Hiyori Kawaguchi,-426089,Altona Magic,Altona Magic,https://cdn5.wyscout.com/photos/team/public/g5076_120x120.png,Victoria NPL,"LCB, RB",LCB,54,RB,41,,0,28.0,1998-02-27,0,,18,1750,0,0.54,2,2.48,13.27,64.73,Australia,['Australia'],,0,0,False,10.29,6.33,74.8,2.83,61.82,0.41000000000000003,0.51,0.31,5.14,6.41,0.26,2,0.1,0,0.0,1.18,0.0,0,0.0,0.03,0,0.0,12,0.62,50.0,0.0,0.1,1.29,28.0,0.1,50.0,1.18,26.09,0.15,0.98,52.63,2.67,46.15,0.31,1.13,0.21,17.18,0.8200000000000001,0.77,30.19,71.21,14.5,59.93,2.47,95.83,21.6,79.05,7.35,55.24,23.3,38.62,0.13,0.98,0.05,0.0,0.0,0.0,0.0,5.55,47.22,1.85,27.78,0.46,55.56,0.21,0.41000000000000003,7.51,63.01,80.81,10.18,0,,0,,0,0.0,0.0,0.0,,,1.29,,2.83,0.98,0.15,100.0,2.67,0,0
B. Spink,Brayden Spink,-344432,Hume City,Hume City,https://cdn5.wyscout.com/photos/team/public/g10485_120x120.png,Victoria NPL,LCB,LCB,92,,0,,0,21.0,2005-05-07,0,,18,1728,1,0.41000000000000003,0,0.1,11.56,62.61,Australia,['Australia'],,0,0,False,8.23,4.95,73.68,3.59,56.52,0.42,0.49,0.47000000000000003,4.17,4.92,0.63,3,0.16,0,0.0,0.36,0.05,1,0.05,0.02,1,0.05,5,0.26,40.0,20.0,0.0,0.05,100.0,0.05,100.0,0.0,0.0,0.0,0.26,80.0,1.25,45.83,0.47000000000000003,0.31,0.0,32.08,0.16,0.36,44.58,91.24,18.02,84.68,1.98,92.11,40.47,94.47,4.06,58.97,21.43,40.21,0.01,0.05,0.0,0.0,0.0,0.0,0.05,3.49,67.16,0.16,66.67,0.21,50.0,0.1,0.05,6.61,69.29,97.61,21.82,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,3.59,0.0,0.0,0.0,0.0,0,0
G. Inaba,Gaku Inaba,-239837,Dandenong City,Dandenong City,https://cdn5.wyscout.com/photos/team/public/g27634_120x120.png,Victoria NPL,"LCB, LB",LCB,78,LB,21,,0,24.0,2002-04-27,0,,18,1721,0,0.45,0,0.02,14.17,64.21,Japan,['Japan'],,187,0,False,10.46,6.96,75.19,3.66,55.71,0.21,0.25,0.78,5.02,5.93,0.31,1,0.05,0,0.0,0.42,0.0,0,0.0,0.02,0,0.0,6,0.31,16.67,0.0,0.0,0.16,33.33,0.1,0.0,0.0,0.0,0.05,0.52,60.0,1.83,54.29,0.63,0.21,0.05,26.98,0.37,0.47000000000000003,42.31,84.3,20.13,75.06,3.24,95.16,36.87,89.36,5.28,50.5,20.87,38.32,0.0,0.1,0.05,0.0,0.0,0.0,0.0,5.49,62.86,0.21,25.0,0.05,0.0,0.1,0.05,9.78,68.98,95.08,15.95,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,3.66,0.05,0.0,0.0,0.0,0,0
A. Coyne,Aidan John Coyne,-190485,Hume City,Hume City,https://cdn5.wyscout.com/photos/team/public/g10485_120x120.png,Victoria NPL,"RB, RCMF, RDMF",RB,43,RCMF,27,RDMF,22,22.0,2004-05-12,0,,18,1713,0,0.85,2,0.9400000000000001,14.76,56.58,England,"['England', 'Australia']",right,181,70,False,11.14,7.88,63.33,2.26,67.44,0.63,0.74,0.68,5.52,6.51,1.52,4,0.21,0,0.0,1.31,0.0,0,0.0,0.04,0,0.0,17,0.89,52.94,0.0,0.11,1.58,26.67,0.11,0.0,1.42,25.93,0.16,1.0,42.11,2.84,37.04,0.89,1.58,0.21,27.58,0.74,0.47000000000000003,41.82,78.14,16.71,68.24,6.15,94.02,34.41,85.34,5.94,48.67,20.48,37.61,0.05,0.58,0.11,0.11,0.0,0.0,0.32,8.77,64.67,2.1,52.5,0.63,33.33,0.53,0.42,8.83,77.38,83.67,13.19,0,,0,,0,0.0,0.0,0.0,,,0.79,,2.26,0.11,0.0,0.0,0.0,0,0
R. Lethlean,Ryan Lethlean,-308220,Heidelberg United,Heidelberg United,https://cdn5.wyscout.com/photos/team/public/g5152_120x120.png,Victoria NPL,LCB,LCB,99,,0,,0,24.0,2002-03-27,0,,17,1659,0,1.47,0,0.1,12.59,61.64,Australia,['Australia'],left,193,0,False,6.94,3.91,70.83,3.85,73.24,0.38,0.56,0.54,3.8,5.61,0.33,3,0.16,0,0.0,0.22,0.0,0,0.0,0.08,0,0.0,10,0.54,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,2.22,36.59,0.87,1.46,0.05,38.73,0.33,0.43,55.55,88.48,24.74,80.26,3.74,98.55,50.34,93.0,5.21,44.79,20.29,40.12,0.01,0.11,0.0,0.0,0.0,0.0,0.0,7.05,66.92,0.65,16.67,0.33,0.0,0.11,0.0,9.66,78.09,96.13,22.41,0,,0,,0,0.0,0.0,0.0,,,2.44,,3.85,0.0,0.0,0.0,0.0,0,0
Y. Sözer,Yaren İzzet Sözer,409430,Heidelberg United,Heidelberg United,https://cdn5.wyscout.com/photos/team/public/g5152_120x120.png,Victoria NPL,GK,GK,100,,0,,0,29.0,1997-04-19,0,,17,1659,0,0.0,0,0.0,0.92,94.12,Australia,"['Australia', 'Türkiye']",right,189,78,False,1.52,0.0,0.0,0.6000000000000001,100.0,0.05,0.08,0.0,1.46,2.17,0.0,3,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,26.15,0.05,0.22,37.81,90.82,15.03,80.87,0.0,0.0,29.02,98.88,8.73,64.6,26.66,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,46.94,0.0,0.0,0.05,0.0,0.0,0.0,6.5600000000000005,71.07,98.23,21.48,23,1.25,69,3.74,4,66.67,21.77,1.18,-1.23,-0.067,0.0,1.3,0.6000000000000001,,,,0.0,0,0
J. Gibson,Jack Gibson,-194370,Avondale Heights,Avondale Heights,https://cdn5.wyscout.com/photos/team/public/g27632_120x120.png,Victoria NPL,GK,GK,100,,0,,0,23.0,2003-01-08,0,,17,1658,0,0.0,0,0.0,0.76,71.43,Australia,['Australia'],,195,0,False,1.47,0.16,100.0,0.43,75.0,0.0,0.0,0.0,1.3,1.92,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,50.0,0.0,0.0,0.0,17.7,0.0,0.11,26.98,89.74,10.69,77.16,0.0,0.0,21.33,97.46,5.65,60.58,27.24,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,52.63,0.11,0.0,0.16,0.0,0.05,0.0,4.4,64.2,97.86,15.2,22,1.19,82,4.45,5,73.17,22.68,1.23,0.68,0.037,0.0,1.1400000000000001,0.43,,,,0.0,0,0
