Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Rufinetti,Agustín Rufinetti,-132509,Ciudad de Bolívar,Ciudad de Bolívar,https://cdn5.wyscout.com/photos/team/public/g-13901_120x120.png,Primera Nacional,GK,GK,100,,0,,0,26.0,2000-01-27,25000,2026-12-31,27,2658,0,0.0,0,0.0,0.51,86.67,Argentina,['Argentina'],right,185,75,False,1.19,0.03,100.0,0.34,80.0,0.0,0.0,0.0,1.15,1.6400000000000001,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,6.94,0.24,0.2,15.0,75.62,9.89,65.07,0.0,0.0,7.28,95.81,7.69,56.83,39.69,51.38,0.0,0.0,0.0,0.0,0.03,0.0,0.0,2.88,43.53,0.2,16.67,0.07,50.0,0.0,0.0,5.86,70.52,96.9,4.37,23,0.78,120,4.06,13,80.83,30.16,1.02,7.16,0.242,0.0,1.9300000000000002,0.34,,,,0.0,0,0.0
A. Sosa,Alan Daniel Sosa,487064,Patronato,Patronato,https://cdn5.wyscout.com/photos/team/public/2623_120x120.png,Primera Nacional,GK,GK,100,,0,,0,30.0,1996-04-27,0,2027-12-31,27,2645,0,0.0,0,0.0,0.71,90.48,Argentina,['Argentina'],right,183,80,True,0.92,0.1,66.67,0.44,100.0,0.0,0.0,0.0,0.85,1.3,0.03,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,75.0,0.0,0.0,0.0,8.88,0.24,0.24,17.01,75.8,12.76,69.87,0.03,0.0,6.43,94.71,10.55,64.52,43.5,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,64.46,0.14,0.0,0.03,100.0,0.0,0.0,7.96,80.34,95.69,3.95,30,1.02,99,3.37,9,69.7,27.87,0.9500000000000001,-2.13,-0.07200000000000001,0.0,2.08,0.44,,,,0.0,0,0.0
B. Galván,Bruno Gabriel Galván,180840,Almirante Brown,Almirante Brown,https://cdn5.wyscout.com/photos/team/public/1089_120x120.png,Primera Nacional,GK,GK,100,,0,,0,32.0,1994-05-08,75000,2026-12-31,27,2640,0,0.0,0,0.0,0.48,85.71,Argentina,['Argentina'],right,186,81,False,1.13,0.0,0.0,0.41000000000000003,83.33,0.0,0.0,0.0,1.13,1.69,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,7.16,0.17,0.1,15.2,79.15,11.01,73.99,0.03,100.0,7.43,98.17,7.74,61.23,39.1,52.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,59.04,0.17,0.0,0.14,50.0,0.0,0.0,5.86,79.07,93.91,3.92,16,0.55,86,2.93,16,81.4,26.28,0.9,10.28,0.35000000000000003,0.0,2.15,0.41000000000000003,,,,0.0,0,0.0
Mariano Monllor,Mariano Monllor,273774,Acassuso,Acassuso,https://cdn5.wyscout.com/photos/team/public/1276_120x120.png,Primera Nacional,GK,GK,100,,0,,0,37.0,1989-02-28,75000,2026-12-31,27,2634,0,0.0,0,0.0,0.79,91.3,Argentina,['Argentina'],right,185,75,False,1.37,0.17,100.0,0.27,87.5,0.0,0.0,0.0,1.2,1.74,0.0,4,0.14,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.24,100.0,0.0,0.0,0.0,5.36,0.14,0.24,14.97,83.56,8.1,75.95,0.03,0.0,9.02,96.21,5.91,64.74,36.98,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,52.38,0.07,0.0,0.03,0.0,0.0,0.0,4.65,75.74,93.26,6.59,32,1.09,125,4.27,8,74.4,33.62,1.15,1.62,0.055,0.0,2.02,0.27,,,,0.0,0,0.0
M. Bergia,Mayco Leonel Bergia,-456695,Atlético Rafaela,Atlético Rafaela,https://cdn5.wyscout.com/photos/team/public/1090_120x120.png,Primera Nacional,GK,GK,100,,0,,0,25.0,2001-07-30,0,2026-12-31,27,2628,0,0.0,1,0.0,0.51,73.33,Argentina,['Argentina'],,0,0,False,1.13,0.03,100.0,0.24,100.0,0.03,0.05,0.0,1.06,1.55,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,50.0,0.0,0.03,0.0,6.88,0.03,0.1,16.58,79.34,10.65,69.13,0.03,100.0,7.05,99.03,9.42,65.45,44.56,57.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,63.06,0.48,21.43,0.14,25.0,0.14,0.0,6.88,86.07,99.38,5.51,20,0.68,115,3.94,15,82.61,31.2,1.07,11.2,0.384,0.0,1.88,0.24,,,,0.0,0,0.0
J. Enrico,Joaquín Conrado Enrico,-407105,San Telmo,San Telmo,https://cdn5.wyscout.com/photos/team/public/3684_120x120.png,Primera Nacional,GK,GK,100,,0,,0,25.0,2001-08-22,0,2027-12-31,27,2626,0,0.0,0,0.0,0.65,78.95,Argentina,['Argentina'],right,190,85,False,1.88,0.14,25.0,0.31,88.89,0.07,0.11,0.0,1.78,2.85,0.07,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.03,6.72,0.24,0.17,15.87,74.73,11.31,67.88,0.0,0.0,6.99,93.14,8.81,60.7,41.38,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,59.2,0.38,9.09,0.27,25.0,0.03,0.0,6.68,75.9,94.96,4.08,33,1.13,134,4.59,9,75.37,39.93,1.37,6.93,0.23800000000000002,0.0,1.75,0.31,,,,0.0,0,0.0
N. Galardi,Nahuel Galardi,-412733,Deportivo Maipú,Deportivo Maipú,https://cdn5.wyscout.com/photos/team/public/g7781_120x120.png,Primera Nacional,GK,GK,100,,0,,0,24.0,2002-05-15,0,2028-12-31,27,2622,0,0.0,2,0.14,0.8200000000000001,95.83,Argentina,['Argentina'],,0,0,False,0.96,0.03,100.0,0.51,100.0,0.0,0.0,0.0,0.93,1.26,0.0,3,0.1,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.24,100.0,0.0,0.0,0.0,16.0,0.38,0.31,29.04,79.79,17.33,68.91,0.07,100.0,16.75,96.93,12.22,56.74,35.74,54.09,0.0,0.03,0.03,0.03,0.0,0.0,0.07,5.39,49.68,0.58,11.76,0.45,46.15,0.1,0.0,8.72,72.83,96.04,10.4,28,0.96,105,3.6,8,73.33,30.01,1.03,2.01,0.069,0.0,2.51,0.51,,,,0.0,0,0.0
N. Carrizo,Nicolás Roberto Carrizo,324896,All Boys,All Boys,https://cdn5.wyscout.com/photos/team/public/1333_120x120.png,Primera Nacional,GK,GK,100,,0,,0,35.0,1991-07-04,25000,2026-12-31,27,2618,0,0.0,0,0.0,0.48,92.86,Argentina,['Argentina'],right,182,78,False,0.86,0.07,50.0,0.28,100.0,0.0,0.0,0.0,0.8300000000000001,1.23,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.07,100.0,0.0,0.0,0.0,6.08,0.03,0.21,15.09,77.68,10.49,69.51,0.0,0.0,7.15,95.67,7.94,61.47,40.29,52.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,61.86,0.17,0.0,0.07,50.0,0.0,0.0,5.84,75.29,96.03,4.33,24,0.8300000000000001,106,3.64,12,77.36,29.47,1.01,5.47,0.188,0.0,2.03,0.28,,,,0.0,0,0.0
A. Paredes,Agustín  Paredes,-326358,Ciudad de Bolívar,Ciudad de Bolívar,https://cdn5.wyscout.com/photos/team/public/g-13901_120x120.png,Primera Nacional,"RB, LB",RB,81,LB,11,,0,25.0,2001-06-09,0,,27,2579,0,0.26,2,0.8200000000000001,16.65,53.46,Argentina,['Argentina'],unknown,0,0,False,9.6,7.4,61.32,2.79,46.25,0.35000000000000003,0.5,0.14,4.71,6.71,1.19,5,0.17,0,0.0,1.08,0.0,0,0.0,0.01,0,0.0,7,0.24,28.57,0.0,0.07,1.43,34.15,0.28,37.5,1.15,33.33,0.21,0.8,65.22,4.08,54.7,0.49,1.05,0.14,14.73,1.01,1.3599999999999999,22.54,69.97,10.33,60.47,3.11,93.26,17.76,78.39,3.39,41.24,20.02,37.33,0.03,0.28,0.03,0.03,0.0,0.0,0.17,2.76,49.37,1.71,38.78,0.0,0.0,0.24,0.49,5.37,58.44,71.63,4.92,0,,0,,0,0.0,0.0,0.0,,,0.45,,2.79,0.0,0.0,0.0,0.07,0,0.0
G. Cabral,Gustavo Daniel Cabral Cáceres,15074,Almirante Brown,Almirante Brown,https://cdn5.wyscout.com/photos/team/public/1089_120x120.png,Primera Nacional,"CB, RCB",CB,59,RCB,31,,0,40.0,1985-10-14,500000,2026-12-31,26,2544,1,1.05,0,0.17,10.51,65.66,Argentina,"['Argentina', 'Spain']",right,184,82,False,7.78,3.47,76.53,4.35,59.35,0.25,0.37,0.21,4.88,7.28,0.42,3,0.11,0,0.0,0.18,0.04,0,0.0,0.04,0,0.0,5,0.18,20.0,20.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.18,80.0,0.96,51.85,0.25,0.11,0.0,17.26,0.18,0.32,31.7,85.6,12.35,73.64,2.3,90.77,27.24,90.0,4.42,59.2,21.56,37.3,0.01,0.07,0.04,0.0,0.0,0.0,0.04,2.58,57.53,0.25,28.57,0.18,60.0,0.11,0.0,5.52,58.97,93.89,14.47,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,4.35,0.04,0.0,0.0,0.0,1,100.0
