Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Saine,Alagie Saine,-242529,Horsens,Horsens,https://cdn5.wyscout.com/photos/team/public/285_120x120.png,Superliga,"LB, RCB",LB,80,RCB,16,,0,23,2003-01-20,0,2027-06-30,6,589,0,0.81,0,0.01,14.82,58.76,Gambia,['Gambia'],right,186,78,False,10.85,7.03,65.22,3.06,45.0,0.0,0.0,0.76,6.26,6.91,1.38,2,0.31,0,0.0,0.92,0.0,0,0.0,0.12,0,0.0,4,0.61,25.0,0.0,0.0,0.61,0.0,0.61,0.0,0.0,0.0,0.31,0.76,100.0,3.8200000000000003,52.0,1.6800000000000002,1.38,0.31,29.03,0.76,1.22,39.73,79.62,14.82,62.89,5.65,97.3,35.3,84.85,3.8200000000000003,44.0,17.95,40.52,0.0,0.15,0.0,0.0,0.0,0.0,0.0,3.8200000000000003,64.0,0.92,16.67,0.15,0.0,0.46,0.0,6.26,41.46,88.1,12.84,0,,0,,0,0.0,0.0,0.0,,,0.31,,3.06,0.0,0.0,0.0,0.0,0,0
M. Delač,Matej Delač,36686,Horsens,Horsens,https://cdn5.wyscout.com/photos/team/public/285_120x120.png,Superliga,GK,GK,100,,0,,0,34,1992-08-20,300000,2027-06-30,6,589,0,0.0,0,0.0,0.15,100.0,Croatia,['Croatia'],right,190,80,False,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.67,0.0,0,0.0,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.15,100.0,0.0,0.0,0.0,14.52,0.31,0.0,27.2,79.21,14.36,64.89,0.0,0.0,17.57,96.52,9.63,47.62,29.29,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,38.89,0.0,0.0,0.0,0.0,0.0,0.0,7.49,53.06,96.05,11.61,10,1.53,30,4.58,0,66.67,9.5,1.45,-0.5,-0.076,0.0,2.6,0.0,,,,0.0,0,0
M. Soulas,Maxime Soulas,463312,Sønderjyske,Sønderjyske,https://cdn5.wyscout.com/photos/team/public/796_120x120.png,Superliga,"RCB3, LCB",RCB3,65,LCB,21,,0,27,1999-05-19,650000,2028-06-30,6,587,0,0.07,1,0.88,12.42,53.09,France,['France'],right,185,76,False,12.88,6.75,61.36,3.83,44.0,0.15,0.16,0.77,8.59,8.94,1.69,1,0.15,0,0.0,0.61,0.0,0,0.0,0.01,0,0.0,3,0.46,0.0,0.0,0.15,0.77,80.0,0.31,50.0,0.46,100.0,0.15,0.31,0.0,0.92,16.67,1.38,0.61,0.0,22.69,0.46,0.31,36.95,84.65,11.81,77.92,3.5300000000000002,95.65,32.81,88.79,3.68,50.0,21.29,45.11,0.14,0.61,0.0,0.0,0.0,0.0,0.46,5.06,60.61,0.92,66.67,0.0,0.0,0.46,0.31,5.21,70.59,87.93,17.79,0,,0,,0,0.0,0.0,0.0,,,2.3,,3.83,0.0,0.0,0.0,0.0,0,0
R. Kristensen,Rasmus Nissen Kristensen,423940,Midtjylland,Midtjylland,https://cdn5.wyscout.com/photos/team/public/286_120x120.png,Superliga,"RCB3, RB, RWB",RCB3,67,RB,16,RWB,15,29,1997-07-11,10000000,2031-06-30,6,586,0,0.78,0,0.46,8.45,47.27,Denmark,['Denmark'],right,187,83,False,7.22,3.84,48.0,1.38,33.33,0.0,0.0,0.92,5.38,8.82,0.77,3,0.46,0,0.0,0.77,0.0,0,0.0,0.12,0,0.0,3,0.46,33.33,0.0,0.0,1.23,12.5,0.0,0.0,1.23,12.5,0.31,1.08,42.86,2.92,47.37,1.69,1.08,0.0,38.09,0.77,0.31,50.84,84.29,22.88,81.21,5.07,100.0,44.69,91.07,4.91,40.63,19.6,41.25,0.07,0.46,0.0,0.0,0.0,0.0,0.46,7.06,65.22,2.15,35.71,0.0,0.0,0.92,0.46,8.75,75.44,83.0,15.36,0,,0,,0,0.0,0.0,0.0,,,2.0,,1.38,0.0,0.0,0.0,0.0,0,0
E. Ólafsson,Elías Rafn Ólafsson,463461,Midtjylland,Midtjylland,https://cdn5.wyscout.com/photos/team/public/286_120x120.png,Superliga,GK,GK,100,,0,,0,26,2000-03-11,650000,2029-06-30,6,586,0,0.0,0,0.0,0.46,100.0,Iceland,['Iceland'],right,201,85,False,1.08,0.31,100.0,0.0,0.0,0.0,0.0,0.0,0.77,1.26,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.61,0.0,25.49,78.31,15.36,66.0,0.0,0.0,16.13,98.1,9.22,45.0,34.73,52.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,55.56,0.31,50.0,0.0,0.0,0.0,0.0,7.22,68.09,96.83,9.68,5,0.77,18,2.76,2,72.22,5.5600000000000005,0.85,0.56,0.08600000000000001,0.0,2.15,0.0,,,,0.0,0,0
J. Madsen,Julius Madsen,-92122,Horsens,Horsens,https://cdn5.wyscout.com/photos/team/public/285_120x120.png,Superliga,AMF,AMF,99,,0,,0,23,2003-08-01,250000,2027-12-31,6,585,0,0.78,1,0.45,14.62,36.84,Denmark,['Denmark'],left,0,0,False,4.77,5.69,32.43,2.0,15.38,0.0,0.0,0.15,2.92,3.26,1.69,1,0.15,0,0.0,1.69,0.0,0,0.0,0.12,0,0.0,9,1.38,33.33,0.0,0.15,1.38,33.33,0.46,33.33,0.92,33.33,0.31,0.92,83.33,5.38,48.57,0.92,0.62,0.15,22.0,1.38,1.54,28.0,79.67,7.54,63.27,6.46,97.62,24.62,85.63,2.31,33.33,16.3,36.66,0.07,0.77,0.0,0.0,0.0,0.0,0.15,3.23,71.43,1.69,45.45,0.15,0.0,0.62,0.46,5.08,57.58,76.36,8.46,0,,0,,0,0.0,0.0,0.0,,,1.23,,2.0,0.31,0.0,0.0,0.92,0,0
Diego Kochen,Diego Kochen,-283534,Lyngby,Lyngby,https://cdn5.wyscout.com/photos/team/public/2527_120x120.png,Superliga,GK,GK,100,,0,,0,20,2006-03-19,0,2028-06-30,6,584,0,0.0,0,0.0,0.31,100.0,United States,"['United States', 'Peru']",right,188,76,True,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1.46,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.0,0.0,0.0,9.71,0.46,0.15,19.88,74.42,11.56,62.67,0.15,0.0,11.87,94.81,7.86,45.1,30.45,46.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,25.0,0.15,0.0,0.0,0.0,0.0,0.0,6.63,53.49,92.86,6.47,11,1.7000000000000002,27,4.16,0,59.26,9.66,1.49,-1.34,-0.20700000000000002,0.0,1.7000000000000002,0.0,,,,0.0,0,0
M. Fischer,Mikkel Rosleff Fischer,-136358,Lyngby,Lyngby,https://cdn5.wyscout.com/photos/team/public/2527_120x120.png,Superliga,RCB,RCB,100,,0,,0,22,2004-03-23,400000,2030-06-30,6,584,0,0.22,0,0.19,7.86,54.9,Denmark,['Denmark'],right,184,75,False,5.86,3.54,47.83,3.08,65.0,0.0,0.0,0.31,4.16,5.63,0.77,0,0.0,0,0.0,0.31,0.0,0,0.0,0.03,0,0.0,2,0.31,0.0,0.0,0.0,0.92,33.33,0.62,50.0,0.31,0.0,0.15,0.0,0.0,1.08,42.86,1.08,0.31,0.0,31.13,0.0,0.62,51.78,86.01,25.74,79.64,2.93,89.47,44.85,92.1,6.01,48.72,17.89,35.5,0.03,0.31,0.0,0.0,0.0,0.0,0.31,9.09,74.58,1.54,40.0,0.0,0.0,0.92,0.31,7.86,76.47,93.07,15.57,0,,0,,0,0.0,0.0,0.0,,,1.08,,3.08,0.0,0.0,0.0,0.0,0,0
C. Winther,Casper Kaarsbo Winther,-66617,Lyngby,Lyngby,https://cdn5.wyscout.com/photos/team/public/2527_120x120.png,Superliga,"LCMF, RCMF",LCMF,51,RCMF,48,,0,23,2003-02-11,900000,2030-06-30,6,584,1,0.8300000000000001,0,1.58,7.24,57.45,Denmark,['Denmark'],right,177,67,False,5.7,3.85,56.0,0.92,33.33,0.15,0.21,0.31,3.39,4.58,1.23,2,0.31,0,0.0,1.23,0.15,1,0.15,0.13,0,0.0,10,1.54,30.0,10.0,0.0,0.92,50.0,0.15,0.0,0.77,60.0,0.0,0.31,50.0,2.16,64.29,0.46,0.62,0.0,35.14,0.15,0.92,51.47,85.63,20.8,80.74,7.4,97.92,46.08,88.96,4.47,58.62,16.11,40.53,0.24,2.16,0.0,0.0,0.15,100.0,0.46,9.55,77.42,2.77,61.11,0.15,100.0,1.3900000000000001,0.46,8.32,85.19,87.3,9.71,0,,0,,0,0.0,0.0,0.0,,,1.54,,0.92,2.16,0.77,40.0,5.24,0,0
V. Pálsson,Gudlaugur Victor Pálsson,130391,Horsens,Horsens,https://cdn5.wyscout.com/photos/team/public/285_120x120.png,Superliga,RB,RB,100,,0,,0,35,1991-04-30,350000,2027-06-30,6,581,0,0.24,0,0.01,12.24,54.43,Iceland,"['Iceland', 'Portugal']",right,186,77,False,7.75,5.42,48.57,4.96,62.5,0.15,0.17,0.31,4.96,5.42,0.62,0,0.0,0,0.0,0.46,0.0,0,0.0,0.04,0,0.0,3,0.46,0.0,0.0,0.0,1.24,25.0,0.15,100.0,1.08,14.29,0.15,0.31,50.0,0.77,40.0,1.55,0.62,0.15,27.11,2.01,0.15,35.63,71.74,15.96,58.25,6.35,92.68,27.88,80.56,6.66,44.19,20.69,43.98,0.0,0.15,0.0,0.0,0.0,0.0,0.0,7.28,51.06,2.17,7.14,0.0,0.0,0.46,0.15,8.52,56.36,78.95,8.83,0,,0,,0,0.0,0.0,0.0,,,0.31,,4.96,0.0,0.0,0.0,0.0,0,0
