Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Mu Pengfei,Pengfei Mu,124057,Qingdao Hainiu,Qingdao Hainiu,https://cdn5.wyscout.com/photos/team/public/2451_120x120.png,CSL,GK,GK,100,,0,,0,37,1989-02-28,75000,2026-12-31,20,2069,0,0.0,0,0.0,0.78,77.78,China PR,['China PR'],right,193,80,False,1.65,0.17,50.0,0.39,77.78,0.0,0.0,0.0,1.57,2.16,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,6.87,0.09,0.30000000000000004,14.92,73.76,11.05,70.47,0.04,0.0,5.92,92.65,8.92,61.46,40.62,50.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,45.24,0.13,0.0,0.09,0.0,0.0,0.0,6.61,75.66,85.37,3.5700000000000003,38,1.65,109,4.74,2,65.14,36.8,1.6,-1.2,-0.052000000000000005,0.0,1.3,0.39,,,,0.0,0,0.0
O. Maritu,Oscar Taty Maritu,-88184,Yunnan Yukun,Yunnan Yukun,https://cdn5.wyscout.com/photos/team/public/g-18403_120x120.png,CSL,"LAMF, LW, LWF",LAMF,37,LW,25,LWF,24,26,1999-08-17,900000,2026-12-31,20,2061,14,9.52,6,2.9699999999999998,15.94,48.49,Congo DR,['Congo DR'],right,182,80,False,1.83,1.62,37.84,5.59,60.94,0.0,0.0,0.17,1.22,1.9,0.92,3,0.13,0,0.0,3.36,0.61,13,0.5700000000000001,0.42,4,0.17,73,3.19,43.84,19.178,0.26,1.92,31.82,1.6600000000000001,36.84,0.26,0.0,0.61,2.05,65.96,7.03,39.75,4.72,1.92,0.22,14.98,2.66,0.79,19.69,75.17,2.36,55.56,4.54,86.54,16.42,80.59,1.57,69.44,18.51,37.94,0.13,1.09,0.13,0.13,0.04,0.0,0.7000000000000001,1.31,63.33,1.92,38.64,0.17,0.0,0.96,0.66,2.88,66.67,73.76,8.82,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.59,0.0,0.0,0.0,0.0,1,100.0
Liu Dianzuo,Liu Dianzuo,184845,Chengdu Rongcheng,Chengdu Rongcheng,https://cdn5.wyscout.com/photos/team/public/g33021_120x120.png,China League Two,GK,GK,100,,0,,0,36,1990-06-26,175000,2026-12-31,20,2054,0,0.04,0,0.17,0.44,60.0,China PR,['China PR'],right,190,81,False,0.61,0.0,0.0,0.18,75.0,0.0,0.0,0.0,0.61,1.0,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,50.0,0.04,0.0,0.0,12.44,0.18,0.13,20.11,86.06,10.38,77.22,0.0,0.0,13.98,97.81,6.13,59.29,30.75,45.47,0.01,0.04,0.0,0.0,0.0,0.0,0.04,1.49,38.24,0.22,20.0,0.0,0.0,0.04,0.0,4.51,69.9,95.61,8.98,20,0.88,65,2.85,6,69.23,20.56,0.9,0.56,0.025,0.0,0.88,0.18,,,,0.0,0,0.0
Davidson,Davidson da Luz Pereira,282448,Qingdao West Coast,Qingdao West Coast,https://cdn5.wyscout.com/photos/team/public/g-14023_120x120.png,CSL,"LW, LAMF",LW,52,LAMF,41,,0,35,1991-03-05,850000,,20,2043,5,7.37,3,2.63,24.67,43.04,Brazil,['Brazil'],right,177,69,False,7.93,6.39,58.62,3.3,34.67,0.13,0.18,0.04,4.05,5.39,1.72,2,0.09,0,0.0,2.86,0.22,5,0.22,0.32,0,0.0,44,1.94,45.45,11.364,0.13,2.16,28.57,1.94,29.55,0.22,20.0,0.48,2.64,48.33,12.86,39.73,2.7800000000000002,1.94,0.5700000000000001,21.5,1.76,3.26,31.23,76.73,7.67,63.22,9.21,91.87,26.52,83.06,2.7800000000000002,49.21,17.24,35.68,0.12,1.01,0.0,0.0,0.26,33.33,0.4,3.13,59.15,2.69,40.98,0.4,44.44,0.75,0.75,4.67,72.64,75.14,7.62,0,,0,,0,0.0,0.0,0.0,,,0.09,,3.3,0.97,0.18,0.0,1.4100000000000001,1,0.0
Yao Haoyang,Haoyang Yao,-446017,Chongqing Tongliang Long,Chongqing Tongliang Long,https://cdn5.wyscout.com/photos/team/public/g-18398_120x120.png,CSL,GK,GK,100,,0,,0,19,2006-10-28,0,2030-12-31,20,2029,0,0.0,0,0.0,0.44,80.0,China PR,['China PR'],unknown,190,0,False,1.06,0.13,66.67,0.18,75.0,0.0,0.0,0.0,0.98,1.25,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,7.5,0.27,0.09,13.88,74.76,8.21,61.08,0.0,0.0,7.5,98.22,6.3,47.89,34.35,49.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,27.59,0.09,0.0,0.09,0.0,0.04,0.0,4.75,59.81,95.61,5.06,22,0.98,67,2.9699999999999998,7,67.16,25.21,1.12,3.21,0.14200000000000002,0.0,1.6400000000000001,0.18,,,,0.0,0,0.0
A. Yakubu,Yakubu-Abdul Aziz,490339,Qingdao West Coast,Qingdao West Coast,https://cdn5.wyscout.com/photos/team/public/g-14023_120x120.png,CSL,CF,CF,99,,0,,0,27,1998-11-10,3000000,2027-12-31,20,1989,4,5.65,6,3.26,14.84,33.54,Ghana,['Ghana'],right,187,79,False,2.58,1.9500000000000002,48.84,4.3,23.16,0.0,0.0,0.14,1.63,2.17,1.04,2,0.09,0,0.0,1.54,0.18,2,0.09,0.26,0,0.0,30,1.3599999999999999,43.33,13.333,0.27,1.58,20.0,0.86,26.32,0.72,12.5,0.18,1.04,60.87,5.48,41.32,3.21,0.9,0.18,9.55,2.17,1.4,12.9,70.53,2.76,57.38,3.76,87.95,10.9,79.67,0.45,20.0,15.94,19.17,0.15,0.59,0.0,0.0,0.0,0.0,0.59,0.9500000000000001,47.62,1.45,43.75,0.05,0.0,0.59,0.32,1.31,68.97,60.94,2.9,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.3,0.0,0.0,0.0,0.0,3,66.667
Wesley,Wesley Moraes Ferreira da Silva,408768,Shenzhen Peng City,Shenzhen Peng City,https://cdn5.wyscout.com/photos/team/public/g430_120x120.png,CSL,CF,CF,99,,0,,0,29,1996-11-24,0,2027-12-31,20,1986,9,7.85,4,2.43,21.93,44.42,Brazil,['Brazil'],right,191,93,False,2.67,1.77,51.28,7.3,44.72,0.0,0.0,0.27,1.77,2.59,1.54,3,0.14,0,0.0,2.04,0.41000000000000003,7,0.32,0.36,2,0.09,38,1.72,55.26,23.684,0.18,0.73,31.25,0.45,20.0,0.27,50.0,0.23,1.27,64.29,8.34,40.22,3.76,0.59,0.05,9.79,2.18,2.08,15.5,71.05,3.4,56.0,2.58,84.21,13.96,73.7,0.8200000000000001,61.11,15.42,18.16,0.11,1.13,0.09,0.0,0.09,50.0,0.68,2.22,61.22,1.45,53.13,0.14,66.67,1.22,0.27,1.81,72.5,76.74,5.85,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.3,0.0,0.0,0.0,0.0,2,100.0
Yan Junling,Junling Yan,287394,Shanghai Port,Shanghai Port,https://cdn5.wyscout.com/photos/team/public/g10655_120x120.png,CSL,GK,GK,100,,0,,0,35,1991-01-28,350000,2028-12-31,19,1985,0,0.0,0,0.0,0.27,100.0,China PR,['China PR'],right,191,83,False,1.6800000000000002,0.0,0.0,0.18,100.0,0.0,0.0,0.0,1.6800000000000002,2.84,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,11.61,0.23,0.14,19.36,88.52,10.11,80.27,0.0,0.0,14.6,98.76,4.76,57.14,26.03,41.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,41.18,0.09,0.0,0.05,0.0,0.0,0.0,3.45,63.16,97.66,7.75,26,1.18,85,3.85,3,69.41,27.56,1.25,1.56,0.07100000000000001,0.0,1.31,0.18,,,,0.0,0,0.0
Mateus Vital,Mateus Da Silva Vital Assumpção,427644,Shanghai Port,Shanghai Port,https://cdn5.wyscout.com/photos/team/public/g10655_120x120.png,CSL,"LDMF, LCMF, LCMF3",LDMF,32,LCMF,31,LCMF3,19,28,1998-02-12,3000000,2026-12-31,19,1985,2,2.08,3,2.27,17.0,49.6,Brazil,"['Brazil', 'Portugal']",right,175,65,False,3.85,3.58,58.23,0.8200000000000001,38.89,0.09,0.15,0.05,1.6800000000000002,2.84,0.8200000000000001,2,0.09,0,0.0,2.7199999999999998,0.09,1,0.05,0.09,0,0.0,36,1.63,25.0,5.556,0.14,1.4100000000000001,38.71,1.09,41.67,0.32,28.57,0.32,3.58,48.1,11.02,47.33,0.36,2.18,0.45,41.67,0.32,2.4,55.22,90.15,18.41,84.24,7.57,96.41,49.47,94.32,4.35,59.38,17.66,39.21,0.1,0.8200000000000001,0.0,0.09,0.09,50.0,0.32,9.7,80.37,3.08,52.94,0.63,35.71,0.9500000000000001,0.63,8.52,89.36,92.12,20.72,0,,0,,0,0.0,0.0,0.0,,,0.32,,0.8200000000000001,1.31,0.18,25.0,2.04,1,100.0
Xue Qinghao,Qinghao Xue,490352,Shanghai Shenhua,Shanghai Shenhua,https://cdn5.wyscout.com/photos/team/public/2447_120x120.png,CSL,GK,GK,100,,0,,0,25,2000-09-26,100000,2026-12-31,19,1956,0,0.0,0,0.37,0.32,100.0,China PR,['China PR'],right,195,0,False,0.6900000000000001,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.6900000000000001,0.9500000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,8.33,0.05,0.09,14.22,88.03,7.55,78.05,0.0,0.0,9.02,99.49,5.15,68.75,32.37,47.91,0.02,0.05,0.0,0.0,0.0,0.0,0.05,1.38,63.33,0.14,33.33,0.05,0.0,0.09,0.0,3.5,76.32,99.27,6.3,31,1.43,88,4.05,3,64.77,30.71,1.4100000000000001,-0.29,-0.013000000000000001,0.0,1.33,0.18,,,,0.0,0,0.0
